Year,Units,Series,Series.1,Series.2,Series.3,Value
2023,2015 = 100,b) CO₂-Emissionen der Kfz der öffentlichen Hand,b) CO₂-Emissionen der Kfz der öffentlichen Hand,b) CO₂-Emissionen der Kfz der öffentlichen Hand,b) CO₂-Emissionen der Kfz der öffentlichen Hand,
2026,2015 = 100,b) CO₂-Emissionen der Kfz der öffentlichen Hand,b) CO₂-Emissionen der Kfz der öffentlichen Hand,b) CO₂-Emissionen der Kfz der öffentlichen Hand,b) CO₂-Emissionen der Kfz der öffentlichen Hand,
2015,Prozent,Nachhaltige Textilbeschaffung,Nachhaltige Textilbeschaffung,Nachhaltige Textilbeschaffung,Nachhaltige Textilbeschaffung,
2016,Prozent,Nachhaltige Textilbeschaffung,Nachhaltige Textilbeschaffung,Nachhaltige Textilbeschaffung,Nachhaltige Textilbeschaffung,
2017,Prozent,Nachhaltige Textilbeschaffung,Nachhaltige Textilbeschaffung,Nachhaltige Textilbeschaffung,Nachhaltige Textilbeschaffung,
2018,Prozent,Nachhaltige Textilbeschaffung,Nachhaltige Textilbeschaffung,Nachhaltige Textilbeschaffung,Nachhaltige Textilbeschaffung,
2019,Prozent,Nachhaltige Textilbeschaffung,Nachhaltige Textilbeschaffung,Nachhaltige Textilbeschaffung,Nachhaltige Textilbeschaffung,
2020,Prozent,Nachhaltige Textilbeschaffung,Nachhaltige Textilbeschaffung,Nachhaltige Textilbeschaffung,Nachhaltige Textilbeschaffung,
2021,Prozent,Nachhaltige Textilbeschaffung,Nachhaltige Textilbeschaffung,Nachhaltige Textilbeschaffung,Nachhaltige Textilbeschaffung,
2022,Prozent,Nachhaltige Textilbeschaffung,Nachhaltige Textilbeschaffung,Nachhaltige Textilbeschaffung,Nachhaltige Textilbeschaffung,
2024,Prozent,Nachhaltige Textilbeschaffung,Nachhaltige Textilbeschaffung,Nachhaltige Textilbeschaffung,Nachhaltige Textilbeschaffung,99.999
2023,Prozent,Nachhaltige Textilbeschaffung,Nachhaltige Textilbeschaffung,Nachhaltige Textilbeschaffung,Nachhaltige Textilbeschaffung,
2026,Prozent,Nachhaltige Textilbeschaffung,Nachhaltige Textilbeschaffung,Nachhaltige Textilbeschaffung,Nachhaltige Textilbeschaffung,
