Year,Units,Anzeigen,Region,GeoCode,Value
2018,Prozent,Zeitreihe,Bayern,code09,93.6
2008,Prozent,Zeitreihe,Brandenburg,code12,84.7
2009,Prozent,Zeitreihe,Brandenburg,code12,85.7
2010,Prozent,Zeitreihe,Brandenburg,code12,84.7
2011,Prozent,Zeitreihe,Brandenburg,code12,83.7
2012,Prozent,Zeitreihe,Brandenburg,code12,83.7
2013,Prozent,Zeitreihe,Brandenburg,code12,84.7
2014,Prozent,Zeitreihe,Brandenburg,code12,86.7
2015,Prozent,Zeitreihe,Brandenburg,code12,85.7
2016,Prozent,Zeitreihe,Brandenburg,code12,85.7
2017,Prozent,Zeitreihe,Brandenburg,code12,86.7
2018,Prozent,Zeitreihe,Brandenburg,code12,88.8
2008,Prozent,Zeitreihe,Hessen,code06,87.9
2009,Prozent,Zeitreihe,Hessen,code06,86.4
2010,Prozent,Zeitreihe,Hessen,code06,83.6
2011,Prozent,Zeitreihe,Hessen,code06,87.0
2012,Prozent,Zeitreihe,Hessen,code06,82.3
2013,Prozent,Zeitreihe,Hessen,code06,80.9
2014,Prozent,Zeitreihe,Hessen,code06,87.1
2015,Prozent,Zeitreihe,Hessen,code06,84.6
2016,Prozent,Zeitreihe,Hessen,code06,84.7
2017,Prozent,Zeitreihe,Hessen,code06,87.3
2018,Prozent,Zeitreihe,Hessen,code06,80.9
2008,Prozent,Zeitreihe,Mecklenburg-Vorpommern,code13,88.7
2009,Prozent,Zeitreihe,Mecklenburg-Vorpommern,code13,90.0
2010,Prozent,Zeitreihe,Mecklenburg-Vorpommern,code13,86.2
2011,Prozent,Zeitreihe,Mecklenburg-Vorpommern,code13,86.2
2012,Prozent,Zeitreihe,Mecklenburg-Vorpommern,code13,85.0
2013,Prozent,Zeitreihe,Mecklenburg-Vorpommern,code13,85.0
2018,Prozent,Zeitreihe,Mecklenburg-Vorpommern,code13,81.4
2008,Prozent,Zeitreihe,Niedersachsen,code03,69.9
2009,Prozent,Zeitreihe,Niedersachsen,code03,73.0
2010,Prozent,Zeitreihe,Niedersachsen,code03,70.4
2011,Prozent,Zeitreihe,Niedersachsen,code03,69.7
2012,Prozent,Zeitreihe,Niedersachsen,code03,69.1
2013,Prozent,Zeitreihe,Niedersachsen,code03,69.3
2014,Prozent,Zeitreihe,Niedersachsen,code03,69.6
2015,Prozent,Zeitreihe,Niedersachsen,code03,68.7
2016,Prozent,Zeitreihe,Niedersachsen,code03,71.5
2017,Prozent,Zeitreihe,Niedersachsen,code03,70.7
2018,Prozent,Zeitreihe,Niedersachsen,code03,69.3
2008,Prozent,Zeitreihe,Nordrhein-Westfalen,code05,85.1
2009,Prozent,Zeitreihe,Nordrhein-Westfalen,code05,86.4
2010,Prozent,Zeitreihe,Nordrhein-Westfalen,code05,84.0
2011,Prozent,Zeitreihe,Nordrhein-Westfalen,code05,89.2
2012,Prozent,Zeitreihe,Nordrhein-Westfalen,code05,84.6
2013,Prozent,Zeitreihe,Nordrhein-Westfalen,code05,89.3
2014,Prozent,Zeitreihe,Nordrhein-Westfalen,code05,89.3
2015,Prozent,Zeitreihe,Nordrhein-Westfalen,code05,88.6
2016,Prozent,Zeitreihe,Nordrhein-Westfalen,code05,87.4
2017,Prozent,Zeitreihe,Nordrhein-Westfalen,code05,89.0
2018,Prozent,Zeitreihe,Nordrhein-Westfalen,code05,88.5
2008,Prozent,Zeitreihe,Rheinland-Pfalz,code07,78.3
2009,Prozent,Zeitreihe,Rheinland-Pfalz,code07,78.3
2010,Prozent,Zeitreihe,Rheinland-Pfalz,code07,76.8
2011,Prozent,Zeitreihe,Rheinland-Pfalz,code07,75.4
2012,Prozent,Zeitreihe,Rheinland-Pfalz,code07,71.0
2013,Prozent,Zeitreihe,Rheinland-Pfalz,code07,72.5
2014,Prozent,Zeitreihe,Rheinland-Pfalz,code07,75.4
2015,Prozent,Zeitreihe,Rheinland-Pfalz,code07,73.9
2016,Prozent,Zeitreihe,Rheinland-Pfalz,code07,76.8
2017,Prozent,Zeitreihe,Rheinland-Pfalz,code07,76.8
2018,Prozent,Zeitreihe,Rheinland-Pfalz,code07,72.1
2008,Prozent,Zeitreihe,Saarland,code10,100.0
2009,Prozent,Zeitreihe,Saarland,code10,100.0
2010,Prozent,Zeitreihe,Saarland,code10,100.0
2011,Prozent,Zeitreihe,Saarland,code10,87.5
2012,Prozent,Zeitreihe,Saarland,code10,100.0
2013,Prozent,Zeitreihe,Saarland,code10,100.0
2014,Prozent,Zeitreihe,Saarland,code10,100.0
2015,Prozent,Zeitreihe,Saarland,code10,100.0
2016,Prozent,Zeitreihe,Saarland,code10,100.0
2017,Prozent,Zeitreihe,Saarland,code10,100.0
2018,Prozent,Zeitreihe,Saarland,code10,100.0
2008,Prozent,Zeitreihe,Sachsen,code14,63.0
2009,Prozent,Zeitreihe,Sachsen,code14,64.8
2010,Prozent,Zeitreihe,Sachsen,code14,64.4
2011,Prozent,Zeitreihe,Sachsen,code14,70.5
2012,Prozent,Zeitreihe,Sachsen,code14,64.5
2013,Prozent,Zeitreihe,Sachsen,code14,66.7
2014,Prozent,Zeitreihe,Sachsen,code14,66.7
2015,Prozent,Zeitreihe,Sachsen,code14,68.3
2016,Prozent,Zeitreihe,Sachsen,code14,65.1
2017,Prozent,Zeitreihe,Sachsen,code14,71.0
2018,Prozent,Zeitreihe,Sachsen,code14,70.7
2008,Prozent,Zeitreihe,Sachsen-Anhalt,code15,78.5
2009,Prozent,Zeitreihe,Sachsen-Anhalt,code15,76.9
2010,Prozent,Zeitreihe,Sachsen-Anhalt,code15,76.8
2011,Prozent,Zeitreihe,Sachsen-Anhalt,code15,75.4
2012,Prozent,Zeitreihe,Sachsen-Anhalt,code15,75.4
2013,Prozent,Zeitreihe,Sachsen-Anhalt,code15,73.9
2014,Prozent,Zeitreihe,Sachsen-Anhalt,code15,73.9
2015,Prozent,Zeitreihe,Sachsen-Anhalt,code15,72.9
2016,Prozent,Zeitreihe,Sachsen-Anhalt,code15,75.7
2017,Prozent,Zeitreihe,Sachsen-Anhalt,code15,80.0
2018,Prozent,Zeitreihe,Sachsen-Anhalt,code15,77.3
2008,Prozent,Zeitreihe,Schleswig-Holstein,code01,66.0
2009,Prozent,Zeitreihe,Schleswig-Holstein,code01,64.2
2010,Prozent,Zeitreihe,Schleswig-Holstein,code01,64.2
2011,Prozent,Zeitreihe,Schleswig-Holstein,code01,69.8
2012,Prozent,Zeitreihe,Schleswig-Holstein,code01,66.0
2013,Prozent,Zeitreihe,Schleswig-Holstein,code01,66.0
2014,Prozent,Zeitreihe,Schleswig-Holstein,code01,66.0
2015,Prozent,Zeitreihe,Schleswig-Holstein,code01,69.8
2016,Prozent,Zeitreihe,Schleswig-Holstein,code01,71.7
2017,Prozent,Zeitreihe,Schleswig-Holstein,code01,66.7
2018,Prozent,Zeitreihe,Schleswig-Holstein,code01,69.8
2008,Prozent,Zeitreihe,Thüringen,code16,72.7
2009,Prozent,Zeitreihe,Thüringen,code16,74.5
2010,Prozent,Zeitreihe,Thüringen,code16,76.4
2011,Prozent,Zeitreihe,Thüringen,code16,74.5
2012,Prozent,Zeitreihe,Thüringen,code16,72.7
2013,Prozent,Zeitreihe,Thüringen,code16,70.0
2014,Prozent,Zeitreihe,Thüringen,code16,74.6
2016,Prozent,Zeitreihe,Thüringen,code16,77.1
2017,Prozent,Zeitreihe,Thüringen,code16,72.2
2018,Prozent,Zeitreihe,Thüringen,code16,76.9
