Year,Units,Anzeigen,Zeitreihe,Geschlecht,Region,GeoCode,Value
2014,Prozent,Zeitreihe,Insgesamt,Männlich,Bayern,code09,45.5
2015,Prozent,Zeitreihe,Insgesamt,Männlich,Bayern,code09,43.9
2016,Prozent,Zeitreihe,Insgesamt,Männlich,Bayern,code09,46.6
2017,Prozent,Zeitreihe,Insgesamt,Männlich,Bayern,code09,46.9
2018,Prozent,Zeitreihe,Insgesamt,Männlich,Bayern,code09,48.1
2019,Prozent,Zeitreihe,Insgesamt,Männlich,Bayern,code09,48.3
2005,Prozent,Zeitreihe,Insgesamt,Insgesamt,Berlin,code11,46.2
2006,Prozent,Zeitreihe,Insgesamt,Insgesamt,Berlin,code11,46.6
2007,Prozent,Zeitreihe,Insgesamt,Insgesamt,Berlin,code11,49.2
2008,Prozent,Zeitreihe,Insgesamt,Insgesamt,Berlin,code11,47.1
2009,Prozent,Zeitreihe,Insgesamt,Insgesamt,Berlin,code11,50.4
2010,Prozent,Zeitreihe,Insgesamt,Insgesamt,Berlin,code11,50.7
2011,Prozent,Zeitreihe,Insgesamt,Insgesamt,Berlin,code11,51.8
2012,Prozent,Zeitreihe,Insgesamt,Insgesamt,Berlin,code11,53.7
2013,Prozent,Zeitreihe,Insgesamt,Insgesamt,Berlin,code11,53.2
2014,Prozent,Zeitreihe,Insgesamt,Insgesamt,Berlin,code11,54.0
2015,Prozent,Zeitreihe,Insgesamt,Insgesamt,Berlin,code11,56.7
2016,Prozent,Zeitreihe,Insgesamt,Insgesamt,Berlin,code11,59.7
2017,Prozent,Zeitreihe,Insgesamt,Insgesamt,Berlin,code11,60.9
2018,Prozent,Zeitreihe,Insgesamt,Insgesamt,Berlin,code11,62.7
2019,Prozent,Zeitreihe,Insgesamt,Insgesamt,Berlin,code11,64.8
2005,Prozent,Zeitreihe,Insgesamt,Weiblich,Berlin,code11,47.1
2006,Prozent,Zeitreihe,Insgesamt,Weiblich,Berlin,code11,50.1
2007,Prozent,Zeitreihe,Insgesamt,Weiblich,Berlin,code11,53.0
2008,Prozent,Zeitreihe,Insgesamt,Weiblich,Berlin,code11,49.9
2009,Prozent,Zeitreihe,Insgesamt,Weiblich,Berlin,code11,56.2
2010,Prozent,Zeitreihe,Insgesamt,Weiblich,Berlin,code11,56.0
2011,Prozent,Zeitreihe,Insgesamt,Weiblich,Berlin,code11,59.3
2012,Prozent,Zeitreihe,Insgesamt,Weiblich,Berlin,code11,60.2
2013,Prozent,Zeitreihe,Insgesamt,Weiblich,Berlin,code11,59.1
2014,Prozent,Zeitreihe,Insgesamt,Weiblich,Berlin,code11,59.8
2015,Prozent,Zeitreihe,Insgesamt,Weiblich,Berlin,code11,63.7
2016,Prozent,Zeitreihe,Insgesamt,Weiblich,Berlin,code11,63.6
2017,Prozent,Zeitreihe,Insgesamt,Weiblich,Berlin,code11,66.1
2018,Prozent,Zeitreihe,Insgesamt,Weiblich,Berlin,code11,67.0
2019,Prozent,Zeitreihe,Insgesamt,Weiblich,Berlin,code11,69.2
2005,Prozent,Zeitreihe,Insgesamt,Männlich,Berlin,code11,45.3
2006,Prozent,Zeitreihe,Insgesamt,Männlich,Berlin,code11,43.2
2007,Prozent,Zeitreihe,Insgesamt,Männlich,Berlin,code11,45.5
2008,Prozent,Zeitreihe,Insgesamt,Männlich,Berlin,code11,44.5
2009,Prozent,Zeitreihe,Insgesamt,Männlich,Berlin,code11,44.4
2010,Prozent,Zeitreihe,Insgesamt,Männlich,Berlin,code11,45.8
2011,Prozent,Zeitreihe,Insgesamt,Männlich,Berlin,code11,44.7
2012,Prozent,Zeitreihe,Insgesamt,Männlich,Berlin,code11,47.5
2013,Prozent,Zeitreihe,Insgesamt,Männlich,Berlin,code11,47.6
2014,Prozent,Zeitreihe,Insgesamt,Männlich,Berlin,code11,48.4
2015,Prozent,Zeitreihe,Insgesamt,Männlich,Berlin,code11,49.7
2016,Prozent,Zeitreihe,Insgesamt,Männlich,Berlin,code11,55.7
2017,Prozent,Zeitreihe,Insgesamt,Männlich,Berlin,code11,55.7
2018,Prozent,Zeitreihe,Insgesamt,Männlich,Berlin,code11,58.3
2019,Prozent,Zeitreihe,Insgesamt,Männlich,Berlin,code11,60.3
2005,Prozent,Zeitreihe,Insgesamt,Insgesamt,Brandenburg,code12,32.1
2006,Prozent,Zeitreihe,Insgesamt,Insgesamt,Brandenburg,code12,33.2
2007,Prozent,Zeitreihe,Insgesamt,Insgesamt,Brandenburg,code12,34.7
2008,Prozent,Zeitreihe,Insgesamt,Insgesamt,Brandenburg,code12,38.6
2009,Prozent,Zeitreihe,Insgesamt,Insgesamt,Brandenburg,code12,41.1
2010,Prozent,Zeitreihe,Insgesamt,Insgesamt,Brandenburg,code12,41.4
2011,Prozent,Zeitreihe,Insgesamt,Insgesamt,Brandenburg,code12,44.5
2012,Prozent,Zeitreihe,Insgesamt,Insgesamt,Brandenburg,code12,42.1
2013,Prozent,Zeitreihe,Insgesamt,Insgesamt,Brandenburg,code12,42.6
2014,Prozent,Zeitreihe,Insgesamt,Insgesamt,Brandenburg,code12,44.2
2015,Prozent,Zeitreihe,Insgesamt,Insgesamt,Brandenburg,code12,43.3
2016,Prozent,Zeitreihe,Insgesamt,Insgesamt,Brandenburg,code12,45.4
2017,Prozent,Zeitreihe,Insgesamt,Insgesamt,Brandenburg,code12,42.4
2018,Prozent,Zeitreihe,Insgesamt,Insgesamt,Brandenburg,code12,45.3
2019,Prozent,Zeitreihe,Insgesamt,Insgesamt,Brandenburg,code12,44.4
2005,Prozent,Zeitreihe,Insgesamt,Weiblich,Brandenburg,code12,36.9
2006,Prozent,Zeitreihe,Insgesamt,Weiblich,Brandenburg,code12,39.5
2007,Prozent,Zeitreihe,Insgesamt,Weiblich,Brandenburg,code12,42.2
2008,Prozent,Zeitreihe,Insgesamt,Weiblich,Brandenburg,code12,47.1
2009,Prozent,Zeitreihe,Insgesamt,Weiblich,Brandenburg,code12,47.8
2010,Prozent,Zeitreihe,Insgesamt,Weiblich,Brandenburg,code12,50.2
2011,Prozent,Zeitreihe,Insgesamt,Weiblich,Brandenburg,code12,53.6
2012,Prozent,Zeitreihe,Insgesamt,Weiblich,Brandenburg,code12,51.6
2013,Prozent,Zeitreihe,Insgesamt,Weiblich,Brandenburg,code12,49.0
2014,Prozent,Zeitreihe,Insgesamt,Weiblich,Brandenburg,code12,50.5
2015,Prozent,Zeitreihe,Insgesamt,Weiblich,Brandenburg,code12,53.2
2016,Prozent,Zeitreihe,Insgesamt,Weiblich,Brandenburg,code12,54.2
2017,Prozent,Zeitreihe,Insgesamt,Weiblich,Brandenburg,code12,48.4
2018,Prozent,Zeitreihe,Insgesamt,Weiblich,Brandenburg,code12,53.5
2019,Prozent,Zeitreihe,Insgesamt,Weiblich,Brandenburg,code12,52.1
2005,Prozent,Zeitreihe,Insgesamt,Männlich,Brandenburg,code12,27.5
2006,Prozent,Zeitreihe,Insgesamt,Männlich,Brandenburg,code12,27.5
2007,Prozent,Zeitreihe,Insgesamt,Männlich,Brandenburg,code12,27.3
2008,Prozent,Zeitreihe,Insgesamt,Männlich,Brandenburg,code12,30.4
2009,Prozent,Zeitreihe,Insgesamt,Männlich,Brandenburg,code12,35.2
2010,Prozent,Zeitreihe,Insgesamt,Männlich,Brandenburg,code12,33.4
2011,Prozent,Zeitreihe,Insgesamt,Männlich,Brandenburg,code12,35.8
2012,Prozent,Zeitreihe,Insgesamt,Männlich,Brandenburg,code12,33.9
2013,Prozent,Zeitreihe,Insgesamt,Männlich,Brandenburg,code12,36.5
2014,Prozent,Zeitreihe,Insgesamt,Männlich,Brandenburg,code12,37.6
2015,Prozent,Zeitreihe,Insgesamt,Männlich,Brandenburg,code12,34.1
2016,Prozent,Zeitreihe,Insgesamt,Männlich,Brandenburg,code12,36.9
2017,Prozent,Zeitreihe,Insgesamt,Männlich,Brandenburg,code12,36.8
2018,Prozent,Zeitreihe,Insgesamt,Männlich,Brandenburg,code12,36.8
2019,Prozent,Zeitreihe,Insgesamt,Männlich,Brandenburg,code12,36.7
2005,Prozent,Zeitreihe,Insgesamt,Insgesamt,Bremen,code04,33.8
2006,Prozent,Zeitreihe,Insgesamt,Insgesamt,Bremen,code04,36.8
2007,Prozent,Zeitreihe,Insgesamt,Insgesamt,Bremen,code04,38.2
2008,Prozent,Zeitreihe,Insgesamt,Insgesamt,Bremen,code04,39.4
2009,Prozent,Zeitreihe,Insgesamt,Insgesamt,Bremen,code04,32.7
2010,Prozent,Zeitreihe,Insgesamt,Insgesamt,Bremen,code04,41.5
2011,Prozent,Zeitreihe,Insgesamt,Insgesamt,Bremen,code04,43.2
2012,Prozent,Zeitreihe,Insgesamt,Insgesamt,Bremen,code04,41.8
2013,Prozent,Zeitreihe,Insgesamt,Insgesamt,Bremen,code04,44.3
2014,Prozent,Zeitreihe,Insgesamt,Insgesamt,Bremen,code04,53.4
2015,Prozent,Zeitreihe,Insgesamt,Insgesamt,Bremen,code04,50.5
2016,Prozent,Zeitreihe,Insgesamt,Insgesamt,Bremen,code04,46.6
2017,Prozent,Zeitreihe,Insgesamt,Insgesamt,Bremen,code04,52.1
2018,Prozent,Zeitreihe,Insgesamt,Insgesamt,Bremen,code04,52.3
2019,Prozent,Zeitreihe,Insgesamt,Insgesamt,Bremen,code04,49.1
2005,Prozent,Zeitreihe,Insgesamt,Weiblich,Bremen,code04,35.3
2006,Prozent,Zeitreihe,Insgesamt,Weiblich,Bremen,code04,40.1
2007,Prozent,Zeitreihe,Insgesamt,Weiblich,Bremen,code04,40.3
2008,Prozent,Zeitreihe,Insgesamt,Weiblich,Bremen,code04,40.8
2009,Prozent,Zeitreihe,Insgesamt,Weiblich,Bremen,code04,36.1
2010,Prozent,Zeitreihe,Insgesamt,Weiblich,Bremen,code04,36.9
2011,Prozent,Zeitreihe,Insgesamt,Weiblich,Bremen,code04,47.8
2012,Prozent,Zeitreihe,Insgesamt,Weiblich,Bremen,code04,46.0
2013,Prozent,Zeitreihe,Insgesamt,Weiblich,Bremen,code04,48.2
2014,Prozent,Zeitreihe,Insgesamt,Weiblich,Bremen,code04,57.5
2015,Prozent,Zeitreihe,Insgesamt,Weiblich,Bremen,code04,54.6
2016,Prozent,Zeitreihe,Insgesamt,Weiblich,Bremen,code04,50.1
2017,Prozent,Zeitreihe,Insgesamt,Weiblich,Bremen,code04,57.0
2018,Prozent,Zeitreihe,Insgesamt,Weiblich,Bremen,code04,56.8
2019,Prozent,Zeitreihe,Insgesamt,Weiblich,Bremen,code04,56.7
2005,Prozent,Zeitreihe,Insgesamt,Männlich,Bremen,code04,32.3
2006,Prozent,Zeitreihe,Insgesamt,Männlich,Bremen,code04,33.9
2007,Prozent,Zeitreihe,Insgesamt,Männlich,Bremen,code04,36.3
2008,Prozent,Zeitreihe,Insgesamt,Männlich,Bremen,code04,38.0
2009,Prozent,Zeitreihe,Insgesamt,Männlich,Bremen,code04,28.8
2010,Prozent,Zeitreihe,Insgesamt,Männlich,Bremen,code04,46.5
2011,Prozent,Zeitreihe,Insgesamt,Männlich,Bremen,code04,37.8
2012,Prozent,Zeitreihe,Insgesamt,Männlich,Bremen,code04,38.1
2013,Prozent,Zeitreihe,Insgesamt,Männlich,Bremen,code04,41.3
2014,Prozent,Zeitreihe,Insgesamt,Männlich,Bremen,code04,49.6
2015,Prozent,Zeitreihe,Insgesamt,Männlich,Bremen,code04,46.8
2016,Prozent,Zeitreihe,Insgesamt,Männlich,Bremen,code04,42.7
2017,Prozent,Zeitreihe,Insgesamt,Männlich,Bremen,code04,47.3
2018,Prozent,Zeitreihe,Insgesamt,Männlich,Bremen,code04,47.9
2019,Prozent,Zeitreihe,Insgesamt,Männlich,Bremen,code04,42.2
2005,Prozent,Zeitreihe,Insgesamt,Insgesamt,Hamburg,code02,45.7
2006,Prozent,Zeitreihe,Insgesamt,Insgesamt,Hamburg,code02,48.6
2007,Prozent,Zeitreihe,Insgesamt,Insgesamt,Hamburg,code02,49.4
2008,Prozent,Zeitreihe,Insgesamt,Insgesamt,Hamburg,code02,50.1
2009,Prozent,Zeitreihe,Insgesamt,Insgesamt,Hamburg,code02,53.1
2010,Prozent,Zeitreihe,Insgesamt,Insgesamt,Hamburg,code02,52.5
2011,Prozent,Zeitreihe,Insgesamt,Insgesamt,Hamburg,code02,55.4
2012,Prozent,Zeitreihe,Insgesamt,Insgesamt,Hamburg,code02,54.4
2013,Prozent,Zeitreihe,Insgesamt,Insgesamt,Hamburg,code02,55.4
2014,Prozent,Zeitreihe,Insgesamt,Insgesamt,Hamburg,code02,58.5
2015,Prozent,Zeitreihe,Insgesamt,Insgesamt,Hamburg,code02,60.6
2016,Prozent,Zeitreihe,Insgesamt,Insgesamt,Hamburg,code02,60.0
2017,Prozent,Zeitreihe,Insgesamt,Insgesamt,Hamburg,code02,58.4
2018,Prozent,Zeitreihe,Insgesamt,Insgesamt,Hamburg,code02,62.5
2019,Prozent,Zeitreihe,Insgesamt,Insgesamt,Hamburg,code02,60.1
2005,Prozent,Zeitreihe,Insgesamt,Weiblich,Hamburg,code02,47.5
2006,Prozent,Zeitreihe,Insgesamt,Weiblich,Hamburg,code02,49.0
2007,Prozent,Zeitreihe,Insgesamt,Weiblich,Hamburg,code02,53.8
2008,Prozent,Zeitreihe,Insgesamt,Weiblich,Hamburg,code02,53.0
2009,Prozent,Zeitreihe,Insgesamt,Weiblich,Hamburg,code02,54.0
2010,Prozent,Zeitreihe,Insgesamt,Weiblich,Hamburg,code02,53.8
2011,Prozent,Zeitreihe,Insgesamt,Weiblich,Hamburg,code02,57.1
2012,Prozent,Zeitreihe,Insgesamt,Weiblich,Hamburg,code02,57.6
2013,Prozent,Zeitreihe,Insgesamt,Weiblich,Hamburg,code02,60.1
2014,Prozent,Zeitreihe,Insgesamt,Weiblich,Hamburg,code02,61.4
2015,Prozent,Zeitreihe,Insgesamt,Weiblich,Hamburg,code02,62.5
2016,Prozent,Zeitreihe,Insgesamt,Weiblich,Hamburg,code02,62.1
2017,Prozent,Zeitreihe,Insgesamt,Weiblich,Hamburg,code02,63.0
2018,Prozent,Zeitreihe,Insgesamt,Weiblich,Hamburg,code02,64.9
2019,Prozent,Zeitreihe,Insgesamt,Weiblich,Hamburg,code02,61.2
2005,Prozent,Zeitreihe,Insgesamt,Männlich,Hamburg,code02,44.1
2006,Prozent,Zeitreihe,Insgesamt,Männlich,Hamburg,code02,48.3
2007,Prozent,Zeitreihe,Insgesamt,Männlich,Hamburg,code02,45.2
2008,Prozent,Zeitreihe,Insgesamt,Männlich,Hamburg,code02,47.1
2009,Prozent,Zeitreihe,Insgesamt,Männlich,Hamburg,code02,52.2
2010,Prozent,Zeitreihe,Insgesamt,Männlich,Hamburg,code02,51.3
2011,Prozent,Zeitreihe,Insgesamt,Männlich,Hamburg,code02,53.6
2012,Prozent,Zeitreihe,Insgesamt,Männlich,Hamburg,code02,51.1
2013,Prozent,Zeitreihe,Insgesamt,Männlich,Hamburg,code02,50.7
2014,Prozent,Zeitreihe,Insgesamt,Männlich,Hamburg,code02,55.4
2015,Prozent,Zeitreihe,Insgesamt,Männlich,Hamburg,code02,58.5
2016,Prozent,Zeitreihe,Insgesamt,Männlich,Hamburg,code02,58.0
2017,Prozent,Zeitreihe,Insgesamt,Männlich,Hamburg,code02,53.7
