Year,Units,Series,Geschlecht,Bundesland,GeoCode,Value
2013,Prozent,Ausländer,,,,91.36
2014,Prozent,Ausländer,,,,90.29
2015,Prozent,Ausländer,,,,91.5
2016,Prozent,Ausländer,,,,89.73
2017,Prozent,Ausländer,,,,85.46
2018,Prozent,Ausländer,,,,85.48
2019,Prozent,Ausländer,,,,86.96
2020,Prozent,Ausländer,,,,88.13
1996,Prozent,Ausländer,,,,76.29
1997,Prozent,Ausländer,,,,76.62
1998,Prozent,Ausländer,,,,78.0
1999,Prozent,Ausländer,,,,77.16
2000,Prozent,Ausländer,,,,75.89
2001,Prozent,Ausländer,,,,75.83
2002,Prozent,Ausländer,,,,76.86
2003,Prozent,Ausländer,,,,77.68
2004,Prozent,Ausländer,,,,79.14
2005,Prozent,Ausländer,,,,79.49
2006,Prozent,Ausländer,,,,81.14
2007,Prozent,Ausländer,,,,82.51
2008,Prozent,Ausländer,,,,84.0
2009,Prozent,Ausländer,,,,85.08
2010,Prozent,Ausländer,,,,86.91
2011,Prozent,Ausländer,,,,86.94
2012,Prozent,Ausländer,,,,86.34
2013,Prozent,Ausländer,,,,88.7
2014,Prozent,Ausländer,,,,87.97
2015,Prozent,Ausländer,,,,88.74
2016,Prozent,Ausländer,,,,86.1
2017,Prozent,Ausländer,,,,76.46
2018,Prozent,Ausländer,,,,78.2
2019,Prozent,Ausländer,,,,81.65
2020,Prozent,Ausländer,,,,83.21
1996,Prozent,Ausländer,,,,74.83
1997,Prozent,Ausländer,,,,74.75
1998,Prozent,Ausländer,,,,72.8
1999,Prozent,Ausländer,,,,74.62
2000,Prozent,Ausländer,,,,74.7
2001,Prozent,Ausländer,,,,72.1
2002,Prozent,Ausländer,,,,75.71
2003,Prozent,Ausländer,,,,77.71
2004,Prozent,Ausländer,,,,78.48
2005,Prozent,Ausländer,,,,80.0
2006,Prozent,Ausländer,,,,81.85
2007,Prozent,Ausländer,,,,83.36
2008,Prozent,Ausländer,,,,84.43
2009,Prozent,Ausländer,,,,85.36
2010,Prozent,Ausländer,,,,87.37
2011,Prozent,Ausländer,,,,89.43
2012,Prozent,Ausländer,,,,88.51
2013,Prozent,Ausländer,,,,89.12
2014,Prozent,Ausländer,,,,88.27
2015,Prozent,Ausländer,,,,86.53
2016,Prozent,Ausländer,,,,81.61
2017,Prozent,Ausländer,,,,78.97
2018,Prozent,Ausländer,,,,81.24
2019,Prozent,Ausländer,,,,82.2
2020,Prozent,Ausländer,,,,84.41
1996,Prozent,Ausländer,,,,80.1
1997,Prozent,Ausländer,,,,80.29
1998,Prozent,Ausländer,,,,76.8
1999,Prozent,Ausländer,,,,79.56
2000,Prozent,Ausländer,,,,80.18
2001,Prozent,Ausländer,,,,78.43
2002,Prozent,Ausländer,,,,80.94
2003,Prozent,Ausländer,,,,81.95
2004,Prozent,Ausländer,,,,83.27
2005,Prozent,Ausländer,,,,84.03
2006,Prozent,Ausländer,,,,85.71
2007,Prozent,Ausländer,,,,87.09
2008,Prozent,Ausländer,,,,87.6
2009,Prozent,Ausländer,,,,87.98
2010,Prozent,Ausländer,,,,89.93
2011,Prozent,Ausländer,,,,91.63
2012,Prozent,Ausländer,,,,90.88
2013,Prozent,Ausländer,,,,91.6
2014,Prozent,Ausländer,,,,90.86
2015,Prozent,Ausländer,,,,89.99
2016,Prozent,Ausländer,,,,88.58
2017,Prozent,Ausländer,,,,85.99
2018,Prozent,Ausländer,,,,85.69
2019,Prozent,Ausländer,,,,86.6
2020,Prozent,Ausländer,,,,87.37
1996,Prozent,Ausländer,,,,70.1
1997,Prozent,Ausländer,,,,69.56
1998,Prozent,Ausländer,,,,69.06
1999,Prozent,Ausländer,,,,69.97
2000,Prozent,Ausländer,,,,69.58
2001,Prozent,Ausländer,,,,66.2
2002,Prozent,Ausländer,,,,70.7
2003,Prozent,Ausländer,,,,73.84
2004,Prozent,Ausländer,,,,74.05
2005,Prozent,Ausländer,,,,76.28
2006,Prozent,Ausländer,,,,78.22
2007,Prozent,Ausländer,,,,79.91
2008,Prozent,Ausländer,,,,81.41
2009,Prozent,Ausländer,,,,82.81
2010,Prozent,Ausländer,,,,84.93
2011,Prozent,Ausländer,,,,87.3
2012,Prozent,Ausländer,,,,86.3
2013,Prozent,Ausländer,,,,86.76
2014,Prozent,Ausländer,,,,85.85
2015,Prozent,Ausländer,,,,83.54
2016,Prozent,Ausländer,,,,76.04
2017,Prozent,Ausländer,,,,73.36
2018,Prozent,Ausländer,,,,77.78
2019,Prozent,Ausländer,,,,78.45
2020,Prozent,Ausländer,,,,81.8
1996,Prozent,Ausländer,,,,73.26
1997,Prozent,Ausländer,,,,73.01
1998,Prozent,Ausländer,,,,69.4
1999,Prozent,Ausländer,,,,72.39
2000,Prozent,Ausländer,,,,74.45
2001,Prozent,Ausländer,,,,76.0
2002,Prozent,Ausländer,,,,75.94
2003,Prozent,Ausländer,,,,74.1
2004,Prozent,Ausländer,,,,77.07
2005,Prozent,Ausländer,,,,77.9
2006,Prozent,Ausländer,,,,79.25
2007,Prozent,Ausländer,,,,79.56
2008,Prozent,Ausländer,,,,80.27
2009,Prozent,Ausländer,,,,83.56
2010,Prozent,Ausländer,,,,82.95
2011,Prozent,Ausländer,,,,84.68
2012,Prozent,Ausländer,,,,87.36
2013,Prozent,Ausländer,,,,87.48
2014,Prozent,Ausländer,,,,83.53
2015,Prozent,Ausländer,,,,78.67
2016,Prozent,Ausländer,,,,81.0
2017,Prozent,Ausländer,,,,79.19
2018,Prozent,Ausländer,,,,78.29
2019,Prozent,Ausländer,,,,81.11
2020,Prozent,Ausländer,,,,92.78
1996,Prozent,Ausländer,,,,79.77
1997,Prozent,Ausländer,,,,78.27
1998,Prozent,Ausländer,,,,76.15
1999,Prozent,Ausländer,,,,78.44
2000,Prozent,Ausländer,,,,78.1
2001,Prozent,Ausländer,,,,80.95
2002,Prozent,Ausländer,,,,79.38
2003,Prozent,Ausländer,,,,79.6
2004,Prozent,Ausländer,,,,81.28
2005,Prozent,Ausländer,,,,83.0
2006,Prozent,Ausländer,,,,83.61
2007,Prozent,Ausländer,,,,82.45
2008,Prozent,Ausländer,,,,84.42
2009,Prozent,Ausländer,,,,85.77
2010,Prozent,Ausländer,,,,86.23
2011,Prozent,Ausländer,,,,87.89
2012,Prozent,Ausländer,,,,89.16
2013,Prozent,Ausländer,,,,89.56
2014,Prozent,Ausländer,,,,85.61
2015,Prozent,Ausländer,,,,82.37
2016,Prozent,Ausländer,,,,83.31
2017,Prozent,Ausländer,,,,82.39
2018,Prozent,Ausländer,,,,82.97
2019,Prozent,Ausländer,,,,85.28
2020,Prozent,Ausländer,,,,95.27
1996,Prozent,Ausländer,,,,67.53
1997,Prozent,Ausländer,,,,68.67
1998,Prozent,Ausländer,,,,63.83
1999,Prozent,Ausländer,,,,67.5
2000,Prozent,Ausländer,,,,71.11
2001,Prozent,Ausländer,,,,71.26
2002,Prozent,Ausländer,,,,72.91
2003,Prozent,Ausländer,,,,69.46
2004,Prozent,Ausländer,,,,73.35
2005,Prozent,Ausländer,,,,73.39
2006,Prozent,Ausländer,,,,75.3
2007,Prozent,Ausländer,,,,76.77
2008,Prozent,Ausländer,,,,76.54
2009,Prozent,Ausländer,,,,81.47
2010,Prozent,Ausländer,,,,79.9
2011,Prozent,Ausländer,,,,81.62
2012,Prozent,Ausländer,,,,85.49
2013,Prozent,Ausländer,,,,85.37
2014,Prozent,Ausländer,,,,81.5
2015,Prozent,Ausländer,,,,75.22
2016,Prozent,Ausländer,,,,79.05
2017,Prozent,Ausländer,,,,76.28
2018,Prozent,Ausländer,,,,74.35
2019,Prozent,Ausländer,,,,77.49
2020,Prozent,Ausländer,,,,90.6
1996,Prozent,Ausländer,,,,95.77
1997,Prozent,Ausländer,,,,92.74
1998,Prozent,Ausländer,,,,91.11
1999,Prozent,Ausländer,,,,90.96
2000,Prozent,Ausländer,,,,90.34
2001,Prozent,Ausländer,,,,92.43
2002,Prozent,Ausländer,,,,94.44
2003,Prozent,Ausländer,,,,89.97
2004,Prozent,Ausländer,,,,93.24
2005,Prozent,Ausländer,,,,86.35
2006,Prozent,Ausländer,,,,86.63
2007,Prozent,Ausländer,,,,90.48
2008,Prozent,Ausländer,,,,91.62
2009,Prozent,Ausländer,,,,94.91
2010,Prozent,Ausländer,,,,93.26
2011,Prozent,Ausländer,,,,92.94
2012,Prozent,Ausländer,,,,94.32
2013,Prozent,Ausländer,,,,93.98
2014,Prozent,Ausländer,,,,94.66
2015,Prozent,Ausländer,,,,94.51
2016,Prozent,Ausländer,,,,82.73
2017,Prozent,Ausländer,,,,82.68
2018,Prozent,Ausländer,,,,80.99
2019,Prozent,Ausländer,,,,83.94
2020,Prozent,Ausländer,,,,93.82
1996,Prozent,Ausländer,,,,100.0
1997,Prozent,Ausländer,,,,97.85
1998,Prozent,Ausländer,,,,94.26
1999,Prozent,Ausländer,,,,94.68
2000,Prozent,Ausländer,,,,92.92
2001,Prozent,Ausländer,,,,98.64
2002,Prozent,Ausländer,,,,97.67
2003,Prozent,Ausländer,,,,96.05
2004,Prozent,Ausländer,,,,96.17
2005,Prozent,Ausländer,,,,91.77
2006,Prozent,Ausländer,,,,89.94
2007,Prozent,Ausländer,,,,95.22
2008,Prozent,Ausländer,,,,95.02
2009,Prozent,Ausländer,,,,97.21
2010,Prozent,Ausländer,,,,95.79
2011,Prozent,Ausländer,,,,94.71
2012,Prozent,Ausländer,,,,98.17
2013,Prozent,Ausländer,,,,97.75
2014,Prozent,Ausländer,,,,97.33
2015,Prozent,Ausländer,,,,95.88
2016,Prozent,Ausländer,,,,90.37
2017,Prozent,Ausländer,,,,87.8
2018,Prozent,Ausländer,,,,83.66
2019,Prozent,Ausländer,,,,86.21
2020,Prozent,Ausländer,,,,92.39
1996,Prozent,Ausländer,,,,91.67
1997,Prozent,Ausländer,,,,87.21
1998,Prozent,Ausländer,,,,87.38
1999,Prozent,Ausländer,,,,87.23
2000,Prozent,Ausländer,,,,87.23
2001,Prozent,Ausländer,,,,83.65
2002,Prozent,Ausländer,,,,91.06
2003,Prozent,Ausländer,,,,83.67
2004,Prozent,Ausländer,,,,90.12
2005,Prozent,Ausländer,,,,80.89
2006,Prozent,Ausländer,,,,83.43
2007,Prozent,Ausländer,,,,84.02
2008,Prozent,Ausländer,,,,87.85
2009,Prozent,Ausländer,,,,92.26
2010,Prozent,Ausländer,,,,90.61
2011,Prozent,Ausländer,,,,91.3
2012,Prozent,Ausländer,,,,90.83
2013,Prozent,Ausländer,,,,90.06
2014,Prozent,Ausländer,,,,92.51
2015,Prozent,Ausländer,,,,93.33
2016,Prozent,Ausländer,,,,75.62
2017,Prozent,Ausländer,,,,79.52
2018,Prozent,Ausländer,,,,79.36
2019,Prozent,Ausländer,,,,82.61
2020,Prozent,Ausländer,,,,95.02
1996,Prozent,Ausländer,,,,77.57
1997,Prozent,Ausländer,,,,82.39
1998,Prozent,Ausländer,,,,82.37
1999,Prozent,Ausländer,,,,83.77
2000,Prozent,Ausländer,,,,80.04
2001,Prozent,Ausländer,,,,81.15
2002,Prozent,Ausländer,,,,85.68
2003,Prozent,Ausländer,,,,81.66
2004,Prozent,Ausländer,,,,82.22
2005,Prozent,Ausländer,,,,83.42
2006,Prozent,Ausländer,,,,85.44
2007,Prozent,Ausländer,,,,84.12
2008,Prozent,Ausländer,,,,88.37
2009,Prozent,Ausländer,,,,89.09
2010,Prozent,Ausländer,,,,90.1
2011,Prozent,Ausländer,,,,87.32
2012,Prozent,Ausländer,,,,91.16
2013,Prozent,Ausländer,,,,87.3
2014,Prozent,Ausländer,,,,90.04
2015,Prozent,Ausländer,,,,89.49
2016,Prozent,Ausländer,,,,84.6
2017,Prozent,Ausländer,,,,78.68
2018,Prozent,Ausländer,,,,79.74
2019,Prozent,Ausländer,,,,73.86
2020,Prozent,Ausländer,,,,76.39
1996,Prozent,Ausländer,,,,80.98
1997,Prozent,Ausländer,,,,86.85
1998,Prozent,Ausländer,,,,84.75
1999,Prozent,Ausländer,,,,88.36
2000,Prozent,Ausländer,,,,84.3
2001,Prozent,Ausländer,,,,86.67
2002,Prozent,Ausländer,,,,88.65
2003,Prozent,Ausländer,,,,82.75
2004,Prozent,Ausländer,,,,85.85
2005,Prozent,Ausländer,,,,88.08
2006,Prozent,Ausländer,,,,90.91
2007,Prozent,Ausländer,,,,86.8
2008,Prozent,Ausländer,,,,90.94
2009,Prozent,Ausländer,,,,91.19
2010,Prozent,Ausländer,,,,92.42
2011,Prozent,Ausländer,,,,91.43
2012,Prozent,Ausländer,,,,92.59
2013,Prozent,Ausländer,,,,89.73
2014,Prozent,Ausländer,,,,91.18
2015,Prozent,Ausländer,,,,94.41
2016,Prozent,Ausländer,,,,87.18
2017,Prozent,Ausländer,,,,82.91
2018,Prozent,Ausländer,,,,82.07
2019,Prozent,Ausländer,,,,75.29
2020,Prozent,Ausländer,,,,78.31
1996,Prozent,Ausländer,,,,74.6
1997,Prozent,Ausländer,,,,78.67
1998,Prozent,Ausländer,,,,80.18
1999,Prozent,Ausländer,,,,79.58
2000,Prozent,Ausländer,,,,76.09
2001,Prozent,Ausländer,,,,76.06
2002,Prozent,Ausländer,,,,82.52
2003,Prozent,Ausländer,,,,80.58
2004,Prozent,Ausländer,,,,78.95
2005,Prozent,Ausländer,,,,79.11
2006,Prozent,Ausländer,,,,80.18
2007,Prozent,Ausländer,,,,81.71
2008,Prozent,Ausländer,,,,85.98
2009,Prozent,Ausländer,,,,86.79
2010,Prozent,Ausländer,,,,87.82
2011,Prozent,Ausländer,,,,82.91
2012,Prozent,Ausländer,,,,89.8
2013,Prozent,Ausländer,,,,85.14
2014,Prozent,Ausländer,,,,88.89
2015,Prozent,Ausländer,,,,86.15
2016,Prozent,Ausländer,,,,82.23
2017,Prozent,Ausländer,,,,75.05
2018,Prozent,Ausländer,,,,77.95
2019,Prozent,Ausländer,,,,72.79
2020,Prozent,Ausländer,,,,74.8
1996,Prozent,Ausländer,,,,81.36
1997,Prozent,Ausländer,,,,82.77
1998,Prozent,Ausländer,,,,81.85
1999,Prozent,Ausländer,,,,79.56
2000,Prozent,Ausländer,,,,79.49
2001,Prozent,Ausländer,,,,80.28
2002,Prozent,Ausländer,,,,82.32
2003,Prozent,Ausländer,,,,81.75
2004,Prozent,Ausländer,,,,80.12
2005,Prozent,Ausländer,,,,80.14
2006,Prozent,Ausländer,,,,79.56
2007,Prozent,Ausländer,,,,81.56
2008,Prozent,Ausländer,,,,84.72
2009,Prozent,Ausländer,,,,85.14
2010,Prozent,Ausländer,,,,87.37
2011,Prozent,Ausländer,,,,87.57
2012,Prozent,Ausländer,,,,89.54
2013,Prozent,Ausländer,,,,90.48
2014,Prozent,Ausländer,,,,90.05
2015,Prozent,Ausländer,,,,89.6
2016,Prozent,Ausländer,,,,86.49
2017,Prozent,Ausländer,,,,87.61
2018,Prozent,Ausländer,,,,84.93
2019,Prozent,Ausländer,,,,86.67
2020,Prozent,Ausländer,,,,84.47
1996,Prozent,Ausländer,,,,83.79
1997,Prozent,Ausländer,,,,85.97
1998,Prozent,Ausländer,,,,85.15
1999,Prozent,Ausländer,,,,84.79
2000,Prozent,Ausländer,,,,81.87
2001,Prozent,Ausländer,,,,84.51
2002,Prozent,Ausländer,,,,85.48
2003,Prozent,Ausländer,,,,85.78
2004,Prozent,Ausländer,,,,83.84
2005,Prozent,Ausländer,,,,83.76
2006,Prozent,Ausländer,,,,81.52
2007,Prozent,Ausländer,,,,84.19
2008,Prozent,Ausländer,,,,87.27
2009,Prozent,Ausländer,,,,87.51
2010,Prozent,Ausländer,,,,90.0
2011,Prozent,Ausländer,,,,88.99
2012,Prozent,Ausländer,,,,91.59
2013,Prozent,Ausländer,,,,91.6
2014,Prozent,Ausländer,,,,92.13
2015,Prozent,Ausländer,,,,91.94
2016,Prozent,Ausländer,,,,88.29
2017,Prozent,Ausländer,,,,89.0
2018,Prozent,Ausländer,,,,87.3
2019,Prozent,Ausländer,,,,89.16
2020,Prozent,Ausländer,,,,86.95
1996,Prozent,Ausländer,,,,79.22
1997,Prozent,Ausländer,,,,79.8
1998,Prozent,Ausländer,,,,79.02
1999,Prozent,Ausländer,,,,75.0
2000,Prozent,Ausländer,,,,77.44
2001,Prozent,Ausländer,,,,76.46
2002,Prozent,Ausländer,,,,79.57
2003,Prozent,Ausländer,,,,78.06
2004,Prozent,Ausländer,,,,76.68
2005,Prozent,Ausländer,,,,76.79
2006,Prozent,Ausländer,,,,77.86
2007,Prozent,Ausländer,,,,79.04
2008,Prozent,Ausländer,,,,82.25
2009,Prozent,Ausländer,,,,82.9
2010,Prozent,Ausländer,,,,84.67
2011,Prozent,Ausländer,,,,86.17
2012,Prozent,Ausländer,,,,87.41
2013,Prozent,Ausländer,,,,89.32
2014,Prozent,Ausländer,,,,87.99
2015,Prozent,Ausländer,,,,87.09
2016,Prozent,Ausländer,,,,84.74
2017,Prozent,Ausländer,,,,86.4
2018,Prozent,Ausländer,,,,83.05
2019,Prozent,Ausländer,,,,84.68
2020,Prozent,Ausländer,,,,82.42
1996,Prozent,Ausländer,,,,79.03
1997,Prozent,Ausländer,,,,80.47
1998,Prozent,Ausländer,,,,81.97
1999,Prozent,Ausländer,,,,79.9
2000,Prozent,Ausländer,,,,78.53
2001,Prozent,Ausländer,,,,80.03
2002,Prozent,Ausländer,,,,80.9
2003,Prozent,Ausländer,,,,81.15
2004,Prozent,Ausländer,,,,81.77
2005,Prozent,Ausländer,,,,83.2
2006,Prozent,Ausländer,,,,83.91
2007,Prozent,Ausländer,,,,83.96
2008,Prozent,Ausländer,,,,87.08
2009,Prozent,Ausländer,,,,85.85
2010,Prozent,Ausländer,,,,86.96
2011,Prozent,Ausländer,,,,88.33
2012,Prozent,Ausländer,,,,89.04
2013,Prozent,Ausländer,,,,90.32
2014,Prozent,Ausländer,,,,90.72
2015,Prozent,Ausländer,,,,91.87
2016,Prozent,Ausländer,,,,89.84
2017,Prozent,Ausländer,,,,89.7
2018,Prozent,Ausländer,,,,89.73
2019,Prozent,Ausländer,,,,88.75
2020,Prozent,Ausländer,,,,90.36
1996,Prozent,Ausländer,,,,83.19
1997,Prozent,Ausländer,,,,84.17
1998,Prozent,Ausländer,,,,85.9
1999,Prozent,Ausländer,,,,83.86
2000,Prozent,Ausländer,,,,82.65
2001,Prozent,Ausländer,,,,83.58
2002,Prozent,Ausländer,,,,83.88
2003,Prozent,Ausländer,,,,84.35
2004,Prozent,Ausländer,,,,84.94
2005,Prozent,Ausländer,,,,86.68
2006,Prozent,Ausländer,,,,86.02
2007,Prozent,Ausländer,,,,86.06
2008,Prozent,Ausländer,,,,88.73
2009,Prozent,Ausländer,,,,88.37
2010,Prozent,Ausländer,,,,89.63
2011,Prozent,Ausländer,,,,89.66
2012,Prozent,Ausländer,,,,91.22
2013,Prozent,Ausländer,,,,91.64
2014,Prozent,Ausländer,,,,92.91
2015,Prozent,Ausländer,,,,93.77
2016,Prozent,Ausländer,,,,92.19
2017,Prozent,Ausländer,,,,91.22
2018,Prozent,Ausländer,,,,91.93
2019,Prozent,Ausländer,,,,91.14
2020,Prozent,Ausländer,,,,92.91
1996,Prozent,Ausländer,,,,75.41
1997,Prozent,Ausländer,,,,77.08
1998,Prozent,Ausländer,,,,78.38
1999,Prozent,Ausländer,,,,76.41
2000,Prozent,Ausländer,,,,74.88
2001,Prozent,Ausländer,,,,76.77
2002,Prozent,Ausländer,,,,78.18
2003,Prozent,Ausländer,,,,78.39
2004,Prozent,Ausländer,,,,78.95
2005,Prozent,Ausländer,,,,79.99
2006,Prozent,Ausländer,,,,81.9
2007,Prozent,Ausländer,,,,81.96
2008,Prozent,Ausländer,,,,85.43
2009,Prozent,Ausländer,,,,83.4
2010,Prozent,Ausländer,,,,84.34
2011,Prozent,Ausländer,,,,87.03
2012,Prozent,Ausländer,,,,86.94
2013,Prozent,Ausländer,,,,89.02
2014,Prozent,Ausländer,,,,88.56
2015,Prozent,Ausländer,,,,90.04
2016,Prozent,Ausländer,,,,87.62
2017,Prozent,Ausländer,,,,88.37
2018,Prozent,Ausländer,,,,87.99
2019,Prozent,Ausländer,,,,86.68
2020,Prozent,Ausländer,,,,88.1
1996,Prozent,Ausländer,,,,87.18
1997,Prozent,Ausländer,,,,85.71
1998,Prozent,Ausländer,,,,73.91
1999,Prozent,Ausländer,,,,78.69
2000,Prozent,Ausländer,,,,85.59
2001,Prozent,Ausländer,,,,73.02
2002,Prozent,Ausländer,,,,83.45
2003,Prozent,Ausländer,,,,79.45
2004,Prozent,Ausländer,,,,85.34
2005,Prozent,Ausländer,,,,78.7
2006,Prozent,Ausländer,,,,85.19
2007,Prozent,Ausländer,,,,81.53
2008,Prozent,Ausländer,,,,86.7
2009,Prozent,Ausländer,,,,85.31
2010,Prozent,Ausländer,,,,83.81
2011,Prozent,Ausländer,,,,81.94
2012,Prozent,Ausländer,,,,89.3
2013,Prozent,Ausländer,,,,83.11
2014,Prozent,Ausländer,,,,87.23
2015,Prozent,Ausländer,,,,91.76
2016,Prozent,Ausländer,,,,84.08
2017,Prozent,Ausländer,,,,80.18
2018,Prozent,Ausländer,,,,75.0
2019,Prozent,Ausländer,,,,79.18
2020,Prozent,Ausländer,,,,87.74
1996,Prozent,Ausländer,,,,100.0
1997,Prozent,Ausländer,,,,90.0
1998,Prozent,Ausländer,,,,73.68
1999,Prozent,Ausländer,,,,79.66
2000,Prozent,Ausländer,,,,91.55
2001,Prozent,Ausländer,,,,83.33
2002,Prozent,Ausländer,,,,94.59
2003,Prozent,Ausländer,,,,88.0
2004,Prozent,Ausländer,,,,91.47
2005,Prozent,Ausländer,,,,86.54
2006,Prozent,Ausländer,,,,88.61
2007,Prozent,Ausländer,,,,82.93
