Year,Units,Zeitreihe,Geschlecht,Region,GeoCode,Value
2014,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Baden-Württemberg,code08,89.1
2015,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Baden-Württemberg,code08,90.1
2016,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Baden-Württemberg,code08,87.8
2017,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Baden-Württemberg,code08,80.6
2018,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Baden-Württemberg,code08,81.5
2019,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Baden-Württemberg,code08,84.1
1996,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Baden-Württemberg,code08,84.1
1997,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Baden-Württemberg,code08,84.4
1998,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Baden-Württemberg,code08,84.6
1999,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Baden-Württemberg,code08,85.0
2000,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Baden-Württemberg,code08,84.7
2001,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Baden-Württemberg,code08,84.4
2002,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Baden-Württemberg,code08,84.0
2003,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Baden-Württemberg,code08,85.6
2004,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Baden-Württemberg,code08,86.2
2005,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Baden-Württemberg,code08,87.5
2006,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Baden-Württemberg,code08,87.0
2007,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Baden-Württemberg,code08,87.6
2008,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Baden-Württemberg,code08,88.8
2009,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Baden-Württemberg,code08,89.4
2010,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Baden-Württemberg,code08,89.8
2011,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Baden-Württemberg,code08,90.6
2012,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Baden-Württemberg,code08,89.7
2013,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Baden-Württemberg,code08,91.4
2014,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Baden-Württemberg,code08,90.3
2015,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Baden-Württemberg,code08,91.5
2016,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Baden-Württemberg,code08,89.7
2017,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Baden-Württemberg,code08,85.5
2018,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Baden-Württemberg,code08,85.5
2019,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Baden-Württemberg,code08,87.0
1996,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Baden-Württemberg,code08,76.3
1997,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Baden-Württemberg,code08,76.6
1998,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Baden-Württemberg,code08,78.0
1999,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Baden-Württemberg,code08,77.2
2000,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Baden-Württemberg,code08,75.9
2001,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Baden-Württemberg,code08,75.8
2002,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Baden-Württemberg,code08,76.9
2003,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Baden-Württemberg,code08,77.7
2004,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Baden-Württemberg,code08,79.1
2005,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Baden-Württemberg,code08,79.5
2006,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Baden-Württemberg,code08,81.1
2007,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Baden-Württemberg,code08,82.5
2008,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Baden-Württemberg,code08,84.0
2009,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Baden-Württemberg,code08,85.1
2010,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Baden-Württemberg,code08,86.9
2011,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Baden-Württemberg,code08,86.9
2012,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Baden-Württemberg,code08,86.3
2013,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Baden-Württemberg,code08,88.7
2014,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Baden-Württemberg,code08,88.0
2015,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Baden-Württemberg,code08,88.7
2016,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Baden-Württemberg,code08,86.1
2017,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Baden-Württemberg,code08,76.5
2018,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Baden-Württemberg,code08,78.2
2019,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Baden-Württemberg,code08,81.7
1996,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Bayern,code09,74.8
1997,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Bayern,code09,74.8
1998,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Bayern,code09,72.8
1999,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Bayern,code09,74.6
2000,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Bayern,code09,74.7
2001,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Bayern,code09,72.1
2002,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Bayern,code09,75.7
2003,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Bayern,code09,77.7
2004,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Bayern,code09,78.5
2005,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Bayern,code09,80.0
2006,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Bayern,code09,81.9
2007,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Bayern,code09,83.4
2008,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Bayern,code09,84.4
2009,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Bayern,code09,85.4
2010,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Bayern,code09,87.4
2011,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Bayern,code09,89.4
2012,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Bayern,code09,88.5
2013,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Bayern,code09,89.1
2014,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Bayern,code09,88.3
2015,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Bayern,code09,86.5
2016,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Bayern,code09,81.6
2017,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Bayern,code09,79.0
2018,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Bayern,code09,81.2
2019,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Bayern,code09,82.2
1996,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Bayern,code09,80.1
1997,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Bayern,code09,80.3
1998,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Bayern,code09,76.8
1999,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Bayern,code09,79.6
2000,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Bayern,code09,80.2
2001,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Bayern,code09,78.4
2002,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Bayern,code09,80.9
2003,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Bayern,code09,82.0
2004,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Bayern,code09,83.3
2005,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Bayern,code09,84.0
2006,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Bayern,code09,85.7
2007,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Bayern,code09,87.1
2008,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Bayern,code09,87.6
2009,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Bayern,code09,88.0
2010,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Bayern,code09,89.9
2011,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Bayern,code09,91.6
2012,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Bayern,code09,90.9
2013,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Bayern,code09,91.6
2014,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Bayern,code09,90.9
2015,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Bayern,code09,90.0
2016,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Bayern,code09,88.6
2017,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Bayern,code09,86.0
2018,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Bayern,code09,85.7
2019,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Bayern,code09,86.6
1996,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Bayern,code09,70.1
1997,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Bayern,code09,69.6
1998,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Bayern,code09,69.1
1999,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Bayern,code09,70.0
2000,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Bayern,code09,69.6
2001,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Bayern,code09,66.2
2002,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Bayern,code09,70.7
2003,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Bayern,code09,73.8
2004,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Bayern,code09,74.1
2005,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Bayern,code09,76.3
2006,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Bayern,code09,78.2
2007,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Bayern,code09,79.9
2008,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Bayern,code09,81.4
2009,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Bayern,code09,82.8
2010,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Bayern,code09,84.9
2011,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Bayern,code09,87.3
2012,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Bayern,code09,86.3
2013,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Bayern,code09,86.8
2014,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Bayern,code09,85.9
2015,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Bayern,code09,83.5
2016,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Bayern,code09,76.0
2017,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Bayern,code09,73.4
2018,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Bayern,code09,77.8
2019,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Bayern,code09,78.5
1996,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Berlin,code11,73.3
1997,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Berlin,code11,73.0
1998,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Berlin,code11,69.4
1999,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Berlin,code11,72.4
2000,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Berlin,code11,74.4
2001,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Berlin,code11,76.0
2002,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Berlin,code11,75.9
2003,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Berlin,code11,74.1
2004,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Berlin,code11,77.1
2005,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Berlin,code11,77.9
2006,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Berlin,code11,79.3
2007,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Berlin,code11,79.6
2008,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Berlin,code11,80.3
2009,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Berlin,code11,83.6
2010,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Berlin,code11,82.9
2011,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Berlin,code11,84.7
2012,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Berlin,code11,87.4
2013,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Berlin,code11,87.5
2014,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Berlin,code11,83.5
2015,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Berlin,code11,78.7
2016,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Berlin,code11,81.0
2017,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Berlin,code11,79.2
2018,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Berlin,code11,78.3
2019,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Berlin,code11,81.1
1996,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Berlin,code11,79.8
1997,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Berlin,code11,78.3
1998,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Berlin,code11,76.2
1999,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Berlin,code11,78.4
2000,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Berlin,code11,78.1
2001,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Berlin,code11,81.0
2002,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Berlin,code11,79.4
2003,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Berlin,code11,79.6
2004,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Berlin,code11,81.3
2005,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Berlin,code11,83.0
2006,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Berlin,code11,83.6
2007,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Berlin,code11,82.5
2008,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Berlin,code11,84.4
2009,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Berlin,code11,85.8
2010,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Berlin,code11,86.2
2011,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Berlin,code11,87.9
2012,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Berlin,code11,89.2
2013,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Berlin,code11,89.6
2014,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Berlin,code11,85.6
2015,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Berlin,code11,82.4
2016,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Berlin,code11,83.3
2017,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Berlin,code11,82.4
2018,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Berlin,code11,83.0
2019,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Berlin,code11,85.3
1996,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Berlin,code11,67.5
1997,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Berlin,code11,68.7
1998,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Berlin,code11,63.8
1999,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Berlin,code11,67.5
2000,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Berlin,code11,71.1
2001,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Berlin,code11,71.3
2002,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Berlin,code11,72.9
2003,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Berlin,code11,69.5
2004,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Berlin,code11,73.4
2005,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Berlin,code11,73.4
2006,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Berlin,code11,75.3
2007,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Berlin,code11,76.8
2008,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Berlin,code11,76.5
2009,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Berlin,code11,81.5
2010,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Berlin,code11,79.9
2011,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Berlin,code11,81.6
2012,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Berlin,code11,85.5
2013,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Berlin,code11,85.4
2014,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Berlin,code11,81.5
2015,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Berlin,code11,75.2
2016,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Berlin,code11,79.1
2017,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Berlin,code11,76.3
