Year,Units,Geschlecht,Zeitreihe,Value
2017.0,Je 100 000 Einwohner/-innen,Weiblich,Unterschied in der Lebenserwartung zwischen sozio-ökonomisch deprivierten und wohlhabenden Regionen (Männer),168.64
2018.0,Je 100 000 Einwohner/-innen,Weiblich,Unterschied in der Lebenserwartung zwischen sozio-ökonomisch deprivierten und wohlhabenden Regionen (Männer),169.34
2019.0,Je 100 000 Einwohner/-innen,Weiblich,Unterschied in der Lebenserwartung zwischen sozio-ökonomisch deprivierten und wohlhabenden Regionen (Männer),162.47
2020.0,Je 100 000 Einwohner/-innen,Weiblich,Unterschied in der Lebenserwartung zwischen sozio-ökonomisch deprivierten und wohlhabenden Regionen (Männer),165.1
2021.0,Je 100 000 Einwohner/-innen,Weiblich,Unterschied in der Lebenserwartung zwischen sozio-ökonomisch deprivierten und wohlhabenden Regionen (Männer),173.86
2011.0,Je 100 000 Einwohner/-innen,Männlich,Unterschied in der Lebenserwartung zwischen sozio-ökonomisch deprivierten und wohlhabenden Regionen (Männer),347.65
2012.0,Je 100 000 Einwohner/-innen,Männlich,Unterschied in der Lebenserwartung zwischen sozio-ökonomisch deprivierten und wohlhabenden Regionen (Männer),339.92
2013.0,Je 100 000 Einwohner/-innen,Männlich,Unterschied in der Lebenserwartung zwischen sozio-ökonomisch deprivierten und wohlhabenden Regionen (Männer),339.09
2014.0,Je 100 000 Einwohner/-innen,Männlich,Unterschied in der Lebenserwartung zwischen sozio-ökonomisch deprivierten und wohlhabenden Regionen (Männer),325.27
2015.0,Je 100 000 Einwohner/-innen,Männlich,Unterschied in der Lebenserwartung zwischen sozio-ökonomisch deprivierten und wohlhabenden Regionen (Männer),331.35
2016.0,Je 100 000 Einwohner/-innen,Männlich,Unterschied in der Lebenserwartung zwischen sozio-ökonomisch deprivierten und wohlhabenden Regionen (Männer),324.01
2017.0,Je 100 000 Einwohner/-innen,Männlich,Unterschied in der Lebenserwartung zwischen sozio-ökonomisch deprivierten und wohlhabenden Regionen (Männer),318.21
2018.0,Je 100 000 Einwohner/-innen,Männlich,Unterschied in der Lebenserwartung zwischen sozio-ökonomisch deprivierten und wohlhabenden Regionen (Männer),317.31
2019.0,Je 100 000 Einwohner/-innen,Männlich,Unterschied in der Lebenserwartung zwischen sozio-ökonomisch deprivierten und wohlhabenden Regionen (Männer),304.8
2020.0,Je 100 000 Einwohner/-innen,Männlich,Unterschied in der Lebenserwartung zwischen sozio-ökonomisch deprivierten und wohlhabenden Regionen (Männer),315.74
2021.0,Je 100 000 Einwohner/-innen,Männlich,Unterschied in der Lebenserwartung zwischen sozio-ökonomisch deprivierten und wohlhabenden Regionen (Männer),336.34
2011.0,Je 100 000 Einwohner/-innen,,Durch Prävention vermeidbaren Sterblichkeit,163.45
2012.0,Je 100 000 Einwohner/-innen,,Durch Prävention vermeidbaren Sterblichkeit,160.8
2013.0,Je 100 000 Einwohner/-innen,,Durch Prävention vermeidbaren Sterblichkeit,162.24
2014.0,Je 100 000 Einwohner/-innen,,Durch Prävention vermeidbaren Sterblichkeit,155.92
2015.0,Je 100 000 Einwohner/-innen,,Durch Prävention vermeidbaren Sterblichkeit,159.85
2016.0,Je 100 000 Einwohner/-innen,,Durch Prävention vermeidbaren Sterblichkeit,157.64
2017.0,Je 100 000 Einwohner/-innen,,Durch Prävention vermeidbaren Sterblichkeit,155.55
2018.0,Je 100 000 Einwohner/-innen,,Durch Prävention vermeidbaren Sterblichkeit,155.65
2019.0,Je 100 000 Einwohner/-innen,,Durch Prävention vermeidbaren Sterblichkeit,149.66
2020.0,Je 100 000 Einwohner/-innen,,Durch Prävention vermeidbaren Sterblichkeit,157.23
2021.0,Je 100 000 Einwohner/-innen,,Durch Prävention vermeidbaren Sterblichkeit,171.28
2030.0,Je 100 000 Einwohner/-innen,,Durch Prävention vermeidbaren Sterblichkeit,
2011.0,Je 100 000 Einwohner/-innen,Weiblich,Durch Prävention vermeidbaren Sterblichkeit,93.29
2012.0,Je 100 000 Einwohner/-innen,Weiblich,Durch Prävention vermeidbaren Sterblichkeit,92.69
2013.0,Je 100 000 Einwohner/-innen,Weiblich,Durch Prävention vermeidbaren Sterblichkeit,95.3
2014.0,Je 100 000 Einwohner/-innen,Weiblich,Durch Prävention vermeidbaren Sterblichkeit,91.52
2015.0,Je 100 000 Einwohner/-innen,Weiblich,Durch Prävention vermeidbaren Sterblichkeit,95.52
2016.0,Je 100 000 Einwohner/-innen,Weiblich,Durch Prävention vermeidbaren Sterblichkeit,94.81
2017.0,Je 100 000 Einwohner/-innen,Weiblich,Durch Prävention vermeidbaren Sterblichkeit,94.92
2018.0,Je 100 000 Einwohner/-innen,Weiblich,Durch Prävention vermeidbaren Sterblichkeit,95.92
2019.0,Je 100 000 Einwohner/-innen,Weiblich,Durch Prävention vermeidbaren Sterblichkeit,92.05
2020.0,Je 100 000 Einwohner/-innen,Weiblich,Durch Prävention vermeidbaren Sterblichkeit,96.22
2021.0,Je 100 000 Einwohner/-innen,Weiblich,Durch Prävention vermeidbaren Sterblichkeit,105.49
,,,Durch Prävention vermeidbaren Sterblichkeit,
2011.0,Je 100 000 Einwohner/-innen,Männlich,Durch Prävention vermeidbaren Sterblichkeit,238.32
2012.0,Je 100 000 Einwohner/-innen,Männlich,Durch Prävention vermeidbaren Sterblichkeit,233.42
2013.0,Je 100 000 Einwohner/-innen,Männlich,Durch Prävention vermeidbaren Sterblichkeit,233.47
2014.0,Je 100 000 Einwohner/-innen,Männlich,Durch Prävention vermeidbaren Sterblichkeit,224.37
2015.0,Je 100 000 Einwohner/-innen,Männlich,Durch Prävention vermeidbaren Sterblichkeit,228.08
2016.0,Je 100 000 Einwohner/-innen,Männlich,Durch Prävention vermeidbaren Sterblichkeit,224.21
2017.0,Je 100 000 Einwohner/-innen,Männlich,Durch Prävention vermeidbaren Sterblichkeit,219.79
2018.0,Je 100 000 Einwohner/-innen,Männlich,Durch Prävention vermeidbaren Sterblichkeit,218.89
2019.0,Je 100 000 Einwohner/-innen,Männlich,Durch Prävention vermeidbaren Sterblichkeit,210.68
2020.0,Je 100 000 Einwohner/-innen,Männlich,Durch Prävention vermeidbaren Sterblichkeit,221.86
2021.0,Je 100 000 Einwohner/-innen,Männlich,Durch Prävention vermeidbaren Sterblichkeit,241.06
,,,Durch Prävention vermeidbaren Sterblichkeit,
2011.0,Je 100 000 Einwohner/-innen,,Durch Behandlung vermeidbaren Sterblichkeit,94.48
2012.0,Je 100 000 Einwohner/-innen,,Durch Behandlung vermeidbaren Sterblichkeit,92.0
2013.0,Je 100 000 Einwohner/-innen,,Durch Behandlung vermeidbaren Sterblichkeit,91.54
2014.0,Je 100 000 Einwohner/-innen,,Durch Behandlung vermeidbaren Sterblichkeit,87.42
2015.0,Je 100 000 Einwohner/-innen,,Durch Behandlung vermeidbaren Sterblichkeit,89.37
2016.0,Je 100 000 Einwohner/-innen,,Durch Behandlung vermeidbaren Sterblichkeit,86.92
2017.0,Je 100 000 Einwohner/-innen,,Durch Behandlung vermeidbaren Sterblichkeit,85.51
2018.0,Je 100 000 Einwohner/-innen,,Durch Behandlung vermeidbaren Sterblichkeit,85.36
2019.0,Je 100 000 Einwohner/-innen,,Durch Behandlung vermeidbaren Sterblichkeit,81.75
2020.0,Je 100 000 Einwohner/-innen,,Durch Behandlung vermeidbaren Sterblichkeit,80.84
2021.0,Je 100 000 Einwohner/-innen,,Durch Behandlung vermeidbaren Sterblichkeit,81.27
2030.0,Je 100 000 Einwohner/-innen,,Durch Behandlung vermeidbaren Sterblichkeit,
2011.0,Je 100 000 Einwohner/-innen,Weiblich,Durch Behandlung vermeidbaren Sterblichkeit,80.98
2012.0,Je 100 000 Einwohner/-innen,Weiblich,Durch Behandlung vermeidbaren Sterblichkeit,78.78
2013.0,Je 100 000 Einwohner/-innen,Weiblich,Durch Behandlung vermeidbaren Sterblichkeit,78.71
2014.0,Je 100 000 Einwohner/-innen,Weiblich,Durch Behandlung vermeidbaren Sterblichkeit,75.11
2015.0,Je 100 000 Einwohner/-innen,Weiblich,Durch Behandlung vermeidbaren Sterblichkeit,76.63
2016.0,Je 100 000 Einwohner/-innen,Weiblich,Durch Behandlung vermeidbaren Sterblichkeit,75.14
2017.0,Je 100 000 Einwohner/-innen,Weiblich,Durch Behandlung vermeidbaren Sterblichkeit,73.72
2018.0,Je 100 000 Einwohner/-innen,Weiblich,Durch Behandlung vermeidbaren Sterblichkeit,73.42
2019.0,Je 100 000 Einwohner/-innen,Weiblich,Durch Behandlung vermeidbaren Sterblichkeit,70.42
2020.0,Je 100 000 Einwohner/-innen,Weiblich,Durch Behandlung vermeidbaren Sterblichkeit,68.88
2021.0,Je 100 000 Einwohner/-innen,Weiblich,Durch Behandlung vermeidbaren Sterblichkeit,68.38
,,,Durch Behandlung vermeidbaren Sterblichkeit,
2011.0,Je 100 000 Einwohner/-innen,Männlich,Durch Behandlung vermeidbaren Sterblichkeit,109.32
2012.0,Je 100 000 Einwohner/-innen,Männlich,Durch Behandlung vermeidbaren Sterblichkeit,106.51
2013.0,Je 100 000 Einwohner/-innen,Männlich,Durch Behandlung vermeidbaren Sterblichkeit,105.62
2014.0,Je 100 000 Einwohner/-innen,Männlich,Durch Behandlung vermeidbaren Sterblichkeit,100.9
2015.0,Je 100 000 Einwohner/-innen,Männlich,Durch Behandlung vermeidbaren Sterblichkeit,103.27
2016.0,Je 100 000 Einwohner/-innen,Männlich,Durch Behandlung vermeidbaren Sterblichkeit,99.8
2017.0,Je 100 000 Einwohner/-innen,Männlich,Durch Behandlung vermeidbaren Sterblichkeit,98.42
2018.0,Je 100 000 Einwohner/-innen,Männlich,Durch Behandlung vermeidbaren Sterblichkeit,98.42
2019.0,Je 100 000 Einwohner/-innen,Männlich,Durch Behandlung vermeidbaren Sterblichkeit,94.12
2020.0,Je 100 000 Einwohner/-innen,Männlich,Durch Behandlung vermeidbaren Sterblichkeit,93.88
2021.0,Je 100 000 Einwohner/-innen,Männlich,Durch Behandlung vermeidbaren Sterblichkeit,95.28
,,,Durch Behandlung vermeidbaren Sterblichkeit,
