Year,Units,Anzeigen,Geschlecht,Region,GeoCode,Value
2013,Je 100 000 Einwohner,Zeitreihe,Frauen,Baden-Württemberg,code08,135
2014,Je 100 000 Einwohner,Zeitreihe,Frauen,Baden-Württemberg,code08,129
2015,Je 100 000 Einwohner,Zeitreihe,Frauen,Baden-Württemberg,code08,133
2016,Je 100 000 Einwohner,Zeitreihe,Frauen,Baden-Württemberg,code08,132
2017,Je 100 000 Einwohner,Zeitreihe,Frauen,Baden-Württemberg,code08,128
2018,Je 100 000 Einwohner,Zeitreihe,Frauen,Baden-Württemberg,code08,130
1998,Je 100 000 Einwohner,Zeitreihe,Frauen,Bayern,code09,182
1999,Je 100 000 Einwohner,Zeitreihe,Frauen,Bayern,code09,177
2000,Je 100 000 Einwohner,Zeitreihe,Frauen,Bayern,code09,174
2001,Je 100 000 Einwohner,Zeitreihe,Frauen,Bayern,code09,168
2002,Je 100 000 Einwohner,Zeitreihe,Frauen,Bayern,code09,165
2003,Je 100 000 Einwohner,Zeitreihe,Frauen,Bayern,code09,162
2004,Je 100 000 Einwohner,Zeitreihe,Frauen,Bayern,code09,153
2005,Je 100 000 Einwohner,Zeitreihe,Frauen,Bayern,code09,155
2006,Je 100 000 Einwohner,Zeitreihe,Frauen,Bayern,code09,149
2007,Je 100 000 Einwohner,Zeitreihe,Frauen,Bayern,code09,148
2008,Je 100 000 Einwohner,Zeitreihe,Frauen,Bayern,code09,149
2009,Je 100 000 Einwohner,Zeitreihe,Frauen,Bayern,code09,146
2010,Je 100 000 Einwohner,Zeitreihe,Frauen,Bayern,code09,142
2011,Je 100 000 Einwohner,Zeitreihe,Frauen,Bayern,code09,147
2012,Je 100 000 Einwohner,Zeitreihe,Frauen,Bayern,code09,141
2013,Je 100 000 Einwohner,Zeitreihe,Frauen,Bayern,code09,142
2014,Je 100 000 Einwohner,Zeitreihe,Frauen,Bayern,code09,134
2015,Je 100 000 Einwohner,Zeitreihe,Frauen,Bayern,code09,139
2016,Je 100 000 Einwohner,Zeitreihe,Frauen,Bayern,code09,138
2017,Je 100 000 Einwohner,Zeitreihe,Frauen,Bayern,code09,132
2018,Je 100 000 Einwohner,Zeitreihe,Frauen,Bayern,code09,131
1998,Je 100 000 Einwohner,Zeitreihe,Frauen,Berlin,code11,224
1999,Je 100 000 Einwohner,Zeitreihe,Frauen,Berlin,code11,214
2000,Je 100 000 Einwohner,Zeitreihe,Frauen,Berlin,code11,206
2001,Je 100 000 Einwohner,Zeitreihe,Frauen,Berlin,code11,191
2002,Je 100 000 Einwohner,Zeitreihe,Frauen,Berlin,code11,202
2003,Je 100 000 Einwohner,Zeitreihe,Frauen,Berlin,code11,188
2004,Je 100 000 Einwohner,Zeitreihe,Frauen,Berlin,code11,178
2005,Je 100 000 Einwohner,Zeitreihe,Frauen,Berlin,code11,186
2006,Je 100 000 Einwohner,Zeitreihe,Frauen,Berlin,code11,175
2007,Je 100 000 Einwohner,Zeitreihe,Frauen,Berlin,code11,169
2008,Je 100 000 Einwohner,Zeitreihe,Frauen,Berlin,code11,174
2009,Je 100 000 Einwohner,Zeitreihe,Frauen,Berlin,code11,167
2010,Je 100 000 Einwohner,Zeitreihe,Frauen,Berlin,code11,164
2011,Je 100 000 Einwohner,Zeitreihe,Frauen,Berlin,code11,174
2012,Je 100 000 Einwohner,Zeitreihe,Frauen,Berlin,code11,171
2013,Je 100 000 Einwohner,Zeitreihe,Frauen,Berlin,code11,163
2014,Je 100 000 Einwohner,Zeitreihe,Frauen,Berlin,code11,162
2015,Je 100 000 Einwohner,Zeitreihe,Frauen,Berlin,code11,169
2016,Je 100 000 Einwohner,Zeitreihe,Frauen,Berlin,code11,161
2017,Je 100 000 Einwohner,Zeitreihe,Frauen,Berlin,code11,159
2018,Je 100 000 Einwohner,Zeitreihe,Frauen,Berlin,code11,167
1998,Je 100 000 Einwohner,Zeitreihe,Frauen,Brandenburg,code12,207
1999,Je 100 000 Einwohner,Zeitreihe,Frauen,Brandenburg,code12,195
2000,Je 100 000 Einwohner,Zeitreihe,Frauen,Brandenburg,code12,187
2001,Je 100 000 Einwohner,Zeitreihe,Frauen,Brandenburg,code12,183
2002,Je 100 000 Einwohner,Zeitreihe,Frauen,Brandenburg,code12,177
2003,Je 100 000 Einwohner,Zeitreihe,Frauen,Brandenburg,code12,174
2004,Je 100 000 Einwohner,Zeitreihe,Frauen,Brandenburg,code12,166
2005,Je 100 000 Einwohner,Zeitreihe,Frauen,Brandenburg,code12,162
2006,Je 100 000 Einwohner,Zeitreihe,Frauen,Brandenburg,code12,158
2007,Je 100 000 Einwohner,Zeitreihe,Frauen,Brandenburg,code12,153
2008,Je 100 000 Einwohner,Zeitreihe,Frauen,Brandenburg,code12,151
2009,Je 100 000 Einwohner,Zeitreihe,Frauen,Brandenburg,code12,150
2010,Je 100 000 Einwohner,Zeitreihe,Frauen,Brandenburg,code12,153
2011,Je 100 000 Einwohner,Zeitreihe,Frauen,Brandenburg,code12,152
2012,Je 100 000 Einwohner,Zeitreihe,Frauen,Brandenburg,code12,145
2013,Je 100 000 Einwohner,Zeitreihe,Frauen,Brandenburg,code12,157
2014,Je 100 000 Einwohner,Zeitreihe,Frauen,Brandenburg,code12,145
2015,Je 100 000 Einwohner,Zeitreihe,Frauen,Brandenburg,code12,153
2016,Je 100 000 Einwohner,Zeitreihe,Frauen,Brandenburg,code12,152
2017,Je 100 000 Einwohner,Zeitreihe,Frauen,Brandenburg,code12,151
2018,Je 100 000 Einwohner,Zeitreihe,Frauen,Brandenburg,code12,152
1998,Je 100 000 Einwohner,Zeitreihe,Frauen,Bremen,code04,218
1999,Je 100 000 Einwohner,Zeitreihe,Frauen,Bremen,code04,201
2000,Je 100 000 Einwohner,Zeitreihe,Frauen,Bremen,code04,218
2001,Je 100 000 Einwohner,Zeitreihe,Frauen,Bremen,code04,205
2002,Je 100 000 Einwohner,Zeitreihe,Frauen,Bremen,code04,209
2003,Je 100 000 Einwohner,Zeitreihe,Frauen,Bremen,code04,192
2004,Je 100 000 Einwohner,Zeitreihe,Frauen,Bremen,code04,205
2005,Je 100 000 Einwohner,Zeitreihe,Frauen,Bremen,code04,188
2006,Je 100 000 Einwohner,Zeitreihe,Frauen,Bremen,code04,188
2007,Je 100 000 Einwohner,Zeitreihe,Frauen,Bremen,code04,189
2008,Je 100 000 Einwohner,Zeitreihe,Frauen,Bremen,code04,192
2009,Je 100 000 Einwohner,Zeitreihe,Frauen,Bremen,code04,196
2010,Je 100 000 Einwohner,Zeitreihe,Frauen,Bremen,code04,175
2011,Je 100 000 Einwohner,Zeitreihe,Frauen,Bremen,code04,191
2012,Je 100 000 Einwohner,Zeitreihe,Frauen,Bremen,code04,191
2013,Je 100 000 Einwohner,Zeitreihe,Frauen,Bremen,code04,187
2014,Je 100 000 Einwohner,Zeitreihe,Frauen,Bremen,code04,185
2015,Je 100 000 Einwohner,Zeitreihe,Frauen,Bremen,code04,180
2016,Je 100 000 Einwohner,Zeitreihe,Frauen,Bremen,code04,185
2017,Je 100 000 Einwohner,Zeitreihe,Frauen,Bremen,code04,162
2018,Je 100 000 Einwohner,Zeitreihe,Frauen,Bremen,code04,189
1998,Je 100 000 Einwohner,Zeitreihe,Frauen,Hamburg,code02,207
1999,Je 100 000 Einwohner,Zeitreihe,Frauen,Hamburg,code02,210
2000,Je 100 000 Einwohner,Zeitreihe,Frauen,Hamburg,code02,203
2001,Je 100 000 Einwohner,Zeitreihe,Frauen,Hamburg,code02,195
2002,Je 100 000 Einwohner,Zeitreihe,Frauen,Hamburg,code02,196
2003,Je 100 000 Einwohner,Zeitreihe,Frauen,Hamburg,code02,187
2004,Je 100 000 Einwohner,Zeitreihe,Frauen,Hamburg,code02,191
2005,Je 100 000 Einwohner,Zeitreihe,Frauen,Hamburg,code02,178
2006,Je 100 000 Einwohner,Zeitreihe,Frauen,Hamburg,code02,178
2007,Je 100 000 Einwohner,Zeitreihe,Frauen,Hamburg,code02,177
2008,Je 100 000 Einwohner,Zeitreihe,Frauen,Hamburg,code02,167
2009,Je 100 000 Einwohner,Zeitreihe,Frauen,Hamburg,code02,178
2010,Je 100 000 Einwohner,Zeitreihe,Frauen,Hamburg,code02,160
2011,Je 100 000 Einwohner,Zeitreihe,Frauen,Hamburg,code02,172
2012,Je 100 000 Einwohner,Zeitreihe,Frauen,Hamburg,code02,171
2013,Je 100 000 Einwohner,Zeitreihe,Frauen,Hamburg,code02,167
2014,Je 100 000 Einwohner,Zeitreihe,Frauen,Hamburg,code02,163
2015,Je 100 000 Einwohner,Zeitreihe,Frauen,Hamburg,code02,172
2016,Je 100 000 Einwohner,Zeitreihe,Frauen,Hamburg,code02,158
2017,Je 100 000 Einwohner,Zeitreihe,Frauen,Hamburg,code02,157
2018,Je 100 000 Einwohner,Zeitreihe,Frauen,Hamburg,code02,159
1998,Je 100 000 Einwohner,Zeitreihe,Frauen,Hessen,code06,183
1999,Je 100 000 Einwohner,Zeitreihe,Frauen,Hessen,code06,184
2000,Je 100 000 Einwohner,Zeitreihe,Frauen,Hessen,code06,179
2001,Je 100 000 Einwohner,Zeitreihe,Frauen,Hessen,code06,175
2002,Je 100 000 Einwohner,Zeitreihe,Frauen,Hessen,code06,173
2003,Je 100 000 Einwohner,Zeitreihe,Frauen,Hessen,code06,166
2004,Je 100 000 Einwohner,Zeitreihe,Frauen,Hessen,code06,163
2005,Je 100 000 Einwohner,Zeitreihe,Frauen,Hessen,code06,157
2006,Je 100 000 Einwohner,Zeitreihe,Frauen,Hessen,code06,153
2007,Je 100 000 Einwohner,Zeitreihe,Frauen,Hessen,code06,155
2008,Je 100 000 Einwohner,Zeitreihe,Frauen,Hessen,code06,152
2009,Je 100 000 Einwohner,Zeitreihe,Frauen,Hessen,code06,152
2010,Je 100 000 Einwohner,Zeitreihe,Frauen,Hessen,code06,151
2011,Je 100 000 Einwohner,Zeitreihe,Frauen,Hessen,code06,156
2012,Je 100 000 Einwohner,Zeitreihe,Frauen,Hessen,code06,152
2013,Je 100 000 Einwohner,Zeitreihe,Frauen,Hessen,code06,151
2014,Je 100 000 Einwohner,Zeitreihe,Frauen,Hessen,code06,145
2015,Je 100 000 Einwohner,Zeitreihe,Frauen,Hessen,code06,146
2016,Je 100 000 Einwohner,Zeitreihe,Frauen,Hessen,code06,145
2017,Je 100 000 Einwohner,Zeitreihe,Frauen,Hessen,code06,143
2018,Je 100 000 Einwohner,Zeitreihe,Frauen,Hessen,code06,145
1998,Je 100 000 Einwohner,Zeitreihe,Frauen,Mecklenburg-Vorpommern,code13,219
1999,Je 100 000 Einwohner,Zeitreihe,Frauen,Mecklenburg-Vorpommern,code13,203
2000,Je 100 000 Einwohner,Zeitreihe,Frauen,Mecklenburg-Vorpommern,code13,202
2001,Je 100 000 Einwohner,Zeitreihe,Frauen,Mecklenburg-Vorpommern,code13,190
2002,Je 100 000 Einwohner,Zeitreihe,Frauen,Mecklenburg-Vorpommern,code13,190
2003,Je 100 000 Einwohner,Zeitreihe,Frauen,Mecklenburg-Vorpommern,code13,177
2004,Je 100 000 Einwohner,Zeitreihe,Frauen,Mecklenburg-Vorpommern,code13,168
2005,Je 100 000 Einwohner,Zeitreihe,Frauen,Mecklenburg-Vorpommern,code13,170
2006,Je 100 000 Einwohner,Zeitreihe,Frauen,Mecklenburg-Vorpommern,code13,162
2007,Je 100 000 Einwohner,Zeitreihe,Frauen,Mecklenburg-Vorpommern,code13,158
2008,Je 100 000 Einwohner,Zeitreihe,Frauen,Mecklenburg-Vorpommern,code13,165
2009,Je 100 000 Einwohner,Zeitreihe,Frauen,Mecklenburg-Vorpommern,code13,156
2010,Je 100 000 Einwohner,Zeitreihe,Frauen,Mecklenburg-Vorpommern,code13,160
2011,Je 100 000 Einwohner,Zeitreihe,Frauen,Mecklenburg-Vorpommern,code13,163
2012,Je 100 000 Einwohner,Zeitreihe,Frauen,Mecklenburg-Vorpommern,code13,151
2013,Je 100 000 Einwohner,Zeitreihe,Frauen,Mecklenburg-Vorpommern,code13,164
2014,Je 100 000 Einwohner,Zeitreihe,Frauen,Mecklenburg-Vorpommern,code13,149
2015,Je 100 000 Einwohner,Zeitreihe,Frauen,Mecklenburg-Vorpommern,code13,159
2016,Je 100 000 Einwohner,Zeitreihe,Frauen,Mecklenburg-Vorpommern,code13,154
2017,Je 100 000 Einwohner,Zeitreihe,Frauen,Mecklenburg-Vorpommern,code13,147
2018,Je 100 000 Einwohner,Zeitreihe,Frauen,Mecklenburg-Vorpommern,code13,162
1998,Je 100 000 Einwohner,Zeitreihe,Frauen,Niedersachsen,code03,192
1999,Je 100 000 Einwohner,Zeitreihe,Frauen,Niedersachsen,code03,191
2000,Je 100 000 Einwohner,Zeitreihe,Frauen,Niedersachsen,code03,186
2001,Je 100 000 Einwohner,Zeitreihe,Frauen,Niedersachsen,code03,182
2002,Je 100 000 Einwohner,Zeitreihe,Frauen,Niedersachsen,code03,181
2003,Je 100 000 Einwohner,Zeitreihe,Frauen,Niedersachsen,code03,179
2004,Je 100 000 Einwohner,Zeitreihe,Frauen,Niedersachsen,code03,168
2005,Je 100 000 Einwohner,Zeitreihe,Frauen,Niedersachsen,code03,169
2006,Je 100 000 Einwohner,Zeitreihe,Frauen,Niedersachsen,code03,167
2007,Je 100 000 Einwohner,Zeitreihe,Frauen,Niedersachsen,code03,161
2008,Je 100 000 Einwohner,Zeitreihe,Frauen,Niedersachsen,code03,166
2009,Je 100 000 Einwohner,Zeitreihe,Frauen,Niedersachsen,code03,165
2010,Je 100 000 Einwohner,Zeitreihe,Frauen,Niedersachsen,code03,161
2011,Je 100 000 Einwohner,Zeitreihe,Frauen,Niedersachsen,code03,166
2012,Je 100 000 Einwohner,Zeitreihe,Frauen,Niedersachsen,code03,158
2013,Je 100 000 Einwohner,Zeitreihe,Frauen,Niedersachsen,code03,166
2014,Je 100 000 Einwohner,Zeitreihe,Frauen,Niedersachsen,code03,159
2015,Je 100 000 Einwohner,Zeitreihe,Frauen,Niedersachsen,code03,158
2016,Je 100 000 Einwohner,Zeitreihe,Frauen,Niedersachsen,code03,162
2017,Je 100 000 Einwohner,Zeitreihe,Frauen,Niedersachsen,code03,160
2018,Je 100 000 Einwohner,Zeitreihe,Frauen,Niedersachsen,code03,163
1998,Je 100 000 Einwohner,Zeitreihe,Frauen,Nordrhein-Westfalen,code05,199
1999,Je 100 000 Einwohner,Zeitreihe,Frauen,Nordrhein-Westfalen,code05,195
2000,Je 100 000 Einwohner,Zeitreihe,Frauen,Nordrhein-Westfalen,code05,194
2001,Je 100 000 Einwohner,Zeitreihe,Frauen,Nordrhein-Westfalen,code05,189
2002,Je 100 000 Einwohner,Zeitreihe,Frauen,Nordrhein-Westfalen,code05,187
2003,Je 100 000 Einwohner,Zeitreihe,Frauen,Nordrhein-Westfalen,code05,186
2004,Je 100 000 Einwohner,Zeitreihe,Frauen,Nordrhein-Westfalen,code05,179
2005,Je 100 000 Einwohner,Zeitreihe,Frauen,Nordrhein-Westfalen,code05,176
2006,Je 100 000 Einwohner,Zeitreihe,Frauen,Nordrhein-Westfalen,code05,171
2007,Je 100 000 Einwohner,Zeitreihe,Frauen,Nordrhein-Westfalen,code05,172
2008,Je 100 000 Einwohner,Zeitreihe,Frauen,Nordrhein-Westfalen,code05,173
2009,Je 100 000 Einwohner,Zeitreihe,Frauen,Nordrhein-Westfalen,code05,171
2010,Je 100 000 Einwohner,Zeitreihe,Frauen,Nordrhein-Westfalen,code05,172
2011,Je 100 000 Einwohner,Zeitreihe,Frauen,Nordrhein-Westfalen,code05,169
2012,Je 100 000 Einwohner,Zeitreihe,Frauen,Nordrhein-Westfalen,code05,167
2013,Je 100 000 Einwohner,Zeitreihe,Frauen,Nordrhein-Westfalen,code05,173
2014,Je 100 000 Einwohner,Zeitreihe,Frauen,Nordrhein-Westfalen,code05,164
2015,Je 100 000 Einwohner,Zeitreihe,Frauen,Nordrhein-Westfalen,code05,170
2016,Je 100 000 Einwohner,Zeitreihe,Frauen,Nordrhein-Westfalen,code05,167
2017,Je 100 000 Einwohner,Zeitreihe,Frauen,Nordrhein-Westfalen,code05,163
2018,Je 100 000 Einwohner,Zeitreihe,Frauen,Nordrhein-Westfalen,code05,165
1998,Je 100 000 Einwohner,Zeitreihe,Frauen,Rheinland-Pfalz,code07,190
1999,Je 100 000 Einwohner,Zeitreihe,Frauen,Rheinland-Pfalz,code07,184
2000,Je 100 000 Einwohner,Zeitreihe,Frauen,Rheinland-Pfalz,code07,185
2001,Je 100 000 Einwohner,Zeitreihe,Frauen,Rheinland-Pfalz,code07,177
2002,Je 100 000 Einwohner,Zeitreihe,Frauen,Rheinland-Pfalz,code07,179
2003,Je 100 000 Einwohner,Zeitreihe,Frauen,Rheinland-Pfalz,code07,173
2004,Je 100 000 Einwohner,Zeitreihe,Frauen,Rheinland-Pfalz,code07,172
2005,Je 100 000 Einwohner,Zeitreihe,Frauen,Rheinland-Pfalz,code07,169
2006,Je 100 000 Einwohner,Zeitreihe,Frauen,Rheinland-Pfalz,code07,162
2007,Je 100 000 Einwohner,Zeitreihe,Frauen,Rheinland-Pfalz,code07,165
2008,Je 100 000 Einwohner,Zeitreihe,Frauen,Rheinland-Pfalz,code07,162
2009,Je 100 000 Einwohner,Zeitreihe,Frauen,Rheinland-Pfalz,code07,164
2010,Je 100 000 Einwohner,Zeitreihe,Frauen,Rheinland-Pfalz,code07,156
2011,Je 100 000 Einwohner,Zeitreihe,Frauen,Rheinland-Pfalz,code07,162
2012,Je 100 000 Einwohner,Zeitreihe,Frauen,Rheinland-Pfalz,code07,153
2013,Je 100 000 Einwohner,Zeitreihe,Frauen,Rheinland-Pfalz,code07,161
2014,Je 100 000 Einwohner,Zeitreihe,Frauen,Rheinland-Pfalz,code07,154
2015,Je 100 000 Einwohner,Zeitreihe,Frauen,Rheinland-Pfalz,code07,150
2016,Je 100 000 Einwohner,Zeitreihe,Frauen,Rheinland-Pfalz,code07,152
2017,Je 100 000 Einwohner,Zeitreihe,Frauen,Rheinland-Pfalz,code07,154
2018,Je 100 000 Einwohner,Zeitreihe,Frauen,Rheinland-Pfalz,code07,154
1998,Je 100 000 Einwohner,Zeitreihe,Frauen,Saarland,code10,210
1999,Je 100 000 Einwohner,Zeitreihe,Frauen,Saarland,code10,216
2000,Je 100 000 Einwohner,Zeitreihe,Frauen,Saarland,code10,212
2001,Je 100 000 Einwohner,Zeitreihe,Frauen,Saarland,code10,204
2002,Je 100 000 Einwohner,Zeitreihe,Frauen,Saarland,code10,195
2003,Je 100 000 Einwohner,Zeitreihe,Frauen,Saarland,code10,206
2004,Je 100 000 Einwohner,Zeitreihe,Frauen,Saarland,code10,199
2005,Je 100 000 Einwohner,Zeitreihe,Frauen,Saarland,code10,182
2006,Je 100 000 Einwohner,Zeitreihe,Frauen,Saarland,code10,186
2007,Je 100 000 Einwohner,Zeitreihe,Frauen,Saarland,code10,182
2008,Je 100 000 Einwohner,Zeitreihe,Frauen,Saarland,code10,190
2009,Je 100 000 Einwohner,Zeitreihe,Frauen,Saarland,code10,187
2010,Je 100 000 Einwohner,Zeitreihe,Frauen,Saarland,code10,186
2011,Je 100 000 Einwohner,Zeitreihe,Frauen,Saarland,code10,189
2012,Je 100 000 Einwohner,Zeitreihe,Frauen,Saarland,code10,175
2013,Je 100 000 Einwohner,Zeitreihe,Frauen,Saarland,code10,177
2014,Je 100 000 Einwohner,Zeitreihe,Frauen,Saarland,code10,182
2015,Je 100 000 Einwohner,Zeitreihe,Frauen,Saarland,code10,180
2016,Je 100 000 Einwohner,Zeitreihe,Frauen,Saarland,code10,174
2017,Je 100 000 Einwohner,Zeitreihe,Frauen,Saarland,code10,179
2018,Je 100 000 Einwohner,Zeitreihe,Frauen,Saarland,code10,188
1998,Je 100 000 Einwohner,Zeitreihe,Frauen,Sachsen,code14,191
1999,Je 100 000 Einwohner,Zeitreihe,Frauen,Sachsen,code14,184
2000,Je 100 000 Einwohner,Zeitreihe,Frauen,Sachsen,code14,177
2001,Je 100 000 Einwohner,Zeitreihe,Frauen,Sachsen,code14,169
2002,Je 100 000 Einwohner,Zeitreihe,Frauen,Sachsen,code14,165
2003,Je 100 000 Einwohner,Zeitreihe,Frauen,Sachsen,code14,160
2004,Je 100 000 Einwohner,Zeitreihe,Frauen,Sachsen,code14,151
2005,Je 100 000 Einwohner,Zeitreihe,Frauen,Sachsen,code14,154
2006,Je 100 000 Einwohner,Zeitreihe,Frauen,Sachsen,code14,148
2007,Je 100 000 Einwohner,Zeitreihe,Frauen,Sachsen,code14,147
2008,Je 100 000 Einwohner,Zeitreihe,Frauen,Sachsen,code14,141
2009,Je 100 000 Einwohner,Zeitreihe,Frauen,Sachsen,code14,142
2010,Je 100 000 Einwohner,Zeitreihe,Frauen,Sachsen,code14,136
2011,Je 100 000 Einwohner,Zeitreihe,Frauen,Sachsen,code14,139
2012,Je 100 000 Einwohner,Zeitreihe,Frauen,Sachsen,code14,139
2013,Je 100 000 Einwohner,Zeitreihe,Frauen,Sachsen,code14,142
2014,Je 100 000 Einwohner,Zeitreihe,Frauen,Sachsen,code14,133
2015,Je 100 000 Einwohner,Zeitreihe,Frauen,Sachsen,code14,139
2016,Je 100 000 Einwohner,Zeitreihe,Frauen,Sachsen,code14,138
2017,Je 100 000 Einwohner,Zeitreihe,Frauen,Sachsen,code14,132
2018,Je 100 000 Einwohner,Zeitreihe,Frauen,Sachsen,code14,139
1998,Je 100 000 Einwohner,Zeitreihe,Frauen,Sachsen-Anhalt,code15,220
1999,Je 100 000 Einwohner,Zeitreihe,Frauen,Sachsen-Anhalt,code15,202
2000,Je 100 000 Einwohner,Zeitreihe,Frauen,Sachsen-Anhalt,code15,200
2001,Je 100 000 Einwohner,Zeitreihe,Frauen,Sachsen-Anhalt,code15,193
2002,Je 100 000 Einwohner,Zeitreihe,Frauen,Sachsen-Anhalt,code15,190
2003,Je 100 000 Einwohner,Zeitreihe,Frauen,Sachsen-Anhalt,code15,178
2004,Je 100 000 Einwohner,Zeitreihe,Frauen,Sachsen-Anhalt,code15,173
2005,Je 100 000 Einwohner,Zeitreihe,Frauen,Sachsen-Anhalt,code15,178
2006,Je 100 000 Einwohner,Zeitreihe,Frauen,Sachsen-Anhalt,code15,169
2007,Je 100 000 Einwohner,Zeitreihe,Frauen,Sachsen-Anhalt,code15,161
2008,Je 100 000 Einwohner,Zeitreihe,Frauen,Sachsen-Anhalt,code15,172
2009,Je 100 000 Einwohner,Zeitreihe,Frauen,Sachsen-Anhalt,code15,167
2010,Je 100 000 Einwohner,Zeitreihe,Frauen,Sachsen-Anhalt,code15,170
2011,Je 100 000 Einwohner,Zeitreihe,Frauen,Sachsen-Anhalt,code15,167
2012,Je 100 000 Einwohner,Zeitreihe,Frauen,Sachsen-Anhalt,code15,162
2013,Je 100 000 Einwohner,Zeitreihe,Frauen,Sachsen-Anhalt,code15,167
2014,Je 100 000 Einwohner,Zeitreihe,Frauen,Sachsen-Anhalt,code15,151
2015,Je 100 000 Einwohner,Zeitreihe,Frauen,Sachsen-Anhalt,code15,168
2016,Je 100 000 Einwohner,Zeitreihe,Frauen,Sachsen-Anhalt,code15,160
2017,Je 100 000 Einwohner,Zeitreihe,Frauen,Sachsen-Anhalt,code15,166
2018,Je 100 000 Einwohner,Zeitreihe,Frauen,Sachsen-Anhalt,code15,166
1998,Je 100 000 Einwohner,Zeitreihe,Frauen,Schleswig-Holstein,code01,197
1999,Je 100 000 Einwohner,Zeitreihe,Frauen,Schleswig-Holstein,code01,197
2000,Je 100 000 Einwohner,Zeitreihe,Frauen,Schleswig-Holstein,code01,195
2001,Je 100 000 Einwohner,Zeitreihe,Frauen,Schleswig-Holstein,code01,190
2002,Je 100 000 Einwohner,Zeitreihe,Frauen,Schleswig-Holstein,code01,180
2003,Je 100 000 Einwohner,Zeitreihe,Frauen,Schleswig-Holstein,code01,184
2004,Je 100 000 Einwohner,Zeitreihe,Frauen,Schleswig-Holstein,code01,183
2005,Je 100 000 Einwohner,Zeitreihe,Frauen,Schleswig-Holstein,code01,174
2006,Je 100 000 Einwohner,Zeitreihe,Frauen,Schleswig-Holstein,code01,169
