Year,Units,Region,GeoCode,Value
2004,Prozent,Bayern,code09,21.3
2005,Prozent,Bayern,code09,20.4
2006,Prozent,Bayern,code09,23.7
2007,Prozent,Bayern,code09,22.9
2008,Prozent,Bayern,code09,23.2
2009,Prozent,Bayern,code09,21.5
2010,Prozent,Bayern,code09,21.6
2011,Prozent,Bayern,code09,23.2
2012,Prozent,Bayern,code09,22.9
2013,Prozent,Bayern,code09,22.7
2014,Prozent,Bayern,code09,23.0
2015,Prozent,Bayern,code09,23.1
2016,Prozent,Bayern,code09,23.0
2017,Prozent,Bayern,code09,23.6
1991,Prozent,Berlin,code11,22.5
1992,Prozent,Berlin,code11,23.0
1993,Prozent,Berlin,code11,21.9
1994,Prozent,Berlin,code11,20.4
1995,Prozent,Berlin,code11,20.5
1996,Prozent,Berlin,code11,24.5
1997,Prozent,Berlin,code11,28.1
1998,Prozent,Berlin,code11,23.0
1999,Prozent,Berlin,code11,22.3
2000,Prozent,Berlin,code11,20.8
2001,Prozent,Berlin,code11,19.1
2002,Prozent,Berlin,code11,16.4
2003,Prozent,Berlin,code11,14.6
2004,Prozent,Berlin,code11,15.7
2005,Prozent,Berlin,code11,17.7
2006,Prozent,Berlin,code11,17.3
2007,Prozent,Berlin,code11,17.8
2008,Prozent,Berlin,code11,17.3
2009,Prozent,Berlin,code11,16.8
2010,Prozent,Berlin,code11,17.0
2011,Prozent,Berlin,code11,16.4
2012,Prozent,Berlin,code11,18.6
2013,Prozent,Berlin,code11,18.3
2014,Prozent,Berlin,code11,19.3
2015,Prozent,Berlin,code11,19.8
2016,Prozent,Berlin,code11,19.3
2017,Prozent,Berlin,code11,18.7
1991,Prozent,Brandenburg,code12,41.4
1992,Prozent,Brandenburg,code12,44.8
1993,Prozent,Brandenburg,code12,49.6
1994,Prozent,Brandenburg,code12,51.9
1995,Prozent,Brandenburg,code12,46.9
1996,Prozent,Brandenburg,code12,48.1
1997,Prozent,Brandenburg,code12,45.0
1998,Prozent,Brandenburg,code12,43.9
1999,Prozent,Brandenburg,code12,40.9
2000,Prozent,Brandenburg,code12,37.4
2001,Prozent,Brandenburg,code12,30.7
2002,Prozent,Brandenburg,code12,27.1
2003,Prozent,Brandenburg,code12,24.1
2004,Prozent,Brandenburg,code12,23.7
2005,Prozent,Brandenburg,code12,23.1
2006,Prozent,Brandenburg,code12,23.3
2007,Prozent,Brandenburg,code12,21.8
2008,Prozent,Brandenburg,code12,22.3
2009,Prozent,Brandenburg,code12,19.9
2010,Prozent,Brandenburg,code12,20.5
2011,Prozent,Brandenburg,code12,20.6
2012,Prozent,Brandenburg,code12,22.4
2013,Prozent,Brandenburg,code12,21.0
2014,Prozent,Brandenburg,code12,21.6
2015,Prozent,Brandenburg,code12,22.0
2016,Prozent,Brandenburg,code12,23.6
2017,Prozent,Brandenburg,code12,23.8
1991,Prozent,Bremen,code04,18.1
1992,Prozent,Bremen,code04,17.5
1993,Prozent,Bremen,code04,18.3
1994,Prozent,Bremen,code04,15.4
1995,Prozent,Bremen,code04,14.6
1996,Prozent,Bremen,code04,15.7
1997,Prozent,Bremen,code04,14.9
1998,Prozent,Bremen,code04,15.9
1999,Prozent,Bremen,code04,17.9
2000,Prozent,Bremen,code04,18.1
2001,Prozent,Bremen,code04,16.9
2002,Prozent,Bremen,code04,17.0
2003,Prozent,Bremen,code04,13.3
2004,Prozent,Bremen,code04,15.4
2005,Prozent,Bremen,code04,14.2
2006,Prozent,Bremen,code04,14.9
2007,Prozent,Bremen,code04,15.1
2008,Prozent,Bremen,code04,15.3
2009,Prozent,Bremen,code04,14.4
2010,Prozent,Bremen,code04,14.8
2011,Prozent,Bremen,code04,14.4
2012,Prozent,Bremen,code04,18.7
2013,Prozent,Bremen,code04,16.3
2014,Prozent,Bremen,code04,13.8
2015,Prozent,Bremen,code04,16.8
2016,Prozent,Bremen,code04,15.8
2017,Prozent,Bremen,code04,14.1
1991,Prozent,Hamburg,code02,16.5
1992,Prozent,Hamburg,code02,18.1
1993,Prozent,Hamburg,code02,17.1
1994,Prozent,Hamburg,code02,15.4
1995,Prozent,Hamburg,code02,14.2
1996,Prozent,Hamburg,code02,14.0
1997,Prozent,Hamburg,code02,14.7
1998,Prozent,Hamburg,code02,15.6
1999,Prozent,Hamburg,code02,14.8
2000,Prozent,Hamburg,code02,16.3
2001,Prozent,Hamburg,code02,17.9
2002,Prozent,Hamburg,code02,19.2
2003,Prozent,Hamburg,code02,18.4
2004,Prozent,Hamburg,code02,21.4
2005,Prozent,Hamburg,code02,22.6
2006,Prozent,Hamburg,code02,23.4
2007,Prozent,Hamburg,code02,25.6
2008,Prozent,Hamburg,code02,26.4
2009,Prozent,Hamburg,code02,20.4
2010,Prozent,Hamburg,code02,24.5
2011,Prozent,Hamburg,code02,20.9
2012,Prozent,Hamburg,code02,20.5
2013,Prozent,Hamburg,code02,21.1
2014,Prozent,Hamburg,code02,21.3
2015,Prozent,Hamburg,code02,21.6
2016,Prozent,Hamburg,code02,19.7
2017,Prozent,Hamburg,code02,16.3
1991,Prozent,Hessen,code06,21.9
1992,Prozent,Hessen,code06,21.4
1993,Prozent,Hessen,code06,20.5
1994,Prozent,Hessen,code06,18.3
1995,Prozent,Hessen,code06,18.7
1996,Prozent,Hessen,code06,17.4
1997,Prozent,Hessen,code06,18.0
1998,Prozent,Hessen,code06,18.4
1999,Prozent,Hessen,code06,18.6
2000,Prozent,Hessen,code06,18.4
2001,Prozent,Hessen,code06,18.7
2002,Prozent,Hessen,code06,17.0
2003,Prozent,Hessen,code06,16.2
2004,Prozent,Hessen,code06,16.3
2005,Prozent,Hessen,code06,17.9
2006,Prozent,Hessen,code06,17.4
2007,Prozent,Hessen,code06,18.3
2008,Prozent,Hessen,code06,20.0
2009,Prozent,Hessen,code06,16.7
2010,Prozent,Hessen,code06,17.6
2011,Prozent,Hessen,code06,19.2
2012,Prozent,Hessen,code06,17.7
2013,Prozent,Hessen,code06,17.9
2014,Prozent,Hessen,code06,17.3
2015,Prozent,Hessen,code06,17.1
2016,Prozent,Hessen,code06,18.0
2017,Prozent,Hessen,code06,18.6
1991,Prozent,Mecklenburg-Vorpommern,code13,49.5
1992,Prozent,Mecklenburg-Vorpommern,code13,61.6
1993,Prozent,Mecklenburg-Vorpommern,code13,60.2
1994,Prozent,Mecklenburg-Vorpommern,code13,57.6
1995,Prozent,Mecklenburg-Vorpommern,code13,55.0
1996,Prozent,Mecklenburg-Vorpommern,code13,48.1
1997,Prozent,Mecklenburg-Vorpommern,code13,43.7
1998,Prozent,Mecklenburg-Vorpommern,code13,40.5
1999,Prozent,Mecklenburg-Vorpommern,code13,37.4
2000,Prozent,Mecklenburg-Vorpommern,code13,35.3
2001,Prozent,Mecklenburg-Vorpommern,code13,30.2
2002,Prozent,Mecklenburg-Vorpommern,code13,26.2
2003,Prozent,Mecklenburg-Vorpommern,code13,25.4
2004,Prozent,Mecklenburg-Vorpommern,code13,25.0
2005,Prozent,Mecklenburg-Vorpommern,code13,26.9
2006,Prozent,Mecklenburg-Vorpommern,code13,27.6
2007,Prozent,Mecklenburg-Vorpommern,code13,23.0
2008,Prozent,Mecklenburg-Vorpommern,code13,23.7
2009,Prozent,Mecklenburg-Vorpommern,code13,21.0
2010,Prozent,Mecklenburg-Vorpommern,code13,22.2
2011,Prozent,Mecklenburg-Vorpommern,code13,24.2
2012,Prozent,Mecklenburg-Vorpommern,code13,23.6
2013,Prozent,Mecklenburg-Vorpommern,code13,20.6
2014,Prozent,Mecklenburg-Vorpommern,code13,21.5
2015,Prozent,Mecklenburg-Vorpommern,code13,21.9
2016,Prozent,Mecklenburg-Vorpommern,code13,24.1
2017,Prozent,Mecklenburg-Vorpommern,code13,23.1
1991,Prozent,Niedersachsen,code03,27.8
1992,Prozent,Niedersachsen,code03,26.4
1993,Prozent,Niedersachsen,code03,24.0
1994,Prozent,Niedersachsen,code03,23.6
1995,Prozent,Niedersachsen,code03,23.4
1996,Prozent,Niedersachsen,code03,22.9
1997,Prozent,Niedersachsen,code03,23.7
1998,Prozent,Niedersachsen,code03,24.8
1999,Prozent,Niedersachsen,code03,26.3
2000,Prozent,Niedersachsen,code03,26.6
2001,Prozent,Niedersachsen,code03,25.3
2002,Prozent,Niedersachsen,code03,23.9
2003,Prozent,Niedersachsen,code03,24.8
2004,Prozent,Niedersachsen,code03,21.7
2005,Prozent,Niedersachsen,code03,19.9
2006,Prozent,Niedersachsen,code03,20.8
2007,Prozent,Niedersachsen,code03,21.5
2008,Prozent,Niedersachsen,code03,20.8
2009,Prozent,Niedersachsen,code03,22.8
2010,Prozent,Niedersachsen,code03,22.4
2011,Prozent,Niedersachsen,code03,24.0
2012,Prozent,Niedersachsen,code03,24.4
2013,Prozent,Niedersachsen,code03,24.4
2014,Prozent,Niedersachsen,code03,24.4
2015,Prozent,Niedersachsen,code03,24.9
2016,Prozent,Niedersachsen,code03,24.7
2017,Prozent,Niedersachsen,code03,25.4
1991,Prozent,Nordrhein-Westfalen,code05,20.5
1992,Prozent,Nordrhein-Westfalen,code05,20.2
1993,Prozent,Nordrhein-Westfalen,code05,18.4
1994,Prozent,Nordrhein-Westfalen,code05,17.9
1995,Prozent,Nordrhein-Westfalen,code05,17.1
1996,Prozent,Nordrhein-Westfalen,code05,17.2
1997,Prozent,Nordrhein-Westfalen,code05,17.1
1998,Prozent,Nordrhein-Westfalen,code05,17.7
1999,Prozent,Nordrhein-Westfalen,code05,19.2
2000,Prozent,Nordrhein-Westfalen,code05,19.7
2001,Prozent,Nordrhein-Westfalen,code05,19.0
2002,Prozent,Nordrhein-Westfalen,code05,17.1
2003,Prozent,Nordrhein-Westfalen,code05,16.3
2004,Prozent,Nordrhein-Westfalen,code05,15.7
2005,Prozent,Nordrhein-Westfalen,code05,16.7
2006,Prozent,Nordrhein-Westfalen,code05,16.2
2007,Prozent,Nordrhein-Westfalen,code05,16.3
2008,Prozent,Nordrhein-Westfalen,code05,16.3
2009,Prozent,Nordrhein-Westfalen,code05,15.9
2010,Prozent,Nordrhein-Westfalen,code05,16.0
2011,Prozent,Nordrhein-Westfalen,code05,16.6
2012,Prozent,Nordrhein-Westfalen,code05,15.9
2013,Prozent,Nordrhein-Westfalen,code05,15.8
2014,Prozent,Nordrhein-Westfalen,code05,16.1
2015,Prozent,Nordrhein-Westfalen,code05,15.7
2016,Prozent,Nordrhein-Westfalen,code05,16.1
2017,Prozent,Nordrhein-Westfalen,code05,16.7
1991,Prozent,Rheinland-Pfalz,code07,23.7
1992,Prozent,Rheinland-Pfalz,code07,22.7
1993,Prozent,Rheinland-Pfalz,code07,21.9
1994,Prozent,Rheinland-Pfalz,code07,22.7
1995,Prozent,Rheinland-Pfalz,code07,22.9
1996,Prozent,Rheinland-Pfalz,code07,21.2
1997,Prozent,Rheinland-Pfalz,code07,21.8
1998,Prozent,Rheinland-Pfalz,code07,22.8
1999,Prozent,Rheinland-Pfalz,code07,23.2
2000,Prozent,Rheinland-Pfalz,code07,23.9
2001,Prozent,Rheinland-Pfalz,code07,21.9
2002,Prozent,Rheinland-Pfalz,code07,21.8
2003,Prozent,Rheinland-Pfalz,code07,19.5
2004,Prozent,Rheinland-Pfalz,code07,18.9
2005,Prozent,Rheinland-Pfalz,code07,18.7
2006,Prozent,Rheinland-Pfalz,code07,19.4
2007,Prozent,Rheinland-Pfalz,code07,20.3
2008,Prozent,Rheinland-Pfalz,code07,20.2
2009,Prozent,Rheinland-Pfalz,code07,20.6
2010,Prozent,Rheinland-Pfalz,code07,20.0
2011,Prozent,Rheinland-Pfalz,code07,21.1
2012,Prozent,Rheinland-Pfalz,code07,20.5
2013,Prozent,Rheinland-Pfalz,code07,21.2
2014,Prozent,Rheinland-Pfalz,code07,21.4
2015,Prozent,Rheinland-Pfalz,code07,20.9
2016,Prozent,Rheinland-Pfalz,code07,20.5
2017,Prozent,Rheinland-Pfalz,code07,21.1
1991,Prozent,Saarland,code10,20.7
1992,Prozent,Saarland,code10,20.3
1993,Prozent,Saarland,code10,18.6
1994,Prozent,Saarland,code10,19.6
1995,Prozent,Saarland,code10,20.5
1996,Prozent,Saarland,code10,21.0
1997,Prozent,Saarland,code10,21.2
1998,Prozent,Saarland,code10,24.6
1999,Prozent,Saarland,code10,23.6
2000,Prozent,Saarland,code10,23.4
2001,Prozent,Saarland,code10,18.6
2002,Prozent,Saarland,code10,18.9
2003,Prozent,Saarland,code10,18.8
2004,Prozent,Saarland,code10,15.8
2005,Prozent,Saarland,code10,15.1
2006,Prozent,Saarland,code10,16.2
2007,Prozent,Saarland,code10,16.7
2008,Prozent,Saarland,code10,16.5
2009,Prozent,Saarland,code10,15.0
2010,Prozent,Saarland,code10,18.2
2011,Prozent,Saarland,code10,17.3
2012,Prozent,Saarland,code10,16.9
2013,Prozent,Saarland,code10,17.5
2014,Prozent,Saarland,code10,17.6
2015,Prozent,Saarland,code10,18.0
2016,Prozent,Saarland,code10,17.3
2017,Prozent,Saarland,code10,16.7
1991,Prozent,Sachsen,code14,42.7
1992,Prozent,Sachsen,code14,41.6
1993,Prozent,Sachsen,code14,39.3
1994,Prozent,Sachsen,code14,46.5
1995,Prozent,Sachsen,code14,46.1
1996,Prozent,Sachsen,code14,45.6
1997,Prozent,Sachsen,code14,43.0
1998,Prozent,Sachsen,code14,39.0
1999,Prozent,Sachsen,code14,36.3
2000,Prozent,Sachsen,code14,35.4
2001,Prozent,Sachsen,code14,27.2
2002,Prozent,Sachsen,code14,23.0
2003,Prozent,Sachsen,code14,22.8
2004,Prozent,Sachsen,code14,23.2
2005,Prozent,Sachsen,code14,21.3
2006,Prozent,Sachsen,code14,20.9
2007,Prozent,Sachsen,code14,23.8
2008,Prozent,Sachsen,code14,22.2
2009,Prozent,Sachsen,code14,20.9
2010,Prozent,Sachsen,code14,22.6
2011,Prozent,Sachsen,code14,23.7
2012,Prozent,Sachsen,code14,23.0
2013,Prozent,Sachsen,code14,21.2
2014,Prozent,Sachsen,code14,20.9
2015,Prozent,Sachsen,code14,19.3
2016,Prozent,Sachsen,code14,21.2
2017,Prozent,Sachsen,code14,20.1
1991,Prozent,Sachsen-Anhalt,code15,42.8
1992,Prozent,Sachsen-Anhalt,code15,54.2
1993,Prozent,Sachsen-Anhalt,code15,53.4
1994,Prozent,Sachsen-Anhalt,code15,54.9
1995,Prozent,Sachsen-Anhalt,code15,52.9
1996,Prozent,Sachsen-Anhalt,code15,44.9
1997,Prozent,Sachsen-Anhalt,code15,41.7
1998,Prozent,Sachsen-Anhalt,code15,41.0
1999,Prozent,Sachsen-Anhalt,code15,36.7
2000,Prozent,Sachsen-Anhalt,code15,33.8
2001,Prozent,Sachsen-Anhalt,code15,25.8
2002,Prozent,Sachsen-Anhalt,code15,23.1
2003,Prozent,Sachsen-Anhalt,code15,22.1
2004,Prozent,Sachsen-Anhalt,code15,22.2
2005,Prozent,Sachsen-Anhalt,code15,20.5
2006,Prozent,Sachsen-Anhalt,code15,19.0
2007,Prozent,Sachsen-Anhalt,code15,19.5
2008,Prozent,Sachsen-Anhalt,code15,19.6
2009,Prozent,Sachsen-Anhalt,code15,21.2
2010,Prozent,Sachsen-Anhalt,code15,19.8
2011,Prozent,Sachsen-Anhalt,code15,18.9
2012,Prozent,Sachsen-Anhalt,code15,19.7
2013,Prozent,Sachsen-Anhalt,code15,18.7
2014,Prozent,Sachsen-Anhalt,code15,18.3
2015,Prozent,Sachsen-Anhalt,code15,18.8
2016,Prozent,Sachsen-Anhalt,code15,19.0
2017,Prozent,Sachsen-Anhalt,code15,18.9
1991,Prozent,Schleswig-Holstein,code01,21.7
1992,Prozent,Schleswig-Holstein,code01,22.3
1993,Prozent,Schleswig-Holstein,code01,21.2
1994,Prozent,Schleswig-Holstein,code01,22.1
1995,Prozent,Schleswig-Holstein,code01,22.9
1996,Prozent,Schleswig-Holstein,code01,21.4
1997,Prozent,Schleswig-Holstein,code01,21.8
1998,Prozent,Schleswig-Holstein,code01,23.0
1999,Prozent,Schleswig-Holstein,code01,23.8
2000,Prozent,Schleswig-Holstein,code01,22.8
2001,Prozent,Schleswig-Holstein,code01,20.5
2002,Prozent,Schleswig-Holstein,code01,18.3
2003,Prozent,Schleswig-Holstein,code01,18.1
2004,Prozent,Schleswig-Holstein,code01,17.3
2005,Prozent,Schleswig-Holstein,code01,17.4
2006,Prozent,Schleswig-Holstein,code01,19.8
2007,Prozent,Schleswig-Holstein,code01,19.9
2008,Prozent,Schleswig-Holstein,code01,19.9
2009,Prozent,Schleswig-Holstein,code01,18.6
2010,Prozent,Schleswig-Holstein,code01,21.2
2011,Prozent,Schleswig-Holstein,code01,22.7
2012,Prozent,Schleswig-Holstein,code01,21.5
2013,Prozent,Schleswig-Holstein,code01,18.9
2014,Prozent,Schleswig-Holstein,code01,21.5
2015,Prozent,Schleswig-Holstein,code01,20.6
2016,Prozent,Schleswig-Holstein,code01,23.2
2017,Prozent,Schleswig-Holstein,code01,21.6
1991,Prozent,Thüringen,code16,45.8
1992,Prozent,Thüringen,code16,52.5
1993,Prozent,Thüringen,code16,55.6
1994,Prozent,Thüringen,code16,55.6
1995,Prozent,Thüringen,code16,50.2
1996,Prozent,Thüringen,code16,39.6
1997,Prozent,Thüringen,code16,38.7
1998,Prozent,Thüringen,code16,36.8
1999,Prozent,Thüringen,code16,38.2
2000,Prozent,Thüringen,code16,34.1
2001,Prozent,Thüringen,code16,31.7
2002,Prozent,Thüringen,code16,26.4
2003,Prozent,Thüringen,code16,26.4
2004,Prozent,Thüringen,code16,22.4
2005,Prozent,Thüringen,code16,23.1
2006,Prozent,Thüringen,code16,23.4
2007,Prozent,Thüringen,code16,24.1
2008,Prozent,Thüringen,code16,26.2
2009,Prozent,Thüringen,code16,22.2
2010,Prozent,Thüringen,code16,21.3
2011,Prozent,Thüringen,code16,22.0
2012,Prozent,Thüringen,code16,21.8
2013,Prozent,Thüringen,code16,20.0
2014,Prozent,Thüringen,code16,20.0
2015,Prozent,Thüringen,code16,19.1
2016,Prozent,Thüringen,code16,20.8
2017,Prozent,Thüringen,code16,19.1
