Year,Units,Anzeigen,Geschlecht,Region,GeoCode,Value
2019,Prozent,Zeitreihe,Insgesamt,Bayern,code09,7.6
2005,Prozent,Zeitreihe,Weiblich,Bayern,code09,11.5
2006,Prozent,Zeitreihe,Weiblich,Bayern,code09,12.5
2007,Prozent,Zeitreihe,Weiblich,Bayern,code09,9.9
2008,Prozent,Zeitreihe,Weiblich,Bayern,code09,9.0
2009,Prozent,Zeitreihe,Weiblich,Bayern,code09,8.2
2010,Prozent,Zeitreihe,Weiblich,Bayern,code09,9.1
2011,Prozent,Zeitreihe,Weiblich,Bayern,code09,8.0
2012,Prozent,Zeitreihe,Weiblich,Bayern,code09,6.8
2013,Prozent,Zeitreihe,Weiblich,Bayern,code09,7.0
2014,Prozent,Zeitreihe,Weiblich,Bayern,code09,6.2
2015,Prozent,Zeitreihe,Weiblich,Bayern,code09,5.6
2016,Prozent,Zeitreihe,Weiblich,Bayern,code09,6.8
2017,Prozent,Zeitreihe,Weiblich,Bayern,code09,6.5
2018,Prozent,Zeitreihe,Weiblich,Bayern,code09,6.4
2019,Prozent,Zeitreihe,Weiblich,Bayern,code09,6.5
2005,Prozent,Zeitreihe,Männlich,Bayern,code09,10.8
2006,Prozent,Zeitreihe,Männlich,Bayern,code09,12.6
2007,Prozent,Zeitreihe,Männlich,Bayern,code09,12.6
2008,Prozent,Zeitreihe,Männlich,Bayern,code09,10.1
2009,Prozent,Zeitreihe,Männlich,Bayern,code09,9.5
2010,Prozent,Zeitreihe,Männlich,Bayern,code09,9.7
2011,Prozent,Zeitreihe,Männlich,Bayern,code09,10.2
2012,Prozent,Zeitreihe,Männlich,Bayern,code09,7.8
2013,Prozent,Zeitreihe,Männlich,Bayern,code09,7.6
2014,Prozent,Zeitreihe,Männlich,Bayern,code09,6.6
2015,Prozent,Zeitreihe,Männlich,Bayern,code09,6.7
2016,Prozent,Zeitreihe,Männlich,Bayern,code09,8.4
2017,Prozent,Zeitreihe,Männlich,Bayern,code09,7.8
2018,Prozent,Zeitreihe,Männlich,Bayern,code09,8.0
2019,Prozent,Zeitreihe,Männlich,Bayern,code09,8.6
2005,Prozent,Zeitreihe,Insgesamt,Berlin,code11,18.7
2006,Prozent,Zeitreihe,Insgesamt,Berlin,code11,18.2
2007,Prozent,Zeitreihe,Insgesamt,Berlin,code11,13.0
2008,Prozent,Zeitreihe,Insgesamt,Berlin,code11,15.7
2009,Prozent,Zeitreihe,Insgesamt,Berlin,code11,14.2
2010,Prozent,Zeitreihe,Insgesamt,Berlin,code11,14.6
2011,Prozent,Zeitreihe,Insgesamt,Berlin,code11,13.1
2012,Prozent,Zeitreihe,Insgesamt,Berlin,code11,13.0
2013,Prozent,Zeitreihe,Insgesamt,Berlin,code11,11.9
2014,Prozent,Zeitreihe,Insgesamt,Berlin,code11,13.5
2015,Prozent,Zeitreihe,Insgesamt,Berlin,code11,13.7
2016,Prozent,Zeitreihe,Insgesamt,Berlin,code11,11.7
2017,Prozent,Zeitreihe,Insgesamt,Berlin,code11,13.2
2018,Prozent,Zeitreihe,Insgesamt,Berlin,code11,13.6
2019,Prozent,Zeitreihe,Insgesamt,Berlin,code11,11.6
2005,Prozent,Zeitreihe,Weiblich,Berlin,code11,17.0
2006,Prozent,Zeitreihe,Weiblich,Berlin,code11,16.7
2007,Prozent,Zeitreihe,Weiblich,Berlin,code11,11.5
2008,Prozent,Zeitreihe,Weiblich,Berlin,code11,14.0
2009,Prozent,Zeitreihe,Weiblich,Berlin,code11,13.0
2010,Prozent,Zeitreihe,Weiblich,Berlin,code11,12.4
2011,Prozent,Zeitreihe,Weiblich,Berlin,code11,11.2
2012,Prozent,Zeitreihe,Weiblich,Berlin,code11,10.8
2013,Prozent,Zeitreihe,Weiblich,Berlin,code11,9.1
2014,Prozent,Zeitreihe,Weiblich,Berlin,code11,11.9
2015,Prozent,Zeitreihe,Weiblich,Berlin,code11,10.7
2016,Prozent,Zeitreihe,Weiblich,Berlin,code11,10.9
2017,Prozent,Zeitreihe,Weiblich,Berlin,code11,11.0
2018,Prozent,Zeitreihe,Weiblich,Berlin,code11,10.4
2019,Prozent,Zeitreihe,Weiblich,Berlin,code11,8.0
2005,Prozent,Zeitreihe,Männlich,Berlin,code11,20.5
2006,Prozent,Zeitreihe,Männlich,Berlin,code11,19.7
2007,Prozent,Zeitreihe,Männlich,Berlin,code11,14.4
2008,Prozent,Zeitreihe,Männlich,Berlin,code11,17.4
2009,Prozent,Zeitreihe,Männlich,Berlin,code11,15.5
2010,Prozent,Zeitreihe,Männlich,Berlin,code11,17.0
2011,Prozent,Zeitreihe,Männlich,Berlin,code11,15.0
2012,Prozent,Zeitreihe,Männlich,Berlin,code11,15.2
2013,Prozent,Zeitreihe,Männlich,Berlin,code11,14.8
2014,Prozent,Zeitreihe,Männlich,Berlin,code11,15.3
2015,Prozent,Zeitreihe,Männlich,Berlin,code11,17.0
2016,Prozent,Zeitreihe,Männlich,Berlin,code11,12.5
2017,Prozent,Zeitreihe,Männlich,Berlin,code11,15.5
2018,Prozent,Zeitreihe,Männlich,Berlin,code11,16.9
2019,Prozent,Zeitreihe,Männlich,Berlin,code11,15.0
2005,Prozent,Zeitreihe,Insgesamt,Brandenburg,code12,10.2
2006,Prozent,Zeitreihe,Insgesamt,Brandenburg,code12,11.1
2007,Prozent,Zeitreihe,Insgesamt,Brandenburg,code12,9.0
2008,Prozent,Zeitreihe,Insgesamt,Brandenburg,code12,9.3
2009,Prozent,Zeitreihe,Insgesamt,Brandenburg,code12,9.0
2010,Prozent,Zeitreihe,Insgesamt,Brandenburg,code12,9.6
2011,Prozent,Zeitreihe,Insgesamt,Brandenburg,code12,10.2
2012,Prozent,Zeitreihe,Insgesamt,Brandenburg,code12,10.0
2013,Prozent,Zeitreihe,Insgesamt,Brandenburg,code12,10.6
2014,Prozent,Zeitreihe,Insgesamt,Brandenburg,code12,9.0
2015,Prozent,Zeitreihe,Insgesamt,Brandenburg,code12,11.6
2016,Prozent,Zeitreihe,Insgesamt,Brandenburg,code12,11.0
2017,Prozent,Zeitreihe,Insgesamt,Brandenburg,code12,12.3
2018,Prozent,Zeitreihe,Insgesamt,Brandenburg,code12,11.5
2019,Prozent,Zeitreihe,Insgesamt,Brandenburg,code12,10.8
2005,Prozent,Zeitreihe,Weiblich,Brandenburg,code12,10.1
2006,Prozent,Zeitreihe,Weiblich,Brandenburg,code12,9.7
2007,Prozent,Zeitreihe,Weiblich,Brandenburg,code12,6.2
2008,Prozent,Zeitreihe,Weiblich,Brandenburg,code12,7.1
2009,Prozent,Zeitreihe,Weiblich,Brandenburg,code12,7.5
2010,Prozent,Zeitreihe,Weiblich,Brandenburg,code12,7.1
2011,Prozent,Zeitreihe,Weiblich,Brandenburg,code12,8.4
2012,Prozent,Zeitreihe,Weiblich,Brandenburg,code12,10.3
2013,Prozent,Zeitreihe,Weiblich,Brandenburg,code12,10.1
2015,Prozent,Zeitreihe,Weiblich,Brandenburg,code12,11.1
2018,Prozent,Zeitreihe,Weiblich,Brandenburg,code12,10.4
2005,Prozent,Zeitreihe,Männlich,Brandenburg,code12,10.3
2006,Prozent,Zeitreihe,Männlich,Brandenburg,code12,12.4
2007,Prozent,Zeitreihe,Männlich,Brandenburg,code12,11.5
2008,Prozent,Zeitreihe,Männlich,Brandenburg,code12,11.3
2009,Prozent,Zeitreihe,Männlich,Brandenburg,code12,10.4
2010,Prozent,Zeitreihe,Männlich,Brandenburg,code12,11.7
2011,Prozent,Zeitreihe,Männlich,Brandenburg,code12,11.8
2012,Prozent,Zeitreihe,Männlich,Brandenburg,code12,9.7
2013,Prozent,Zeitreihe,Männlich,Brandenburg,code12,11.0
2014,Prozent,Zeitreihe,Männlich,Brandenburg,code12,9.2
2015,Prozent,Zeitreihe,Männlich,Brandenburg,code12,11.9
2016,Prozent,Zeitreihe,Männlich,Brandenburg,code12,12.6
2017,Prozent,Zeitreihe,Männlich,Brandenburg,code12,15.0
2018,Prozent,Zeitreihe,Männlich,Brandenburg,code12,12.4
2019,Prozent,Zeitreihe,Männlich,Brandenburg,code12,13.6
2005,Prozent,Zeitreihe,Insgesamt,Bremen,code04,19.1
2006,Prozent,Zeitreihe,Insgesamt,Bremen,code04,17.5
2007,Prozent,Zeitreihe,Insgesamt,Bremen,code04,15.0
2008,Prozent,Zeitreihe,Insgesamt,Bremen,code04,14.4
2009,Prozent,Zeitreihe,Insgesamt,Bremen,code04,14.5
2010,Prozent,Zeitreihe,Insgesamt,Bremen,code04,14.3
2011,Prozent,Zeitreihe,Insgesamt,Bremen,code04,17.2
2012,Prozent,Zeitreihe,Insgesamt,Bremen,code04,13.3
2013,Prozent,Zeitreihe,Insgesamt,Bremen,code04,14.9
2014,Prozent,Zeitreihe,Insgesamt,Bremen,code04,14.0
2015,Prozent,Zeitreihe,Insgesamt,Bremen,code04,11.5
2016,Prozent,Zeitreihe,Insgesamt,Bremen,code04,11.1
2017,Prozent,Zeitreihe,Insgesamt,Bremen,code04,10.9
2018,Prozent,Zeitreihe,Insgesamt,Bremen,code04,14.6
2019,Prozent,Zeitreihe,Insgesamt,Bremen,code04,16.0
2005,Prozent,Zeitreihe,Weiblich,Bremen,code04,19.8
2006,Prozent,Zeitreihe,Weiblich,Bremen,code04,20.0
2005,Prozent,Zeitreihe,Männlich,Bremen,code04,18.2
2006,Prozent,Zeitreihe,Männlich,Bremen,code04,14.8
2007,Prozent,Zeitreihe,Männlich,Bremen,code04,19.2
2018,Prozent,Zeitreihe,Männlich,Bremen,code04,17.7
2019,Prozent,Zeitreihe,Männlich,Bremen,code04,17.7
2005,Prozent,Zeitreihe,Insgesamt,Hamburg,code02,21.2
2006,Prozent,Zeitreihe,Insgesamt,Hamburg,code02,16.7
2007,Prozent,Zeitreihe,Insgesamt,Hamburg,code02,15.5
2008,Prozent,Zeitreihe,Insgesamt,Hamburg,code02,14.7
2009,Prozent,Zeitreihe,Insgesamt,Hamburg,code02,12.1
2010,Prozent,Zeitreihe,Insgesamt,Hamburg,code02,13.2
2011,Prozent,Zeitreihe,Insgesamt,Hamburg,code02,13.2
2012,Prozent,Zeitreihe,Insgesamt,Hamburg,code02,12.5
2013,Prozent,Zeitreihe,Insgesamt,Hamburg,code02,11.6
2014,Prozent,Zeitreihe,Insgesamt,Hamburg,code02,11.8
2015,Prozent,Zeitreihe,Insgesamt,Hamburg,code02,12.6
2016,Prozent,Zeitreihe,Insgesamt,Hamburg,code02,12.8
2017,Prozent,Zeitreihe,Insgesamt,Hamburg,code02,11.4
2018,Prozent,Zeitreihe,Insgesamt,Hamburg,code02,11.6
2019,Prozent,Zeitreihe,Insgesamt,Hamburg,code02,14.0
2005,Prozent,Zeitreihe,Weiblich,Hamburg,code02,21.9
2006,Prozent,Zeitreihe,Weiblich,Hamburg,code02,15.9
2007,Prozent,Zeitreihe,Weiblich,Hamburg,code02,14.1
2008,Prozent,Zeitreihe,Weiblich,Hamburg,code02,11.9
2009,Prozent,Zeitreihe,Weiblich,Hamburg,code02,10.2
2010,Prozent,Zeitreihe,Weiblich,Hamburg,code02,11.7
2011,Prozent,Zeitreihe,Weiblich,Hamburg,code02,11.0
2012,Prozent,Zeitreihe,Weiblich,Hamburg,code02,11.1
2013,Prozent,Zeitreihe,Weiblich,Hamburg,code02,11.9
2014,Prozent,Zeitreihe,Weiblich,Hamburg,code02,9.7
2015,Prozent,Zeitreihe,Weiblich,Hamburg,code02,11.0
2016,Prozent,Zeitreihe,Weiblich,Hamburg,code02,12.4
2017,Prozent,Zeitreihe,Weiblich,Hamburg,code02,10.7
2018,Prozent,Zeitreihe,Weiblich,Hamburg,code02,12.2
2019,Prozent,Zeitreihe,Weiblich,Hamburg,code02,13.4
2005,Prozent,Zeitreihe,Männlich,Hamburg,code02,20.4
2006,Prozent,Zeitreihe,Männlich,Hamburg,code02,17.7
2007,Prozent,Zeitreihe,Männlich,Hamburg,code02,16.7
2008,Prozent,Zeitreihe,Männlich,Hamburg,code02,17.5
2009,Prozent,Zeitreihe,Männlich,Hamburg,code02,14.1
2010,Prozent,Zeitreihe,Männlich,Hamburg,code02,14.9
2011,Prozent,Zeitreihe,Männlich,Hamburg,code02,15.4
2012,Prozent,Zeitreihe,Männlich,Hamburg,code02,13.9
2013,Prozent,Zeitreihe,Männlich,Hamburg,code02,11.4
2014,Prozent,Zeitreihe,Männlich,Hamburg,code02,13.9
2015,Prozent,Zeitreihe,Männlich,Hamburg,code02,14.1
2016,Prozent,Zeitreihe,Männlich,Hamburg,code02,13.2
2017,Prozent,Zeitreihe,Männlich,Hamburg,code02,12.1
2018,Prozent,Zeitreihe,Männlich,Hamburg,code02,11.0
2019,Prozent,Zeitreihe,Männlich,Hamburg,code02,14.4
2005,Prozent,Zeitreihe,Insgesamt,Hessen,code06,13.3
2006,Prozent,Zeitreihe,Insgesamt,Hessen,code06,14.7
2007,Prozent,Zeitreihe,Insgesamt,Hessen,code06,12.1
2008,Prozent,Zeitreihe,Insgesamt,Hessen,code06,12.4
2009,Prozent,Zeitreihe,Insgesamt,Hessen,code06,11.4
2010,Prozent,Zeitreihe,Insgesamt,Hessen,code06,11.8
2011,Prozent,Zeitreihe,Insgesamt,Hessen,code06,10.6
2012,Prozent,Zeitreihe,Insgesamt,Hessen,code06,9.1
2013,Prozent,Zeitreihe,Insgesamt,Hessen,code06,10.0
2014,Prozent,Zeitreihe,Insgesamt,Hessen,code06,9.7
2015,Prozent,Zeitreihe,Insgesamt,Hessen,code06,9.5
2016,Prozent,Zeitreihe,Insgesamt,Hessen,code06,10.5
2017,Prozent,Zeitreihe,Insgesamt,Hessen,code06,10.2
2018,Prozent,Zeitreihe,Insgesamt,Hessen,code06,10.7
2019,Prozent,Zeitreihe,Insgesamt,Hessen,code06,10.3
2005,Prozent,Zeitreihe,Weiblich,Hessen,code06,12.7
2006,Prozent,Zeitreihe,Weiblich,Hessen,code06,13.8
2007,Prozent,Zeitreihe,Weiblich,Hessen,code06,13.7
2008,Prozent,Zeitreihe,Weiblich,Hessen,code06,11.7
2009,Prozent,Zeitreihe,Weiblich,Hessen,code06,10.4
2010,Prozent,Zeitreihe,Weiblich,Hessen,code06,10.6
2011,Prozent,Zeitreihe,Weiblich,Hessen,code06,9.5
2012,Prozent,Zeitreihe,Weiblich,Hessen,code06,8.4
2013,Prozent,Zeitreihe,Weiblich,Hessen,code06,9.2
2014,Prozent,Zeitreihe,Weiblich,Hessen,code06,8.9
2015,Prozent,Zeitreihe,Weiblich,Hessen,code06,9.4
2016,Prozent,Zeitreihe,Weiblich,Hessen,code06,9.5
2017,Prozent,Zeitreihe,Weiblich,Hessen,code06,8.3
2018,Prozent,Zeitreihe,Weiblich,Hessen,code06,8.9
2019,Prozent,Zeitreihe,Weiblich,Hessen,code06,8.7
2005,Prozent,Zeitreihe,Männlich,Hessen,code06,13.9
2006,Prozent,Zeitreihe,Männlich,Hessen,code06,15.6
2007,Prozent,Zeitreihe,Männlich,Hessen,code06,10.5
2008,Prozent,Zeitreihe,Männlich,Hessen,code06,13.0
2009,Prozent,Zeitreihe,Männlich,Hessen,code06,12.4
2010,Prozent,Zeitreihe,Männlich,Hessen,code06,13.1
2011,Prozent,Zeitreihe,Männlich,Hessen,code06,11.7
2012,Prozent,Zeitreihe,Männlich,Hessen,code06,9.7
2013,Prozent,Zeitreihe,Männlich,Hessen,code06,10.7
2014,Prozent,Zeitreihe,Männlich,Hessen,code06,10.4
2015,Prozent,Zeitreihe,Männlich,Hessen,code06,9.6
2016,Prozent,Zeitreihe,Männlich,Hessen,code06,11.4
2017,Prozent,Zeitreihe,Männlich,Hessen,code06,11.8
2018,Prozent,Zeitreihe,Männlich,Hessen,code06,12.3
2019,Prozent,Zeitreihe,Männlich,Hessen,code06,11.8
2005,Prozent,Zeitreihe,Insgesamt,Mecklenburg-Vorpommern,code13,14.0
2006,Prozent,Zeitreihe,Insgesamt,Mecklenburg-Vorpommern,code13,12.9
2007,Prozent,Zeitreihe,Insgesamt,Mecklenburg-Vorpommern,code13,13.1
2008,Prozent,Zeitreihe,Insgesamt,Mecklenburg-Vorpommern,code13,8.9
2009,Prozent,Zeitreihe,Insgesamt,Mecklenburg-Vorpommern,code13,9.3
2010,Prozent,Zeitreihe,Insgesamt,Mecklenburg-Vorpommern,code13,9.2
2011,Prozent,Zeitreihe,Insgesamt,Mecklenburg-Vorpommern,code13,9.9
2012,Prozent,Zeitreihe,Insgesamt,Mecklenburg-Vorpommern,code13,11.0
2013,Prozent,Zeitreihe,Insgesamt,Mecklenburg-Vorpommern,code13,9.6
2014,Prozent,Zeitreihe,Insgesamt,Mecklenburg-Vorpommern,code13,9.9
2015,Prozent,Zeitreihe,Insgesamt,Mecklenburg-Vorpommern,code13,10.6
2016,Prozent,Zeitreihe,Insgesamt,Mecklenburg-Vorpommern,code13,13.6
2017,Prozent,Zeitreihe,Insgesamt,Mecklenburg-Vorpommern,code13,9.8
2018,Prozent,Zeitreihe,Insgesamt,Mecklenburg-Vorpommern,code13,11.1
2019,Prozent,Zeitreihe,Insgesamt,Mecklenburg-Vorpommern,code13,11.4
2005,Prozent,Zeitreihe,Weiblich,Mecklenburg-Vorpommern,code13,12.7
2006,Prozent,Zeitreihe,Weiblich,Mecklenburg-Vorpommern,code13,12.7
2007,Prozent,Zeitreihe,Weiblich,Mecklenburg-Vorpommern,code13,12.1
2008,Prozent,Zeitreihe,Weiblich,Mecklenburg-Vorpommern,code13,8.3
2009,Prozent,Zeitreihe,Weiblich,Mecklenburg-Vorpommern,code13,8.9
2011,Prozent,Zeitreihe,Weiblich,Mecklenburg-Vorpommern,code13,8.8
2012,Prozent,Zeitreihe,Weiblich,Mecklenburg-Vorpommern,code13,10.9
2005,Prozent,Zeitreihe,Männlich,Mecklenburg-Vorpommern,code13,15.0
2006,Prozent,Zeitreihe,Männlich,Mecklenburg-Vorpommern,code13,13.1
2007,Prozent,Zeitreihe,Männlich,Mecklenburg-Vorpommern,code13,14.0
2008,Prozent,Zeitreihe,Männlich,Mecklenburg-Vorpommern,code13,9.4
2009,Prozent,Zeitreihe,Männlich,Mecklenburg-Vorpommern,code13,9.6
2010,Prozent,Zeitreihe,Männlich,Mecklenburg-Vorpommern,code13,11.6
2011,Prozent,Zeitreihe,Männlich,Mecklenburg-Vorpommern,code13,10.9
2012,Prozent,Zeitreihe,Männlich,Mecklenburg-Vorpommern,code13,11.0
2016,Prozent,Zeitreihe,Männlich,Mecklenburg-Vorpommern,code13,14.3
2018,Prozent,Zeitreihe,Männlich,Mecklenburg-Vorpommern,code13,12.6
2019,Prozent,Zeitreihe,Männlich,Mecklenburg-Vorpommern,code13,11.8
2005,Prozent,Zeitreihe,Insgesamt,Niedersachsen,code03,16.0
2006,Prozent,Zeitreihe,Insgesamt,Niedersachsen,code03,14.6
2007,Prozent,Zeitreihe,Insgesamt,Niedersachsen,code03,14.0
2008,Prozent,Zeitreihe,Insgesamt,Niedersachsen,code03,13.0
2009,Prozent,Zeitreihe,Insgesamt,Niedersachsen,code03,12.6
