Year,Units,Bundesland,GeoCode,Value
1999,Prozent,,,23.2
2000,Prozent,,,23.6
2001,Prozent,,,24.1
2002,Prozent,,,25.0
2003,Prozent,,,26.3
2004,Prozent,,,27.0
2005,Prozent,,,28.1
2006,Prozent,,,30.1
2007,Prozent,,,29.4
2008,Prozent,,,29.2
2009,Prozent,,,31.5
2010,Prozent,,,36.7
2011,Prozent,,,36.9
2012,Prozent,,,37.0
2013,Prozent,,,36.4
2014,Prozent,,,35.5
2015,Prozent,,,34.3
2016,Prozent,,,33.7
2017,Prozent,,,32.2
2018,Prozent,,,30.2
2019,Prozent,,,29.2
2020,Prozent,,,30.6
2021,Prozent,,,25.2
1991,Prozent,,,36.5
1992,Prozent,,,38.0
1993,Prozent,,,38.5
1994,Prozent,,,39.6
1995,Prozent,,,36.9
1996,Prozent,,,37.4
1997,Prozent,,,36.0
1998,Prozent,,,34.3
1999,Prozent,,,32.9
2000,Prozent,,,31.9
2001,Prozent,,,30.8
2002,Prozent,,,27.5
2003,Prozent,,,28.6
2004,Prozent,,,28.9
2005,Prozent,,,29.0
2006,Prozent,,,32.6
2007,Prozent,,,32.4
2008,Prozent,,,33.4
2009,Prozent,,,40.6
2010,Prozent,,,48.4
2011,Prozent,,,47.7
2012,Prozent,,,50.0
2013,Prozent,,,52.7
2014,Prozent,,,52.5
2015,Prozent,,,52.4
2016,Prozent,,,52.1
2017,Prozent,,,50.1
2018,Prozent,,,48.6
2019,Prozent,,,48.6
2020,Prozent,,,51.6
2021,Prozent,,,48.9
1991,Prozent,,,5.0
1992,Prozent,,,10.4
1993,Prozent,,,8.5
1994,Prozent,,,13.2
1995,Prozent,,,14.9
1996,Prozent,,,17.6
1997,Prozent,,,19.6
1998,Prozent,,,20.9
1999,Prozent,,,21.2
2000,Prozent,,,21.1
2001,Prozent,,,20.8
2002,Prozent,,,20.1
2003,Prozent,,,20.1
2004,Prozent,,,20.1
2005,Prozent,,,20.6
2006,Prozent,,,18.1
2007,Prozent,,,16.0
2008,Prozent,,,13.3
2009,Prozent,,,11.7
2010,Prozent,,,10.7
2011,Prozent,,,9.1
2012,Prozent,,,9.2
2013,Prozent,,,8.1
2014,Prozent,,,6.8
2015,Prozent,,,5.8
2016,Prozent,,,4.5
2017,Prozent,,,3.8
2018,Prozent,,,3.4
2019,Prozent,,,2.9
2020,Prozent,,,5.8
2021,Prozent,,,6.3
1991,Prozent,,,5.4
1992,Prozent,,,15.9
1993,Prozent,,,13.0
1994,Prozent,,,19.1
1995,Prozent,,,23.1
1996,Prozent,,,27.2
1997,Prozent,,,32.8
1998,Prozent,,,36.1
1999,Prozent,,,39.4
2000,Prozent,,,41.8
2001,Prozent,,,39.1
2002,Prozent,,,39.9
2003,Prozent,,,42.5
2004,Prozent,,,43.9
2005,Prozent,,,46.9
2006,Prozent,,,47.1
2007,Prozent,,,46.4
2008,Prozent,,,44.9
2009,Prozent,,,46.8
2010,Prozent,,,47.4
2011,Prozent,,,46.4
2012,Prozent,,,44.2
2013,Prozent,,,42.4
2014,Prozent,,,41.6
2015,Prozent,,,41.5
2016,Prozent,,,39.5
2017,Prozent,,,38.7
2018,Prozent,,,36.4
2019,Prozent,,,36.3
2020,Prozent,,,37.4
2021,Prozent,,,36.6
1991,Prozent,,,23.7
1992,Prozent,,,23.6
1993,Prozent,,,23.1
1994,Prozent,,,24.2
1995,Prozent,,,24.3
1996,Prozent,,,25.4
1997,Prozent,,,26.1
1998,Prozent,,,27.0
1999,Prozent,,,27.3
2000,Prozent,,,27.5
2001,Prozent,,,27.1
2002,Prozent,,,28.6
2003,Prozent,,,29.9
2004,Prozent,,,31.3
2005,Prozent,,,32.7
2006,Prozent,,,35.0
2007,Prozent,,,34.3
2008,Prozent,,,33.6
2009,Prozent,,,38.9
2010,Prozent,,,42.1
2011,Prozent,,,41.6
2012,Prozent,,,40.7
2013,Prozent,,,39.6
2014,Prozent,,,38.7
2015,Prozent,,,37.6
2016,Prozent,,,38.5
2017,Prozent,,,36.2
2018,Prozent,,,37.0
2019,Prozent,,,35.2
2020,Prozent,,,37.0
2021,Prozent,,,36.2
1991,Prozent,,,6.7
1992,Prozent,,,12.7
1993,Prozent,,,10.3
1994,Prozent,,,16.9
1995,Prozent,,,24.9
1996,Prozent,,,28.5
1997,Prozent,,,31.5
1998,Prozent,,,30.1
1999,Prozent,,,31.8
2000,Prozent,,,33.6
2001,Prozent,,,34.5
2002,Prozent,,,35.6
2003,Prozent,,,36.3
2004,Prozent,,,37.4
2005,Prozent,,,39.7
2006,Prozent,,,41.5
2007,Prozent,,,39.3
2008,Prozent,,,37.8
2009,Prozent,,,39.9
2010,Prozent,,,39.4
2011,Prozent,,,37.1
2012,Prozent,,,36.0
2013,Prozent,,,35.7
2014,Prozent,,,33.3
2015,Prozent,,,32.2
2016,Prozent,,,30.7
2017,Prozent,,,30.2
2018,Prozent,,,27.4
2019,Prozent,,,26.4
2020,Prozent,,,28.6
2021,Prozent,,,28.1
1991,Prozent,,,11.5
1992,Prozent,,,11.6
1993,Prozent,,,11.6
1994,Prozent,,,11.7
1995,Prozent,,,12.0
1996,Prozent,,,11.8
1997,Prozent,,,12.2
1998,Prozent,,,12.1
1999,Prozent,,,11.9
2000,Prozent,,,11.7
2001,Prozent,,,11.4
2002,Prozent,,,12.1
2003,Prozent,,,12.3
2004,Prozent,,,12.8
2005,Prozent,,,13.3
2006,Prozent,,,13.5
2007,Prozent,,,12.8
2008,Prozent,,,12.5
2009,Prozent,,,17.7
2010,Prozent,,,17.0
2011,Prozent,,,16.9
2012,Prozent,,,16.6
2013,Prozent,,,16.6
2014,Prozent,,,13.5
2015,Prozent,,,13.3
2016,Prozent,,,13.0
2017,Prozent,,,11.0
2018,Prozent,,,10.2
2019,Prozent,,,10.1
2020,Prozent,,,11.3
2021,Prozent,,,10.7
1991,Prozent,,,9.3
1992,Prozent,,,9.1
1993,Prozent,,,8.9
1994,Prozent,,,8.9
1995,Prozent,,,8.6
1996,Prozent,,,8.6
1997,Prozent,,,9.2
1998,Prozent,,,9.4
1999,Prozent,,,9.4
2000,Prozent,,,9.0
2001,Prozent,,,8.5
2002,Prozent,,,8.4
2003,Prozent,,,8.9
2004,Prozent,,,9.2
2005,Prozent,,,9.4
2006,Prozent,,,9.3
2007,Prozent,,,8.6
2008,Prozent,,,8.2
2009,Prozent,,,9.7
2010,Prozent,,,9.6
2011,Prozent,,,8.8
2012,Prozent,,,8.5
2013,Prozent,,,7.8
2014,Prozent,,,7.1
2015,Prozent,,,6.4
2016,Prozent,,,5.7
2017,Prozent,,,5.0
2018,Prozent,,,4.4
2019,Prozent,,,4.0
2020,Prozent,,,5.1
2021,Prozent,,,5.2
1991,Prozent,,,11.9
1992,Prozent,,,14.0
1993,Prozent,,,16.9
1994,Prozent,,,19.4
1995,Prozent,,,25.1
1996,Prozent,,,29.3
1997,Prozent,,,32.4
1998,Prozent,,,35.0
1999,Prozent,,,37.2
2000,Prozent,,,39.1
2001,Prozent,,,44.4
2002,Prozent,,,51.9
2003,Prozent,,,57.1
2004,Prozent,,,63.1
2005,Prozent,,,65.8
2006,Prozent,,,65.1
2007,Prozent,,,59.9
2008,Prozent,,,56.5
2009,Prozent,,,59.3
2010,Prozent,,,58.5
2011,Prozent,,,56.8
2012,Prozent,,,55.5
2013,Prozent,,,53.5
2014,Prozent,,,50.4
2015,Prozent,,,47.0
2016,Prozent,,,43.6
2017,Prozent,,,40.0
2018,Prozent,,,36.3
2019,Prozent,,,34.3
2020,Prozent,,,38.6
2021,Prozent,,,38.0
1991,Prozent,,,5.6
1992,Prozent,,,14.5
1993,Prozent,,,11.9
1994,Prozent,,,19.8
1995,Prozent,,,25.4
1996,Prozent,,,28.4
1997,Prozent,,,32.1
1998,Prozent,,,33.9
1999,Prozent,,,34.4
2000,Prozent,,,34.3
2001,Prozent,,,31.9
2002,Prozent,,,33.1
2003,Prozent,,,35.3
2004,Prozent,,,37.8
2005,Prozent,,,37.6
2006,Prozent,,,37.0
2007,Prozent,,,35.8
2008,Prozent,,,34.3
2009,Prozent,,,35.5
2010,Prozent,,,39.5
2011,Prozent,,,38.0
2012,Prozent,,,36.9
2013,Prozent,,,34.5
2014,Prozent,,,31.9
2015,Prozent,,,30.9
2016,Prozent,,,29.8
2017,Prozent,,,26.6
2018,Prozent,,,24.7
2019,Prozent,,,24.1
2020,Prozent,,,26.8
2021,Prozent,,,26.0
1991,Prozent,,,41.5
1992,Prozent,,,43.3
1993,Prozent,,,45.4
1994,Prozent,,,43.3
1995,Prozent,,,42.3
1996,Prozent,,,41.7
1997,Prozent,,,41.1
1998,Prozent,,,39.8
1999,Prozent,,,37.7
2000,Prozent,,,38.2
2001,Prozent,,,38.5
2002,Prozent,,,40.5
2003,Prozent,,,43.7
2004,Prozent,,,46.1
2005,Prozent,,,49.5
2006,Prozent,,,51.3
2007,Prozent,,,53.0
2008,Prozent,,,55.9
2009,Prozent,,,64.3
2010,Prozent,,,68.5
2011,Prozent,,,69.3
2012,Prozent,,,69.0
2013,Prozent,,,69.5
2014,Prozent,,,69.1
2015,Prozent,,,71.9
2016,Prozent,,,68.0
2017,Prozent,,,65.0
2018,Prozent,,,66.0
2019,Prozent,,,90.5
2020,Prozent,,,122.0
2021,Prozent,,,106.2
1991,Prozent,,,16.1
1992,Prozent,,,16.4
1993,Prozent,,,17.9
1994,Prozent,,,18.9
1995,Prozent,,,19.2
1996,Prozent,,,20.1
1997,Prozent,,,19.8
1998,Prozent,,,19.7
1999,Prozent,,,20.5
2000,Prozent,,,21.4
2001,Prozent,,,21.5
2002,Prozent,,,21.9
2003,Prozent,,,23.2
2004,Prozent,,,23.8
2005,Prozent,,,24.3
2006,Prozent,,,24.5
2007,Prozent,,,23.6
2008,Prozent,,,22.9
2009,Prozent,,,26.2
2010,Prozent,,,26.8
2011,Prozent,,,26.3
2012,Prozent,,,25.4
2013,Prozent,,,24.8
2014,Prozent,,,27.3
2015,Prozent,,,26.7
2016,Prozent,,,28.2
2017,Prozent,,,27.9
2018,Prozent,,,28.9
2019,Prozent,,,27.0
2020,Prozent,,,30.0
2021,Prozent,,,27.9
1991,Prozent,,,15.8
1992,Prozent,,,15.7
1993,Prozent,,,15.3
1994,Prozent,,,15.9
1995,Prozent,,,16.2
1996,Prozent,,,16.4
1997,Prozent,,,16.1
1998,Prozent,,,16.5
1999,Prozent,,,16.2
2000,Prozent,,,15.4
2001,Prozent,,,14.9
2002,Prozent,,,15.5
2003,Prozent,,,16.0
2004,Prozent,,,16.9
2005,Prozent,,,17.6
2006,Prozent,,,17.3
2007,Prozent,,,16.9
2008,Prozent,,,16.8
2009,Prozent,,,19.1
2010,Prozent,,,22.9
2011,Prozent,,,23.5
2012,Prozent,,,24.8
2013,Prozent,,,24.0
2014,Prozent,,,24.8
2015,Prozent,,,23.7
2016,Prozent,,,22.6
2017,Prozent,,,20.9
2018,Prozent,,,18.6
2019,Prozent,,,18.2
2020,Prozent,,,21.1
2021,Prozent,,,19.4
1991,Prozent,,,4.7
1992,Prozent,,,8.7
1993,Prozent,,,7.3
1994,Prozent,,,12.6
1995,Prozent,,,16.6
1996,Prozent,,,22.2
1997,Prozent,,,26.1
1998,Prozent,,,29.8
1999,Prozent,,,31.8
2000,Prozent,,,33.4
2001,Prozent,,,32.3
2002,Prozent,,,34.3
2003,Prozent,,,36.0
2004,Prozent,,,38.1
2005,Prozent,,,40.5
2006,Prozent,,,39.9
2007,Prozent,,,35.8
2008,Prozent,,,34.0
2009,Prozent,,,34.0
2010,Prozent,,,35.3
2011,Prozent,,,33.4
2012,Prozent,,,33.4
2013,Prozent,,,31.4
2014,Prozent,,,29.8
2015,Prozent,,,28.8
2016,Prozent,,,25.4
2017,Prozent,,,22.2
2018,Prozent,,,21.0
2019,Prozent,,,19.4
2020,Prozent,,,21.5
2021,Prozent,,,20.5
