Year,Units,Region,GeoCode,Value
1994,Percentage,Berlin,code11,20.4
1995,Percentage,Berlin,code11,20.5
1996,Percentage,Berlin,code11,24.5
1997,Percentage,Berlin,code11,28.1
1998,Percentage,Berlin,code11,23.0
1999,Percentage,Berlin,code11,22.3
2000,Percentage,Berlin,code11,20.8
2001,Percentage,Berlin,code11,19.1
2002,Percentage,Berlin,code11,16.4
2003,Percentage,Berlin,code11,14.6
2004,Percentage,Berlin,code11,15.7
2005,Percentage,Berlin,code11,17.7
2006,Percentage,Berlin,code11,17.3
2007,Percentage,Berlin,code11,17.8
2008,Percentage,Berlin,code11,17.3
2009,Percentage,Berlin,code11,16.8
2010,Percentage,Berlin,code11,17.0
2011,Percentage,Berlin,code11,16.4
2012,Percentage,Berlin,code11,18.6
2013,Percentage,Berlin,code11,18.3
2014,Percentage,Berlin,code11,19.3
2015,Percentage,Berlin,code11,19.8
2016,Percentage,Berlin,code11,19.3
2017,Percentage,Berlin,code11,18.7
1991,Percentage,Brandenburg,code12,41.4
1992,Percentage,Brandenburg,code12,44.8
1993,Percentage,Brandenburg,code12,49.6
1994,Percentage,Brandenburg,code12,51.9
1995,Percentage,Brandenburg,code12,46.9
1996,Percentage,Brandenburg,code12,48.1
1997,Percentage,Brandenburg,code12,45.0
1998,Percentage,Brandenburg,code12,43.9
1999,Percentage,Brandenburg,code12,40.9
2000,Percentage,Brandenburg,code12,37.4
2001,Percentage,Brandenburg,code12,30.7
2002,Percentage,Brandenburg,code12,27.1
2003,Percentage,Brandenburg,code12,24.1
2004,Percentage,Brandenburg,code12,23.7
2005,Percentage,Brandenburg,code12,23.1
2006,Percentage,Brandenburg,code12,23.3
2007,Percentage,Brandenburg,code12,21.8
2008,Percentage,Brandenburg,code12,22.3
2009,Percentage,Brandenburg,code12,19.9
2010,Percentage,Brandenburg,code12,20.5
2011,Percentage,Brandenburg,code12,20.6
2012,Percentage,Brandenburg,code12,22.4
2013,Percentage,Brandenburg,code12,21.0
2014,Percentage,Brandenburg,code12,21.6
2015,Percentage,Brandenburg,code12,22.0
2016,Percentage,Brandenburg,code12,23.6
2017,Percentage,Brandenburg,code12,23.8
1991,Percentage,Bremen,code04,18.1
1992,Percentage,Bremen,code04,17.5
1993,Percentage,Bremen,code04,18.3
1994,Percentage,Bremen,code04,15.4
1995,Percentage,Bremen,code04,14.6
1996,Percentage,Bremen,code04,15.7
1997,Percentage,Bremen,code04,14.9
1998,Percentage,Bremen,code04,15.9
1999,Percentage,Bremen,code04,17.9
2000,Percentage,Bremen,code04,18.1
2001,Percentage,Bremen,code04,16.9
2002,Percentage,Bremen,code04,17.0
2003,Percentage,Bremen,code04,13.3
2004,Percentage,Bremen,code04,15.4
2005,Percentage,Bremen,code04,14.2
2006,Percentage,Bremen,code04,14.9
2007,Percentage,Bremen,code04,15.1
2008,Percentage,Bremen,code04,15.3
2009,Percentage,Bremen,code04,14.4
2010,Percentage,Bremen,code04,14.8
2011,Percentage,Bremen,code04,14.4
2012,Percentage,Bremen,code04,18.7
2013,Percentage,Bremen,code04,16.3
2014,Percentage,Bremen,code04,13.8
2015,Percentage,Bremen,code04,16.8
2016,Percentage,Bremen,code04,15.8
2017,Percentage,Bremen,code04,14.1
1991,Percentage,Hamburg,code02,16.5
1992,Percentage,Hamburg,code02,18.1
1993,Percentage,Hamburg,code02,17.1
1994,Percentage,Hamburg,code02,15.4
1995,Percentage,Hamburg,code02,14.2
1996,Percentage,Hamburg,code02,14.0
1997,Percentage,Hamburg,code02,14.7
1998,Percentage,Hamburg,code02,15.6
1999,Percentage,Hamburg,code02,14.8
2000,Percentage,Hamburg,code02,16.3
2001,Percentage,Hamburg,code02,17.9
2002,Percentage,Hamburg,code02,19.2
2003,Percentage,Hamburg,code02,18.4
2004,Percentage,Hamburg,code02,21.4
2005,Percentage,Hamburg,code02,22.6
2006,Percentage,Hamburg,code02,23.4
2007,Percentage,Hamburg,code02,25.6
2008,Percentage,Hamburg,code02,26.4
2009,Percentage,Hamburg,code02,20.4
2010,Percentage,Hamburg,code02,24.5
2011,Percentage,Hamburg,code02,20.9
2012,Percentage,Hamburg,code02,20.5
2013,Percentage,Hamburg,code02,21.1
2014,Percentage,Hamburg,code02,21.3
2015,Percentage,Hamburg,code02,21.6
2016,Percentage,Hamburg,code02,19.7
2017,Percentage,Hamburg,code02,16.3
1991,Percentage,Hesse,code06,21.9
1992,Percentage,Hesse,code06,21.4
1993,Percentage,Hesse,code06,20.5
1994,Percentage,Hesse,code06,18.3
1995,Percentage,Hesse,code06,18.7
1996,Percentage,Hesse,code06,17.4
1997,Percentage,Hesse,code06,18.0
1998,Percentage,Hesse,code06,18.4
1999,Percentage,Hesse,code06,18.6
2000,Percentage,Hesse,code06,18.4
2001,Percentage,Hesse,code06,18.7
2002,Percentage,Hesse,code06,17.0
2003,Percentage,Hesse,code06,16.2
2004,Percentage,Hesse,code06,16.3
2005,Percentage,Hesse,code06,17.9
2006,Percentage,Hesse,code06,17.4
2007,Percentage,Hesse,code06,18.3
2008,Percentage,Hesse,code06,20.0
2009,Percentage,Hesse,code06,16.7
2010,Percentage,Hesse,code06,17.6
2011,Percentage,Hesse,code06,19.2
2012,Percentage,Hesse,code06,17.7
2013,Percentage,Hesse,code06,17.9
2014,Percentage,Hesse,code06,17.3
2015,Percentage,Hesse,code06,17.1
2016,Percentage,Hesse,code06,18.0
2017,Percentage,Hesse,code06,18.6
1991,Percentage,Mecklenburg Western Pomerania,code13,49.5
1992,Percentage,Mecklenburg Western Pomerania,code13,61.6
1993,Percentage,Mecklenburg Western Pomerania,code13,60.2
1994,Percentage,Mecklenburg Western Pomerania,code13,57.6
1995,Percentage,Mecklenburg Western Pomerania,code13,55.0
1996,Percentage,Mecklenburg Western Pomerania,code13,48.1
1997,Percentage,Mecklenburg Western Pomerania,code13,43.7
1998,Percentage,Mecklenburg Western Pomerania,code13,40.5
1999,Percentage,Mecklenburg Western Pomerania,code13,37.4
2000,Percentage,Mecklenburg Western Pomerania,code13,35.3
2001,Percentage,Mecklenburg Western Pomerania,code13,30.2
2002,Percentage,Mecklenburg Western Pomerania,code13,26.2
2003,Percentage,Mecklenburg Western Pomerania,code13,25.4
2004,Percentage,Mecklenburg Western Pomerania,code13,25.0
2005,Percentage,Mecklenburg Western Pomerania,code13,26.9
2006,Percentage,Mecklenburg Western Pomerania,code13,27.6
2007,Percentage,Mecklenburg Western Pomerania,code13,23.0
2008,Percentage,Mecklenburg Western Pomerania,code13,23.7
2009,Percentage,Mecklenburg Western Pomerania,code13,21.0
2010,Percentage,Mecklenburg Western Pomerania,code13,22.2
2011,Percentage,Mecklenburg Western Pomerania,code13,24.2
2012,Percentage,Mecklenburg Western Pomerania,code13,23.6
2013,Percentage,Mecklenburg Western Pomerania,code13,20.6
2014,Percentage,Mecklenburg Western Pomerania,code13,21.5
2015,Percentage,Mecklenburg Western Pomerania,code13,21.9
2016,Percentage,Mecklenburg Western Pomerania,code13,24.1
2017,Percentage,Mecklenburg Western Pomerania,code13,23.1
1991,Percentage,Lower Saxony,code03,27.8
1992,Percentage,Lower Saxony,code03,26.4
1993,Percentage,Lower Saxony,code03,24.0
1994,Percentage,Lower Saxony,code03,23.6
1995,Percentage,Lower Saxony,code03,23.4
1996,Percentage,Lower Saxony,code03,22.9
1997,Percentage,Lower Saxony,code03,23.7
1998,Percentage,Lower Saxony,code03,24.8
1999,Percentage,Lower Saxony,code03,26.3
2000,Percentage,Lower Saxony,code03,26.6
2001,Percentage,Lower Saxony,code03,25.3
2002,Percentage,Lower Saxony,code03,23.9
2003,Percentage,Lower Saxony,code03,24.8
2004,Percentage,Lower Saxony,code03,21.7
2005,Percentage,Lower Saxony,code03,19.9
2006,Percentage,Lower Saxony,code03,20.8
2007,Percentage,Lower Saxony,code03,21.5
2008,Percentage,Lower Saxony,code03,20.8
2009,Percentage,Lower Saxony,code03,22.8
2010,Percentage,Lower Saxony,code03,22.4
2011,Percentage,Lower Saxony,code03,24.0
2012,Percentage,Lower Saxony,code03,24.4
2013,Percentage,Lower Saxony,code03,24.4
2014,Percentage,Lower Saxony,code03,24.4
2015,Percentage,Lower Saxony,code03,24.9
2016,Percentage,Lower Saxony,code03,24.7
2017,Percentage,Lower Saxony,code03,25.4
1991,Percentage,North Rhine-Westphalia,code05,20.5
1992,Percentage,North Rhine-Westphalia,code05,20.2
1993,Percentage,North Rhine-Westphalia,code05,18.4
1994,Percentage,North Rhine-Westphalia,code05,17.9
1995,Percentage,North Rhine-Westphalia,code05,17.1
1996,Percentage,North Rhine-Westphalia,code05,17.2
1997,Percentage,North Rhine-Westphalia,code05,17.1
1998,Percentage,North Rhine-Westphalia,code05,17.7
1999,Percentage,North Rhine-Westphalia,code05,19.2
2000,Percentage,North Rhine-Westphalia,code05,19.7
2001,Percentage,North Rhine-Westphalia,code05,19.0
2002,Percentage,North Rhine-Westphalia,code05,17.1
2003,Percentage,North Rhine-Westphalia,code05,16.3
2004,Percentage,North Rhine-Westphalia,code05,15.7
2005,Percentage,North Rhine-Westphalia,code05,16.7
2006,Percentage,North Rhine-Westphalia,code05,16.2
2007,Percentage,North Rhine-Westphalia,code05,16.3
2008,Percentage,North Rhine-Westphalia,code05,16.3
2009,Percentage,North Rhine-Westphalia,code05,15.9
2010,Percentage,North Rhine-Westphalia,code05,16.0
2011,Percentage,North Rhine-Westphalia,code05,16.6
2012,Percentage,North Rhine-Westphalia,code05,15.9
2013,Percentage,North Rhine-Westphalia,code05,15.8
2014,Percentage,North Rhine-Westphalia,code05,16.1
2015,Percentage,North Rhine-Westphalia,code05,15.7
2016,Percentage,North Rhine-Westphalia,code05,16.1
2017,Percentage,North Rhine-Westphalia,code05,16.7
1991,Percentage,Rhineland Palatinate,code07,23.7
1992,Percentage,Rhineland Palatinate,code07,22.7
1993,Percentage,Rhineland Palatinate,code07,21.9
1994,Percentage,Rhineland Palatinate,code07,22.7
1995,Percentage,Rhineland Palatinate,code07,22.9
1996,Percentage,Rhineland Palatinate,code07,21.2
1997,Percentage,Rhineland Palatinate,code07,21.8
1998,Percentage,Rhineland Palatinate,code07,22.8
1999,Percentage,Rhineland Palatinate,code07,23.2
2000,Percentage,Rhineland Palatinate,code07,23.9
2001,Percentage,Rhineland Palatinate,code07,21.9
2002,Percentage,Rhineland Palatinate,code07,21.8
2003,Percentage,Rhineland Palatinate,code07,19.5
2004,Percentage,Rhineland Palatinate,code07,18.9
2005,Percentage,Rhineland Palatinate,code07,18.7
2006,Percentage,Rhineland Palatinate,code07,19.4
2007,Percentage,Rhineland Palatinate,code07,20.3
2008,Percentage,Rhineland Palatinate,code07,20.2
2009,Percentage,Rhineland Palatinate,code07,20.6
2010,Percentage,Rhineland Palatinate,code07,20.0
2011,Percentage,Rhineland Palatinate,code07,21.1
2012,Percentage,Rhineland Palatinate,code07,20.5
2013,Percentage,Rhineland Palatinate,code07,21.2
2014,Percentage,Rhineland Palatinate,code07,21.4
2015,Percentage,Rhineland Palatinate,code07,20.9
2016,Percentage,Rhineland Palatinate,code07,20.5
2017,Percentage,Rhineland Palatinate,code07,21.1
1991,Percentage,Saarland,code10,20.7
1992,Percentage,Saarland,code10,20.3
1993,Percentage,Saarland,code10,18.6
1994,Percentage,Saarland,code10,19.6
1995,Percentage,Saarland,code10,20.5
1996,Percentage,Saarland,code10,21.0
1997,Percentage,Saarland,code10,21.2
1998,Percentage,Saarland,code10,24.6
1999,Percentage,Saarland,code10,23.6
2000,Percentage,Saarland,code10,23.4
2001,Percentage,Saarland,code10,18.6
2002,Percentage,Saarland,code10,18.9
2003,Percentage,Saarland,code10,18.8
2004,Percentage,Saarland,code10,15.8
2005,Percentage,Saarland,code10,15.1
2006,Percentage,Saarland,code10,16.2
2007,Percentage,Saarland,code10,16.7
2008,Percentage,Saarland,code10,16.5
2009,Percentage,Saarland,code10,15.0
2010,Percentage,Saarland,code10,18.2
2011,Percentage,Saarland,code10,17.3
2012,Percentage,Saarland,code10,16.9
2013,Percentage,Saarland,code10,17.5
2014,Percentage,Saarland,code10,17.6
2015,Percentage,Saarland,code10,18.0
2016,Percentage,Saarland,code10,17.3
2017,Percentage,Saarland,code10,16.7
1991,Percentage,Saxony,code14,42.7
1992,Percentage,Saxony,code14,41.6
1993,Percentage,Saxony,code14,39.3
1994,Percentage,Saxony,code14,46.5
1995,Percentage,Saxony,code14,46.1
1996,Percentage,Saxony,code14,45.6
1997,Percentage,Saxony,code14,43.0
1998,Percentage,Saxony,code14,39.0
1999,Percentage,Saxony,code14,36.3
2000,Percentage,Saxony,code14,35.4
2001,Percentage,Saxony,code14,27.2
2002,Percentage,Saxony,code14,23.0
2003,Percentage,Saxony,code14,22.8
2004,Percentage,Saxony,code14,23.2
2005,Percentage,Saxony,code14,21.3
2006,Percentage,Saxony,code14,20.9
2007,Percentage,Saxony,code14,23.8
2008,Percentage,Saxony,code14,22.2
2009,Percentage,Saxony,code14,20.9
2010,Percentage,Saxony,code14,22.6
2011,Percentage,Saxony,code14,23.7
2012,Percentage,Saxony,code14,23.0
2013,Percentage,Saxony,code14,21.2
2014,Percentage,Saxony,code14,20.9
2015,Percentage,Saxony,code14,19.3
2016,Percentage,Saxony,code14,21.2
2017,Percentage,Saxony,code14,20.1
1991,Percentage,Saxony-Anhalt,code15,42.8
1992,Percentage,Saxony-Anhalt,code15,54.2
1993,Percentage,Saxony-Anhalt,code15,53.4
1994,Percentage,Saxony-Anhalt,code15,54.9
1995,Percentage,Saxony-Anhalt,code15,52.9
1996,Percentage,Saxony-Anhalt,code15,44.9
1997,Percentage,Saxony-Anhalt,code15,41.7
1998,Percentage,Saxony-Anhalt,code15,41.0
1999,Percentage,Saxony-Anhalt,code15,36.7
2000,Percentage,Saxony-Anhalt,code15,33.8
2001,Percentage,Saxony-Anhalt,code15,25.8
2002,Percentage,Saxony-Anhalt,code15,23.1
2003,Percentage,Saxony-Anhalt,code15,22.1
2004,Percentage,Saxony-Anhalt,code15,22.2
2005,Percentage,Saxony-Anhalt,code15,20.5
2006,Percentage,Saxony-Anhalt,code15,19.0
2007,Percentage,Saxony-Anhalt,code15,19.5
2008,Percentage,Saxony-Anhalt,code15,19.6
2009,Percentage,Saxony-Anhalt,code15,21.2
2010,Percentage,Saxony-Anhalt,code15,19.8
2011,Percentage,Saxony-Anhalt,code15,18.9
2012,Percentage,Saxony-Anhalt,code15,19.7
2013,Percentage,Saxony-Anhalt,code15,18.7
2014,Percentage,Saxony-Anhalt,code15,18.3
2015,Percentage,Saxony-Anhalt,code15,18.8
2016,Percentage,Saxony-Anhalt,code15,19.0
2017,Percentage,Saxony-Anhalt,code15,18.9
1991,Percentage,Schleswig-Holstein,code01,21.7
1992,Percentage,Schleswig-Holstein,code01,22.3
1993,Percentage,Schleswig-Holstein,code01,21.2
1994,Percentage,Schleswig-Holstein,code01,22.1
1995,Percentage,Schleswig-Holstein,code01,22.9
1996,Percentage,Schleswig-Holstein,code01,21.4
1997,Percentage,Schleswig-Holstein,code01,21.8
1998,Percentage,Schleswig-Holstein,code01,23.0
1999,Percentage,Schleswig-Holstein,code01,23.8
2000,Percentage,Schleswig-Holstein,code01,22.8
2001,Percentage,Schleswig-Holstein,code01,20.5
2002,Percentage,Schleswig-Holstein,code01,18.3
2003,Percentage,Schleswig-Holstein,code01,18.1
2004,Percentage,Schleswig-Holstein,code01,17.3
2005,Percentage,Schleswig-Holstein,code01,17.4
2006,Percentage,Schleswig-Holstein,code01,19.8
2007,Percentage,Schleswig-Holstein,code01,19.9
2008,Percentage,Schleswig-Holstein,code01,19.9
2009,Percentage,Schleswig-Holstein,code01,18.6
2010,Percentage,Schleswig-Holstein,code01,21.2
2011,Percentage,Schleswig-Holstein,code01,22.7
2012,Percentage,Schleswig-Holstein,code01,21.5
2013,Percentage,Schleswig-Holstein,code01,18.9
2014,Percentage,Schleswig-Holstein,code01,21.5
2015,Percentage,Schleswig-Holstein,code01,20.6
2016,Percentage,Schleswig-Holstein,code01,23.2
2017,Percentage,Schleswig-Holstein,code01,21.6
1991,Percentage,Thuringia,code16,45.8
1992,Percentage,Thuringia,code16,52.5
1993,Percentage,Thuringia,code16,55.6
1994,Percentage,Thuringia,code16,55.6
1995,Percentage,Thuringia,code16,50.2
1996,Percentage,Thuringia,code16,39.6
1997,Percentage,Thuringia,code16,38.7
1998,Percentage,Thuringia,code16,36.8
1999,Percentage,Thuringia,code16,38.2
2000,Percentage,Thuringia,code16,34.1
2001,Percentage,Thuringia,code16,31.7
2002,Percentage,Thuringia,code16,26.4
2003,Percentage,Thuringia,code16,26.4
2004,Percentage,Thuringia,code16,22.4
2005,Percentage,Thuringia,code16,23.1
2006,Percentage,Thuringia,code16,23.4
2007,Percentage,Thuringia,code16,24.1
2008,Percentage,Thuringia,code16,26.2
2009,Percentage,Thuringia,code16,22.2
2010,Percentage,Thuringia,code16,21.3
2011,Percentage,Thuringia,code16,22.0
2012,Percentage,Thuringia,code16,21.8
2013,Percentage,Thuringia,code16,20.0
2014,Percentage,Thuringia,code16,20.0
2015,Percentage,Thuringia,code16,19.1
2016,Percentage,Thuringia,code16,20.8
2017,Percentage,Thuringia,code16,19.1
