Year,Units,Time series,Sex,Federal state,GeoCode,Value
2018,Percentage,Total,Female,Baden-Wuerttemberg,code08,52.28
2019,Percentage,Total,Female,Baden-Wuerttemberg,code08,56.61
2020,Percentage,Total,Female,Baden-Wuerttemberg,code08,56.92
2005,Percentage,Total,Male,Baden-Wuerttemberg,code08,40.5
2006,Percentage,Total,Male,Baden-Wuerttemberg,code08,39.4
2007,Percentage,Total,Male,Baden-Wuerttemberg,code08,39.5
2008,Percentage,Total,Male,Baden-Wuerttemberg,code08,39.7
2009,Percentage,Total,Male,Baden-Wuerttemberg,code08,42.8
2010,Percentage,Total,Male,Baden-Wuerttemberg,code08,43.9
2011,Percentage,Total,Male,Baden-Wuerttemberg,code08,44.9
2012,Percentage,Total,Male,Baden-Wuerttemberg,code08,45.4
2013,Percentage,Total,Male,Baden-Wuerttemberg,code08,48.4
2014,Percentage,Total,Male,Baden-Wuerttemberg,code08,46.6
2015,Percentage,Total,Male,Baden-Wuerttemberg,code08,47.2
2016,Percentage,Total,Male,Baden-Wuerttemberg,code08,49.5
2017,Percentage,Total,Male,Baden-Wuerttemberg,code08,49.9
2018,Percentage,Total,Male,Baden-Wuerttemberg,code08,50.58
2019,Percentage,Total,Male,Baden-Wuerttemberg,code08,51.45
2020,Percentage,Total,Male,Baden-Wuerttemberg,code08,51.57
2005,Percentage,Total,,Bavaria,code09,35.15
2006,Percentage,Total,,Bavaria,code09,34.7
2007,Percentage,Total,,Bavaria,code09,35.8
2008,Percentage,Total,,Bavaria,code09,37.5
2009,Percentage,Total,,Bavaria,code09,39.4
2010,Percentage,Total,,Bavaria,code09,40.39
2011,Percentage,Total,,Bavaria,code09,41.1
2012,Percentage,Total,,Bavaria,code09,43.58
2013,Percentage,Total,,Bavaria,code09,45.31
2014,Percentage,Total,,Bavaria,code09,45.82
2015,Percentage,Total,,Bavaria,code09,45.68
2016,Percentage,Total,,Bavaria,code09,48.01
2017,Percentage,Total,,Bavaria,code09,48.76
2018,Percentage,Total,,Bavaria,code09,50.03
2019,Percentage,Total,,Bavaria,code09,49.55
2020,Percentage,Total,,Bavaria,code09,51.07
2005,Percentage,Total,Female,Bavaria,code09,32.9
2006,Percentage,Total,Female,Bavaria,code09,33.1
2007,Percentage,Total,Female,Bavaria,code09,34.8
2008,Percentage,Total,Female,Bavaria,code09,36.8
2009,Percentage,Total,Female,Bavaria,code09,38.5
2010,Percentage,Total,Female,Bavaria,code09,40.2
2011,Percentage,Total,Female,Bavaria,code09,41.6
2012,Percentage,Total,Female,Bavaria,code09,44.8
2013,Percentage,Total,Female,Bavaria,code09,45.3
2014,Percentage,Total,Female,Bavaria,code09,46.1
2015,Percentage,Total,Female,Bavaria,code09,47.4
2016,Percentage,Total,Female,Bavaria,code09,49.5
2017,Percentage,Total,Female,Bavaria,code09,50.8
2018,Percentage,Total,Female,Bavaria,code09,52.18
2019,Percentage,Total,Female,Bavaria,code09,50.82
2020,Percentage,Total,Female,Bavaria,code09,52.57
2005,Percentage,Total,Male,Bavaria,code09,37.4
2006,Percentage,Total,Male,Bavaria,code09,36.2
2007,Percentage,Total,Male,Bavaria,code09,36.9
2008,Percentage,Total,Male,Bavaria,code09,38.3
2009,Percentage,Total,Male,Bavaria,code09,40.3
2010,Percentage,Total,Male,Bavaria,code09,40.6
2011,Percentage,Total,Male,Bavaria,code09,40.7
2012,Percentage,Total,Male,Bavaria,code09,42.4
2013,Percentage,Total,Male,Bavaria,code09,45.3
2014,Percentage,Total,Male,Bavaria,code09,45.5
2015,Percentage,Total,Male,Bavaria,code09,43.9
2016,Percentage,Total,Male,Bavaria,code09,46.6
2017,Percentage,Total,Male,Bavaria,code09,46.9
2018,Percentage,Total,Male,Bavaria,code09,48.05
2019,Percentage,Total,Male,Bavaria,code09,48.34
2020,Percentage,Total,Male,Bavaria,code09,49.67
2005,Percentage,Total,,Berlin,code11,46.17
2006,Percentage,Total,,Berlin,code11,46.6
2007,Percentage,Total,,Berlin,code11,49.2
2008,Percentage,Total,,Berlin,code11,47.1
2009,Percentage,Total,,Berlin,code11,50.4
2010,Percentage,Total,,Berlin,code11,50.74
2011,Percentage,Total,,Berlin,code11,51.84
2012,Percentage,Total,,Berlin,code11,53.7
2013,Percentage,Total,,Berlin,code11,53.23
2014,Percentage,Total,,Berlin,code11,53.96
2015,Percentage,Total,,Berlin,code11,56.68
2016,Percentage,Total,,Berlin,code11,59.72
2017,Percentage,Total,,Berlin,code11,60.9
2018,Percentage,Total,,Berlin,code11,62.66
2019,Percentage,Total,,Berlin,code11,64.8
2020,Percentage,Total,,Berlin,code11,65.59
2005,Percentage,Total,Female,Berlin,code11,47.1
2006,Percentage,Total,Female,Berlin,code11,50.1
2007,Percentage,Total,Female,Berlin,code11,53.0
2008,Percentage,Total,Female,Berlin,code11,49.9
2009,Percentage,Total,Female,Berlin,code11,56.2
2010,Percentage,Total,Female,Berlin,code11,56.0
2011,Percentage,Total,Female,Berlin,code11,59.3
2012,Percentage,Total,Female,Berlin,code11,60.2
2013,Percentage,Total,Female,Berlin,code11,59.1
2014,Percentage,Total,Female,Berlin,code11,59.8
2015,Percentage,Total,Female,Berlin,code11,63.7
2016,Percentage,Total,Female,Berlin,code11,63.6
2017,Percentage,Total,Female,Berlin,code11,66.1
2018,Percentage,Total,Female,Berlin,code11,66.99
2019,Percentage,Total,Female,Berlin,code11,69.18
2020,Percentage,Total,Female,Berlin,code11,69.73
2005,Percentage,Total,Male,Berlin,code11,45.3
2006,Percentage,Total,Male,Berlin,code11,43.2
2007,Percentage,Total,Male,Berlin,code11,45.5
2008,Percentage,Total,Male,Berlin,code11,44.5
2009,Percentage,Total,Male,Berlin,code11,44.4
2010,Percentage,Total,Male,Berlin,code11,45.8
2011,Percentage,Total,Male,Berlin,code11,44.7
2012,Percentage,Total,Male,Berlin,code11,47.5
2013,Percentage,Total,Male,Berlin,code11,47.6
2014,Percentage,Total,Male,Berlin,code11,48.4
2015,Percentage,Total,Male,Berlin,code11,49.7
2016,Percentage,Total,Male,Berlin,code11,55.7
2017,Percentage,Total,Male,Berlin,code11,55.7
2018,Percentage,Total,Male,Berlin,code11,58.27
2019,Percentage,Total,Male,Berlin,code11,60.32
2020,Percentage,Total,Male,Berlin,code11,61.81
2005,Percentage,Total,,Brandenburg,code12,32.11
2006,Percentage,Total,,Brandenburg,code12,33.2
2007,Percentage,Total,,Brandenburg,code12,34.7
2008,Percentage,Total,,Brandenburg,code12,38.6
2009,Percentage,Total,,Brandenburg,code12,41.1
2010,Percentage,Total,,Brandenburg,code12,41.4
2011,Percentage,Total,,Brandenburg,code12,44.47
2012,Percentage,Total,,Brandenburg,code12,42.08
2013,Percentage,Total,,Brandenburg,code12,42.57
2014,Percentage,Total,,Brandenburg,code12,44.17
2015,Percentage,Total,,Brandenburg,code12,43.26
2016,Percentage,Total,,Brandenburg,code12,45.41
2017,Percentage,Total,,Brandenburg,code12,42.42
2018,Percentage,Total,,Brandenburg,code12,45.28
2019,Percentage,Total,,Brandenburg,code12,44.44
2020,Percentage,Total,,Brandenburg,code12,50.15
2005,Percentage,Total,Female,Brandenburg,code12,36.9
2006,Percentage,Total,Female,Brandenburg,code12,39.5
2007,Percentage,Total,Female,Brandenburg,code12,42.2
2008,Percentage,Total,Female,Brandenburg,code12,47.1
2009,Percentage,Total,Female,Brandenburg,code12,47.8
2010,Percentage,Total,Female,Brandenburg,code12,50.2
2011,Percentage,Total,Female,Brandenburg,code12,53.6
2012,Percentage,Total,Female,Brandenburg,code12,51.6
2013,Percentage,Total,Female,Brandenburg,code12,49.0
2014,Percentage,Total,Female,Brandenburg,code12,50.5
2015,Percentage,Total,Female,Brandenburg,code12,53.2
2016,Percentage,Total,Female,Brandenburg,code12,54.2
2017,Percentage,Total,Female,Brandenburg,code12,48.4
2018,Percentage,Total,Female,Brandenburg,code12,53.54
2019,Percentage,Total,Female,Brandenburg,code12,52.09
2020,Percentage,Total,Female,Brandenburg,code12,57.13
2005,Percentage,Total,Male,Brandenburg,code12,27.5
2006,Percentage,Total,Male,Brandenburg,code12,27.5
2007,Percentage,Total,Male,Brandenburg,code12,27.3
2008,Percentage,Total,Male,Brandenburg,code12,30.4
2009,Percentage,Total,Male,Brandenburg,code12,35.2
2010,Percentage,Total,Male,Brandenburg,code12,33.4
2011,Percentage,Total,Male,Brandenburg,code12,35.8
2012,Percentage,Total,Male,Brandenburg,code12,33.9
2013,Percentage,Total,Male,Brandenburg,code12,36.5
2014,Percentage,Total,Male,Brandenburg,code12,37.6
2015,Percentage,Total,Male,Brandenburg,code12,34.1
2016,Percentage,Total,Male,Brandenburg,code12,36.9
2017,Percentage,Total,Male,Brandenburg,code12,36.8
2018,Percentage,Total,Male,Brandenburg,code12,36.84
2019,Percentage,Total,Male,Brandenburg,code12,36.72
2020,Percentage,Total,Male,Brandenburg,code12,43.02
2005,Percentage,Total,,Bremen,code04,33.79
2006,Percentage,Total,,Bremen,code04,36.8
2007,Percentage,Total,,Bremen,code04,38.2
2008,Percentage,Total,,Bremen,code04,39.4
2009,Percentage,Total,,Bremen,code04,32.7
2010,Percentage,Total,,Bremen,code04,41.46
2011,Percentage,Total,,Bremen,code04,43.16
2012,Percentage,Total,,Bremen,code04,41.83
2013,Percentage,Total,,Bremen,code04,44.32
2014,Percentage,Total,,Bremen,code04,53.39
2015,Percentage,Total,,Bremen,code04,50.5
2016,Percentage,Total,,Bremen,code04,46.57
2017,Percentage,Total,,Bremen,code04,52.05
2018,Percentage,Total,,Bremen,code04,52.3
2019,Percentage,Total,,Bremen,code04,49.13
2020,Percentage,Total,,Bremen,code04,49.88
2005,Percentage,Total,Female,Bremen,code04,35.3
2006,Percentage,Total,Female,Bremen,code04,40.1
2007,Percentage,Total,Female,Bremen,code04,40.3
2008,Percentage,Total,Female,Bremen,code04,40.8
2009,Percentage,Total,Female,Bremen,code04,36.1
2010,Percentage,Total,Female,Bremen,code04,36.9
2011,Percentage,Total,Female,Bremen,code04,47.8
2012,Percentage,Total,Female,Bremen,code04,46.0
2013,Percentage,Total,Female,Bremen,code04,48.2
2014,Percentage,Total,Female,Bremen,code04,57.5
2015,Percentage,Total,Female,Bremen,code04,54.6
2016,Percentage,Total,Female,Bremen,code04,50.1
2017,Percentage,Total,Female,Bremen,code04,57.0
2018,Percentage,Total,Female,Bremen,code04,56.81
2019,Percentage,Total,Female,Bremen,code04,56.67
2020,Percentage,Total,Female,Bremen,code04,58.77
2005,Percentage,Total,Male,Bremen,code04,32.3
2006,Percentage,Total,Male,Bremen,code04,33.9
2007,Percentage,Total,Male,Bremen,code04,36.3
2008,Percentage,Total,Male,Bremen,code04,38.0
2009,Percentage,Total,Male,Bremen,code04,28.8
2010,Percentage,Total,Male,Bremen,code04,46.5
2011,Percentage,Total,Male,Bremen,code04,37.8
2012,Percentage,Total,Male,Bremen,code04,38.1
2013,Percentage,Total,Male,Bremen,code04,41.3
2014,Percentage,Total,Male,Bremen,code04,49.6
2015,Percentage,Total,Male,Bremen,code04,46.8
2016,Percentage,Total,Male,Bremen,code04,42.7
2017,Percentage,Total,Male,Bremen,code04,47.3
2018,Percentage,Total,Male,Bremen,code04,47.9
2019,Percentage,Total,Male,Bremen,code04,42.25
2020,Percentage,Total,Male,Bremen,code04,41.74
2005,Percentage,Total,,Hamburg,code02,45.72
2006,Percentage,Total,,Hamburg,code02,48.6
2007,Percentage,Total,,Hamburg,code02,49.4
2008,Percentage,Total,,Hamburg,code02,50.1
2009,Percentage,Total,,Hamburg,code02,53.1
2010,Percentage,Total,,Hamburg,code02,52.5
2011,Percentage,Total,,Hamburg,code02,55.37
2012,Percentage,Total,,Hamburg,code02,54.42
2013,Percentage,Total,,Hamburg,code02,55.4
2014,Percentage,Total,,Hamburg,code02,58.52
2015,Percentage,Total,,Hamburg,code02,60.57
2016,Percentage,Total,,Hamburg,code02,59.97
2017,Percentage,Total,,Hamburg,code02,58.39
2018,Percentage,Total,,Hamburg,code02,62.48
2019,Percentage,Total,,Hamburg,code02,60.12
2020,Percentage,Total,,Hamburg,code02,60.17
2005,Percentage,Total,Female,Hamburg,code02,47.5
2006,Percentage,Total,Female,Hamburg,code02,49.0
2007,Percentage,Total,Female,Hamburg,code02,53.8
2008,Percentage,Total,Female,Hamburg,code02,53.0
2009,Percentage,Total,Female,Hamburg,code02,54.0
2010,Percentage,Total,Female,Hamburg,code02,53.8
2011,Percentage,Total,Female,Hamburg,code02,57.1
2012,Percentage,Total,Female,Hamburg,code02,57.6
2013,Percentage,Total,Female,Hamburg,code02,60.1
2014,Percentage,Total,Female,Hamburg,code02,61.4
2015,Percentage,Total,Female,Hamburg,code02,62.5
2016,Percentage,Total,Female,Hamburg,code02,62.1
2017,Percentage,Total,Female,Hamburg,code02,63.0
2018,Percentage,Total,Female,Hamburg,code02,64.88
2019,Percentage,Total,Female,Hamburg,code02,61.18
2020,Percentage,Total,Female,Hamburg,code02,63.23
2005,Percentage,Total,Male,Hamburg,code02,44.1
2006,Percentage,Total,Male,Hamburg,code02,48.3
2007,Percentage,Total,Male,Hamburg,code02,45.2
2008,Percentage,Total,Male,Hamburg,code02,47.1
2009,Percentage,Total,Male,Hamburg,code02,52.2
2010,Percentage,Total,Male,Hamburg,code02,51.3
2011,Percentage,Total,Male,Hamburg,code02,53.6
2012,Percentage,Total,Male,Hamburg,code02,51.1
2013,Percentage,Total,Male,Hamburg,code02,50.7
2014,Percentage,Total,Male,Hamburg,code02,55.4
2015,Percentage,Total,Male,Hamburg,code02,58.5
2016,Percentage,Total,Male,Hamburg,code02,58.0
2017,Percentage,Total,Male,Hamburg,code02,53.7
2018,Percentage,Total,Male,Hamburg,code02,60.04
2019,Percentage,Total,Male,Hamburg,code02,59.1
2020,Percentage,Total,Male,Hamburg,code02,57.17
2005,Percentage,Total,,Hesse,code06,40.65
2006,Percentage,Total,,Hesse,code06,40.2
2007,Percentage,Total,,Hesse,code06,40.9
2008,Percentage,Total,,Hesse,code06,40.3
2009,Percentage,Total,,Hesse,code06,43.1
2010,Percentage,Total,,Hesse,code06,45.45
2011,Percentage,Total,,Hesse,code06,46.11
2012,Percentage,Total,,Hesse,code06,47.16
2013,Percentage,Total,,Hesse,code06,47.57
2014,Percentage,Total,,Hesse,code06,46.33
2015,Percentage,Total,,Hesse,code06,49.36
2016,Percentage,Total,,Hesse,code06,50.41
2017,Percentage,Total,,Hesse,code06,54.08
2018,Percentage,Total,,Hesse,code06,52.44
2019,Percentage,Total,,Hesse,code06,52.73
2020,Percentage,Total,,Hesse,code06,52.76
2005,Percentage,Total,Female,Hesse,code06,38.7
2006,Percentage,Total,Female,Hesse,code06,38.8
2007,Percentage,Total,Female,Hesse,code06,39.8
2008,Percentage,Total,Female,Hesse,code06,40.6
2009,Percentage,Total,Female,Hesse,code06,44.1
2010,Percentage,Total,Female,Hesse,code06,46.3
2011,Percentage,Total,Female,Hesse,code06,46.7
2012,Percentage,Total,Female,Hesse,code06,48.0
2013,Percentage,Total,Female,Hesse,code06,48.9
2014,Percentage,Total,Female,Hesse,code06,47.9
2015,Percentage,Total,Female,Hesse,code06,52.1
2016,Percentage,Total,Female,Hesse,code06,53.0
2017,Percentage,Total,Female,Hesse,code06,58.5
2018,Percentage,Total,Female,Hesse,code06,57.0
2019,Percentage,Total,Female,Hesse,code06,57.35
2020,Percentage,Total,Female,Hesse,code06,54.52
2005,Percentage,Total,Male,Hesse,code06,42.6
2006,Percentage,Total,Male,Hesse,code06,41.6
2007,Percentage,Total,Male,Hesse,code06,41.9
2008,Percentage,Total,Male,Hesse,code06,39.9
2009,Percentage,Total,Male,Hesse,code06,42.0
2010,Percentage,Total,Male,Hesse,code06,44.6
2011,Percentage,Total,Male,Hesse,code06,45.5
2012,Percentage,Total,Male,Hesse,code06,46.3
2013,Percentage,Total,Male,Hesse,code06,46.1
2014,Percentage,Total,Male,Hesse,code06,44.8
2015,Percentage,Total,Male,Hesse,code06,46.6
2016,Percentage,Total,Male,Hesse,code06,47.8
2017,Percentage,Total,Male,Hesse,code06,49.6
2018,Percentage,Total,Male,Hesse,code06,48.01
2019,Percentage,Total,Male,Hesse,code06,48.34
2020,Percentage,Total,Male,Hesse,code06,51.06
2005,Percentage,Total,,Mecklenburg Western Pomerania,code13,26.35
2006,Percentage,Total,,Mecklenburg Western Pomerania,code13,31.1
2007,Percentage,Total,,Mecklenburg Western Pomerania,code13,30.5
2008,Percentage,Total,,Mecklenburg Western Pomerania,code13,32.3
2009,Percentage,Total,,Mecklenburg Western Pomerania,code13,32.3
2010,Percentage,Total,,Mecklenburg Western Pomerania,code13,33.17
2011,Percentage,Total,,Mecklenburg Western Pomerania,code13,32.11
2012,Percentage,Total,,Mecklenburg Western Pomerania,code13,30.77
2013,Percentage,Total,,Mecklenburg Western Pomerania,code13,33.24
2014,Percentage,Total,,Mecklenburg Western Pomerania,code13,35.45
2015,Percentage,Total,,Mecklenburg Western Pomerania,code13,34.82
2016,Percentage,Total,,Mecklenburg Western Pomerania,code13,32.65
2017,Percentage,Total,,Mecklenburg Western Pomerania,code13,32.71
2018,Percentage,Total,,Mecklenburg Western Pomerania,code13,37.94
2019,Percentage,Total,,Mecklenburg Western Pomerania,code13,38.66
2020,Percentage,Total,,Mecklenburg Western Pomerania,code13,39.38
2005,Percentage,Total,Female,Mecklenburg Western Pomerania,code13,27.0
2006,Percentage,Total,Female,Mecklenburg Western Pomerania,code13,37.3
2007,Percentage,Total,Female,Mecklenburg Western Pomerania,code13,37.2
2008,Percentage,Total,Female,Mecklenburg Western Pomerania,code13,39.4
2009,Percentage,Total,Female,Mecklenburg Western Pomerania,code13,37.4
2010,Percentage,Total,Female,Mecklenburg Western Pomerania,code13,36.5
2011,Percentage,Total,Female,Mecklenburg Western Pomerania,code13,35.3
2012,Percentage,Total,Female,Mecklenburg Western Pomerania,code13,38.5
2013,Percentage,Total,Female,Mecklenburg Western Pomerania,code13,42.1
2014,Percentage,Total,Female,Mecklenburg Western Pomerania,code13,43.3
2015,Percentage,Total,Female,Mecklenburg Western Pomerania,code13,44.1
2016,Percentage,Total,Female,Mecklenburg Western Pomerania,code13,39.2
2017,Percentage,Total,Female,Mecklenburg Western Pomerania,code13,39.7
2018,Percentage,Total,Female,Mecklenburg Western Pomerania,code13,44.36
2019,Percentage,Total,Female,Mecklenburg Western Pomerania,code13,41.24
2020,Percentage,Total,Female,Mecklenburg Western Pomerania,code13,45.98
2005,Percentage,Total,Male,Mecklenburg Western Pomerania,code13,25.8
2006,Percentage,Total,Male,Mecklenburg Western Pomerania,code13,26.1
2007,Percentage,Total,Male,Mecklenburg Western Pomerania,code13,25.0
2008,Percentage,Total,Male,Mecklenburg Western Pomerania,code13,26.7
2009,Percentage,Total,Male,Mecklenburg Western Pomerania,code13,27.7
2010,Percentage,Total,Male,Mecklenburg Western Pomerania,code13,30.4
2011,Percentage,Total,Male,Mecklenburg Western Pomerania,code13,29.3
2012,Percentage,Total,Male,Mecklenburg Western Pomerania,code13,23.9
2013,Percentage,Total,Male,Mecklenburg Western Pomerania,code13,25.4
2014,Percentage,Total,Male,Mecklenburg Western Pomerania,code13,28.3
2015,Percentage,Total,Male,Mecklenburg Western Pomerania,code13,26.9
2016,Percentage,Total,Male,Mecklenburg Western Pomerania,code13,27.0
2017,Percentage,Total,Male,Mecklenburg Western Pomerania,code13,26.1
2018,Percentage,Total,Male,Mecklenburg Western Pomerania,code13,32.37
2019,Percentage,Total,Male,Mecklenburg Western Pomerania,code13,36.44
2020,Percentage,Total,Male,Mecklenburg Western Pomerania,code13,33.21
2005,Percentage,Total,,Lower Saxony,code03,32.06
2006,Percentage,Total,,Lower Saxony,code03,31.7
2007,Percentage,Total,,Lower Saxony,code03,33.0
2008,Percentage,Total,,Lower Saxony,code03,34.0
2009,Percentage,Total,,Lower Saxony,code03,35.6
2010,Percentage,Total,,Lower Saxony,code03,36.19
2011,Percentage,Total,,Lower Saxony,code03,37.46
2012,Percentage,Total,,Lower Saxony,code03,38.13
2013,Percentage,Total,,Lower Saxony,code03,37.89
2014,Percentage,Total,,Lower Saxony,code03,40.07
2015,Percentage,Total,,Lower Saxony,code03,43.15
2016,Percentage,Total,,Lower Saxony,code03,41.38
2017,Percentage,Total,,Lower Saxony,code03,42.6
2018,Percentage,Total,,Lower Saxony,code03,44.02
2019,Percentage,Total,,Lower Saxony,code03,44.67
2020,Percentage,Total,,Lower Saxony,code03,47.84
2005,Percentage,Total,Female,Lower Saxony,code03,29.5
2006,Percentage,Total,Female,Lower Saxony,code03,29.9
2007,Percentage,Total,Female,Lower Saxony,code03,30.9
2008,Percentage,Total,Female,Lower Saxony,code03,33.1
2009,Percentage,Total,Female,Lower Saxony,code03,36.2
2010,Percentage,Total,Female,Lower Saxony,code03,37.5
2011,Percentage,Total,Female,Lower Saxony,code03,39.6
2012,Percentage,Total,Female,Lower Saxony,code03,40.5
2013,Percentage,Total,Female,Lower Saxony,code03,38.8
2014,Percentage,Total,Female,Lower Saxony,code03,42.3
2015,Percentage,Total,Female,Lower Saxony,code03,46.3
2016,Percentage,Total,Female,Lower Saxony,code03,44.5
2017,Percentage,Total,Female,Lower Saxony,code03,45.9
2018,Percentage,Total,Female,Lower Saxony,code03,48.51
2019,Percentage,Total,Female,Lower Saxony,code03,49.04
2020,Percentage,Total,Female,Lower Saxony,code03,52.94
2005,Percentage,Total,Male,Lower Saxony,code03,34.6
2006,Percentage,Total,Male,Lower Saxony,code03,33.5
2007,Percentage,Total,Male,Lower Saxony,code03,35.1
2008,Percentage,Total,Male,Lower Saxony,code03,34.9
2009,Percentage,Total,Male,Lower Saxony,code03,34.9
2010,Percentage,Total,Male,Lower Saxony,code03,34.9
2011,Percentage,Total,Male,Lower Saxony,code03,35.4
2012,Percentage,Total,Male,Lower Saxony,code03,35.7
2013,Percentage,Total,Male,Lower Saxony,code03,37.0
2014,Percentage,Total,Male,Lower Saxony,code03,37.9
2015,Percentage,Total,Male,Lower Saxony,code03,40.1
2016,Percentage,Total,Male,Lower Saxony,code03,38.4
2017,Percentage,Total,Male,Lower Saxony,code03,39.5
2018,Percentage,Total,Male,Lower Saxony,code03,39.82
2019,Percentage,Total,Male,Lower Saxony,code03,40.67
2020,Percentage,Total,Male,Lower Saxony,code03,42.91
2005,Percentage,Total,,North Rhine-Westphalia,code05,36.96
2006,Percentage,Total,,North Rhine-Westphalia,code05,37.8
2007,Percentage,Total,,North Rhine-Westphalia,code05,38.7
2008,Percentage,Total,,North Rhine-Westphalia,code05,40.9
2009,Percentage,Total,,North Rhine-Westphalia,code05,41.7
2010,Percentage,Total,,North Rhine-Westphalia,code05,41.29
2011,Percentage,Total,,North Rhine-Westphalia,code05,42.01
2012,Percentage,Total,,North Rhine-Westphalia,code05,44.4
2013,Percentage,Total,,North Rhine-Westphalia,code05,45.0
2014,Percentage,Total,,North Rhine-Westphalia,code05,47.84
2015,Percentage,Total,,North Rhine-Westphalia,code05,48.71
2016,Percentage,Total,,North Rhine-Westphalia,code05,50.25
2017,Percentage,Total,,North Rhine-Westphalia,code05,51.04
2018,Percentage,Total,,North Rhine-Westphalia,code05,50.57
2019,Percentage,Total,,North Rhine-Westphalia,code05,50.93
2020,Percentage,Total,,North Rhine-Westphalia,code05,54.4
