Year,Units,Series,Art der Fläche,Bundesland,GeoCode,Value
2004,Hektar pro Tag,Berechnete jährliche Werte,,,,24.59
2005,Hektar pro Tag,Berechnete jährliche Werte,,,,25.205
2006,Hektar pro Tag,Berechnete jährliche Werte,,,,24.11
2007,Hektar pro Tag,Berechnete jährliche Werte,,,,24.384
2008,Hektar pro Tag,Berechnete jährliche Werte,,,,21.492
2009,Hektar pro Tag,Berechnete jährliche Werte,,,,18.082
2010,Hektar pro Tag,Berechnete jährliche Werte,,,,20.548
2011,Hektar pro Tag,Berechnete jährliche Werte,,,,16.95
2012,Hektar pro Tag,Berechnete jährliche Werte,,,,10.858
2013,Hektar pro Tag,Berechnete jährliche Werte,,,,18.52
2014,Hektar pro Tag,Berechnete jährliche Werte,,,,23.437
2015,Hektar pro Tag,Berechnete jährliche Werte,,,,9.768
2016,Hektar pro Tag,Berechnete jährliche Werte,,,,
2017,Hektar pro Tag,Berechnete jährliche Werte,,,,8.482
2018,Hektar pro Tag,Berechnete jährliche Werte,,,,15.953
2019,Hektar pro Tag,Berechnete jährliche Werte,,,,2.0
2020,Hektar pro Tag,Berechnete jährliche Werte,,,,6.0
1996,Hektar pro Tag,Berechnete jährliche Werte,,,,87.201
1997,Hektar pro Tag,Berechnete jährliche Werte,,,,83.405
1998,Hektar pro Tag,Berechnete jährliche Werte,,,,86.759
1999,Hektar pro Tag,Berechnete jährliche Werte,,,,86.781
2000,Hektar pro Tag,Berechnete jährliche Werte,,,,86.926
2001,Hektar pro Tag,Berechnete jährliche Werte,,,,69.863
2002,Hektar pro Tag,Berechnete jährliche Werte,,,,65.753
2003,Hektar pro Tag,Berechnete jährliche Werte,,,,44.932
2004,Hektar pro Tag,Berechnete jährliche Werte,,,,60.109
2005,Hektar pro Tag,Berechnete jährliche Werte,,,,34.616
2006,Hektar pro Tag,Berechnete jährliche Werte,,,,29.589
2007,Hektar pro Tag,Berechnete jährliche Werte,,,,39.726
2008,Hektar pro Tag,Berechnete jährliche Werte,,,,34.973
2009,Hektar pro Tag,Berechnete jährliche Werte,,,,27.945
2010,Hektar pro Tag,Berechnete jährliche Werte,,,,33.151
2011,Hektar pro Tag,Berechnete jährliche Werte,,,,29.61
2012,Hektar pro Tag,Berechnete jährliche Werte,,,,40.004
2013,Hektar pro Tag,Berechnete jährliche Werte,,,,29.005
2014,Hektar pro Tag,Berechnete jährliche Werte,,,,21.91
2015,Hektar pro Tag,Berechnete jährliche Werte,,,,39.63
2016,Hektar pro Tag,Berechnete jährliche Werte,,,,
2017,Hektar pro Tag,Berechnete jährliche Werte,,,,31.801
2018,Hektar pro Tag,Berechnete jährliche Werte,,,,32.036
2019,Hektar pro Tag,Berechnete jährliche Werte,,,,33.0
2020,Hektar pro Tag,Berechnete jährliche Werte,,,,40.0
1996,Hektar pro Tag,Berechnete jährliche Werte,,,,8.693
1997,Hektar pro Tag,Berechnete jährliche Werte,,,,20.204
1998,Hektar pro Tag,Berechnete jährliche Werte,,,,20.561
1999,Hektar pro Tag,Berechnete jährliche Werte,,,,20.566
2000,Hektar pro Tag,Berechnete jährliche Werte,,,,20.803
2001,Hektar pro Tag,Berechnete jährliche Werte,,,,29.0
2002,Hektar pro Tag,Berechnete jährliche Werte,,,,21.096
2003,Hektar pro Tag,Berechnete jährliche Werte,,,,34.0
2004,Hektar pro Tag,Berechnete jährliche Werte,,,,45.721
2005,Hektar pro Tag,Berechnete jährliche Werte,,,,56.986
2006,Hektar pro Tag,Berechnete jährliche Werte,,,,51.781
2007,Hektar pro Tag,Berechnete jährliche Werte,,,,32.603
2008,Hektar pro Tag,Berechnete jährliche Werte,,,,38.617
2009,Hektar pro Tag,Berechnete jährliche Werte,,,,32.055
2010,Hektar pro Tag,Berechnete jährliche Werte,,,,23.288
2011,Hektar pro Tag,Berechnete jährliche Werte,,,,27.064
2012,Hektar pro Tag,Berechnete jährliche Werte,,,,18.487
2013,Hektar pro Tag,Berechnete jährliche Werte,,,,23.065
2014,Hektar pro Tag,Berechnete jährliche Werte,,,,17.927
2015,Hektar pro Tag,Berechnete jährliche Werte,,,,11.614
2016,Hektar pro Tag,Berechnete jährliche Werte,,,,
2017,Hektar pro Tag,Berechnete jährliche Werte,,,,14.925
2018,Hektar pro Tag,Berechnete jährliche Werte,,,,10.008
2019,Hektar pro Tag,Berechnete jährliche Werte,,,,10.0
2020,Hektar pro Tag,Berechnete jährliche Werte,,,,12.0
1996,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
1997,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
1998,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
1999,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,126.276
2000,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,129.157
2001,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,128.368
2002,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,123.041
2003,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,115.103
2004,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,115.116
2005,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,114.225
2006,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,113.335
2007,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,112.787
2008,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,103.77
2009,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,93.907
2010,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,86.647
2011,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,80.875
2012,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,74.442
2013,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,72.569
2014,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,69.209
2015,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,66.056
2016,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,61.539
2017,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,57.692
2018,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,56.373
2019,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,52.37
2020,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,54.051
1996,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
1997,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
1998,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
1999,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,22.717
2000,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,22.724
2001,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,23.313
2002,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,23.104
2003,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,22.346
2004,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,22.583
2005,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,23.134
2006,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,23.545
2007,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,24.572
2008,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,23.798
2009,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,22.017
2010,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,21.127
2011,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,19.268
2012,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,16.61
2013,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,16.719
2014,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,17.441
2015,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,15.646
2016,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2017,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2018,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2019,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2020,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,8.109
1996,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
1997,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
1998,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
1999,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,86.037
2000,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,85.968
2001,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,82.582
2002,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,77.331
2003,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,66.869
2004,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,60.164
2005,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,51.353
2006,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,42.312
2007,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,41.01
2008,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,34.726
2009,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,33.058
2010,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,33.949
2011,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,31.42
2012,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,32.678
2013,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,32.943
2014,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,30.132
2015,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,32.637
2016,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2017,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2018,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2019,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2020,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,34.209
1996,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
1997,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
1998,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
1999,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,17.506
2000,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,20.534
2001,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,22.733
2002,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,22.866
2003,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,26.225
2004,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,32.454
2005,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,39.451
2006,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,47.122
2007,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,46.773
2008,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,44.997
2009,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,38.764
2010,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,31.641
2011,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,30.256
2012,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,25.224
2013,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,22.976
2014,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,21.636
2015,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,17.773
2016,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2017,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2018,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2019,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2020,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,11.733
1996,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,Baden-Württemberg,code08,10.2
1997,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
1998,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
1999,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2000,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,12.0
2001,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2002,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2003,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2004,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,10.4
2005,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,9.6
2006,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,9.3
2007,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,9.3
2008,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,9.2
2009,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,8.7
2010,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,8.1
2011,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,7.1
2012,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,6.7
2013,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,6.2
2014,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,5.9
2015,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,5.6
2016,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2017,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2018,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2019,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,5.2
2020,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,5.6
1996,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,27.4
1997,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
1998,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
1999,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2000,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,28.4
2001,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2002,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2003,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2004,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,18.0
2005,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,16.5
2006,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,17.2
2007,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,16.9
2008,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,17.2
2009,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,17.4
2010,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,17.4
2011,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,17.9
2012,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,18.0
2013,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,18.5
2014,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2015,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,12.1
2016,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2017,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2018,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,11.1
2019,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,10.6
2020,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,11.0
1996,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,-0.7
1997,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
1998,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
1999,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2000,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,1.4
2001,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2002,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2003,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2004,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.3
2005,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.3
2006,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.2
2007,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.3
2008,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.3
2009,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.3
2010,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.4
2011,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.3
2012,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.1
2013,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.0
2014,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.0
2015,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,-0.1
2016,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.1
2017,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.1
2018,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.2
2019,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.2
2020,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.1
1996,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,6.9
1997,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
1998,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
1999,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2000,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,9.3
2001,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2002,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2003,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2004,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,8.2
2005,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,8.6
2006,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,8.7
2007,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,8.3
2008,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,9.5
2009,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,8.4
2010,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,7.5
2011,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,6.6
2012,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,4.6
2013,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,5.7
2014,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,5.2
2015,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,4.9
2016,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,4.7
2017,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,2.1
2018,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,1.7
2019,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,1.4
2020,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,2.6
1996,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.1
1997,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
1998,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
1999,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2000,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.5
2001,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2002,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2003,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2004,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.2
2005,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.1
2006,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.1
2007,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.2
2008,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.2
2009,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.2
2010,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.2
2011,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.2
2012,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.3
2013,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.3
2014,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.2
2015,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.2
2016,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.1
2017,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.1
2018,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.1
2019,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.1
2020,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.0
1996,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.4
1997,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
1998,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
1999,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2000,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.2
2001,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2002,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2003,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2004,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.8
2005,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,1.0
2006,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.9
2007,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.8
2008,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.5
2009,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.3
2010,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.2
2011,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.1
2012,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.2
2013,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.2
2014,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.0
2015,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,-0.2
2016,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,-0.5
2017,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,-0.6
2018,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,-0.4
2019,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,-0.2
2020,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.0
1996,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,4.5
1997,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
1998,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
1999,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2000,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,4.9
2001,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2002,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2003,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2004,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,3.9
2005,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,4.2
2006,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,3.8
2007,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,3.9
2008,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,3.6
2009,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,3.6
2010,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,3.6
2011,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,2.9
2012,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,3.1
2013,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,2.7
2014,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,2.7
2015,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,3.0
2016,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2017,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2018,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2019,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2020,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
1996,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,6.0
1997,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
1998,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
