Year,Units,time series,federal state,GeoCode,Value
2018,minutes,for the medium-sized and major cities of the year in question,lower saxony,code03,24.89
2020,minutes,for the medium-sized and major cities of the year in question,lower saxony,code03,23.91
2012,minutes,for the medium-sized and major cities of the year in question,lower saxony,code03,27.44
2013,minutes,for the medium-sized and major cities of the year in question,lower saxony,code03,
2014,minutes,for the medium-sized and major cities of the year in question,lower saxony,code03,
2015,minutes,for the medium-sized and major cities of the year in question,lower saxony,code03,
2016,minutes,for the medium-sized and major cities of the year in question,lower saxony,code03,25.6
2017,minutes,for the medium-sized and major cities of the year in question,lower saxony,code03,
2018,minutes,for the medium-sized and major cities of the year in question,lower saxony,code03,24.89
2019,minutes,for the medium-sized and major cities of the year in question,lower saxony,code03,
2012,minutes,for the medium-sized and major cities of the year in question,north rhine-westphalia,code05,19.4
2016,minutes,for the medium-sized and major cities of the year in question,north rhine-westphalia,code05,19.29
2018,minutes,for the medium-sized and major cities of the year in question,north rhine-westphalia,code05,18.98
2020,minutes,for the medium-sized and major cities of the year in question,north rhine-westphalia,code05,17.8
2012,minutes,for the medium-sized and major cities of the year in question,north rhine-westphalia,code05,19.4
2013,minutes,for the medium-sized and major cities of the year in question,north rhine-westphalia,code05,
2014,minutes,for the medium-sized and major cities of the year in question,north rhine-westphalia,code05,
2015,minutes,for the medium-sized and major cities of the year in question,north rhine-westphalia,code05,
2016,minutes,for the medium-sized and major cities of the year in question,north rhine-westphalia,code05,19.29
2017,minutes,for the medium-sized and major cities of the year in question,north rhine-westphalia,code05,
2018,minutes,for the medium-sized and major cities of the year in question,north rhine-westphalia,code05,18.98
2019,minutes,for the medium-sized and major cities of the year in question,north rhine-westphalia,code05,
2012,minutes,for the medium-sized and major cities of the year in question,rhineland palatinate,code07,22.95
2016,minutes,for the medium-sized and major cities of the year in question,rhineland palatinate,code07,20.94
2018,minutes,for the medium-sized and major cities of the year in question,rhineland palatinate,code07,20.56
2020,minutes,for the medium-sized and major cities of the year in question,rhineland palatinate,code07,19.67
2012,minutes,for the medium-sized and major cities of the year in question,rhineland palatinate,code07,22.95
2013,minutes,for the medium-sized and major cities of the year in question,rhineland palatinate,code07,
2014,minutes,for the medium-sized and major cities of the year in question,rhineland palatinate,code07,
2015,minutes,for the medium-sized and major cities of the year in question,rhineland palatinate,code07,
2016,minutes,for the medium-sized and major cities of the year in question,rhineland palatinate,code07,20.94
2017,minutes,for the medium-sized and major cities of the year in question,rhineland palatinate,code07,
2018,minutes,for the medium-sized and major cities of the year in question,rhineland palatinate,code07,20.56
2019,minutes,for the medium-sized and major cities of the year in question,rhineland palatinate,code07,
2012,minutes,for the medium-sized and major cities of the year in question,saarland,code10,22.59
2016,minutes,for the medium-sized and major cities of the year in question,saarland,code10,20.5
2018,minutes,for the medium-sized and major cities of the year in question,saarland,code10,20.46
2020,minutes,for the medium-sized and major cities of the year in question,saarland,code10,19.54
2012,minutes,for the medium-sized and major cities of the year in question,saarland,code10,22.59
2013,minutes,for the medium-sized and major cities of the year in question,saarland,code10,
2014,minutes,for the medium-sized and major cities of the year in question,saarland,code10,
2015,minutes,for the medium-sized and major cities of the year in question,saarland,code10,
2016,minutes,for the medium-sized and major cities of the year in question,saarland,code10,20.5
2017,minutes,for the medium-sized and major cities of the year in question,saarland,code10,
2018,minutes,for the medium-sized and major cities of the year in question,saarland,code10,20.46
2019,minutes,for the medium-sized and major cities of the year in question,saarland,code10,
2012,minutes,for the medium-sized and major cities of the year in question,saxony,code14,24.89
2016,minutes,for the medium-sized and major cities of the year in question,saxony,code14,23.33
2018,minutes,for the medium-sized and major cities of the year in question,saxony,code14,22.97
2020,minutes,for the medium-sized and major cities of the year in question,saxony,code14,21.88
2012,minutes,for the medium-sized and major cities of the year in question,saxony,code14,24.89
2013,minutes,for the medium-sized and major cities of the year in question,saxony,code14,
2014,minutes,for the medium-sized and major cities of the year in question,saxony,code14,
2015,minutes,for the medium-sized and major cities of the year in question,saxony,code14,
2016,minutes,for the medium-sized and major cities of the year in question,saxony,code14,23.33
2017,minutes,for the medium-sized and major cities of the year in question,saxony,code14,
2018,minutes,for the medium-sized and major cities of the year in question,saxony,code14,22.97
2019,minutes,for the medium-sized and major cities of the year in question,saxony,code14,
2012,minutes,for the medium-sized and major cities of the year in question,saxony-anhalt,code15,28.92
2016,minutes,for the medium-sized and major cities of the year in question,saxony-anhalt,code15,27.15
2018,minutes,for the medium-sized and major cities of the year in question,saxony-anhalt,code15,27.52
2020,minutes,for the medium-sized and major cities of the year in question,saxony-anhalt,code15,26.03
2012,minutes,for the medium-sized and major cities of the year in question,saxony-anhalt,code15,28.92
2013,minutes,for the medium-sized and major cities of the year in question,saxony-anhalt,code15,
2014,minutes,for the medium-sized and major cities of the year in question,saxony-anhalt,code15,
2015,minutes,for the medium-sized and major cities of the year in question,saxony-anhalt,code15,
2016,minutes,for the medium-sized and major cities of the year in question,saxony-anhalt,code15,27.15
2017,minutes,for the medium-sized and major cities of the year in question,saxony-anhalt,code15,
2018,minutes,for the medium-sized and major cities of the year in question,saxony-anhalt,code15,27.52
2019,minutes,for the medium-sized and major cities of the year in question,saxony-anhalt,code15,
2012,minutes,for the medium-sized and major cities of the year in question,schleswig-holstein,code01,30.06
2016,minutes,for the medium-sized and major cities of the year in question,schleswig-holstein,code01,28.99
2018,minutes,for the medium-sized and major cities of the year in question,schleswig-holstein,code01,28.34
2020,minutes,for the medium-sized and major cities of the year in question,schleswig-holstein,code01,27.28
2012,minutes,for the medium-sized and major cities of the year in question,schleswig-holstein,code01,30.06
2013,minutes,for the medium-sized and major cities of the year in question,schleswig-holstein,code01,
2014,minutes,for the medium-sized and major cities of the year in question,schleswig-holstein,code01,
2015,minutes,for the medium-sized and major cities of the year in question,schleswig-holstein,code01,
2016,minutes,for the medium-sized and major cities of the year in question,schleswig-holstein,code01,28.99
2017,minutes,for the medium-sized and major cities of the year in question,schleswig-holstein,code01,
2018,minutes,for the medium-sized and major cities of the year in question,schleswig-holstein,code01,28.34
2019,minutes,for the medium-sized and major cities of the year in question,schleswig-holstein,code01,
2012,minutes,for the medium-sized and major cities of the year in question,thuringia,code16,24.45
2016,minutes,for the medium-sized and major cities of the year in question,thuringia,code16,23.5
2018,minutes,for the medium-sized and major cities of the year in question,thuringia,code16,22.99
2020,minutes,for the medium-sized and major cities of the year in question,thuringia,code16,21.0
2012,minutes,for the medium-sized and major cities of the year in question,thuringia,code16,24.45
2013,minutes,for the medium-sized and major cities of the year in question,thuringia,code16,
2014,minutes,for the medium-sized and major cities of the year in question,thuringia,code16,
2015,minutes,for the medium-sized and major cities of the year in question,thuringia,code16,
2016,minutes,for the medium-sized and major cities of the year in question,thuringia,code16,23.5
2017,minutes,for the medium-sized and major cities of the year in question,thuringia,code16,
2018,minutes,for the medium-sized and major cities of the year in question,thuringia,code16,22.99
2019,minutes,for the medium-sized and major cities of the year in question,thuringia,code16,
