Year,Units,Federal state,GeoCodes,Value
2014,Percentage,Lower Saxony,code03,16.2
2015,Percentage,Lower Saxony,code03,18.5
2016,Percentage,Lower Saxony,code03,18.6
2017,Percentage,Lower Saxony,code03,20.9
2018,Percentage,Lower Saxony,code03,22.3
2019,Percentage,Lower Saxony,code03,24.1
2005,Percentage,North Rhine-Westphalia,code05,3.2
2006,Percentage,North Rhine-Westphalia,code05,4.1
2007,Percentage,North Rhine-Westphalia,code05,4.6
2008,Percentage,North Rhine-Westphalia,code05,3.9
2009,Percentage,North Rhine-Westphalia,code05,4.9
2010,Percentage,North Rhine-Westphalia,code05,5.0
2011,Percentage,North Rhine-Westphalia,code05,5.3
2012,Percentage,North Rhine-Westphalia,code05,5.8
2013,Percentage,North Rhine-Westphalia,code05,5.8
2014,Percentage,North Rhine-Westphalia,code05,5.8
2015,Percentage,North Rhine-Westphalia,code05,6.3
2016,Percentage,North Rhine-Westphalia,code05,6.4
2017,Percentage,North Rhine-Westphalia,code05,6.8
2018,Percentage,North Rhine-Westphalia,code05,7.3
2019,Percentage,North Rhine-Westphalia,code05,7.9
2005,Percentage,Rhineland Palatinate,code07,5.5
2006,Percentage,Rhineland Palatinate,code07,7.5
2007,Percentage,Rhineland Palatinate,code07,9.2
2008,Percentage,Rhineland Palatinate,code07,8.7
2009,Percentage,Rhineland Palatinate,code07,9.2
2010,Percentage,Rhineland Palatinate,code07,10.0
2011,Percentage,Rhineland Palatinate,code07,10.8
2012,Percentage,Rhineland Palatinate,code07,12.3
2013,Percentage,Rhineland Palatinate,code07,12.8
2014,Percentage,Rhineland Palatinate,code07,13.0
2015,Percentage,Rhineland Palatinate,code07,14.3
2016,Percentage,Rhineland Palatinate,code07,14.1
2017,Percentage,Rhineland Palatinate,code07,14.7
2018,Percentage,Rhineland Palatinate,code07,15.4
2019,Percentage,Rhineland Palatinate,code07,16.0
2005,Percentage,Saarland,code10,1.8
2006,Percentage,Saarland,code10,2.2
2007,Percentage,Saarland,code10,2.7
2008,Percentage,Saarland,code10,2.4
2009,Percentage,Saarland,code10,3.0
2010,Percentage,Saarland,code10,3.4
2011,Percentage,Saarland,code10,3.3
2012,Percentage,Saarland,code10,3.3
2013,Percentage,Saarland,code10,3.7
2014,Percentage,Saarland,code10,3.9
2015,Percentage,Saarland,code10,4.4
2005,Percentage,Saxony,code14,3.6
2006,Percentage,Saxony,code14,6.6
2007,Percentage,Saxony,code14,7.9
2008,Percentage,Saxony,code14,7.6
2009,Percentage,Saxony,code14,8.1
2010,Percentage,Saxony,code14,9.0
2011,Percentage,Saxony,code14,10.0
2012,Percentage,Saxony,code14,10.2
2013,Percentage,Saxony,code14,10.6
2014,Percentage,Saxony,code14,11.1
2015,Percentage,Saxony,code14,12.0
2016,Percentage,Saxony,code14,11.7
2017,Percentage,Saxony,code14,12.0
2018,Percentage,Saxony,code14,12.1
2019,Percentage,Saxony,code14,12.6
2005,Percentage,Saxony-Anhalt,code15,7.9
2006,Percentage,Saxony-Anhalt,code15,12.4
2007,Percentage,Saxony-Anhalt,code15,16.3
2008,Percentage,Saxony-Anhalt,code15,16.8
2009,Percentage,Saxony-Anhalt,code15,17.8
2010,Percentage,Saxony-Anhalt,code15,18.2
2011,Percentage,Saxony-Anhalt,code15,20.6
2012,Percentage,Saxony-Anhalt,code15,20.8
2013,Percentage,Saxony-Anhalt,code15,21.9
2014,Percentage,Saxony-Anhalt,code15,22.9
2015,Percentage,Saxony-Anhalt,code15,25.7
2016,Percentage,Saxony-Anhalt,code15,23.4
2017,Percentage,Saxony-Anhalt,code15,26.3
2018,Percentage,Saxony-Anhalt,code15,25.2
2019,Percentage,Saxony-Anhalt,code15,26.0
2005,Percentage,Schleswig-Holstein,code01,9.3
2006,Percentage,Schleswig-Holstein,code01,10.5
2007,Percentage,Schleswig-Holstein,code01,14.0
2008,Percentage,Schleswig-Holstein,code01,14.4
2009,Percentage,Schleswig-Holstein,code01,15.1
2010,Percentage,Schleswig-Holstein,code01,17.2
2011,Percentage,Schleswig-Holstein,code01,19.8
2012,Percentage,Schleswig-Holstein,code01,21.8
2013,Percentage,Schleswig-Holstein,code01,21.3
2014,Percentage,Schleswig-Holstein,code01,24.0
2015,Percentage,Schleswig-Holstein,code01,31.7
2016,Percentage,Schleswig-Holstein,code01,33.1
2017,Percentage,Schleswig-Holstein,code01,37.1
2018,Percentage,Schleswig-Holstein,code01,37.9
2019,Percentage,Schleswig-Holstein,code01,7.8
2005,Percentage,Thuringia,code16,12.4
2006,Percentage,Thuringia,code16,13.7
2007,Percentage,Thuringia,code16,16.7
2008,Percentage,Thuringia,code16,15.4
2009,Percentage,Thuringia,code16,15.0
2010,Percentage,Thuringia,code16,16.5
2011,Percentage,Thuringia,code16,17.1
2012,Percentage,Thuringia,code16,16.9
2013,Percentage,Thuringia,code16,18.0
2014,Percentage,Thuringia,code16,18.7
2015,Percentage,Thuringia,code16,19.8
2016,Percentage,Thuringia,code16,20.5
2017,Percentage,Thuringia,code16,22.4
2018,Percentage,Thuringia,code16,21.1
