Year,Units,Time series,Federal state,GeoCode,Value
2015,Minutes,For the medium-sized and major cities of the year in question,Rhineland Palatinate,code07,
2017,Minutes,For the medium-sized and major cities of the year in question,Rhineland Palatinate,code07,
2019,Minutes,For the medium-sized and major cities of the year in question,Rhineland Palatinate,code07,
2012,Minutes,For the medium-sized and major cities of the year in question,Saarland,code10,22.59
2016,Minutes,For the medium-sized and major cities of the year in question,Saarland,code10,20.5
2018,Minutes,For the medium-sized and major cities of the year in question,Saarland,code10,20.46
2020,Minutes,For the medium-sized and major cities of the year in question,Saarland,code10,19.54
2013,Minutes,For the medium-sized and major cities of the year in question,Saarland,code10,
2014,Minutes,For the medium-sized and major cities of the year in question,Saarland,code10,
2015,Minutes,For the medium-sized and major cities of the year in question,Saarland,code10,
2017,Minutes,For the medium-sized and major cities of the year in question,Saarland,code10,
2019,Minutes,For the medium-sized and major cities of the year in question,Saarland,code10,
2012,Minutes,For the medium-sized and major cities of the year in question,Saxony,code14,24.89
2016,Minutes,For the medium-sized and major cities of the year in question,Saxony,code14,23.33
2018,Minutes,For the medium-sized and major cities of the year in question,Saxony,code14,22.97
2020,Minutes,For the medium-sized and major cities of the year in question,Saxony,code14,21.88
2013,Minutes,For the medium-sized and major cities of the year in question,Saxony,code14,
2014,Minutes,For the medium-sized and major cities of the year in question,Saxony,code14,
2015,Minutes,For the medium-sized and major cities of the year in question,Saxony,code14,
2017,Minutes,For the medium-sized and major cities of the year in question,Saxony,code14,
2019,Minutes,For the medium-sized and major cities of the year in question,Saxony,code14,
2012,Minutes,For the medium-sized and major cities of the year in question,Saxony-Anhalt,code15,28.92
2016,Minutes,For the medium-sized and major cities of the year in question,Saxony-Anhalt,code15,27.15
2018,Minutes,For the medium-sized and major cities of the year in question,Saxony-Anhalt,code15,27.52
2020,Minutes,For the medium-sized and major cities of the year in question,Saxony-Anhalt,code15,26.03
2013,Minutes,For the medium-sized and major cities of the year in question,Saxony-Anhalt,code15,
2014,Minutes,For the medium-sized and major cities of the year in question,Saxony-Anhalt,code15,
2015,Minutes,For the medium-sized and major cities of the year in question,Saxony-Anhalt,code15,
2017,Minutes,For the medium-sized and major cities of the year in question,Saxony-Anhalt,code15,
2019,Minutes,For the medium-sized and major cities of the year in question,Saxony-Anhalt,code15,
2012,Minutes,For the medium-sized and major cities of the year in question,Schleswig-Holstein,code01,30.06
2016,Minutes,For the medium-sized and major cities of the year in question,Schleswig-Holstein,code01,28.99
2018,Minutes,For the medium-sized and major cities of the year in question,Schleswig-Holstein,code01,28.34
2020,Minutes,For the medium-sized and major cities of the year in question,Schleswig-Holstein,code01,27.28
2013,Minutes,For the medium-sized and major cities of the year in question,Schleswig-Holstein,code01,
2014,Minutes,For the medium-sized and major cities of the year in question,Schleswig-Holstein,code01,
2015,Minutes,For the medium-sized and major cities of the year in question,Schleswig-Holstein,code01,
2017,Minutes,For the medium-sized and major cities of the year in question,Schleswig-Holstein,code01,
2019,Minutes,For the medium-sized and major cities of the year in question,Schleswig-Holstein,code01,
2012,Minutes,For the medium-sized and major cities of the year in question,Thuringia,code16,24.45
2016,Minutes,For the medium-sized and major cities of the year in question,Thuringia,code16,23.5
2018,Minutes,For the medium-sized and major cities of the year in question,Thuringia,code16,22.99
2020,Minutes,For the medium-sized and major cities of the year in question,Thuringia,code16,21.0
2013,Minutes,For the medium-sized and major cities of the year in question,Thuringia,code16,
2014,Minutes,For the medium-sized and major cities of the year in question,Thuringia,code16,
2015,Minutes,For the medium-sized and major cities of the year in question,Thuringia,code16,
2017,Minutes,For the medium-sized and major cities of the year in question,Thuringia,code16,
2019,Minutes,For the medium-sized and major cities of the year in question,Thuringia,code16,
