Year,Units,Bundesland,GeoCode,Value
2010,Prozent,,,21.6
2011,Prozent,,,23.16
2012,Prozent,,,22.92
2013,Prozent,,,22.66
2014,Prozent,,,23.02
2015,Prozent,,,23.14
2016,Prozent,,,22.95
2017,Prozent,,,23.51
2018,Prozent,,,24.38
2019,Prozent,,,24.48
2020,Prozent,,,
2021,Prozent,,,
1991,Prozent,,,22.48
1992,Prozent,,,23.05
1993,Prozent,,,21.86
1994,Prozent,,,20.36
1995,Prozent,,,20.46
1996,Prozent,,,24.5
1997,Prozent,,,28.1
1998,Prozent,,,22.95
1999,Prozent,,,22.32
2000,Prozent,,,20.85
2001,Prozent,,,19.1
2002,Prozent,,,16.37
2003,Prozent,,,14.58
2004,Prozent,,,15.74
2005,Prozent,,,17.68
2006,Prozent,,,17.27
2007,Prozent,,,17.79
2008,Prozent,,,17.26
2009,Prozent,,,16.8
2010,Prozent,,,17.02
2011,Prozent,,,16.36
2012,Prozent,,,18.61
2013,Prozent,,,18.28
2014,Prozent,,,19.31
2015,Prozent,,,19.77
2016,Prozent,,,19.35
2017,Prozent,,,18.49
2018,Prozent,,,19.09
2019,Prozent,,,17.96
2020,Prozent,,,
2021,Prozent,,,
1991,Prozent,,,41.35
1992,Prozent,,,44.82
1993,Prozent,,,49.55
1994,Prozent,,,51.91
1995,Prozent,,,46.89
1996,Prozent,,,48.1
1997,Prozent,,,45.03
1998,Prozent,,,43.92
1999,Prozent,,,40.89
2000,Prozent,,,37.35
2001,Prozent,,,30.73
2002,Prozent,,,27.14
2003,Prozent,,,24.08
2004,Prozent,,,23.73
2005,Prozent,,,23.13
2006,Prozent,,,23.34
2007,Prozent,,,21.83
2008,Prozent,,,22.34
2009,Prozent,,,19.88
2010,Prozent,,,20.47
2011,Prozent,,,20.63
2012,Prozent,,,22.35
2013,Prozent,,,20.98
2014,Prozent,,,21.56
2015,Prozent,,,22.07
2016,Prozent,,,23.47
2017,Prozent,,,23.49
2018,Prozent,,,24.55
2019,Prozent,,,23.86
2020,Prozent,,,
2021,Prozent,,,
1991,Prozent,,,18.1
1992,Prozent,,,17.48
1993,Prozent,,,18.32
1994,Prozent,,,15.38
1995,Prozent,,,14.65
1996,Prozent,,,15.7
1997,Prozent,,,14.92
1998,Prozent,,,15.95
1999,Prozent,,,17.95
2000,Prozent,,,18.09
2001,Prozent,,,16.92
2002,Prozent,,,17.01
2003,Prozent,,,13.3
2004,Prozent,,,15.41
2005,Prozent,,,14.24
2006,Prozent,,,14.91
2007,Prozent,,,15.08
2008,Prozent,,,15.3
2009,Prozent,,,14.43
2010,Prozent,,,14.81
2011,Prozent,,,14.41
2012,Prozent,,,18.68
2013,Prozent,,,16.27
2014,Prozent,,,13.81
2015,Prozent,,,16.83
2016,Prozent,,,15.84
2017,Prozent,,,14.01
2018,Prozent,,,16.22
2019,Prozent,,,15.79
2020,Prozent,,,
2021,Prozent,,,
1991,Prozent,,,16.47
1992,Prozent,,,18.11
1993,Prozent,,,17.08
1994,Prozent,,,15.44
1995,Prozent,,,14.19
1996,Prozent,,,14.04
1997,Prozent,,,14.72
1998,Prozent,,,15.65
1999,Prozent,,,14.84
2000,Prozent,,,16.32
2001,Prozent,,,17.95
2002,Prozent,,,19.16
2003,Prozent,,,18.37
2004,Prozent,,,21.45
2005,Prozent,,,22.6
2006,Prozent,,,23.38
2007,Prozent,,,25.63
2008,Prozent,,,26.45
2009,Prozent,,,20.36
2010,Prozent,,,24.49
2011,Prozent,,,20.89
2012,Prozent,,,20.52
2013,Prozent,,,21.11
2014,Prozent,,,21.32
2015,Prozent,,,21.61
2016,Prozent,,,19.74
2017,Prozent,,,16.01
2018,Prozent,,,18.15
2019,Prozent,,,18.2
2020,Prozent,,,
2021,Prozent,,,
1991,Prozent,,,21.9
1992,Prozent,,,21.43
1993,Prozent,,,20.49
1994,Prozent,,,18.32
1995,Prozent,,,18.7
1996,Prozent,,,17.43
1997,Prozent,,,18.02
1998,Prozent,,,18.36
1999,Prozent,,,18.62
2000,Prozent,,,18.4
2001,Prozent,,,18.74
2002,Prozent,,,17.02
2003,Prozent,,,16.22
2004,Prozent,,,16.33
2005,Prozent,,,17.93
2006,Prozent,,,17.41
2007,Prozent,,,18.29
2008,Prozent,,,20.03
2009,Prozent,,,16.73
2010,Prozent,,,17.58
2011,Prozent,,,19.18
2012,Prozent,,,17.67
2013,Prozent,,,17.87
2014,Prozent,,,17.33
2015,Prozent,,,17.14
2016,Prozent,,,18.05
2017,Prozent,,,18.51
2018,Prozent,,,18.7
2019,Prozent,,,19.27
2020,Prozent,,,
2021,Prozent,,,
1991,Prozent,,,49.47
1992,Prozent,,,61.6
1993,Prozent,,,60.16
1994,Prozent,,,57.59
1995,Prozent,,,54.99
1996,Prozent,,,48.12
1997,Prozent,,,43.66
1998,Prozent,,,40.51
1999,Prozent,,,37.44
2000,Prozent,,,35.32
2001,Prozent,,,30.18
2002,Prozent,,,26.25
2003,Prozent,,,25.35
2004,Prozent,,,25.03
2005,Prozent,,,26.88
2006,Prozent,,,27.57
2007,Prozent,,,23.03
2008,Prozent,,,23.74
2009,Prozent,,,21.05
2010,Prozent,,,22.21
2011,Prozent,,,24.2
2012,Prozent,,,23.57
2013,Prozent,,,20.59
2014,Prozent,,,21.48
2015,Prozent,,,21.94
2016,Prozent,,,24.06
2017,Prozent,,,22.85
2018,Prozent,,,25.52
2019,Prozent,,,27.68
2020,Prozent,,,
2021,Prozent,,,
1991,Prozent,,,27.84
1992,Prozent,,,26.37
1993,Prozent,,,24.03
1994,Prozent,,,23.63
1995,Prozent,,,23.37
1996,Prozent,,,22.88
1997,Prozent,,,23.65
1998,Prozent,,,24.76
1999,Prozent,,,26.27
2000,Prozent,,,26.6
2001,Prozent,,,25.32
2002,Prozent,,,23.85
2003,Prozent,,,24.78
2004,Prozent,,,21.7
2005,Prozent,,,19.94
2006,Prozent,,,20.76
2007,Prozent,,,21.5
2008,Prozent,,,20.75
2009,Prozent,,,22.81
2010,Prozent,,,22.36
2011,Prozent,,,24.02
2012,Prozent,,,24.35
2013,Prozent,,,24.35
2014,Prozent,,,24.37
2015,Prozent,,,24.87
2016,Prozent,,,24.67
2017,Prozent,,,25.36
2018,Prozent,,,24.98
2019,Prozent,,,27.26
2020,Prozent,,,
2021,Prozent,,,
1991,Prozent,,,20.48
1992,Prozent,,,20.25
1993,Prozent,,,18.36
1994,Prozent,,,17.89
1995,Prozent,,,17.09
1996,Prozent,,,17.19
1997,Prozent,,,17.1
1998,Prozent,,,17.73
1999,Prozent,,,19.25
2000,Prozent,,,19.7
2001,Prozent,,,19.03
2002,Prozent,,,17.13
2003,Prozent,,,16.28
2004,Prozent,,,15.74
2005,Prozent,,,16.74
2006,Prozent,,,16.19
2007,Prozent,,,16.32
2008,Prozent,,,16.32
2009,Prozent,,,15.89
2010,Prozent,,,15.98
2011,Prozent,,,16.63
2012,Prozent,,,15.92
2013,Prozent,,,15.78
2014,Prozent,,,16.05
2015,Prozent,,,15.67
2016,Prozent,,,16.07
2017,Prozent,,,16.54
2018,Prozent,,,16.71
2019,Prozent,,,16.41
2020,Prozent,,,
2021,Prozent,,,
1991,Prozent,,,23.67
1992,Prozent,,,22.7
1993,Prozent,,,21.93
1994,Prozent,,,22.74
1995,Prozent,,,22.86
1996,Prozent,,,21.16
1997,Prozent,,,21.79
1998,Prozent,,,22.85
1999,Prozent,,,23.22
2000,Prozent,,,23.91
2001,Prozent,,,21.93
2002,Prozent,,,21.83
2003,Prozent,,,19.54
2004,Prozent,,,18.86
2005,Prozent,,,18.66
2006,Prozent,,,19.41
2007,Prozent,,,20.35
2008,Prozent,,,20.19
2009,Prozent,,,20.65
2010,Prozent,,,19.98
2011,Prozent,,,21.13
2012,Prozent,,,20.5
2013,Prozent,,,21.17
2014,Prozent,,,21.37
2015,Prozent,,,20.89
2016,Prozent,,,20.54
2017,Prozent,,,21.03
2018,Prozent,,,22.93
2019,Prozent,,,21.66
2020,Prozent,,,
2021,Prozent,,,
1991,Prozent,,,20.72
1992,Prozent,,,20.34
1993,Prozent,,,18.6
1994,Prozent,,,19.64
1995,Prozent,,,20.55
1996,Prozent,,,21.0
1997,Prozent,,,21.22
1998,Prozent,,,24.57
1999,Prozent,,,23.63
2000,Prozent,,,23.37
2001,Prozent,,,18.61
2002,Prozent,,,18.9
2003,Prozent,,,18.75
2004,Prozent,,,15.75
2005,Prozent,,,15.14
2006,Prozent,,,16.21
2007,Prozent,,,16.69
2008,Prozent,,,16.49
2009,Prozent,,,15.02
2010,Prozent,,,18.16
2011,Prozent,,,17.35
2012,Prozent,,,16.89
2013,Prozent,,,17.54
2014,Prozent,,,17.63
2015,Prozent,,,18.07
2016,Prozent,,,17.36
2017,Prozent,,,16.55
2018,Prozent,,,17.56
2019,Prozent,,,17.9
2020,Prozent,,,
2021,Prozent,,,
1991,Prozent,,,42.68
1992,Prozent,,,41.58
1993,Prozent,,,39.35
1994,Prozent,,,46.51
1995,Prozent,,,46.06
1996,Prozent,,,45.56
1997,Prozent,,,43.03
1998,Prozent,,,39.02
1999,Prozent,,,36.28
2000,Prozent,,,35.38
2001,Prozent,,,27.21
2002,Prozent,,,23.03
2003,Prozent,,,22.76
2004,Prozent,,,23.16
2005,Prozent,,,21.32
2006,Prozent,,,20.87
2007,Prozent,,,23.75
2008,Prozent,,,22.18
2009,Prozent,,,20.93
2010,Prozent,,,22.61
2011,Prozent,,,23.7
2012,Prozent,,,23.05
2013,Prozent,,,21.22
2014,Prozent,,,20.93
2015,Prozent,,,19.35
2016,Prozent,,,21.2
2017,Prozent,,,19.95
2018,Prozent,,,20.51
2019,Prozent,,,21.67
2020,Prozent,,,
2021,Prozent,,,
1991,Prozent,,,42.81
1992,Prozent,,,54.18
1993,Prozent,,,53.43
1994,Prozent,,,54.92
1995,Prozent,,,52.91
1996,Prozent,,,44.87
1997,Prozent,,,41.69
1998,Prozent,,,40.97
1999,Prozent,,,36.73
2000,Prozent,,,33.76
2001,Prozent,,,25.81
2002,Prozent,,,23.07
2003,Prozent,,,22.1
2004,Prozent,,,22.23
2005,Prozent,,,20.54
2006,Prozent,,,18.99
2007,Prozent,,,19.52
2008,Prozent,,,19.59
2009,Prozent,,,21.24
2010,Prozent,,,19.82
2011,Prozent,,,18.92
2012,Prozent,,,19.72
2013,Prozent,,,18.74
2014,Prozent,,,18.31
2015,Prozent,,,18.87
2016,Prozent,,,19.0
2017,Prozent,,,18.82
2018,Prozent,,,18.73
2019,Prozent,,,19.86
2020,Prozent,,,
2021,Prozent,,,
1991,Prozent,,,21.71
1992,Prozent,,,22.33
1993,Prozent,,,21.23
1994,Prozent,,,22.06
1995,Prozent,,,22.9
1996,Prozent,,,21.37
1997,Prozent,,,21.76
1998,Prozent,,,23.01
1999,Prozent,,,23.79
2000,Prozent,,,22.84
2001,Prozent,,,20.52
2002,Prozent,,,18.33
2003,Prozent,,,18.15
2004,Prozent,,,17.26
2005,Prozent,,,17.38
2006,Prozent,,,19.84
2007,Prozent,,,19.87
2008,Prozent,,,19.91
2009,Prozent,,,18.55
2010,Prozent,,,21.23
2011,Prozent,,,22.71
2012,Prozent,,,21.53
2013,Prozent,,,18.88
2014,Prozent,,,21.48
2015,Prozent,,,20.56
2016,Prozent,,,23.19
2017,Prozent,,,21.47
2018,Prozent,,,21.31
2019,Prozent,,,22.24
2020,Prozent,,,
2021,Prozent,,,
1991,Prozent,,,45.78
1992,Prozent,,,52.46
1993,Prozent,,,55.58
1994,Prozent,,,55.62
1995,Prozent,,,50.17
1996,Prozent,,,39.59
1997,Prozent,,,38.73
1998,Prozent,,,36.76
1999,Prozent,,,38.15
2000,Prozent,,,34.07
2001,Prozent,,,31.7
2002,Prozent,,,26.4
2003,Prozent,,,26.42
2004,Prozent,,,22.37
2005,Prozent,,,23.06
2006,Prozent,,,23.44
2007,Prozent,,,24.13
2008,Prozent,,,26.23
2009,Prozent,,,22.15
2010,Prozent,,,21.34
2011,Prozent,,,22.02
2012,Prozent,,,21.75
2013,Prozent,,,20.01
2014,Prozent,,,20.03
2015,Prozent,,,19.13
2016,Prozent,,,20.91
2017,Prozent,,,19.05
2018,Prozent,,,20.1
2019,Prozent,,,20.24
2020,Prozent,,,
2021,Prozent,,,
