Year,Value,Units,Series,GeoCode
2017,75.2,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2018,75.8,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2019,76.6,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2020,75.4,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2021,75.9,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2000,76.5,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2001,76.4,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2002,75.6,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2003,74.8,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2004,74.0,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2005,75.6,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2006,77.2,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2007,79.1,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2008,80.1,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2009,79.6,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2010,80.4,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2011,81.7,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2012,82.1,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2013,82.1,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2014,82.2,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2015,82.3,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2016,82.7,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2017,83.1,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2018,83.9,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2019,84.6,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2020,83.0,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2021,83.2,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2001,73.4,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2002,73.5,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2003,73.7,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2004,73.4,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2005,74.1,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2006,75.4,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2007,77.3,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2008,78.4,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2009,77.8,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2010,78.2,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2011,79.9,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2012,80.1,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2013,80.7,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2014,80.9,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2015,81.3,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2016,81.8,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2017,81.9,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2018,82.8,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2019,83.1,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2020,81.5,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2021,81.8,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2000,64.5,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2001,65.3,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2002,65.9,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2003,66.6,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2004,66.5,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2005,66.7,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2006,68.3,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2007,70.5,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2008,71.4,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2009,71.9,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2010,72.3,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2011,74.0,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2012,74.4,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2013,75.4,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2014,76.0,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2015,76.5,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2016,77.3,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2017,77.2,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2018,78.2,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2019,78.6,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2020,76.7,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2021,77.4,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2000,81.5,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2001,81.3,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2002,81.1,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2003,80.8,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2004,80.2,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2005,81.3,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2006,82.3,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2007,84.1,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2008,85.3,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2009,83.6,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2010,84.3,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2011,85.8,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2012,85.8,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2013,85.9,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2014,85.7,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2015,86.0,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2016,86.1,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2017,86.5,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2018,87.2,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2019,87.5,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2020,86.2,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2021,86.1,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2000,73.0,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2001,73.8,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2002,73.5,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2003,72.8,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2004,72.5,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2005,73.5,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2006,75.1,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2007,76.2,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2008,77.5,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2009,77.2,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2010,78.2,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2011,79.6,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2012,80.2,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2013,80.7,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2014,81.2,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2015,81.3,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2016,81.8,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2017,82.3,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2018,82.8,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2019,83.5,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2020,82.3,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2021,82.4,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2000,64.6,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2001,66.0,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2002,65.9,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2003,65.4,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2004,65.6,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2005,66.0,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2006,67.9,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2007,69.0,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2008,70.4,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2009,70.8,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2010,72.0,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2011,73.9,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2012,74.5,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2013,75.2,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2014,76.2,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2015,76.3,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2016,77.2,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2017,77.6,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2018,78.0,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2019,79.1,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2020,77.6,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2021,78.4,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2000,81.3,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2001,81.6,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2002,80.9,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2003,80.2,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2004,79.3,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2005,80.9,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2006,82.1,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2007,83.3,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2008,84.6,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2009,83.6,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2010,84.4,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2011,85.3,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2012,85.9,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2013,86.1,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2014,86.1,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2015,86.1,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2016,86.3,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2017,86.8,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2018,87.4,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2019,87.7,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2020,87.0,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2021,86.4,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2000,63.5,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2001,63.9,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2002,63.4,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2003,61.5,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2004,61.0,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2005,62.1,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2006,63.1,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2007,65.5,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2008,66.1,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2009,68.3,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2010,69.3,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2011,70.6,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2012,71.7,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2013,72.0,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2014,72.4,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2015,72.5,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2016,75.2,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2017,76.2,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2018,77.7,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2019,78.5,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2020,76.6,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2021,76.9,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2000,60.0,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2001,60.5,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2002,60.6,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2003,58.4,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2004,58.9,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2005,60.1,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2006,61.0,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2007,63.1,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2008,63.6,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2009,66.1,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2010,66.8,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2011,68.1,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2012,68.6,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2013,69.3,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2014,70.0,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2015,69.8,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2016,72.2,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2017,72.7,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2018,74.4,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2019,75.0,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2020,73.5,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2021,74.5,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2000,67.1,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2001,67.1,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2002,66.3,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2003,64.6,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2004,63.0,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2005,64.1,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2006,65.2,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2007,67.9,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2008,68.6,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2009,70.4,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2010,71.7,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2011,73.1,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2012,74.8,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2013,74.7,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2014,74.8,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2015,75.1,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2016,78.2,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2017,79.6,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2018,80.9,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2019,81.9,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2020,79.6,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2021,79.4,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2000,66.6,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2001,65.5,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2002,65.4,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2003,65.6,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2004,65.6,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2005,67.1,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2006,70.0,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2007,72.5,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2008,74.3,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2009,74.9,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2010,76.1,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2011,77.0,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2012,77.0,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2013,77.9,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2014,77.9,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2015,78.8,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2016,80.3,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2017,80.7,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2018,81.2,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2019,81.9,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2020,80.6,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2021,82.0,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2000,62.2,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2001,61.7,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2002,62.0,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2003,63.7,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2004,63.9,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2005,64.5,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2006,68.1,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2007,69.7,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2008,71.3,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2009,72.6,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2010,74.0,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2011,75.3,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2012,74.6,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2013,75.8,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2014,75.6,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2015,76.3,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2016,78.7,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2017,79.8,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2018,80.3,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2019,80.4,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2020,79.0,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2021,80.6,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2000,70.9,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2001,69.2,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2002,68.8,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2003,67.4,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2004,67.2,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2005,69.7,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2006,71.9,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2007,75.2,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2008,77.1,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2009,77.2,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2010,78.1,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2011,78.6,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2012,79.3,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2013,79.9,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2014,80.1,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2015,81.2,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2016,81.9,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2017,81.5,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2018,82.0,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2019,83.4,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2020,82.2,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2021,83.4,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2000,64.4,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2001,65.2,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2002,64.8,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2003,65.3,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
