Year,Value,Units,Series,GeoCode
1999,92.0,Prozent,Deutsche,
2000,91.69,Prozent,Deutsche,
2001,91.35,Prozent,Deutsche,
2002,91.8,Prozent,Deutsche,
2003,92.07,Prozent,Deutsche,
2004,92.58,Prozent,Deutsche,
2005,92.76,Prozent,Deutsche,
2006,93.05,Prozent,Deutsche,
2007,93.6,Prozent,Deutsche,
2008,93.8,Prozent,Deutsche,
2009,94.23,Prozent,Deutsche,
2010,94.57,Prozent,Deutsche,
2011,95.01,Prozent,Deutsche,
2012,95.1,Prozent,Deutsche,
2013,95.38,Prozent,Deutsche,
2014,95.14,Prozent,Deutsche,
2015,95.0,Prozent,Deutsche,
2016,95.08,Prozent,Deutsche,
2017,94.82,Prozent,Deutsche,
2018,94.58,Prozent,Deutsche,
2019,94.53,Prozent,Deutsche,
2020,94.91,Prozent,Deutsche,
2021,94.86,Prozent,Deutsche,
1996,92.28,Prozent,Deutsche,
1997,92.29,Prozent,Deutsche,
1998,92.06,Prozent,Deutsche,
1999,92.0,Prozent,Deutsche,
2000,91.69,Prozent,Deutsche,
2001,91.35,Prozent,Deutsche,
2002,91.8,Prozent,Deutsche,
2003,92.07,Prozent,Deutsche,
2004,92.58,Prozent,Deutsche,
2005,92.76,Prozent,Deutsche,
2006,93.05,Prozent,Deutsche,
2007,93.6,Prozent,Deutsche,
2008,93.8,Prozent,Deutsche,
2009,94.23,Prozent,Deutsche,
2010,94.57,Prozent,Deutsche,
2011,95.01,Prozent,Deutsche,
2012,95.1,Prozent,Deutsche,
2013,95.38,Prozent,Deutsche,
2014,95.14,Prozent,Deutsche,
2015,95.0,Prozent,Deutsche,
2016,95.08,Prozent,Deutsche,
2017,94.82,Prozent,Deutsche,
2018,94.58,Prozent,Deutsche,
2019,94.53,Prozent,Deutsche,
2020,94.91,Prozent,Deutsche,
1996,11.93,Prozentpunkte,Differenz,
1997,11.72,Prozentpunkte,Differenz,
1998,11.55,Prozentpunkte,Differenz,
1999,11.31,Prozentpunkte,Differenz,
2000,11.59,Prozentpunkte,Differenz,
2001,11.52,Prozentpunkte,Differenz,
2002,11.25,Prozentpunkte,Differenz,
2003,11.17,Prozentpunkte,Differenz,
2004,10.67,Prozentpunkte,Differenz,
2005,10.16,Prozentpunkte,Differenz,
2006,9.82,Prozentpunkte,Differenz,
2007,9.6,Prozentpunkte,Differenz,
2008,8.8,Prozentpunkte,Differenz,
2009,8.03,Prozentpunkte,Differenz,
2010,7.38,Prozentpunkte,Differenz,
2011,6.79,Prozentpunkte,Differenz,
2012,6.49,Prozentpunkte,Differenz,
2013,6.09,Prozentpunkte,Differenz,
2014,7.08,Prozentpunkte,Differenz,
2015,6.8,Prozentpunkte,Differenz,
2016,9.25,Prozentpunkte,Differenz,
2017,13.01,Prozentpunkte,Differenz,
2018,12.78,Prozentpunkte,Differenz,
2019,12.16,Prozentpunkte,Differenz,
2020,9.56,Prozentpunkte,Differenz,
2021,,Prozentpunkte,Differenz,
1996,11.93,Prozentpunkte,Differenz,
1997,11.72,Prozentpunkte,Differenz,
1998,11.55,Prozentpunkte,Differenz,
1999,11.31,Prozentpunkte,Differenz,
2000,11.59,Prozentpunkte,Differenz,
2001,11.52,Prozentpunkte,Differenz,
2002,11.25,Prozentpunkte,Differenz,
2003,11.17,Prozentpunkte,Differenz,
2004,10.67,Prozentpunkte,Differenz,
2005,10.16,Prozentpunkte,Differenz,
2006,9.82,Prozentpunkte,Differenz,
2007,9.6,Prozentpunkte,Differenz,
2008,8.8,Prozentpunkte,Differenz,
2009,8.03,Prozentpunkte,Differenz,
2010,7.38,Prozentpunkte,Differenz,
2011,6.79,Prozentpunkte,Differenz,
2012,6.49,Prozentpunkte,Differenz,
2013,6.09,Prozentpunkte,Differenz,
2014,7.08,Prozentpunkte,Differenz,
2015,6.8,Prozentpunkte,Differenz,
2016,9.25,Prozentpunkte,Differenz,
2017,13.01,Prozentpunkte,Differenz,
2018,12.78,Prozentpunkte,Differenz,
2019,12.16,Prozentpunkte,Differenz,
2020,9.56,Prozentpunkte,Differenz,
