Year,Units,Display,Time series,Region,GeoCode,Value
2018,Number,Time series,Total,Rhineland Palatinate,code07,10194
2019,Number,Time series,Total,Rhineland Palatinate,code07,11069
2006,Number,Time series,Total,Saarland,code10,1572
2007,Number,Time series,Total,Saarland,code10,1573
2008,Number,Time series,Total,Saarland,code10,1597
2009,Number,Time series,Total,Saarland,code10,1708
2010,Number,Time series,Total,Saarland,code10,1959
2011,Number,Time series,Total,Saarland,code10,2085
2012,Number,Time series,Total,Saarland,code10,2164
2013,Number,Time series,Total,Saarland,code10,2246
2014,Number,Time series,Total,Saarland,code10,2331
2015,Number,Time series,Total,Saarland,code10,2413
2016,Number,Time series,Total,Saarland,code10,2419
2017,Number,Time series,Total,Saarland,code10,2481
2018,Number,Time series,Total,Saarland,code10,2725
2019,Number,Time series,Total,Saarland,code10,2961
2006,Number,Time series,Total,Saxony,code14,4963
2007,Number,Time series,Total,Saxony,code14,5139
2008,Number,Time series,Total,Saxony,code14,5053
2009,Number,Time series,Total,Saxony,code14,5332
2010,Number,Time series,Total,Saxony,code14,5542
2011,Number,Time series,Total,Saxony,code14,5966
2012,Number,Time series,Total,Saxony,code14,6748
2013,Number,Time series,Total,Saxony,code14,7873
2014,Number,Time series,Total,Saxony,code14,9023
2015,Number,Time series,Total,Saxony,code14,10278
2016,Number,Time series,Total,Saxony,code14,10829
2017,Number,Time series,Total,Saxony,code14,11340
2018,Number,Time series,Total,Saxony,code14,12575
2019,Number,Time series,Total,Saxony,code14,13267
2006,Number,Time series,Total,Saxony-Anhalt,code15,3198
2007,Number,Time series,Total,Saxony-Anhalt,code15,3247
2008,Number,Time series,Total,Saxony-Anhalt,code15,3251
2009,Number,Time series,Total,Saxony-Anhalt,code15,3463
2010,Number,Time series,Total,Saxony-Anhalt,code15,3712
2011,Number,Time series,Total,Saxony-Anhalt,code15,4041
2012,Number,Time series,Total,Saxony-Anhalt,code15,4444
2013,Number,Time series,Total,Saxony-Anhalt,code15,4705
2014,Number,Time series,Total,Saxony-Anhalt,code15,5080
2015,Number,Time series,Total,Saxony-Anhalt,code15,5582
2016,Number,Time series,Total,Saxony-Anhalt,code15,5650
2017,Number,Time series,Total,Saxony-Anhalt,code15,6091
2018,Number,Time series,Total,Saxony-Anhalt,code15,6641
2019,Number,Time series,Total,Saxony-Anhalt,code15,7321
2006,Number,Time series,Total,Schleswig-Holstein,code01,2406
2007,Number,Time series,Total,Schleswig-Holstein,code01,2416
2008,Number,Time series,Total,Schleswig-Holstein,code01,2436
2009,Number,Time series,Total,Schleswig-Holstein,code01,2523
2010,Number,Time series,Total,Schleswig-Holstein,code01,2569
2011,Number,Time series,Total,Schleswig-Holstein,code01,2633
2012,Number,Time series,Total,Schleswig-Holstein,code01,2764
2013,Number,Time series,Total,Schleswig-Holstein,code01,2830
2014,Number,Time series,Total,Schleswig-Holstein,code01,2998
2015,Number,Time series,Total,Schleswig-Holstein,code01,3155
2016,Number,Time series,Total,Schleswig-Holstein,code01,3586
2017,Number,Time series,Total,Schleswig-Holstein,code01,3667
2018,Number,Time series,Total,Schleswig-Holstein,code01,4002
2019,Number,Time series,Total,Schleswig-Holstein,code01,4276
2006,Number,Time series,Total,Thuringia,code16,1937
2007,Number,Time series,Total,Thuringia,code16,2176
2008,Number,Time series,Total,Thuringia,code16,2192
2009,Number,Time series,Total,Thuringia,code16,2543
2010,Number,Time series,Total,Thuringia,code16,2909
2011,Number,Time series,Total,Thuringia,code16,3012
2012,Number,Time series,Total,Thuringia,code16,3412
2013,Number,Time series,Total,Thuringia,code16,4000
2014,Number,Time series,Total,Thuringia,code16,4508
2015,Number,Time series,Total,Thuringia,code16,4948
2016,Number,Time series,Total,Thuringia,code16,5180
2017,Number,Time series,Total,Thuringia,code16,5623
2018,Number,Time series,Total,Thuringia,code16,6397
2019,Number,Time series,Total,Thuringia,code16,7700
2005,Number,Time series,Students from LDCs,,,4960
2006,Number,Time series,Students from LDCs,,,5012
2007,Number,Time series,Students from LDCs,,,4933
2008,Number,Time series,Students from LDCs,,,5331
2009,Number,Time series,Students from LDCs,,,5738
2010,Number,Time series,Students from LDCs,,,6300
2011,Number,Time series,Students from LDCs,,,6925
2012,Number,Time series,Students from LDCs,,,7577
2013,Number,Time series,Students from LDCs,,,8348
2014,Number,Time series,Students from LDCs,,,9244
2015,Number,Time series,Students from LDCs,,,9746
2016,Number,Time series,Students from LDCs,,,10119
2017,Number,Time series,Students from LDCs,,,10576
2018,Number,Time series,Students from LDCs,,,11525
2019,Number,Time series,Students from LDCs,,,13067
2005,Number,Time series,Students from LDCs,Baden-Wuerttemberg,,502
2006,Number,Time series,Students from LDCs,Baden-Wuerttemberg,,524
2007,Number,Time series,Students from LDCs,Baden-Wuerttemberg,,532
2008,Number,Time series,Students from LDCs,Baden-Wuerttemberg,,559
2009,Number,Time series,Students from LDCs,Baden-Wuerttemberg,,598
2010,Number,Time series,Students from LDCs,Baden-Wuerttemberg,,669
2011,Number,Time series,Students from LDCs,Baden-Wuerttemberg,,704
2012,Number,Time series,Students from LDCs,Baden-Wuerttemberg,,808
2013,Number,Time series,Students from LDCs,Baden-Wuerttemberg,,895
2014,Number,Time series,Students from LDCs,Baden-Wuerttemberg,,957
2015,Number,Time series,Students from LDCs,Baden-Wuerttemberg,,939
2016,Number,Time series,Students from LDCs,Baden-Wuerttemberg,,937
2017,Number,Time series,Students from LDCs,Baden-Wuerttemberg,,857
2018,Number,Time series,Students from LDCs,Baden-Wuerttemberg,,833
2019,Number,Time series,Students from LDCs,Baden-Wuerttemberg,,794
2005,Number,Time series,Students from LDCs,Bavaria,,320
2006,Number,Time series,Students from LDCs,Bavaria,,359
2007,Number,Time series,Students from LDCs,Bavaria,,352
2008,Number,Time series,Students from LDCs,Bavaria,,402
2009,Number,Time series,Students from LDCs,Bavaria,,436
2010,Number,Time series,Students from LDCs,Bavaria,,476
2011,Number,Time series,Students from LDCs,Bavaria,,568
2012,Number,Time series,Students from LDCs,Bavaria,,624
2013,Number,Time series,Students from LDCs,Bavaria,,716
2014,Number,Time series,Students from LDCs,Bavaria,,812
2015,Number,Time series,Students from LDCs,Bavaria,,859
2016,Number,Time series,Students from LDCs,Bavaria,,884
2017,Number,Time series,Students from LDCs,Bavaria,,1036
2018,Number,Time series,Students from LDCs,Bavaria,,1170
2019,Number,Time series,Students from LDCs,Bavaria,,1347
2005,Number,Time series,Students from LDCs,Berlin,,362
2006,Number,Time series,Students from LDCs,Berlin,,370
2007,Number,Time series,Students from LDCs,Berlin,,337
2008,Number,Time series,Students from LDCs,Berlin,,404
2009,Number,Time series,Students from LDCs,Berlin,,441
2010,Number,Time series,Students from LDCs,Berlin,,505
2011,Number,Time series,Students from LDCs,Berlin,,570
2012,Number,Time series,Students from LDCs,Berlin,,582
2013,Number,Time series,Students from LDCs,Berlin,,634
2014,Number,Time series,Students from LDCs,Berlin,,726
2015,Number,Time series,Students from LDCs,Berlin,,751
2016,Number,Time series,Students from LDCs,Berlin,,755
2017,Number,Time series,Students from LDCs,Berlin,,852
2018,Number,Time series,Students from LDCs,Berlin,,896
2019,Number,Time series,Students from LDCs,Berlin,,1002
2005,Number,Time series,Students from LDCs,Brandenburg,,124
2006,Number,Time series,Students from LDCs,Brandenburg,,121
2007,Number,Time series,Students from LDCs,Brandenburg,,123
2008,Number,Time series,Students from LDCs,Brandenburg,,122
2009,Number,Time series,Students from LDCs,Brandenburg,,125
2010,Number,Time series,Students from LDCs,Brandenburg,,148
2011,Number,Time series,Students from LDCs,Brandenburg,,154
2012,Number,Time series,Students from LDCs,Brandenburg,,193
2013,Number,Time series,Students from LDCs,Brandenburg,,226
2014,Number,Time series,Students from LDCs,Brandenburg,,277
2015,Number,Time series,Students from LDCs,Brandenburg,,321
2016,Number,Time series,Students from LDCs,Brandenburg,,311
2017,Number,Time series,Students from LDCs,Brandenburg,,356
2018,Number,Time series,Students from LDCs,Brandenburg,,400
2019,Number,Time series,Students from LDCs,Brandenburg,,495
2005,Number,Time series,Students from LDCs,Bremen,,188
2006,Number,Time series,Students from LDCs,Bremen,,192
2007,Number,Time series,Students from LDCs,Bremen,,206
2008,Number,Time series,Students from LDCs,Bremen,,194
2009,Number,Time series,Students from LDCs,Bremen,,194
2010,Number,Time series,Students from LDCs,Bremen,,203
2011,Number,Time series,Students from LDCs,Bremen,,227
2012,Number,Time series,Students from LDCs,Bremen,,255
2013,Number,Time series,Students from LDCs,Bremen,,261
2014,Number,Time series,Students from LDCs,Bremen,,235
2015,Number,Time series,Students from LDCs,Bremen,,262
2016,Number,Time series,Students from LDCs,Bremen,,277
2017,Number,Time series,Students from LDCs,Bremen,,312
2018,Number,Time series,Students from LDCs,Bremen,,337
2019,Number,Time series,Students from LDCs,Bremen,,395
2005,Number,Time series,Students from LDCs,Hamburg,,292
2006,Number,Time series,Students from LDCs,Hamburg,,281
2007,Number,Time series,Students from LDCs,Hamburg,,260
2008,Number,Time series,Students from LDCs,Hamburg,,285
2009,Number,Time series,Students from LDCs,Hamburg,,317
2010,Number,Time series,Students from LDCs,Hamburg,,331
2011,Number,Time series,Students from LDCs,Hamburg,,338
2012,Number,Time series,Students from LDCs,Hamburg,,342
2013,Number,Time series,Students from LDCs,Hamburg,,369
2014,Number,Time series,Students from LDCs,Hamburg,,383
2015,Number,Time series,Students from LDCs,Hamburg,,409
2016,Number,Time series,Students from LDCs,Hamburg,,421
2017,Number,Time series,Students from LDCs,Hamburg,,442
2018,Number,Time series,Students from LDCs,Hamburg,,495
2019,Number,Time series,Students from LDCs,Hamburg,,573
2005,Number,Time series,Students from LDCs,Hesse,,728
2006,Number,Time series,Students from LDCs,Hesse,,731
2007,Number,Time series,Students from LDCs,Hesse,,665
2008,Number,Time series,Students from LDCs,Hesse,,766
2009,Number,Time series,Students from LDCs,Hesse,,843
2010,Number,Time series,Students from LDCs,Hesse,,904
2011,Number,Time series,Students from LDCs,Hesse,,968
2012,Number,Time series,Students from LDCs,Hesse,,1062
2013,Number,Time series,Students from LDCs,Hesse,,1158
2014,Number,Time series,Students from LDCs,Hesse,,1263
2015,Number,Time series,Students from LDCs,Hesse,,1345
2016,Number,Time series,Students from LDCs,Hesse,,1352
2017,Number,Time series,Students from LDCs,Hesse,,1385
2018,Number,Time series,Students from LDCs,Hesse,,1481
2019,Number,Time series,Students from LDCs,Hesse,,1649
2005,Number,Time series,Students from LDCs,Mecklenburg Western Pomerania,,61
2006,Number,Time series,Students from LDCs,Mecklenburg Western Pomerania,,66
2007,Number,Time series,Students from LDCs,Mecklenburg Western Pomerania,,68
2008,Number,Time series,Students from LDCs,Mecklenburg Western Pomerania,,69
2009,Number,Time series,Students from LDCs,Mecklenburg Western Pomerania,,79
2010,Number,Time series,Students from LDCs,Mecklenburg Western Pomerania,,86
2011,Number,Time series,Students from LDCs,Mecklenburg Western Pomerania,,103
2012,Number,Time series,Students from LDCs,Mecklenburg Western Pomerania,,104
2013,Number,Time series,Students from LDCs,Mecklenburg Western Pomerania,,118
2014,Number,Time series,Students from LDCs,Mecklenburg Western Pomerania,,133
2015,Number,Time series,Students from LDCs,Mecklenburg Western Pomerania,,123
2016,Number,Time series,Students from LDCs,Mecklenburg Western Pomerania,,141
2017,Number,Time series,Students from LDCs,Mecklenburg Western Pomerania,,143
2018,Number,Time series,Students from LDCs,Mecklenburg Western Pomerania,,172
2019,Number,Time series,Students from LDCs,Mecklenburg Western Pomerania,,177
2005,Number,Time series,Students from LDCs,Lower Saxony,,374
2006,Number,Time series,Students from LDCs,Lower Saxony,,351
2007,Number,Time series,Students from LDCs,Lower Saxony,,340
2008,Number,Time series,Students from LDCs,Lower Saxony,,337
2009,Number,Time series,Students from LDCs,Lower Saxony,,332
2010,Number,Time series,Students from LDCs,Lower Saxony,,388
2011,Number,Time series,Students from LDCs,Lower Saxony,,406
2012,Number,Time series,Students from LDCs,Lower Saxony,,424
2013,Number,Time series,Students from LDCs,Lower Saxony,,467
2014,Number,Time series,Students from LDCs,Lower Saxony,,535
2015,Number,Time series,Students from LDCs,Lower Saxony,,597
2016,Number,Time series,Students from LDCs,Lower Saxony,,667
2017,Number,Time series,Students from LDCs,Lower Saxony,,703
2018,Number,Time series,Students from LDCs,Lower Saxony,,757
2019,Number,Time series,Students from LDCs,Lower Saxony,,830
2005,Number,Time series,Students from LDCs,North Rhine-Westphalia,,1261
2006,Number,Time series,Students from LDCs,North Rhine-Westphalia,,1213
2007,Number,Time series,Students from LDCs,North Rhine-Westphalia,,1183
2008,Number,Time series,Students from LDCs,North Rhine-Westphalia,,1229
2009,Number,Time series,Students from LDCs,North Rhine-Westphalia,,1304
2010,Number,Time series,Students from LDCs,North Rhine-Westphalia,,1393
2011,Number,Time series,Students from LDCs,North Rhine-Westphalia,,1666
2012,Number,Time series,Students from LDCs,North Rhine-Westphalia,,1865
2013,Number,Time series,Students from LDCs,North Rhine-Westphalia,,2057
2014,Number,Time series,Students from LDCs,North Rhine-Westphalia,,2399
2015,Number,Time series,Students from LDCs,North Rhine-Westphalia,,2518
2016,Number,Time series,Students from LDCs,North Rhine-Westphalia,,2666
2017,Number,Time series,Students from LDCs,North Rhine-Westphalia,,2684
2018,Number,Time series,Students from LDCs,North Rhine-Westphalia,,2921
2019,Number,Time series,Students from LDCs,North Rhine-Westphalia,,3316
2005,Number,Time series,Students from LDCs,Rhineland Palatinate,,239
2006,Number,Time series,Students from LDCs,Rhineland Palatinate,,271
2007,Number,Time series,Students from LDCs,Rhineland Palatinate,,313
2008,Number,Time series,Students from LDCs,Rhineland Palatinate,,335
2009,Number,Time series,Students from LDCs,Rhineland Palatinate,,336
2010,Number,Time series,Students from LDCs,Rhineland Palatinate,,373
2011,Number,Time series,Students from LDCs,Rhineland Palatinate,,344
2012,Number,Time series,Students from LDCs,Rhineland Palatinate,,339
2013,Number,Time series,Students from LDCs,Rhineland Palatinate,,348
2014,Number,Time series,Students from LDCs,Rhineland Palatinate,,389
2015,Number,Time series,Students from LDCs,Rhineland Palatinate,,409
2016,Number,Time series,Students from LDCs,Rhineland Palatinate,,422
2017,Number,Time series,Students from LDCs,Rhineland Palatinate,,432
2018,Number,Time series,Students from LDCs,Rhineland Palatinate,,500
2019,Number,Time series,Students from LDCs,Rhineland Palatinate,,562
2005,Number,Time series,Students from LDCs,Saarland,,95
2006,Number,Time series,Students from LDCs,Saarland,,93
2007,Number,Time series,Students from LDCs,Saarland,,106
2008,Number,Time series,Students from LDCs,Saarland,,110
2009,Number,Time series,Students from LDCs,Saarland,,104
2010,Number,Time series,Students from LDCs,Saarland,,130
2011,Number,Time series,Students from LDCs,Saarland,,118
2012,Number,Time series,Students from LDCs,Saarland,,115
2013,Number,Time series,Students from LDCs,Saarland,,116
2014,Number,Time series,Students from LDCs,Saarland,,124
2015,Number,Time series,Students from LDCs,Saarland,,126
2016,Number,Time series,Students from LDCs,Saarland,,128
2017,Number,Time series,Students from LDCs,Saarland,,127
2018,Number,Time series,Students from LDCs,Saarland,,130
2019,Number,Time series,Students from LDCs,Saarland,,140
2005,Number,Time series,Students from LDCs,Saxony,,184
2006,Number,Time series,Students from LDCs,Saxony,,200
2007,Number,Time series,Students from LDCs,Saxony,,195
2008,Number,Time series,Students from LDCs,Saxony,,218
2009,Number,Time series,Students from LDCs,Saxony,,240
2010,Number,Time series,Students from LDCs,Saxony,,237
2011,Number,Time series,Students from LDCs,Saxony,,272
2012,Number,Time series,Students from LDCs,Saxony,,317
2013,Number,Time series,Students from LDCs,Saxony,,378
2014,Number,Time series,Students from LDCs,Saxony,,391
2015,Number,Time series,Students from LDCs,Saxony,,434
2016,Number,Time series,Students from LDCs,Saxony,,453
2017,Number,Time series,Students from LDCs,Saxony,,449
2018,Number,Time series,Students from LDCs,Saxony,,520
2019,Number,Time series,Students from LDCs,Saxony,,631
2005,Number,Time series,Students from LDCs,Saxony-Anhalt,,100
2006,Number,Time series,Students from LDCs,Saxony-Anhalt,,93
2007,Number,Time series,Students from LDCs,Saxony-Anhalt,,88
2008,Number,Time series,Students from LDCs,Saxony-Anhalt,,97
2009,Number,Time series,Students from LDCs,Saxony-Anhalt,,121
2010,Number,Time series,Students from LDCs,Saxony-Anhalt,,150
2011,Number,Time series,Students from LDCs,Saxony-Anhalt,,171
2012,Number,Time series,Students from LDCs,Saxony-Anhalt,,201
2013,Number,Time series,Students from LDCs,Saxony-Anhalt,,227
2014,Number,Time series,Students from LDCs,Saxony-Anhalt,,240
2015,Number,Time series,Students from LDCs,Saxony-Anhalt,,282
2016,Number,Time series,Students from LDCs,Saxony-Anhalt,,261
2017,Number,Time series,Students from LDCs,Saxony-Anhalt,,288
2018,Number,Time series,Students from LDCs,Saxony-Anhalt,,344
2019,Number,Time series,Students from LDCs,Saxony-Anhalt,,459
2005,Number,Time series,Students from LDCs,Schleswig-Holstein,,105
2006,Number,Time series,Students from LDCs,Schleswig-Holstein,,118
2007,Number,Time series,Students from LDCs,Schleswig-Holstein,,132
2008,Number,Time series,Students from LDCs,Schleswig-Holstein,,150
2009,Number,Time series,Students from LDCs,Schleswig-Holstein,,171
2010,Number,Time series,Students from LDCs,Schleswig-Holstein,,160
2011,Number,Time series,Students from LDCs,Schleswig-Holstein,,181
2012,Number,Time series,Students from LDCs,Schleswig-Holstein,,196
2013,Number,Time series,Students from LDCs,Schleswig-Holstein,,213
2014,Number,Time series,Students from LDCs,Schleswig-Holstein,,201
2015,Number,Time series,Students from LDCs,Schleswig-Holstein,,184
2016,Number,Time series,Students from LDCs,Schleswig-Holstein,,221
2017,Number,Time series,Students from LDCs,Schleswig-Holstein,,270
2018,Number,Time series,Students from LDCs,Schleswig-Holstein,,295
2019,Number,Time series,Students from LDCs,Schleswig-Holstein,,339
2005,Number,Time series,Students from LDCs,Thuringia,,25
2006,Number,Time series,Students from LDCs,Thuringia,,29
2007,Number,Time series,Students from LDCs,Thuringia,,33
2008,Number,Time series,Students from LDCs,Thuringia,,54
2009,Number,Time series,Students from LDCs,Thuringia,,97
2010,Number,Time series,Students from LDCs,Thuringia,,147
2011,Number,Time series,Students from LDCs,Thuringia,,135
2012,Number,Time series,Students from LDCs,Thuringia,,150
2013,Number,Time series,Students from LDCs,Thuringia,,165
2014,Number,Time series,Students from LDCs,Thuringia,,179
2015,Number,Time series,Students from LDCs,Thuringia,,187
2016,Number,Time series,Students from LDCs,Thuringia,,223
2017,Number,Time series,Students from LDCs,Thuringia,,240
2018,Number,Time series,Students from LDCs,Thuringia,,274
2019,Number,Time series,Students from LDCs,Thuringia,,357
2005,Number,Time series,Students from other developing and emerging countries,,,129502
2006,Number,Time series,Students from other developing and emerging countries,,,129631
2007,Number,Time series,Students from other developing and emerging countries,,,124181
2008,Number,Time series,Students from other developing and emerging countries,,,127067
2009,Number,Time series,Students from other developing and emerging countries,,,131633
2010,Number,Time series,Students from other developing and emerging countries,,,136445
2011,Number,Time series,Students from other developing and emerging countries,,,140304
