Year,Units,Series,XXXArt der Betreuung,Value
2030,Percentage,All-day care provision for 3 to 5-year-old children,,
2006,Percentage,All-day care provision for 3 to 5-year-old children,XXXKindertageseinrichtungen,21.963
2007,Percentage,All-day care provision for 3 to 5-year-old children,XXXKindertageseinrichtungen,24.189
2008,Percentage,All-day care provision for 3 to 5-year-old children,XXXKindertageseinrichtungen,26.896
2009,Percentage,All-day care provision for 3 to 5-year-old children,XXXKindertageseinrichtungen,29.696
2010,Percentage,All-day care provision for 3 to 5-year-old children,XXXKindertageseinrichtungen,32.138
2011,Percentage,All-day care provision for 3 to 5-year-old children,XXXKindertageseinrichtungen,34.672
2012,Percentage,All-day care provision for 3 to 5-year-old children,XXXKindertageseinrichtungen,37.041
2013,Percentage,All-day care provision for 3 to 5-year-old children,XXXKindertageseinrichtungen,39.267
2014,Percentage,All-day care provision for 3 to 5-year-old children,XXXKindertageseinrichtungen,41.701
2015,Percentage,All-day care provision for 3 to 5-year-old children,XXXKindertageseinrichtungen,43.67
2016,Percentage,All-day care provision for 3 to 5-year-old children,XXXKindertageseinrichtungen,44.49
2017,Percentage,All-day care provision for 3 to 5-year-old children,XXXKindertageseinrichtungen,45.239
2018,Percentage,All-day care provision for 3 to 5-year-old children,XXXKindertageseinrichtungen,45.838
2019,Percentage,All-day care provision for 3 to 5-year-old children,XXXKindertageseinrichtungen,46.871
2020,Percentage,All-day care provision for 3 to 5-year-old children,XXXKindertageseinrichtungen,47.553
2021,Percentage,All-day care provision for 3 to 5-year-old children,XXXKindertageseinrichtungen,46.934
2022,Percentage,All-day care provision for 3 to 5-year-old children,XXXKindertageseinrichtungen,46.99
2023,Percentage,All-day care provision for 3 to 5-year-old children,XXXKindertageseinrichtungen,46.64
2024,Percentage,All-day care provision for 3 to 5-year-old children,XXXKindertageseinrichtungen,46.607
2006,Percentage,All-day care provision for 3 to 5-year-old children,XXXTagespflege,0.127
2007,Percentage,All-day care provision for 3 to 5-year-old children,XXXTagespflege,0.141
2008,Percentage,All-day care provision for 3 to 5-year-old children,XXXTagespflege,0.171
2009,Percentage,All-day care provision for 3 to 5-year-old children,XXXTagespflege,0.174
2010,Percentage,All-day care provision for 3 to 5-year-old children,XXXTagespflege,0.183
2011,Percentage,All-day care provision for 3 to 5-year-old children,XXXTagespflege,0.207
2012,Percentage,All-day care provision for 3 to 5-year-old children,XXXTagespflege,0.204
2013,Percentage,All-day care provision for 3 to 5-year-old children,XXXTagespflege,0.218
2014,Percentage,All-day care provision for 3 to 5-year-old children,XXXTagespflege,0.244
2015,Percentage,All-day care provision for 3 to 5-year-old children,XXXTagespflege,0.265
2016,Percentage,All-day care provision for 3 to 5-year-old children,XXXTagespflege,0.266
2017,Percentage,All-day care provision for 3 to 5-year-old children,XXXTagespflege,0.27
2018,Percentage,All-day care provision for 3 to 5-year-old children,XXXTagespflege,0.294
2019,Percentage,All-day care provision for 3 to 5-year-old children,XXXTagespflege,0.306
2020,Percentage,All-day care provision for 3 to 5-year-old children,XXXTagespflege,0.36
2021,Percentage,All-day care provision for 3 to 5-year-old children,XXXTagespflege,0.39
2022,Percentage,All-day care provision for 3 to 5-year-old children,XXXTagespflege,0.363
2023,Percentage,All-day care provision for 3 to 5-year-old children,XXXTagespflege,0.363
2024,Percentage,All-day care provision for 3 to 5-year-old children,XXXTagespflege,0.369
