Year,Units,Federal state,GeoCode,Criminal offences,Value
2019,"Per 100,000 inhabitants",,,,6840.513
2020,"Per 100,000 inhabitants",,,,6461.059
2021,"Per 100,000 inhabitants",,,,6280.503
1993,"Per 100,000 inhabitants",,,,16134.251
1994,"Per 100,000 inhabitants",,,,14849.41
1995,"Per 100,000 inhabitants",,,,14854.991
1996,"Per 100,000 inhabitants",,,,14962.599
1997,"Per 100,000 inhabitants",,,,14446.51
1998,"Per 100,000 inhabitants",,,,13342.777
1999,"Per 100,000 inhabitants",,,,13048.891
2000,"Per 100,000 inhabitants",,,,14084.637
2001,"Per 100,000 inhabitants",,,,14218.731
2002,"Per 100,000 inhabitants",,,,14555.812
2003,"Per 100,000 inhabitants",,,,14482.432
2004,"Per 100,000 inhabitants",,,,15417.977
2005,"Per 100,000 inhabitants",,,,14716.057
2006,"Per 100,000 inhabitants",,,,14546.313
2007,"Per 100,000 inhabitants",,,,14638.489
2008,"Per 100,000 inhabitants",,,,14452.295
2009,"Per 100,000 inhabitants",,,,14238.874
2010,"Per 100,000 inhabitants",,,,13643.624
2011,"Per 100,000 inhabitants",,,,14276.548
2012,"Per 100,000 inhabitants",,,,13311.315
2013,"Per 100,000 inhabitants",,,,13059.2
2014,"Per 100,000 inhabitants",,,,12743.9
2015,"Per 100,000 inhabitants",,,,13784.356
2016,"Per 100,000 inhabitants",,,,13686.598
2017,"Per 100,000 inhabitants",,,,11959.579
2018,"Per 100,000 inhabitants",,,,10942.804
2019,"Per 100,000 inhabitants",,,,11453.822
2020,"Per 100,000 inhabitants",,,,11871.515
2021,"Per 100,000 inhabitants",,,,11169.335
1993,"Per 100,000 inhabitants",,,,16919.817
1994,"Per 100,000 inhabitants",,,,15401.776
1995,"Per 100,000 inhabitants",,,,16734.975
1996,"Per 100,000 inhabitants",,,,16124.469
1997,"Per 100,000 inhabitants",,,,17664.472
1998,"Per 100,000 inhabitants",,,,16923.745
1999,"Per 100,000 inhabitants",,,,16854.017
2000,"Per 100,000 inhabitants",,,,17030.485
2001,"Per 100,000 inhabitants",,,,19007.281
2002,"Per 100,000 inhabitants",,,,15992.52
2003,"Per 100,000 inhabitants",,,,16143.506
2004,"Per 100,000 inhabitants",,,,15529.472
2005,"Per 100,000 inhabitants",,,,14582.808
2006,"Per 100,000 inhabitants",,,,14051.123
2007,"Per 100,000 inhabitants",,,,14026.725
2008,"Per 100,000 inhabitants",,,,13887.925
2009,"Per 100,000 inhabitants",,,,13932.422
2010,"Per 100,000 inhabitants",,,,13239.878
2011,"Per 100,000 inhabitants",,,,13418.186
2012,"Per 100,000 inhabitants",,,,13244.775
2013,"Per 100,000 inhabitants",,,,13724.4
2014,"Per 100,000 inhabitants",,,,13742.9
2015,"Per 100,000 inhabitants",,,,13839.36
2016,"Per 100,000 inhabitants",,,,13384.185
2017,"Per 100,000 inhabitants",,,,12480.24
2018,"Per 100,000 inhabitants",,,,11941.217
2019,"Per 100,000 inhabitants",,,,11450.924
2020,"Per 100,000 inhabitants",,,,11017.765
2021,"Per 100,000 inhabitants",,,,10062.36
1993,"Per 100,000 inhabitants",,,,8362.552
1994,"Per 100,000 inhabitants",,,,7940.082
1995,"Per 100,000 inhabitants",,,,7776.079
1996,"Per 100,000 inhabitants",,,,7710.327
1997,"Per 100,000 inhabitants",,,,7627.771
1998,"Per 100,000 inhabitants",,,,7452.443
1999,"Per 100,000 inhabitants",,,,7135.841
2000,"Per 100,000 inhabitants",,,,6987.653
2001,"Per 100,000 inhabitants",,,,6800.932
2002,"Per 100,000 inhabitants",,,,7104.5
2003,"Per 100,000 inhabitants",,,,7535.005
2004,"Per 100,000 inhabitants",,,,7670.757
2005,"Per 100,000 inhabitants",,,,7329.074
2006,"Per 100,000 inhabitants",,,,7098.918
2007,"Per 100,000 inhabitants",,,,7015.997
2008,"Per 100,000 inhabitants",,,,6801.635
2009,"Per 100,000 inhabitants",,,,6810.08
2010,"Per 100,000 inhabitants",,,,6732.368
2011,"Per 100,000 inhabitants",,,,6647.795
2012,"Per 100,000 inhabitants",,,,6600.619
2013,"Per 100,000 inhabitants",,,,6428.6
2014,"Per 100,000 inhabitants",,,,6565.8
2015,"Per 100,000 inhabitants",,,,6616.269
2016,"Per 100,000 inhabitants",,,,6672.483
2017,"Per 100,000 inhabitants",,,,6045.818
2018,"Per 100,000 inhabitants",,,,5971.205
2019,"Per 100,000 inhabitants",,,,5822.6
2020,"Per 100,000 inhabitants",,,,5445.589
2021,"Per 100,000 inhabitants",,,,5339.612
1993,"Per 100,000 inhabitants",,,,13811.726
1994,"Per 100,000 inhabitants",,,,11897.681
1995,"Per 100,000 inhabitants",,,,12060.317
1996,"Per 100,000 inhabitants",,,,11705.199
1997,"Per 100,000 inhabitants",,,,11665.702
1998,"Per 100,000 inhabitants",,,,11310.987
1999,"Per 100,000 inhabitants",,,,10500.326
2000,"Per 100,000 inhabitants",,,,10267.223
2001,"Per 100,000 inhabitants",,,,10447.111
2002,"Per 100,000 inhabitants",,,,10000.917
2003,"Per 100,000 inhabitants",,,,10863.475
2004,"Per 100,000 inhabitants",,,,10412.37
2005,"Per 100,000 inhabitants",,,,9402.295
2006,"Per 100,000 inhabitants",,,,9029.235
2007,"Per 100,000 inhabitants",,,,9016.077
2008,"Per 100,000 inhabitants",,,,8880.811
2009,"Per 100,000 inhabitants",,,,8424.916
2010,"Per 100,000 inhabitants",,,,7968.343
2011,"Per 100,000 inhabitants",,,,7953.113
2012,"Per 100,000 inhabitants",,,,7883.321
2013,"Per 100,000 inhabitants",,,,7528.7
2014,"Per 100,000 inhabitants",,,,7304.0
2015,"Per 100,000 inhabitants",,,,7332.763
2016,"Per 100,000 inhabitants",,,,7632.343
2017,"Per 100,000 inhabitants",,,,6850.362
2018,"Per 100,000 inhabitants",,,,6744.691
2019,"Per 100,000 inhabitants",,,,6916.241
2020,"Per 100,000 inhabitants",,,,6587.246
2021,"Per 100,000 inhabitants",,,,6484.584
1993,"Per 100,000 inhabitants",,,,8597.417
1994,"Per 100,000 inhabitants",,,,7710.205
1995,"Per 100,000 inhabitants",,,,7787.852
1996,"Per 100,000 inhabitants",,,,7516.195
1997,"Per 100,000 inhabitants",,,,7424.117
1998,"Per 100,000 inhabitants",,,,7286.226
1999,"Per 100,000 inhabitants",,,,7017.633
2000,"Per 100,000 inhabitants",,,,7205.937
2001,"Per 100,000 inhabitants",,,,7218.97
2002,"Per 100,000 inhabitants",,,,7726.731
2003,"Per 100,000 inhabitants",,,,7522.88
2004,"Per 100,000 inhabitants",,,,7437.14
2005,"Per 100,000 inhabitants",,,,7618.01
2006,"Per 100,000 inhabitants",,,,7656.801
2007,"Per 100,000 inhabitants",,,,7717.431
2008,"Per 100,000 inhabitants",,,,7516.174
2009,"Per 100,000 inhabitants",,,,7549.167
2010,"Per 100,000 inhabitants",,,,7473.27
2011,"Per 100,000 inhabitants",,,,7099.489
2012,"Per 100,000 inhabitants",,,,7167.492
2013,"Per 100,000 inhabitants",,,,7015.1
2014,"Per 100,000 inhabitants",,,,7094.9
2015,"Per 100,000 inhabitants",,,,7263.178
2016,"Per 100,000 inhabitants",,,,7089.585
2017,"Per 100,000 inhabitants",,,,6621.456
2018,"Per 100,000 inhabitants",,,,6361.915
2019,"Per 100,000 inhabitants",,,,6346.199
2020,"Per 100,000 inhabitants",,,,6219.444
2021,"Per 100,000 inhabitants",,,,5898.678
1993,"Per 100,000 inhabitants",,,,7806.263
1994,"Per 100,000 inhabitants",,,,7517.726
1995,"Per 100,000 inhabitants",,,,7680.641
1996,"Per 100,000 inhabitants",,,,7761.981
1997,"Per 100,000 inhabitants",,,,7578.958
1998,"Per 100,000 inhabitants",,,,7455.517
1999,"Per 100,000 inhabitants",,,,7460.722
2000,"Per 100,000 inhabitants",,,,7435.425
2001,"Per 100,000 inhabitants",,,,7708.684
2002,"Per 100,000 inhabitants",,,,8176.293
2003,"Per 100,000 inhabitants",,,,8372.738
2004,"Per 100,000 inhabitants",,,,8566.303
2005,"Per 100,000 inhabitants",,,,8417.374
2006,"Per 100,000 inhabitants",,,,8367.345
2007,"Per 100,000 inhabitants",,,,8406.891
2008,"Per 100,000 inhabitants",,,,8193.064
2009,"Per 100,000 inhabitants",,,,8257.257
2010,"Per 100,000 inhabitants",,,,8203.493
2011,"Per 100,000 inhabitants",,,,8614.719
2012,"Per 100,000 inhabitants",,,,8654.171
2013,"Per 100,000 inhabitants",,,,8459.1
2014,"Per 100,000 inhabitants",,,,8542.8
2015,"Per 100,000 inhabitants",,,,8603.241
2016,"Per 100,000 inhabitants",,,,8224.929
2017,"Per 100,000 inhabitants",,,,7676.816
2018,"Per 100,000 inhabitants",,,,7159.622
2019,"Per 100,000 inhabitants",,,,6847.448
2020,"Per 100,000 inhabitants",,,,6774.102
2021,"Per 100,000 inhabitants",,,,6702.56
1993,"Per 100,000 inhabitants",,,,6087.154
1994,"Per 100,000 inhabitants",,,,6241.908
1995,"Per 100,000 inhabitants",,,,6331.018
1996,"Per 100,000 inhabitants",,,,6515.486
1997,"Per 100,000 inhabitants",,,,6666.915
1998,"Per 100,000 inhabitants",,,,6545.293
1999,"Per 100,000 inhabitants",,,,6651.262
2000,"Per 100,000 inhabitants",,,,6711.046
2001,"Per 100,000 inhabitants",,,,6509.26
2002,"Per 100,000 inhabitants",,,,6944.264
2003,"Per 100,000 inhabitants",,,,7101.824
2004,"Per 100,000 inhabitants",,,,7416.831
2005,"Per 100,000 inhabitants",,,,7344.912
2006,"Per 100,000 inhabitants",,,,7375.449
2007,"Per 100,000 inhabitants",,,,7129.584
2008,"Per 100,000 inhabitants",,,,7274.451
2009,"Per 100,000 inhabitants",,,,7044.378
2010,"Per 100,000 inhabitants",,,,6989.426
2011,"Per 100,000 inhabitants",,,,6877.573
2012,"Per 100,000 inhabitants",,,,6703.478
2013,"Per 100,000 inhabitants",,,,6702.3
2014,"Per 100,000 inhabitants",,,,6623.2
2015,"Per 100,000 inhabitants",,,,6817.535
2016,"Per 100,000 inhabitants",,,,6775.385
2017,"Per 100,000 inhabitants",,,,6190.598
2018,"Per 100,000 inhabitants",,,,6001.16
2019,"Per 100,000 inhabitants",,,,5912.808
2020,"Per 100,000 inhabitants",,,,5625.536
2021,"Per 100,000 inhabitants",,,,5302.203
1993,"Per 100,000 inhabitants",,,,6278.272
1994,"Per 100,000 inhabitants",,,,5852.276
1995,"Per 100,000 inhabitants",,,,5983.061
1996,"Per 100,000 inhabitants",,,,6315.61
1997,"Per 100,000 inhabitants",,,,6273.252
1998,"Per 100,000 inhabitants",,,,6055.088
1999,"Per 100,000 inhabitants",,,,5823.678
2000,"Per 100,000 inhabitants",,,,6042.876
2001,"Per 100,000 inhabitants",,,,5719.677
2002,"Per 100,000 inhabitants",,,,6865.81
2003,"Per 100,000 inhabitants",,,,7075.431
2004,"Per 100,000 inhabitants",,,,7384.278
2005,"Per 100,000 inhabitants",,,,7384.378
2006,"Per 100,000 inhabitants",,,,7629.258
2007,"Per 100,000 inhabitants",,,,7162.618
2008,"Per 100,000 inhabitants",,,,7638.729
2009,"Per 100,000 inhabitants",,,,7335.319
2010,"Per 100,000 inhabitants",,,,7133.975
2011,"Per 100,000 inhabitants",,,,6913.809
2012,"Per 100,000 inhabitants",,,,7302.865
2013,"Per 100,000 inhabitants",,,,7295.7
2014,"Per 100,000 inhabitants",,,,7641.5
2015,"Per 100,000 inhabitants",,,,7885.767
2016,"Per 100,000 inhabitants",,,,7732.145
2017,"Per 100,000 inhabitants",,,,7109.811
2018,"Per 100,000 inhabitants",,,,7128.739
2019,"Per 100,000 inhabitants",,,,7543.495
2020,"Per 100,000 inhabitants",,,,6930.885
2021,"Per 100,000 inhabitants",,,,5960.522
1993,"Per 100,000 inhabitants",,,,7652.857
1994,"Per 100,000 inhabitants",,,,8402.371
1995,"Per 100,000 inhabitants",,,,8831.66
1996,"Per 100,000 inhabitants",,,,8619.387
1997,"Per 100,000 inhabitants",,,,8086.722
1998,"Per 100,000 inhabitants",,,,8157.421
1999,"Per 100,000 inhabitants",,,,8254.225
2000,"Per 100,000 inhabitants",,,,7883.492
2001,"Per 100,000 inhabitants",,,,8029.526
2002,"Per 100,000 inhabitants",,,,7761.987
2003,"Per 100,000 inhabitants",,,,8210.91
2004,"Per 100,000 inhabitants",,,,7871.042
2005,"Per 100,000 inhabitants",,,,7510.035
2006,"Per 100,000 inhabitants",,,,7311.846
2007,"Per 100,000 inhabitants",,,,7366.852
2008,"Per 100,000 inhabitants",,,,7129.874
2009,"Per 100,000 inhabitants",,,,6787.29
2010,"Per 100,000 inhabitants",,,,7107.245
2011,"Per 100,000 inhabitants",,,,7227.656
2012,"Per 100,000 inhabitants",,,,7705.771
2013,"Per 100,000 inhabitants",,,,7715.7
2014,"Per 100,000 inhabitants",,,,8086.1
2015,"Per 100,000 inhabitants",,,,7764.235
2016,"Per 100,000 inhabitants",,,,7949.764
2017,"Per 100,000 inhabitants",,,,7916.54
2018,"Per 100,000 inhabitants",,,,6831.045
2019,"Per 100,000 inhabitants",,,,6665.037
2020,"Per 100,000 inhabitants",,,,6694.252
2021,"Per 100,000 inhabitants",,,,6078.841
1993,"Per 100,000 inhabitants",,,,10814.783
1994,"Per 100,000 inhabitants",,,,10867.948
1995,"Per 100,000 inhabitants",,,,11616.502
1996,"Per 100,000 inhabitants",,,,11192.657
1997,"Per 100,000 inhabitants",,,,10846.8
1998,"Per 100,000 inhabitants",,,,10622.56
1999,"Per 100,000 inhabitants",,,,9950.458
2000,"Per 100,000 inhabitants",,,,9387.269
2001,"Per 100,000 inhabitants",,,,9090.811
2002,"Per 100,000 inhabitants",,,,9234.362
2003,"Per 100,000 inhabitants",,,,9074.731
2004,"Per 100,000 inhabitants",,,,9153.639
2005,"Per 100,000 inhabitants",,,,8761.717
2006,"Per 100,000 inhabitants",,,,8838.34
2007,"Per 100,000 inhabitants",,,,8987.344
2008,"Per 100,000 inhabitants",,,,8683.108
2009,"Per 100,000 inhabitants",,,,8549.909
2010,"Per 100,000 inhabitants",,,,8152.566
2011,"Per 100,000 inhabitants",,,,8151.917
2012,"Per 100,000 inhabitants",,,,8311.636
2013,"Per 100,000 inhabitants",,,,8581.1
2014,"Per 100,000 inhabitants",,,,8664.7
2015,"Per 100,000 inhabitants",,,,8893.077
2016,"Per 100,000 inhabitants",,,,8749.349
2017,"Per 100,000 inhabitants",,,,8342.173
2018,"Per 100,000 inhabitants",,,,7900.072
2019,"Per 100,000 inhabitants",,,,7849.719
2020,"Per 100,000 inhabitants",,,,8105.771
2021,"Per 100,000 inhabitants",,,,7816.997
1993,"Per 100,000 inhabitants",,,,10172.416
1994,"Per 100,000 inhabitants",,,,9732.496
1995,"Per 100,000 inhabitants",,,,10232.419
1996,"Per 100,000 inhabitants",,,,9264.181
1997,"Per 100,000 inhabitants",,,,9055.635
1998,"Per 100,000 inhabitants",,,,9136.844
1999,"Per 100,000 inhabitants",,,,8641.096
2000,"Per 100,000 inhabitants",,,,8921.709
2001,"Per 100,000 inhabitants",,,,8869.599
2002,"Per 100,000 inhabitants",,,,9225.22
2003,"Per 100,000 inhabitants",,,,9422.916
2004,"Per 100,000 inhabitants",,,,9173.319
2005,"Per 100,000 inhabitants",,,,8701.113
2006,"Per 100,000 inhabitants",,,,8636.899
2007,"Per 100,000 inhabitants",,,,8646.522
2008,"Per 100,000 inhabitants",,,,8562.115
2009,"Per 100,000 inhabitants",,,,8663.306
2010,"Per 100,000 inhabitants",,,,7912.869
2011,"Per 100,000 inhabitants",,,,7845.803
2012,"Per 100,000 inhabitants",,,,7562.737
2013,"Per 100,000 inhabitants",,,,7125.0
2014,"Per 100,000 inhabitants",,,,7184.1
2015,"Per 100,000 inhabitants",,,,7156.755
2016,"Per 100,000 inhabitants",,,,7224.962
2017,"Per 100,000 inhabitants",,,,6557.386
2018,"Per 100,000 inhabitants",,,,6467.321
2019,"Per 100,000 inhabitants",,,,6332.87
2020,"Per 100,000 inhabitants",,,,5989.759
2021,"Per 100,000 inhabitants",,,,6076.97
1993,"Per 100,000 inhabitants",,,,6331.544
1994,"Per 100,000 inhabitants",,,,6501.611
1995,"Per 100,000 inhabitants",,,,7448.463
1996,"Per 100,000 inhabitants",,,,7447.762
1997,"Per 100,000 inhabitants",,,,6959.749
1998,"Per 100,000 inhabitants",,,,7036.777
1999,"Per 100,000 inhabitants",,,,6584.864
2000,"Per 100,000 inhabitants",,,,6414.074
2001,"Per 100,000 inhabitants",,,,6664.577
2002,"Per 100,000 inhabitants",,,,6952.29
2003,"Per 100,000 inhabitants",,,,6986.982
2004,"Per 100,000 inhabitants",,,,6998.765
2005,"Per 100,000 inhabitants",,,,6547.534
2006,"Per 100,000 inhabitants",,,,6511.577
2007,"Per 100,000 inhabitants",,,,6454.177
2008,"Per 100,000 inhabitants",,,,6323.087
2009,"Per 100,000 inhabitants",,,,6213.414
2010,"Per 100,000 inhabitants",,,,6240.479
2011,"Per 100,000 inhabitants",,,,6239.159
2012,"Per 100,000 inhabitants",,,,6421.287
2013,"Per 100,000 inhabitants",,,,6556.7
2014,"Per 100,000 inhabitants",,,,6574.3
2015,"Per 100,000 inhabitants",,,,6502.349
2016,"Per 100,000 inhabitants",,,,6874.512
2017,"Per 100,000 inhabitants",,,,6637.095
2018,"Per 100,000 inhabitants",,,,6654.782
2019,"Per 100,000 inhabitants",,,,6033.236
2020,"Per 100,000 inhabitants",,,,6652.97
2021,"Per 100,000 inhabitants",,,,6150.775
1993,"Per 100,000 inhabitants",,,Dangerous and serious bodily injury,108.635
1994,"Per 100,000 inhabitants",,,,108.571
1995,"Per 100,000 inhabitants",,,,117.918
1996,"Per 100,000 inhabitants",,,,124.476
1997,"Per 100,000 inhabitants",,,,130.293
1998,"Per 100,000 inhabitants",,,,135.319
1999,"Per 100,000 inhabitants",,,,140.687
2000,"Per 100,000 inhabitants",,,,143.543
2001,"Per 100,000 inhabitants",,,,147.724
2002,"Per 100,000 inhabitants",,,,155.614
2003,"Per 100,000 inhabitants",,,,162.542
2004,"Per 100,000 inhabitants",,,,171.451
2005,"Per 100,000 inhabitants",,,,180.731
2006,"Per 100,000 inhabitants",,,,185.646
2007,"Per 100,000 inhabitants",,,,190.991
2008,"Per 100,000 inhabitants",,,,186.889
2009,"Per 100,000 inhabitants",,,,185.193
2010,"Per 100,000 inhabitants",,,,177.859
2011,"Per 100,000 inhabitants",,,,173.382
2012,"Per 100,000 inhabitants",,,,169.402
2013,"Per 100,000 inhabitants",,,,158.8
2014,"Per 100,000 inhabitants",,,,155.7
2015,"Per 100,000 inhabitants",,,,156.9
2016,"Per 100,000 inhabitants",,,,170.407
2017,"Per 100,000 inhabitants",,,,166.3
2018,"Per 100,000 inhabitants",,,,165.144
2019,"Per 100,000 inhabitants",,,,160.305
2020,"Per 100,000 inhabitants",,,,156.857
2021,"Per 100,000 inhabitants",,,,147.124
1993,"Per 100,000 inhabitants",,,,653.924
1994,"Per 100,000 inhabitants",,,,724.436
1995,"Per 100,000 inhabitants",,,,767.389
1996,"Per 100,000 inhabitants",,,,796.795
1997,"Per 100,000 inhabitants",,,,822.866
1998,"Per 100,000 inhabitants",,,,865.74
1999,"Per 100,000 inhabitants",,,,881.271
2000,"Per 100,000 inhabitants",,,,947.075
2001,"Per 100,000 inhabitants",,,,973.907
2002,"Per 100,000 inhabitants",,,,966.313
2003,"Per 100,000 inhabitants",,,,1073.724
2004,"Per 100,000 inhabitants",,,,1155.524
2005,"Per 100,000 inhabitants",,,,1166.926
2006,"Per 100,000 inhabitants",,,,1174.211
2007,"Per 100,000 inhabitants",,,,1125.97
2008,"Per 100,000 inhabitants",,,,1097.427
2009,"Per 100,000 inhabitants",,,,1185.581
2010,"Per 100,000 inhabitants",,,,1204.99
2011,"Per 100,000 inhabitants",,,,1165.368
2012,"Per 100,000 inhabitants",,,,1193.253
2013,"Per 100,000 inhabitants",,,,1164.7
2014,"Per 100,000 inhabitants",,,,1199.6
2015,"Per 100,000 inhabitants",,,,1190.1
2016,"Per 100,000 inhabitants",,,,1094.0
2017,"Per 100,000 inhabitants",,,,1103.2
2018,"Per 100,000 inhabitants",,,,1015.532
2019,"Per 100,000 inhabitants",,,,1003.341
2020,"Per 100,000 inhabitants",,,,971.632
2021,"Per 100,000 inhabitants",,,,954.388
1993,"Per 100,000 inhabitants",,,,281.031
1994,"Per 100,000 inhabitants",,,,260.192
1995,"Per 100,000 inhabitants",,,,260.099
1996,"Per 100,000 inhabitants",,,,240.52
1997,"Per 100,000 inhabitants",,,,223.254
1998,"Per 100,000 inhabitants",,,,204.606
1999,"Per 100,000 inhabitants",,,,183.106
