Year,Units,Time series,Federal state,GeoCode,Value
2018,Percentage,Smoking rate among adults,Brandenburg,code12,
2019,Percentage,Smoking rate among adults,Brandenburg,code12,
2021,Percentage,Smoking rate among adults,Brandenburg,code12,19.4
2003,Percentage,Smoking rate among adults,Brandenburg,code12,30.35
2004,Percentage,Smoking rate among adults,Brandenburg,code12,
2005,Percentage,Smoking rate among adults,Brandenburg,code12,29.0
2006,Percentage,Smoking rate among adults,Brandenburg,code12,
2007,Percentage,Smoking rate among adults,Brandenburg,code12,
2008,Percentage,Smoking rate among adults,Brandenburg,code12,
2009,Percentage,Smoking rate among adults,Brandenburg,code12,28.0
2010,Percentage,Smoking rate among adults,Brandenburg,code12,
2011,Percentage,Smoking rate among adults,Brandenburg,code12,
2012,Percentage,Smoking rate among adults,Brandenburg,code12,
2013,Percentage,Smoking rate among adults,Brandenburg,code12,25.77
2014,Percentage,Smoking rate among adults,Brandenburg,code12,
2015,Percentage,Smoking rate among adults,Brandenburg,code12,
2016,Percentage,Smoking rate among adults,Brandenburg,code12,
2017,Percentage,Smoking rate among adults,Brandenburg,code12,24.47
2018,Percentage,Smoking rate among adults,Brandenburg,code12,
2019,Percentage,Smoking rate among adults,Brandenburg,code12,
2020,Percentage,Smoking rate among adults,Brandenburg,code12,
2003,Percentage,Smoking rate among adults,Bremen,code04,33.85
2004,Percentage,Smoking rate among adults,Bremen,code04,
2005,Percentage,Smoking rate among adults,Bremen,code04,30.8
2007,Percentage,Smoking rate among adults,Bremen,code04,
2008,Percentage,Smoking rate among adults,Bremen,code04,
2009,Percentage,Smoking rate among adults,Bremen,code04,30.5
2010,Percentage,Smoking rate among adults,Bremen,code04,
2011,Percentage,Smoking rate among adults,Bremen,code04,
2012,Percentage,Smoking rate among adults,Bremen,code04,
2013,Percentage,Smoking rate among adults,Bremen,code04,27.77
2014,Percentage,Smoking rate among adults,Bremen,code04,
2015,Percentage,Smoking rate among adults,Bremen,code04,
2016,Percentage,Smoking rate among adults,Bremen,code04,
2017,Percentage,Smoking rate among adults,Bremen,code04,27.39
2018,Percentage,Smoking rate among adults,Bremen,code04,
2019,Percentage,Smoking rate among adults,Bremen,code04,
2021,Percentage,Smoking rate among adults,Bremen,code04,22.6
2003,Percentage,Smoking rate among adults,Bremen,code04,33.85
2004,Percentage,Smoking rate among adults,Bremen,code04,
2005,Percentage,Smoking rate among adults,Bremen,code04,30.8
2006,Percentage,Smoking rate among adults,Bremen,code04,
2007,Percentage,Smoking rate among adults,Bremen,code04,
2008,Percentage,Smoking rate among adults,Bremen,code04,
2009,Percentage,Smoking rate among adults,Bremen,code04,30.5
2010,Percentage,Smoking rate among adults,Bremen,code04,
2011,Percentage,Smoking rate among adults,Bremen,code04,
2012,Percentage,Smoking rate among adults,Bremen,code04,
2013,Percentage,Smoking rate among adults,Bremen,code04,27.77
2014,Percentage,Smoking rate among adults,Bremen,code04,
2015,Percentage,Smoking rate among adults,Bremen,code04,
2016,Percentage,Smoking rate among adults,Bremen,code04,
2017,Percentage,Smoking rate among adults,Bremen,code04,27.39
2018,Percentage,Smoking rate among adults,Bremen,code04,
2019,Percentage,Smoking rate among adults,Bremen,code04,
2020,Percentage,Smoking rate among adults,Bremen,code04,
2003,Percentage,Smoking rate among adults,Hamburg,code02,30.95
2004,Percentage,Smoking rate among adults,Hamburg,code02,
2005,Percentage,Smoking rate among adults,Hamburg,code02,29.8
2007,Percentage,Smoking rate among adults,Hamburg,code02,
2008,Percentage,Smoking rate among adults,Hamburg,code02,
2009,Percentage,Smoking rate among adults,Hamburg,code02,26.7
2010,Percentage,Smoking rate among adults,Hamburg,code02,
2011,Percentage,Smoking rate among adults,Hamburg,code02,
2012,Percentage,Smoking rate among adults,Hamburg,code02,
2013,Percentage,Smoking rate among adults,Hamburg,code02,25.64
2014,Percentage,Smoking rate among adults,Hamburg,code02,
2015,Percentage,Smoking rate among adults,Hamburg,code02,
2016,Percentage,Smoking rate among adults,Hamburg,code02,
2017,Percentage,Smoking rate among adults,Hamburg,code02,23.14
2018,Percentage,Smoking rate among adults,Hamburg,code02,
2019,Percentage,Smoking rate among adults,Hamburg,code02,
2021,Percentage,Smoking rate among adults,Hamburg,code02,19.4
2003,Percentage,Smoking rate among adults,Hamburg,code02,30.95
2004,Percentage,Smoking rate among adults,Hamburg,code02,
2005,Percentage,Smoking rate among adults,Hamburg,code02,29.8
2006,Percentage,Smoking rate among adults,Hamburg,code02,
2007,Percentage,Smoking rate among adults,Hamburg,code02,
2008,Percentage,Smoking rate among adults,Hamburg,code02,
2009,Percentage,Smoking rate among adults,Hamburg,code02,26.7
2010,Percentage,Smoking rate among adults,Hamburg,code02,
2011,Percentage,Smoking rate among adults,Hamburg,code02,
2012,Percentage,Smoking rate among adults,Hamburg,code02,
2013,Percentage,Smoking rate among adults,Hamburg,code02,25.64
2014,Percentage,Smoking rate among adults,Hamburg,code02,
2015,Percentage,Smoking rate among adults,Hamburg,code02,
2016,Percentage,Smoking rate among adults,Hamburg,code02,
2017,Percentage,Smoking rate among adults,Hamburg,code02,23.14
2018,Percentage,Smoking rate among adults,Hamburg,code02,
2019,Percentage,Smoking rate among adults,Hamburg,code02,
2020,Percentage,Smoking rate among adults,Hamburg,code02,
2003,Percentage,Smoking rate among adults,Hesse,code06,27.15
2004,Percentage,Smoking rate among adults,Hesse,code06,
2005,Percentage,Smoking rate among adults,Hesse,code06,25.9
2007,Percentage,Smoking rate among adults,Hesse,code06,
2008,Percentage,Smoking rate among adults,Hesse,code06,
2009,Percentage,Smoking rate among adults,Hesse,code06,24.6
2010,Percentage,Smoking rate among adults,Hesse,code06,
2011,Percentage,Smoking rate among adults,Hesse,code06,
2012,Percentage,Smoking rate among adults,Hesse,code06,
2013,Percentage,Smoking rate among adults,Hesse,code06,23.37
2014,Percentage,Smoking rate among adults,Hesse,code06,
2015,Percentage,Smoking rate among adults,Hesse,code06,
2016,Percentage,Smoking rate among adults,Hesse,code06,
2017,Percentage,Smoking rate among adults,Hesse,code06,21.11
2018,Percentage,Smoking rate among adults,Hesse,code06,
2019,Percentage,Smoking rate among adults,Hesse,code06,
2021,Percentage,Smoking rate among adults,Hesse,code06,19.4
2003,Percentage,Smoking rate among adults,Hesse,code06,27.15
2004,Percentage,Smoking rate among adults,Hesse,code06,
2005,Percentage,Smoking rate among adults,Hesse,code06,25.9
2006,Percentage,Smoking rate among adults,Hesse,code06,
2007,Percentage,Smoking rate among adults,Hesse,code06,
2008,Percentage,Smoking rate among adults,Hesse,code06,
2009,Percentage,Smoking rate among adults,Hesse,code06,24.6
2010,Percentage,Smoking rate among adults,Hesse,code06,
2011,Percentage,Smoking rate among adults,Hesse,code06,
2012,Percentage,Smoking rate among adults,Hesse,code06,
2013,Percentage,Smoking rate among adults,Hesse,code06,23.37
2014,Percentage,Smoking rate among adults,Hesse,code06,
2015,Percentage,Smoking rate among adults,Hesse,code06,
2016,Percentage,Smoking rate among adults,Hesse,code06,
2017,Percentage,Smoking rate among adults,Hesse,code06,21.11
2018,Percentage,Smoking rate among adults,Hesse,code06,
2019,Percentage,Smoking rate among adults,Hesse,code06,
2020,Percentage,Smoking rate among adults,Hesse,code06,
2003,Percentage,Smoking rate among adults,Mecklenburg Western Pomerania,code13,30.61
2004,Percentage,Smoking rate among adults,Mecklenburg Western Pomerania,code13,
2005,Percentage,Smoking rate among adults,Mecklenburg Western Pomerania,code13,33.3
2007,Percentage,Smoking rate among adults,Mecklenburg Western Pomerania,code13,
2008,Percentage,Smoking rate among adults,Mecklenburg Western Pomerania,code13,
2009,Percentage,Smoking rate among adults,Mecklenburg Western Pomerania,code13,30.4
2010,Percentage,Smoking rate among adults,Mecklenburg Western Pomerania,code13,
2011,Percentage,Smoking rate among adults,Mecklenburg Western Pomerania,code13,
2012,Percentage,Smoking rate among adults,Mecklenburg Western Pomerania,code13,
2013,Percentage,Smoking rate among adults,Mecklenburg Western Pomerania,code13,28.22
2014,Percentage,Smoking rate among adults,Mecklenburg Western Pomerania,code13,
2015,Percentage,Smoking rate among adults,Mecklenburg Western Pomerania,code13,
2016,Percentage,Smoking rate among adults,Mecklenburg Western Pomerania,code13,
2017,Percentage,Smoking rate among adults,Mecklenburg Western Pomerania,code13,27.66
2018,Percentage,Smoking rate among adults,Mecklenburg Western Pomerania,code13,
2019,Percentage,Smoking rate among adults,Mecklenburg Western Pomerania,code13,
2021,Percentage,Smoking rate among adults,Mecklenburg Western Pomerania,code13,23.5
2003,Percentage,Smoking rate among adults,Mecklenburg Western Pomerania,code13,30.61
2004,Percentage,Smoking rate among adults,Mecklenburg Western Pomerania,code13,
2005,Percentage,Smoking rate among adults,Mecklenburg Western Pomerania,code13,33.3
2006,Percentage,Smoking rate among adults,Mecklenburg Western Pomerania,code13,
2007,Percentage,Smoking rate among adults,Mecklenburg Western Pomerania,code13,
2008,Percentage,Smoking rate among adults,Mecklenburg Western Pomerania,code13,
2009,Percentage,Smoking rate among adults,Mecklenburg Western Pomerania,code13,30.4
2010,Percentage,Smoking rate among adults,Mecklenburg Western Pomerania,code13,
2011,Percentage,Smoking rate among adults,Mecklenburg Western Pomerania,code13,
2012,Percentage,Smoking rate among adults,Mecklenburg Western Pomerania,code13,
2013,Percentage,Smoking rate among adults,Mecklenburg Western Pomerania,code13,28.22
2014,Percentage,Smoking rate among adults,Mecklenburg Western Pomerania,code13,
2015,Percentage,Smoking rate among adults,Mecklenburg Western Pomerania,code13,
2016,Percentage,Smoking rate among adults,Mecklenburg Western Pomerania,code13,
2017,Percentage,Smoking rate among adults,Mecklenburg Western Pomerania,code13,27.66
2018,Percentage,Smoking rate among adults,Mecklenburg Western Pomerania,code13,
2019,Percentage,Smoking rate among adults,Mecklenburg Western Pomerania,code13,
2020,Percentage,Smoking rate among adults,Mecklenburg Western Pomerania,code13,
2003,Percentage,Smoking rate among adults,Lower Saxony,code03,28.44
2004,Percentage,Smoking rate among adults,Lower Saxony,code03,
2005,Percentage,Smoking rate among adults,Lower Saxony,code03,28.1
2007,Percentage,Smoking rate among adults,Lower Saxony,code03,
2008,Percentage,Smoking rate among adults,Lower Saxony,code03,
2009,Percentage,Smoking rate among adults,Lower Saxony,code03,26.1
2010,Percentage,Smoking rate among adults,Lower Saxony,code03,
2011,Percentage,Smoking rate among adults,Lower Saxony,code03,
2012,Percentage,Smoking rate among adults,Lower Saxony,code03,
2013,Percentage,Smoking rate among adults,Lower Saxony,code03,24.69
2014,Percentage,Smoking rate among adults,Lower Saxony,code03,
2015,Percentage,Smoking rate among adults,Lower Saxony,code03,
2016,Percentage,Smoking rate among adults,Lower Saxony,code03,
2017,Percentage,Smoking rate among adults,Lower Saxony,code03,22.94
2018,Percentage,Smoking rate among adults,Lower Saxony,code03,
2019,Percentage,Smoking rate among adults,Lower Saxony,code03,
2021,Percentage,Smoking rate among adults,Lower Saxony,code03,18.8
2003,Percentage,Smoking rate among adults,Lower Saxony,code03,28.44
2004,Percentage,Smoking rate among adults,Lower Saxony,code03,
2005,Percentage,Smoking rate among adults,Lower Saxony,code03,28.1
2006,Percentage,Smoking rate among adults,Lower Saxony,code03,
2007,Percentage,Smoking rate among adults,Lower Saxony,code03,
2008,Percentage,Smoking rate among adults,Lower Saxony,code03,
2009,Percentage,Smoking rate among adults,Lower Saxony,code03,26.1
2010,Percentage,Smoking rate among adults,Lower Saxony,code03,
2011,Percentage,Smoking rate among adults,Lower Saxony,code03,
2012,Percentage,Smoking rate among adults,Lower Saxony,code03,
2013,Percentage,Smoking rate among adults,Lower Saxony,code03,24.69
2014,Percentage,Smoking rate among adults,Lower Saxony,code03,
2015,Percentage,Smoking rate among adults,Lower Saxony,code03,
2016,Percentage,Smoking rate among adults,Lower Saxony,code03,
2017,Percentage,Smoking rate among adults,Lower Saxony,code03,22.94
2018,Percentage,Smoking rate among adults,Lower Saxony,code03,
2019,Percentage,Smoking rate among adults,Lower Saxony,code03,
2020,Percentage,Smoking rate among adults,Lower Saxony,code03,
2003,Percentage,Smoking rate among adults,North Rhine-Westphalia,code05,27.63
2004,Percentage,Smoking rate among adults,North Rhine-Westphalia,code05,
2005,Percentage,Smoking rate among adults,North Rhine-Westphalia,code05,29.0
2007,Percentage,Smoking rate among adults,North Rhine-Westphalia,code05,
2008,Percentage,Smoking rate among adults,North Rhine-Westphalia,code05,
2009,Percentage,Smoking rate among adults,North Rhine-Westphalia,code05,26.9
2010,Percentage,Smoking rate among adults,North Rhine-Westphalia,code05,
2011,Percentage,Smoking rate among adults,North Rhine-Westphalia,code05,
2012,Percentage,Smoking rate among adults,North Rhine-Westphalia,code05,
2013,Percentage,Smoking rate among adults,North Rhine-Westphalia,code05,25.92
2014,Percentage,Smoking rate among adults,North Rhine-Westphalia,code05,
2015,Percentage,Smoking rate among adults,North Rhine-Westphalia,code05,
2016,Percentage,Smoking rate among adults,North Rhine-Westphalia,code05,
2017,Percentage,Smoking rate among adults,North Rhine-Westphalia,code05,22.64
2018,Percentage,Smoking rate among adults,North Rhine-Westphalia,code05,
2019,Percentage,Smoking rate among adults,North Rhine-Westphalia,code05,
2021,Percentage,Smoking rate among adults,North Rhine-Westphalia,code05,18.7
2003,Percentage,Smoking rate among adults,North Rhine-Westphalia,code05,27.63
2004,Percentage,Smoking rate among adults,North Rhine-Westphalia,code05,
2005,Percentage,Smoking rate among adults,North Rhine-Westphalia,code05,29.0
2006,Percentage,Smoking rate among adults,North Rhine-Westphalia,code05,
2007,Percentage,Smoking rate among adults,North Rhine-Westphalia,code05,
2008,Percentage,Smoking rate among adults,North Rhine-Westphalia,code05,
2009,Percentage,Smoking rate among adults,North Rhine-Westphalia,code05,26.9
2010,Percentage,Smoking rate among adults,North Rhine-Westphalia,code05,
2011,Percentage,Smoking rate among adults,North Rhine-Westphalia,code05,
2012,Percentage,Smoking rate among adults,North Rhine-Westphalia,code05,
2013,Percentage,Smoking rate among adults,North Rhine-Westphalia,code05,25.92
2014,Percentage,Smoking rate among adults,North Rhine-Westphalia,code05,
2015,Percentage,Smoking rate among adults,North Rhine-Westphalia,code05,
2016,Percentage,Smoking rate among adults,North Rhine-Westphalia,code05,
2017,Percentage,Smoking rate among adults,North Rhine-Westphalia,code05,22.64
2018,Percentage,Smoking rate among adults,North Rhine-Westphalia,code05,
2019,Percentage,Smoking rate among adults,North Rhine-Westphalia,code05,
2020,Percentage,Smoking rate among adults,North Rhine-Westphalia,code05,
2003,Percentage,Smoking rate among adults,Rhineland Palatinate,code07,27.59
2004,Percentage,Smoking rate among adults,Rhineland Palatinate,code07,
2005,Percentage,Smoking rate among adults,Rhineland Palatinate,code07,26.0
2007,Percentage,Smoking rate among adults,Rhineland Palatinate,code07,
2008,Percentage,Smoking rate among adults,Rhineland Palatinate,code07,
2009,Percentage,Smoking rate among adults,Rhineland Palatinate,code07,25.1
2010,Percentage,Smoking rate among adults,Rhineland Palatinate,code07,
2011,Percentage,Smoking rate among adults,Rhineland Palatinate,code07,
2012,Percentage,Smoking rate among adults,Rhineland Palatinate,code07,
2013,Percentage,Smoking rate among adults,Rhineland Palatinate,code07,23.86
2014,Percentage,Smoking rate among adults,Rhineland Palatinate,code07,
2015,Percentage,Smoking rate among adults,Rhineland Palatinate,code07,
2016,Percentage,Smoking rate among adults,Rhineland Palatinate,code07,
2017,Percentage,Smoking rate among adults,Rhineland Palatinate,code07,21.66
2018,Percentage,Smoking rate among adults,Rhineland Palatinate,code07,
2019,Percentage,Smoking rate among adults,Rhineland Palatinate,code07,
2021,Percentage,Smoking rate among adults,Rhineland Palatinate,code07,18.5
2003,Percentage,Smoking rate among adults,Rhineland Palatinate,code07,27.59
2004,Percentage,Smoking rate among adults,Rhineland Palatinate,code07,
2005,Percentage,Smoking rate among adults,Rhineland Palatinate,code07,26.0
2006,Percentage,Smoking rate among adults,Rhineland Palatinate,code07,
2007,Percentage,Smoking rate among adults,Rhineland Palatinate,code07,
2008,Percentage,Smoking rate among adults,Rhineland Palatinate,code07,
2009,Percentage,Smoking rate among adults,Rhineland Palatinate,code07,25.1
2010,Percentage,Smoking rate among adults,Rhineland Palatinate,code07,
2011,Percentage,Smoking rate among adults,Rhineland Palatinate,code07,
2012,Percentage,Smoking rate among adults,Rhineland Palatinate,code07,
2013,Percentage,Smoking rate among adults,Rhineland Palatinate,code07,23.86
2014,Percentage,Smoking rate among adults,Rhineland Palatinate,code07,
2015,Percentage,Smoking rate among adults,Rhineland Palatinate,code07,
2016,Percentage,Smoking rate among adults,Rhineland Palatinate,code07,
2017,Percentage,Smoking rate among adults,Rhineland Palatinate,code07,21.66
2018,Percentage,Smoking rate among adults,Rhineland Palatinate,code07,
2019,Percentage,Smoking rate among adults,Rhineland Palatinate,code07,
2020,Percentage,Smoking rate among adults,Rhineland Palatinate,code07,
2003,Percentage,Smoking rate among adults,Saarland,code10,25.19
2004,Percentage,Smoking rate among adults,Saarland,code10,
2005,Percentage,Smoking rate among adults,Saarland,code10,26.2
2007,Percentage,Smoking rate among adults,Saarland,code10,
2008,Percentage,Smoking rate among adults,Saarland,code10,
2009,Percentage,Smoking rate among adults,Saarland,code10,25.3
2010,Percentage,Smoking rate among adults,Saarland,code10,
