Year,Units,Sex,Federal state,GeoCode,Value
2013,Percentage,Female,Brandenburg,code12,10.1
2014,Percentage,Female,Brandenburg,code12,
2015,Percentage,Female,Brandenburg,code12,11.1
2016,Percentage,Female,Brandenburg,code12,
2017,Percentage,Female,Brandenburg,code12,
2018,Percentage,Female,Brandenburg,code12,10.41
2019,Percentage,Female,Brandenburg,code12,
2020,Percentage,Female,Brandenburg,code12,
1999,Percentage,Male,Brandenburg,code12,
2010,Percentage,Male,Brandenburg,code12,11.7
2011,Percentage,Male,Brandenburg,code12,11.84
2012,Percentage,Male,Brandenburg,code12,9.69
2013,Percentage,Male,Brandenburg,code12,11.0
2014,Percentage,Male,Brandenburg,code12,9.17
2015,Percentage,Male,Brandenburg,code12,11.9
2016,Percentage,Male,Brandenburg,code12,12.61
2017,Percentage,Male,Brandenburg,code12,15.0
2018,Percentage,Male,Brandenburg,code12,12.43
2019,Percentage,Male,Brandenburg,code12,13.55
2020,Percentage,Male,Brandenburg,code12,
1999,Percentage,,Bremen,code04,
2010,Percentage,,Bremen,code04,14.3
2011,Percentage,,Bremen,code04,17.22
2012,Percentage,,Bremen,code04,13.34
2013,Percentage,,Bremen,code04,14.9
2014,Percentage,,Bremen,code04,14.01
2015,Percentage,,Bremen,code04,11.54
2016,Percentage,,Bremen,code04,11.08
2017,Percentage,,Bremen,code04,10.91
2018,Percentage,,Bremen,code04,14.64
2019,Percentage,,Bremen,code04,16.04
2020,Percentage,,Bremen,code04,-15.3
1999,Percentage,Female,Bremen,code04,
2010,Percentage,Female,Bremen,code04,
2011,Percentage,Female,Bremen,code04,
2012,Percentage,Female,Bremen,code04,
2013,Percentage,Female,Bremen,code04,
2014,Percentage,Female,Bremen,code04,
2015,Percentage,Female,Bremen,code04,
2016,Percentage,Female,Bremen,code04,
2017,Percentage,Female,Bremen,code04,
2018,Percentage,Female,Bremen,code04,
2019,Percentage,Female,Bremen,code04,
2020,Percentage,Female,Bremen,code04,
1999,Percentage,Male,Bremen,code04,
2010,Percentage,Male,Bremen,code04,
2011,Percentage,Male,Bremen,code04,
2012,Percentage,Male,Bremen,code04,
2013,Percentage,Male,Bremen,code04,
2014,Percentage,Male,Bremen,code04,
2015,Percentage,Male,Bremen,code04,
2016,Percentage,Male,Bremen,code04,
2017,Percentage,Male,Bremen,code04,
2018,Percentage,Male,Bremen,code04,17.71
2019,Percentage,Male,Bremen,code04,17.71
2020,Percentage,Male,Bremen,code04,
1999,Percentage,,Hamburg,code02,
2010,Percentage,,Hamburg,code02,13.2
2011,Percentage,,Hamburg,code02,13.16
2012,Percentage,,Hamburg,code02,12.47
2013,Percentage,,Hamburg,code02,11.6
2014,Percentage,,Hamburg,code02,11.79
2015,Percentage,,Hamburg,code02,12.57
2016,Percentage,,Hamburg,code02,12.81
2017,Percentage,,Hamburg,code02,11.41
2018,Percentage,,Hamburg,code02,11.56
2019,Percentage,,Hamburg,code02,13.96
2020,Percentage,,Hamburg,code02,-11.3
1999,Percentage,Female,Hamburg,code02,
2010,Percentage,Female,Hamburg,code02,11.7
2011,Percentage,Female,Hamburg,code02,11.02
2012,Percentage,Female,Hamburg,code02,11.12
2013,Percentage,Female,Hamburg,code02,11.9
2014,Percentage,Female,Hamburg,code02,9.7
2015,Percentage,Female,Hamburg,code02,10.99
2016,Percentage,Female,Hamburg,code02,12.4
2017,Percentage,Female,Hamburg,code02,10.75
2018,Percentage,Female,Hamburg,code02,12.17
2019,Percentage,Female,Hamburg,code02,13.45
2020,Percentage,Female,Hamburg,code02,
1999,Percentage,Male,Hamburg,code02,
2010,Percentage,Male,Hamburg,code02,14.9
2011,Percentage,Male,Hamburg,code02,15.42
2012,Percentage,Male,Hamburg,code02,13.94
2013,Percentage,Male,Hamburg,code02,11.4
2014,Percentage,Male,Hamburg,code02,13.88
2015,Percentage,Male,Hamburg,code02,14.09
2016,Percentage,Male,Hamburg,code02,13.23
2017,Percentage,Male,Hamburg,code02,12.11
2018,Percentage,Male,Hamburg,code02,10.97
2019,Percentage,Male,Hamburg,code02,14.44
2020,Percentage,Male,Hamburg,code02,
1999,Percentage,,Hesse,code06,
2010,Percentage,,Hesse,code06,11.8
2011,Percentage,,Hesse,code06,10.58
2012,Percentage,,Hesse,code06,9.07
2013,Percentage,,Hesse,code06,10.0
2014,Percentage,,Hesse,code06,9.67
2015,Percentage,,Hesse,code06,9.52
2016,Percentage,,Hesse,code06,10.48
2017,Percentage,,Hesse,code06,10.15
2018,Percentage,,Hesse,code06,10.7
2019,Percentage,,Hesse,code06,10.33
2020,Percentage,,Hesse,code06,12.3
1999,Percentage,Female,Hesse,code06,
2010,Percentage,Female,Hesse,code06,10.6
2011,Percentage,Female,Hesse,code06,9.5
2012,Percentage,Female,Hesse,code06,8.43
2013,Percentage,Female,Hesse,code06,9.2
2014,Percentage,Female,Hesse,code06,8.87
2015,Percentage,Female,Hesse,code06,9.42
2016,Percentage,Female,Hesse,code06,9.45
2017,Percentage,Female,Hesse,code06,8.27
2018,Percentage,Female,Hesse,code06,8.91
2019,Percentage,Female,Hesse,code06,8.75
2020,Percentage,Female,Hesse,code06,9.4
1999,Percentage,Male,Hesse,code06,
2010,Percentage,Male,Hesse,code06,13.1
2011,Percentage,Male,Hesse,code06,11.67
2012,Percentage,Male,Hesse,code06,9.69
2013,Percentage,Male,Hesse,code06,10.7
2014,Percentage,Male,Hesse,code06,10.43
2015,Percentage,Male,Hesse,code06,9.61
2016,Percentage,Male,Hesse,code06,11.41
2017,Percentage,Male,Hesse,code06,11.79
2018,Percentage,Male,Hesse,code06,12.35
2019,Percentage,Male,Hesse,code06,11.78
2020,Percentage,Male,Hesse,code06,14.8
1999,Percentage,,Mecklenburg Western Pomerania,code13,
2010,Percentage,,Mecklenburg Western Pomerania,code13,9.2
2011,Percentage,,Mecklenburg Western Pomerania,code13,9.86
2012,Percentage,,Mecklenburg Western Pomerania,code13,10.95
2013,Percentage,,Mecklenburg Western Pomerania,code13,9.6
2014,Percentage,,Mecklenburg Western Pomerania,code13,9.95
2015,Percentage,,Mecklenburg Western Pomerania,code13,10.58
2016,Percentage,,Mecklenburg Western Pomerania,code13,13.64
2017,Percentage,,Mecklenburg Western Pomerania,code13,9.83
2018,Percentage,,Mecklenburg Western Pomerania,code13,11.13
2019,Percentage,,Mecklenburg Western Pomerania,code13,11.4
2020,Percentage,,Mecklenburg Western Pomerania,code13,-13.7
1999,Percentage,Female,Mecklenburg Western Pomerania,code13,
2010,Percentage,Female,Mecklenburg Western Pomerania,code13,
2011,Percentage,Female,Mecklenburg Western Pomerania,code13,8.77
2012,Percentage,Female,Mecklenburg Western Pomerania,code13,10.89
2013,Percentage,Female,Mecklenburg Western Pomerania,code13,
2014,Percentage,Female,Mecklenburg Western Pomerania,code13,
2015,Percentage,Female,Mecklenburg Western Pomerania,code13,
2016,Percentage,Female,Mecklenburg Western Pomerania,code13,
2017,Percentage,Female,Mecklenburg Western Pomerania,code13,
2018,Percentage,Female,Mecklenburg Western Pomerania,code13,
2019,Percentage,Female,Mecklenburg Western Pomerania,code13,
2020,Percentage,Female,Mecklenburg Western Pomerania,code13,
1999,Percentage,Male,Mecklenburg Western Pomerania,code13,
2010,Percentage,Male,Mecklenburg Western Pomerania,code13,11.6
2011,Percentage,Male,Mecklenburg Western Pomerania,code13,10.85
2012,Percentage,Male,Mecklenburg Western Pomerania,code13,10.99
2013,Percentage,Male,Mecklenburg Western Pomerania,code13,
2014,Percentage,Male,Mecklenburg Western Pomerania,code13,
2015,Percentage,Male,Mecklenburg Western Pomerania,code13,
2016,Percentage,Male,Mecklenburg Western Pomerania,code13,14.3
2017,Percentage,Male,Mecklenburg Western Pomerania,code13,
2018,Percentage,Male,Mecklenburg Western Pomerania,code13,12.6
2019,Percentage,Male,Mecklenburg Western Pomerania,code13,11.75
2020,Percentage,Male,Mecklenburg Western Pomerania,code13,
1999,Percentage,,Lower Saxony,code03,
2010,Percentage,,Lower Saxony,code03,13.9
2011,Percentage,,Lower Saxony,code03,14.09
2012,Percentage,,Lower Saxony,code03,11.8
2013,Percentage,,Lower Saxony,code03,10.8
2014,Percentage,,Lower Saxony,code03,10.69
2015,Percentage,,Lower Saxony,code03,10.67
2016,Percentage,,Lower Saxony,code03,12.05
2017,Percentage,,Lower Saxony,code03,11.33
2018,Percentage,,Lower Saxony,code03,11.0
2019,Percentage,,Lower Saxony,code03,11.91
2020,Percentage,,Lower Saxony,code03,10.4
1999,Percentage,Female,Lower Saxony,code03,
2010,Percentage,Female,Lower Saxony,code03,12.8
2011,Percentage,Female,Lower Saxony,code03,13.71
2012,Percentage,Female,Lower Saxony,code03,9.97
2013,Percentage,Female,Lower Saxony,code03,10.4
2014,Percentage,Female,Lower Saxony,code03,9.88
2015,Percentage,Female,Lower Saxony,code03,10.48
2016,Percentage,Female,Lower Saxony,code03,11.55
2017,Percentage,Female,Lower Saxony,code03,10.35
2018,Percentage,Female,Lower Saxony,code03,9.74
2019,Percentage,Female,Lower Saxony,code03,10.67
2020,Percentage,Female,Lower Saxony,code03,8.7
1999,Percentage,Male,Lower Saxony,code03,
2010,Percentage,Male,Lower Saxony,code03,15.0
2011,Percentage,Male,Lower Saxony,code03,14.45
2012,Percentage,Male,Lower Saxony,code03,13.46
2013,Percentage,Male,Lower Saxony,code03,11.1
2014,Percentage,Male,Lower Saxony,code03,11.45
2015,Percentage,Male,Lower Saxony,code03,10.84
2016,Percentage,Male,Lower Saxony,code03,12.51
2017,Percentage,Male,Lower Saxony,code03,12.21
2018,Percentage,Male,Lower Saxony,code03,12.13
2019,Percentage,Male,Lower Saxony,code03,13.06
2020,Percentage,Male,Lower Saxony,code03,11.9
1999,Percentage,,North Rhine-Westphalia,code05,
2010,Percentage,,North Rhine-Westphalia,code05,14.6
2011,Percentage,,North Rhine-Westphalia,code05,13.56
2012,Percentage,,North Rhine-Westphalia,code05,12.77
2013,Percentage,,North Rhine-Westphalia,code05,11.6
2014,Percentage,,North Rhine-Westphalia,code05,11.25
2015,Percentage,,North Rhine-Westphalia,code05,11.42
2016,Percentage,,North Rhine-Westphalia,code05,11.41
2017,Percentage,,North Rhine-Westphalia,code05,11.58
2018,Percentage,,North Rhine-Westphalia,code05,11.98
2019,Percentage,,North Rhine-Westphalia,code05,11.17
2020,Percentage,,North Rhine-Westphalia,code05,10.8
1999,Percentage,Female,North Rhine-Westphalia,code05,
2010,Percentage,Female,North Rhine-Westphalia,code05,13.5
2011,Percentage,Female,North Rhine-Westphalia,code05,12.34
2012,Percentage,Female,North Rhine-Westphalia,code05,12.12
2013,Percentage,Female,North Rhine-Westphalia,code05,10.8
2014,Percentage,Female,North Rhine-Westphalia,code05,11.05
2015,Percentage,Female,North Rhine-Westphalia,code05,11.46
2016,Percentage,Female,North Rhine-Westphalia,code05,10.69
2017,Percentage,Female,North Rhine-Westphalia,code05,10.59
2018,Percentage,Female,North Rhine-Westphalia,code05,11.15
2019,Percentage,Female,North Rhine-Westphalia,code05,9.39
2020,Percentage,Female,North Rhine-Westphalia,code05,9.0
1999,Percentage,Male,North Rhine-Westphalia,code05,
2010,Percentage,Male,North Rhine-Westphalia,code05,15.7
2011,Percentage,Male,North Rhine-Westphalia,code05,14.76
2012,Percentage,Male,North Rhine-Westphalia,code05,13.39
2013,Percentage,Male,North Rhine-Westphalia,code05,12.3
2014,Percentage,Male,North Rhine-Westphalia,code05,11.43
2015,Percentage,Male,North Rhine-Westphalia,code05,11.38
2016,Percentage,Male,North Rhine-Westphalia,code05,12.08
2017,Percentage,Male,North Rhine-Westphalia,code05,12.47
2018,Percentage,Male,North Rhine-Westphalia,code05,12.72
2019,Percentage,Male,North Rhine-Westphalia,code05,12.79
2020,Percentage,Male,North Rhine-Westphalia,code05,12.4
1999,Percentage,,Rhineland Palatinate,code07,
2010,Percentage,,Rhineland Palatinate,code07,15.5
2011,Percentage,,Rhineland Palatinate,code07,13.52
2012,Percentage,,Rhineland Palatinate,code07,12.5
2013,Percentage,,Rhineland Palatinate,code07,13.1
2014,Percentage,,Rhineland Palatinate,code07,10.4
2015,Percentage,,Rhineland Palatinate,code07,12.18
2016,Percentage,,Rhineland Palatinate,code07,11.83
2017,Percentage,,Rhineland Palatinate,code07,11.74
2018,Percentage,,Rhineland Palatinate,code07,11.53
2019,Percentage,,Rhineland Palatinate,code07,11.62
2020,Percentage,,Rhineland Palatinate,code07,10.1
1999,Percentage,Female,Rhineland Palatinate,code07,
2010,Percentage,Female,Rhineland Palatinate,code07,14.5
2011,Percentage,Female,Rhineland Palatinate,code07,12.2
2012,Percentage,Female,Rhineland Palatinate,code07,13.23
2013,Percentage,Female,Rhineland Palatinate,code07,12.7
2014,Percentage,Female,Rhineland Palatinate,code07,9.92
2015,Percentage,Female,Rhineland Palatinate,code07,12.22
2016,Percentage,Female,Rhineland Palatinate,code07,10.38
2017,Percentage,Female,Rhineland Palatinate,code07,10.04
2018,Percentage,Female,Rhineland Palatinate,code07,9.59
2019,Percentage,Female,Rhineland Palatinate,code07,10.51
2020,Percentage,Female,Rhineland Palatinate,code07,-7.9
1999,Percentage,Male,Rhineland Palatinate,code07,
2010,Percentage,Male,Rhineland Palatinate,code07,16.6
2011,Percentage,Male,Rhineland Palatinate,code07,14.79
2012,Percentage,Male,Rhineland Palatinate,code07,11.78
2013,Percentage,Male,Rhineland Palatinate,code07,13.4
2014,Percentage,Male,Rhineland Palatinate,code07,10.89
2015,Percentage,Male,Rhineland Palatinate,code07,12.14
2016,Percentage,Male,Rhineland Palatinate,code07,13.17
2017,Percentage,Male,Rhineland Palatinate,code07,13.28
2018,Percentage,Male,Rhineland Palatinate,code07,13.21
2019,Percentage,Male,Rhineland Palatinate,code07,12.61
2020,Percentage,Male,Rhineland Palatinate,code07,12.1
1999,Percentage,,Saarland,code10,
2010,Percentage,,Saarland,code10,13.2
2011,Percentage,,Saarland,code10,15.44
2012,Percentage,,Saarland,code10,12.86
2013,Percentage,,Saarland,code10,14.1
2014,Percentage,,Saarland,code10,11.88
2015,Percentage,,Saarland,code10,12.23
2016,Percentage,,Saarland,code10,10.32
2017,Percentage,,Saarland,code10,11.68
2018,Percentage,,Saarland,code10,11.78
2019,Percentage,,Saarland,code10,11.52
2020,Percentage,,Saarland,code10,
1999,Percentage,Female,Saarland,code10,
2010,Percentage,Female,Saarland,code10,
2011,Percentage,Female,Saarland,code10,
2012,Percentage,Female,Saarland,code10,
2013,Percentage,Female,Saarland,code10,14.2
2014,Percentage,Female,Saarland,code10,
2015,Percentage,Female,Saarland,code10,15.93
2016,Percentage,Female,Saarland,code10,
2017,Percentage,Female,Saarland,code10,
2018,Percentage,Female,Saarland,code10,
2019,Percentage,Female,Saarland,code10,
2020,Percentage,Female,Saarland,code10,
1999,Percentage,Male,Saarland,code10,
2010,Percentage,Male,Saarland,code10,14.8
2011,Percentage,Male,Saarland,code10,18.44
2012,Percentage,Male,Saarland,code10,14.72
2013,Percentage,Male,Saarland,code10,14.0
2014,Percentage,Male,Saarland,code10,
2015,Percentage,Male,Saarland,code10,
2016,Percentage,Male,Saarland,code10,
2017,Percentage,Male,Saarland,code10,13.0
2018,Percentage,Male,Saarland,code10,
2019,Percentage,Male,Saarland,code10,
2020,Percentage,Male,Saarland,code10,
1999,Percentage,,Saxony,code14,
2010,Percentage,,Saxony,code14,7.6
2011,Percentage,,Saxony,code14,7.68
2012,Percentage,,Saxony,code14,7.71
2013,Percentage,,Saxony,code14,6.5
2014,Percentage,,Saxony,code14,6.82
2015,Percentage,,Saxony,code14,8.44
2016,Percentage,,Saxony,code14,7.74
2017,Percentage,,Saxony,code14,8.57
2018,Percentage,,Saxony,code14,7.51
2019,Percentage,,Saxony,code14,8.29
2020,Percentage,,Saxony,code14,8.0
1999,Percentage,Female,Saxony,code14,
2010,Percentage,Female,Saxony,code14,7.6
2011,Percentage,Female,Saxony,code14,7.46
2012,Percentage,Female,Saxony,code14,7.23
2013,Percentage,Female,Saxony,code14,6.7
2014,Percentage,Female,Saxony,code14,6.64
2015,Percentage,Female,Saxony,code14,7.14
2016,Percentage,Female,Saxony,code14,7.03
2017,Percentage,Female,Saxony,code14,9.81
2018,Percentage,Female,Saxony,code14,7.0
2019,Percentage,Female,Saxony,code14,6.97
2020,Percentage,Female,Saxony,code14,
1999,Percentage,Male,Saxony,code14,
2010,Percentage,Male,Saxony,code14,7.6
2011,Percentage,Male,Saxony,code14,7.89
2012,Percentage,Male,Saxony,code14,8.15
2013,Percentage,Male,Saxony,code14,6.3
2014,Percentage,Male,Saxony,code14,7.0
2015,Percentage,Male,Saxony,code14,9.62
2016,Percentage,Male,Saxony,code14,8.33
2017,Percentage,Male,Saxony,code14,7.46
2018,Percentage,Male,Saxony,code14,7.95
2019,Percentage,Male,Saxony,code14,9.39
2020,Percentage,Male,Saxony,code14,-8.9
1999,Percentage,,Saxony-Anhalt,code15,
2010,Percentage,,Saxony-Anhalt,code15,11.7
2011,Percentage,,Saxony-Anhalt,code15,12.92
2012,Percentage,,Saxony-Anhalt,code15,11.05
2013,Percentage,,Saxony-Anhalt,code15,9.7
2014,Percentage,,Saxony-Anhalt,code15,9.3
2015,Percentage,,Saxony-Anhalt,code15,12.17
2016,Percentage,,Saxony-Anhalt,code15,11.17
2017,Percentage,,Saxony-Anhalt,code15,13.56
2018,Percentage,,Saxony-Anhalt,code15,9.07
2019,Percentage,,Saxony-Anhalt,code15,12.68
2020,Percentage,,Saxony-Anhalt,code15,-13.2
1999,Percentage,Female,Saxony-Anhalt,code15,
2010,Percentage,Female,Saxony-Anhalt,code15,9.1
2011,Percentage,Female,Saxony-Anhalt,code15,11.65
2012,Percentage,Female,Saxony-Anhalt,code15,10.08
2013,Percentage,Female,Saxony-Anhalt,code15,
2014,Percentage,Female,Saxony-Anhalt,code15,
2015,Percentage,Female,Saxony-Anhalt,code15,11.66
2016,Percentage,Female,Saxony-Anhalt,code15,
2017,Percentage,Female,Saxony-Anhalt,code15,11.9
2018,Percentage,Female,Saxony-Anhalt,code15,
2019,Percentage,Female,Saxony-Anhalt,code15,9.99
2020,Percentage,Female,Saxony-Anhalt,code15,
1999,Percentage,Male,Saxony-Anhalt,code15,
2010,Percentage,Male,Saxony-Anhalt,code15,13.9
2011,Percentage,Male,Saxony-Anhalt,code15,13.98
2012,Percentage,Male,Saxony-Anhalt,code15,11.83
2013,Percentage,Male,Saxony-Anhalt,code15,10.5
2014,Percentage,Male,Saxony-Anhalt,code15,9.37
2015,Percentage,Male,Saxony-Anhalt,code15,12.61
2016,Percentage,Male,Saxony-Anhalt,code15,13.31
2017,Percentage,Male,Saxony-Anhalt,code15,14.98
2018,Percentage,Male,Saxony-Anhalt,code15,9.99
2019,Percentage,Male,Saxony-Anhalt,code15,14.82
2020,Percentage,Male,Saxony-Anhalt,code15,
1999,Percentage,,Schleswig-Holstein,code01,
2010,Percentage,,Schleswig-Holstein,code01,12.6
2011,Percentage,,Schleswig-Holstein,code01,12.86
2012,Percentage,,Schleswig-Holstein,code01,12.28
2013,Percentage,,Schleswig-Holstein,code01,10.3
2014,Percentage,,Schleswig-Holstein,code01,12.81
2015,Percentage,,Schleswig-Holstein,code01,10.56
2016,Percentage,,Schleswig-Holstein,code01,10.73
2017,Percentage,,Schleswig-Holstein,code01,9.07
2018,Percentage,,Schleswig-Holstein,code01,10.09
2019,Percentage,,Schleswig-Holstein,code01,10.97
2020,Percentage,,Schleswig-Holstein,code01,11.8
1999,Percentage,Female,Schleswig-Holstein,code01,
2010,Percentage,Female,Schleswig-Holstein,code01,12.8
2011,Percentage,Female,Schleswig-Holstein,code01,11.99
2012,Percentage,Female,Schleswig-Holstein,code01,11.61
2013,Percentage,Female,Schleswig-Holstein,code01,10.3
2014,Percentage,Female,Schleswig-Holstein,code01,12.51
2015,Percentage,Female,Schleswig-Holstein,code01,8.94
2016,Percentage,Female,Schleswig-Holstein,code01,10.64
2017,Percentage,Female,Schleswig-Holstein,code01,7.62
2018,Percentage,Female,Schleswig-Holstein,code01,8.93
2019,Percentage,Female,Schleswig-Holstein,code01,8.66
2020,Percentage,Female,Schleswig-Holstein,code01,
1999,Percentage,Male,Schleswig-Holstein,code01,
2010,Percentage,Male,Schleswig-Holstein,code01,12.5
2011,Percentage,Male,Schleswig-Holstein,code01,13.62
2012,Percentage,Male,Schleswig-Holstein,code01,12.87
2013,Percentage,Male,Schleswig-Holstein,code01,10.4
2014,Percentage,Male,Schleswig-Holstein,code01,13.09
