Year,Units,Federal state,GeoCode,Time series,Value
2012,Number,,,,3412.0
2013,Number,,,,4000.0
2014,Number,,,,4508.0
2015,Number,,,,4948.0
2016,Number,,,,5180.0
2017,Number,,,,5623.0
2018,Number,,,,6397.0
2019,Number,,,,7700.0
2020,Number,,,,8785.0
2005,Number,,,Students from LDCs,4960.0
2006,Number,,,Students from LDCs,5012.0
2007,Number,,,Students from LDCs,4933.0
2008,Number,,,Students from LDCs,5331.0
2009,Number,,,Students from LDCs,5738.0
2010,Number,,,Students from LDCs,6300.0
2011,Number,,,Students from LDCs,6925.0
2012,Number,,,Students from LDCs,7577.0
2013,Number,,,Students from LDCs,8348.0
2014,Number,,,Students from LDCs,9244.0
2015,Number,,,Students from LDCs,9746.0
2016,Number,,,Students from LDCs,10119.0
2017,Number,,,Students from LDCs,10576.0
2018,Number,,,Students from LDCs,11525.0
2019,Number,,,Students from LDCs,13067.0
2020,Number,,,Students from LDCs,15055.0
2005,Number,,,Students from LDCs,502.0
2006,Number,,,Students from LDCs,524.0
2007,Number,,,Students from LDCs,532.0
2008,Number,,,Students from LDCs,559.0
2009,Number,,,Students from LDCs,598.0
2010,Number,,,Students from LDCs,669.0
2011,Number,,,Students from LDCs,704.0
2012,Number,,,Students from LDCs,808.0
2013,Number,,,Students from LDCs,895.0
2014,Number,,,Students from LDCs,957.0
2015,Number,,,Students from LDCs,939.0
2016,Number,,,Students from LDCs,937.0
2017,Number,,,Students from LDCs,857.0
2018,Number,,,Students from LDCs,833.0
2019,Number,,,Students from LDCs,794.0
2020,Number,,,Students from LDCs,817.0
2005,Number,,,Students from LDCs,320.0
2006,Number,,,Students from LDCs,359.0
2007,Number,,,Students from LDCs,352.0
2008,Number,,,Students from LDCs,402.0
2009,Number,,,Students from LDCs,436.0
2010,Number,,,Students from LDCs,476.0
2011,Number,,,Students from LDCs,568.0
2012,Number,,,Students from LDCs,624.0
2013,Number,,,Students from LDCs,716.0
2014,Number,,,Students from LDCs,812.0
2015,Number,,,Students from LDCs,859.0
2016,Number,,,Students from LDCs,884.0
2017,Number,,,Students from LDCs,1036.0
2018,Number,,,Students from LDCs,1170.0
2019,Number,,,Students from LDCs,1347.0
2020,Number,,,Students from LDCs,1751.0
2005,Number,,,Students from LDCs,362.0
2006,Number,,,Students from LDCs,370.0
2007,Number,,,Students from LDCs,337.0
2008,Number,,,Students from LDCs,404.0
2009,Number,,,Students from LDCs,441.0
2010,Number,,,Students from LDCs,505.0
2011,Number,,,Students from LDCs,570.0
2012,Number,,,Students from LDCs,582.0
2013,Number,,,Students from LDCs,634.0
2014,Number,,,Students from LDCs,726.0
2015,Number,,,Students from LDCs,751.0
2016,Number,,,Students from LDCs,755.0
2017,Number,,,Students from LDCs,852.0
2018,Number,,,Students from LDCs,896.0
2019,Number,,,Students from LDCs,1002.0
2020,Number,,,Students from LDCs,1115.0
2005,Number,,,Students from LDCs,124.0
2006,Number,,,Students from LDCs,121.0
2007,Number,,,Students from LDCs,123.0
2008,Number,,,Students from LDCs,122.0
2009,Number,,,Students from LDCs,125.0
2010,Number,,,Students from LDCs,148.0
2011,Number,,,Students from LDCs,154.0
2012,Number,,,Students from LDCs,193.0
2013,Number,,,Students from LDCs,226.0
2014,Number,,,Students from LDCs,277.0
2015,Number,,,Students from LDCs,321.0
2016,Number,,,Students from LDCs,311.0
2017,Number,,,Students from LDCs,356.0
2018,Number,,,Students from LDCs,400.0
2019,Number,,,Students from LDCs,495.0
2020,Number,,,Students from LDCs,582.0
2005,Number,,,Students from LDCs,188.0
2006,Number,,,Students from LDCs,192.0
2007,Number,,,Students from LDCs,206.0
2008,Number,,,Students from LDCs,194.0
2009,Number,,,Students from LDCs,194.0
2010,Number,,,Students from LDCs,203.0
2011,Number,,,Students from LDCs,227.0
2012,Number,,,Students from LDCs,255.0
2013,Number,,,Students from LDCs,261.0
2014,Number,,,Students from LDCs,235.0
2015,Number,,,Students from LDCs,262.0
2016,Number,,,Students from LDCs,277.0
2017,Number,,,Students from LDCs,312.0
2018,Number,,,Students from LDCs,337.0
2019,Number,,,Students from LDCs,395.0
2020,Number,,,Students from LDCs,471.0
2005,Number,,,Students from LDCs,292.0
2006,Number,,,Students from LDCs,281.0
2007,Number,,,Students from LDCs,260.0
2008,Number,,,Students from LDCs,285.0
2009,Number,,,Students from LDCs,317.0
2010,Number,,,Students from LDCs,331.0
2011,Number,,,Students from LDCs,338.0
2012,Number,,,Students from LDCs,342.0
2013,Number,,,Students from LDCs,369.0
2014,Number,,,Students from LDCs,383.0
2015,Number,,,Students from LDCs,409.0
2016,Number,,,Students from LDCs,421.0
2017,Number,,,Students from LDCs,442.0
2018,Number,,,Students from LDCs,495.0
2019,Number,,,Students from LDCs,573.0
2020,Number,,,Students from LDCs,621.0
2005,Number,,,Students from LDCs,728.0
2006,Number,,,Students from LDCs,731.0
2007,Number,,,Students from LDCs,665.0
2008,Number,,,Students from LDCs,766.0
2009,Number,,,Students from LDCs,843.0
2010,Number,,,Students from LDCs,904.0
2011,Number,,,Students from LDCs,968.0
2012,Number,,,Students from LDCs,1062.0
2013,Number,,,Students from LDCs,1158.0
2014,Number,,,Students from LDCs,1263.0
2015,Number,,,Students from LDCs,1345.0
2016,Number,,,Students from LDCs,1352.0
2017,Number,,,Students from LDCs,1385.0
2018,Number,,,Students from LDCs,1481.0
2019,Number,,,Students from LDCs,1649.0
2020,Number,,,Students from LDCs,1826.0
2005,Number,,,Students from LDCs,61.0
2006,Number,,,Students from LDCs,66.0
2007,Number,,,Students from LDCs,68.0
2008,Number,,,Students from LDCs,69.0
2009,Number,,,Students from LDCs,79.0
2010,Number,,,Students from LDCs,86.0
2011,Number,,,Students from LDCs,103.0
2012,Number,,,Students from LDCs,104.0
2013,Number,,,Students from LDCs,118.0
2014,Number,,,Students from LDCs,133.0
2015,Number,,,Students from LDCs,123.0
2016,Number,,,Students from LDCs,141.0
2017,Number,,,Students from LDCs,143.0
2018,Number,,,Students from LDCs,172.0
2019,Number,,,Students from LDCs,177.0
2020,Number,,,Students from LDCs,155.0
2005,Number,,,Students from LDCs,374.0
2006,Number,,,Students from LDCs,351.0
2007,Number,,,Students from LDCs,340.0
2008,Number,,,Students from LDCs,337.0
2009,Number,,,Students from LDCs,332.0
2010,Number,,,Students from LDCs,388.0
2011,Number,,,Students from LDCs,406.0
2012,Number,,,Students from LDCs,424.0
2013,Number,,,Students from LDCs,467.0
2014,Number,,,Students from LDCs,535.0
2015,Number,,,Students from LDCs,597.0
2016,Number,,,Students from LDCs,667.0
2017,Number,,,Students from LDCs,703.0
2018,Number,,,Students from LDCs,757.0
2019,Number,,,Students from LDCs,830.0
2020,Number,,,Students from LDCs,949.0
2005,Number,,,Students from LDCs,1261.0
2006,Number,,,Students from LDCs,1213.0
2007,Number,,,Students from LDCs,1183.0
2008,Number,,,Students from LDCs,1229.0
2009,Number,,,Students from LDCs,1304.0
2010,Number,,,Students from LDCs,1393.0
2011,Number,,,Students from LDCs,1666.0
2012,Number,,,Students from LDCs,1865.0
2013,Number,,,Students from LDCs,2057.0
2014,Number,,,Students from LDCs,2399.0
2015,Number,,,Students from LDCs,2518.0
2016,Number,,,Students from LDCs,2666.0
2017,Number,,,Students from LDCs,2684.0
2018,Number,,,Students from LDCs,2921.0
2019,Number,,,Students from LDCs,3316.0
2020,Number,,,Students from LDCs,3768.0
2005,Number,,,Students from LDCs,239.0
2006,Number,,,Students from LDCs,271.0
2007,Number,,,Students from LDCs,313.0
2008,Number,,,Students from LDCs,335.0
2009,Number,,,Students from LDCs,336.0
2010,Number,,,Students from LDCs,373.0
2011,Number,,,Students from LDCs,344.0
2012,Number,,,Students from LDCs,339.0
2013,Number,,,Students from LDCs,348.0
2014,Number,,,Students from LDCs,389.0
2015,Number,,,Students from LDCs,409.0
2016,Number,,,Students from LDCs,422.0
2017,Number,,,Students from LDCs,432.0
2018,Number,,,Students from LDCs,500.0
2019,Number,,,Students from LDCs,562.0
2020,Number,,,Students from LDCs,665.0
2005,Number,,,Students from LDCs,95.0
2006,Number,,,Students from LDCs,93.0
2007,Number,,,Students from LDCs,106.0
2008,Number,,,Students from LDCs,110.0
2009,Number,,,Students from LDCs,104.0
2010,Number,,,Students from LDCs,130.0
2011,Number,,,Students from LDCs,118.0
2012,Number,,,Students from LDCs,115.0
2013,Number,,,Students from LDCs,116.0
2014,Number,,,Students from LDCs,124.0
2015,Number,,,Students from LDCs,126.0
2016,Number,,,Students from LDCs,128.0
2017,Number,,,Students from LDCs,127.0
2018,Number,,,Students from LDCs,130.0
2019,Number,,,Students from LDCs,140.0
2020,Number,,,Students from LDCs,160.0
2005,Number,,,Students from LDCs,184.0
2006,Number,,,Students from LDCs,200.0
2007,Number,,,Students from LDCs,195.0
2008,Number,,,Students from LDCs,218.0
2009,Number,,,Students from LDCs,240.0
2010,Number,,,Students from LDCs,237.0
2011,Number,,,Students from LDCs,272.0
2012,Number,,,Students from LDCs,317.0
2013,Number,,,Students from LDCs,378.0
2014,Number,,,Students from LDCs,391.0
2015,Number,,,Students from LDCs,434.0
2016,Number,,,Students from LDCs,453.0
2017,Number,,,Students from LDCs,449.0
2018,Number,,,Students from LDCs,520.0
2019,Number,,,Students from LDCs,631.0
2020,Number,,,Students from LDCs,719.0
2005,Number,,,Students from LDCs,100.0
2006,Number,,,Students from LDCs,93.0
2007,Number,,,Students from LDCs,88.0
2008,Number,,,Students from LDCs,97.0
2009,Number,,,Students from LDCs,121.0
2010,Number,,,Students from LDCs,150.0
2011,Number,,,Students from LDCs,171.0
2012,Number,,,Students from LDCs,201.0
2013,Number,,,Students from LDCs,227.0
2014,Number,,,Students from LDCs,240.0
2015,Number,,,Students from LDCs,282.0
2016,Number,,,Students from LDCs,261.0
2017,Number,,,Students from LDCs,288.0
2018,Number,,,Students from LDCs,344.0
2019,Number,,,Students from LDCs,459.0
2020,Number,,,Students from LDCs,550.0
2005,Number,,,Students from LDCs,105.0
2006,Number,,,Students from LDCs,118.0
2007,Number,,,Students from LDCs,132.0
2008,Number,,,Students from LDCs,150.0
2009,Number,,,Students from LDCs,171.0
2010,Number,,,Students from LDCs,160.0
2011,Number,,,Students from LDCs,181.0
2012,Number,,,Students from LDCs,196.0
2013,Number,,,Students from LDCs,213.0
2014,Number,,,Students from LDCs,201.0
2015,Number,,,Students from LDCs,184.0
2016,Number,,,Students from LDCs,221.0
2017,Number,,,Students from LDCs,270.0
2018,Number,,,Students from LDCs,295.0
2019,Number,,,Students from LDCs,339.0
2020,Number,,,Students from LDCs,402.0
2005,Number,,,Students from LDCs,25.0
2006,Number,,,Students from LDCs,29.0
2007,Number,,,Students from LDCs,33.0
2008,Number,,,Students from LDCs,54.0
2009,Number,,,Students from LDCs,97.0
2010,Number,,,Students from LDCs,147.0
2011,Number,,,Students from LDCs,135.0
2012,Number,,,Students from LDCs,150.0
2013,Number,,,Students from LDCs,165.0
2014,Number,,,Students from LDCs,179.0
2015,Number,,,Students from LDCs,187.0
2016,Number,,,Students from LDCs,223.0
2017,Number,,,Students from LDCs,240.0
2018,Number,,,Students from LDCs,274.0
2019,Number,,,Students from LDCs,357.0
2020,Number,,,Students from LDCs,504.0
2005,Number,,,Students from other developing and emerging countries,129502.0
2006,Number,,,Students from other developing and emerging countries,129631.0
2007,Number,,,Students from other developing and emerging countries,124181.0
2008,Number,,,Students from other developing and emerging countries,127067.0
2009,Number,,,Students from other developing and emerging countries,131633.0
2010,Number,,,Students from other developing and emerging countries,136445.0
2011,Number,,,Students from other developing and emerging countries,140304.0
2012,Number,,,Students from other developing and emerging countries,150880.0
2013,Number,,,Students from other developing and emerging countries,164098.0
2014,Number,,,Students from other developing and emerging countries,176768.0
2015,Number,,,Students from other developing and emerging countries,190403.0
2016,Number,,,Students from other developing and emerging countries,204694.0
2017,Number,,,Students from other developing and emerging countries,219306.0
2018,Number,,,Students from other developing and emerging countries,236609.0
2019,Number,,,Students from other developing and emerging countries,251487.0
2020,Number,,,Students from other developing and emerging countries,260001.0
2005,Number,,,Students from other developing and emerging countries,18582.0
2006,Number,,,Students from other developing and emerging countries,18379.0
2007,Number,,,Students from other developing and emerging countries,17473.0
2008,Number,,,Students from other developing and emerging countries,17650.0
2009,Number,,,Students from other developing and emerging countries,18418.0
2010,Number,,,Students from other developing and emerging countries,19111.0
2011,Number,,,Students from other developing and emerging countries,19082.0
2012,Number,,,Students from other developing and emerging countries,21116.0
2013,Number,,,Students from other developing and emerging countries,22842.0
2014,Number,,,Students from other developing and emerging countries,24597.0
2015,Number,,,Students from other developing and emerging countries,26283.0
2016,Number,,,Students from other developing and emerging countries,28310.0
2017,Number,,,Students from other developing and emerging countries,28393.0
2018,Number,,,Students from other developing and emerging countries,27934.0
2019,Number,,,Students from other developing and emerging countries,27197.0
2020,Number,,,Students from other developing and emerging countries,25283.0
2005,Number,,,Students from other developing and emerging countries,12251.0
2006,Number,,,Students from other developing and emerging countries,12721.0
2007,Number,,,Students from other developing and emerging countries,12324.0
2008,Number,,,Students from other developing and emerging countries,12533.0
2009,Number,,,Students from other developing and emerging countries,12980.0
2010,Number,,,Students from other developing and emerging countries,13620.0
2011,Number,,,Students from other developing and emerging countries,14060.0
2012,Number,,,Students from other developing and emerging countries,15284.0
2013,Number,,,Students from other developing and emerging countries,17719.0
2014,Number,,,Students from other developing and emerging countries,19151.0
2015,Number,,,Students from other developing and emerging countries,21169.0
2016,Number,,,Students from other developing and emerging countries,23123.0
2017,Number,,,Students from other developing and emerging countries,26821.0
2018,Number,,,Students from other developing and emerging countries,30524.0
2019,Number,,,Students from other developing and emerging countries,33606.0
2020,Number,,,Students from other developing and emerging countries,37132.0
2005,Number,,,Students from other developing and emerging countries,9047.0
2006,Number,,,Students from other developing and emerging countries,8871.0
2007,Number,,,Students from other developing and emerging countries,9202.0
2008,Number,,,Students from other developing and emerging countries,9570.0
2009,Number,,,Students from other developing and emerging countries,9868.0
2010,Number,,,Students from other developing and emerging countries,10512.0
2011,Number,,,Students from other developing and emerging countries,10747.0
2012,Number,,,Students from other developing and emerging countries,11270.0
2013,Number,,,Students from other developing and emerging countries,12157.0
2014,Number,,,Students from other developing and emerging countries,12996.0
2015,Number,,,Students from other developing and emerging countries,14133.0
2016,Number,,,Students from other developing and emerging countries,15513.0
2017,Number,,,Students from other developing and emerging countries,18083.0
2018,Number,,,Students from other developing and emerging countries,20159.0
2019,Number,,,Students from other developing and emerging countries,22166.0
2020,Number,,,Students from other developing and emerging countries,23355.0
2005,Number,,,Students from other developing and emerging countries,2288.0
2006,Number,,,Students from other developing and emerging countries,2347.0
2007,Number,,,Students from other developing and emerging countries,2396.0
2008,Number,,,Students from other developing and emerging countries,2423.0
2009,Number,,,Students from other developing and emerging countries,2524.0
2010,Number,,,Students from other developing and emerging countries,2536.0
2011,Number,,,Students from other developing and emerging countries,2678.0
2012,Number,,,Students from other developing and emerging countries,2969.0
2013,Number,,,Students from other developing and emerging countries,3080.0
2014,Number,,,Students from other developing and emerging countries,3246.0
2015,Number,,,Students from other developing and emerging countries,3462.0
2016,Number,,,Students from other developing and emerging countries,3827.0
2017,Number,,,Students from other developing and emerging countries,4263.0
2018,Number,,,Students from other developing and emerging countries,4618.0
2019,Number,,,Students from other developing and emerging countries,4978.0
2020,Number,,,Students from other developing and emerging countries,5143.0
2005,Number,,,Students from other developing and emerging countries,3751.0
2006,Number,,,Students from other developing and emerging countries,3484.0
2007,Number,,,Students from other developing and emerging countries,3339.0
2008,Number,,,Students from other developing and emerging countries,3236.0
2009,Number,,,Students from other developing and emerging countries,3109.0
2010,Number,,,Students from other developing and emerging countries,2958.0
2011,Number,,,Students from other developing and emerging countries,2961.0
2012,Number,,,Students from other developing and emerging countries,2993.0
2013,Number,,,Students from other developing and emerging countries,3119.0
2014,Number,,,Students from other developing and emerging countries,3305.0
2015,Number,,,Students from other developing and emerging countries,3385.0
2016,Number,,,Students from other developing and emerging countries,3555.0
2017,Number,,,Students from other developing and emerging countries,3985.0
2018,Number,,,Students from other developing and emerging countries,4150.0
2019,Number,,,Students from other developing and emerging countries,4500.0
2020,Number,,,Students from other developing and emerging countries,4628.0
2005,Number,,,Students from other developing and emerging countries,4837.0
2006,Number,,,Students from other developing and emerging countries,4860.0
2007,Number,,,Students from other developing and emerging countries,4484.0
2008,Number,,,Students from other developing and emerging countries,4496.0
2009,Number,,,Students from other developing and emerging countries,4606.0
2010,Number,,,Students from other developing and emerging countries,4757.0
2011,Number,,,Students from other developing and emerging countries,4978.0
2012,Number,,,Students from other developing and emerging countries,5344.0
2013,Number,,,Students from other developing and emerging countries,5471.0
2014,Number,,,Students from other developing and emerging countries,5623.0
2015,Number,,,Students from other developing and emerging countries,5970.0
2016,Number,,,Students from other developing and emerging countries,6349.0
2017,Number,,,Students from other developing and emerging countries,6778.0
2018,Number,,,Students from other developing and emerging countries,7608.0
2019,Number,,,Students from other developing and emerging countries,7888.0
2020,Number,,,Students from other developing and emerging countries,8046.0
2005,Number,,,Students from other developing and emerging countries,13808.0
2006,Number,,,Students from other developing and emerging countries,13737.0
2007,Number,,,Students from other developing and emerging countries,12328.0
2008,Number,,,Students from other developing and emerging countries,14027.0
2009,Number,,,Students from other developing and emerging countries,15436.0
2010,Number,,,Students from other developing and emerging countries,16660.0
2011,Number,,,Students from other developing and emerging countries,16633.0
2012,Number,,,Students from other developing and emerging countries,17584.0
2013,Number,,,Students from other developing and emerging countries,18830.0
2014,Number,,,Students from other developing and emerging countries,19958.0
2015,Number,,,Students from other developing and emerging countries,21090.0
2016,Number,,,Students from other developing and emerging countries,22111.0
2017,Number,,,Students from other developing and emerging countries,23165.0
2018,Number,,,Students from other developing and emerging countries,24689.0
2019,Number,,,Students from other developing and emerging countries,25741.0
2020,Number,,,Students from other developing and emerging countries,26496.0
2005,Number,,,Students from other developing and emerging countries,1071.0
2006,Number,,,Students from other developing and emerging countries,1056.0
2007,Number,,,Students from other developing and emerging countries,1063.0
2008,Number,,,Students from other developing and emerging countries,1028.0
2009,Number,,,Students from other developing and emerging countries,1105.0
2010,Number,,,Students from other developing and emerging countries,1160.0
2011,Number,,,Students from other developing and emerging countries,1160.0
2012,Number,,,Students from other developing and emerging countries,1188.0
2013,Number,,,Students from other developing and emerging countries,1329.0
2014,Number,,,Students from other developing and emerging countries,1437.0
2015,Number,,,Students from other developing and emerging countries,1664.0
2016,Number,,,Students from other developing and emerging countries,1955.0
2017,Number,,,Students from other developing and emerging countries,2406.0
2018,Number,,,Students from other developing and emerging countries,2691.0
2019,Number,,,Students from other developing and emerging countries,2785.0
2020,Number,,,Students from other developing and emerging countries,2875.0
2005,Number,,,Students from other developing and emerging countries,10134.0
2006,Number,,,Students from other developing and emerging countries,9857.0
2007,Number,,,Students from other developing and emerging countries,9224.0
2008,Number,,,Students from other developing and emerging countries,9284.0
2009,Number,,,Students from other developing and emerging countries,9243.0
2010,Number,,,Students from other developing and emerging countries,9143.0
2011,Number,,,Students from other developing and emerging countries,9105.0
2012,Number,,,Students from other developing and emerging countries,9668.0
2013,Number,,,Students from other developing and emerging countries,10475.0
2014,Number,,,Students from other developing and emerging countries,11479.0
2015,Number,,,Students from other developing and emerging countries,12813.0
2016,Number,,,Students from other developing and emerging countries,13967.0
2017,Number,,,Students from other developing and emerging countries,15599.0
2018,Number,,,Students from other developing and emerging countries,17043.0
2019,Number,,,Students from other developing and emerging countries,18259.0
2020,Number,,,Students from other developing and emerging countries,18710.0
2005,Number,,,Students from other developing and emerging countries,35892.0
2006,Number,,,Students from other developing and emerging countries,35688.0
2007,Number,,,Students from other developing and emerging countries,32856.0
2008,Number,,,Students from other developing and emerging countries,33436.0
2009,Number,,,Students from other developing and emerging countries,34448.0
2010,Number,,,Students from other developing and emerging countries,35346.0
2011,Number,,,Students from other developing and emerging countries,37622.0
2012,Number,,,Students from other developing and emerging countries,40638.0
2013,Number,,,Students from other developing and emerging countries,44330.0
2014,Number,,,Students from other developing and emerging countries,47929.0
2015,Number,,,Students from other developing and emerging countries,50866.0
2016,Number,,,Students from other developing and emerging countries,54724.0
2017,Number,,,Students from other developing and emerging countries,56753.0
2018,Number,,,Students from other developing and emerging countries,60421.0
2019,Number,,,Students from other developing and emerging countries,64421.0
2020,Number,,,Students from other developing and emerging countries,66566.0
2005,Number,,,Students from other developing and emerging countries,5760.0
2006,Number,,,Students from other developing and emerging countries,5969.0
2007,Number,,,Students from other developing and emerging countries,6413.0
2008,Number,,,Students from other developing and emerging countries,6525.0
2009,Number,,,Students from other developing and emerging countries,6335.0
