Year,Units,Federal state,GeoCode,Value
2012,1990 = 100,,,62.6
2013,1990 = 100,,,65.027
2014,1990 = 100,,,61.474
2015,1990 = 100,,,59.246
2016,1990 = 100,,,60.437
2017,1990 = 100,,,59.511
2018,1990 = 100,,,54.91
2019,1990 = 100,,,
2020,1990 = 100,,,
2021,1990 = 100,,,
1990,1990 = 100,,,100.0
1991,1990 = 100,,,
1992,1990 = 100,,,
1993,1990 = 100,,,
1994,1990 = 100,,,
1995,1990 = 100,,,67.042
1996,1990 = 100,,,
1997,1990 = 100,,,
1998,1990 = 100,,,
1999,1990 = 100,,,
2000,1990 = 100,,,78.487
2001,1990 = 100,,,
2002,1990 = 100,,,
2003,1990 = 100,,,75.038
2004,1990 = 100,,,75.98
2005,1990 = 100,,,77.112
2006,1990 = 100,,,74.823
2007,1990 = 100,,,74.682
2008,1990 = 100,,,73.028
2009,1990 = 100,,,68.5
2010,1990 = 100,,,71.125
2011,1990 = 100,,,71.74
2012,1990 = 100,,,72.733
2013,1990 = 100,,,72.48
2014,1990 = 100,,,71.175
2015,1990 = 100,,,71.035
2016,1990 = 100,,,71.298
2017,1990 = 100,,,70.592
2018,1990 = 100,,,71.577
2019,1990 = 100,,,
2020,1990 = 100,,,
2021,1990 = 100,,,
1990,1990 = 100,,,100.0
1991,1990 = 100,,,
1992,1990 = 100,,,
1993,1990 = 100,,,
1994,1990 = 100,,,
1995,1990 = 100,,,98.125
1996,1990 = 100,,,
1997,1990 = 100,,,
1998,1990 = 100,,,
1999,1990 = 100,,,
2000,1990 = 100,,,102.727
2001,1990 = 100,,,
2002,1990 = 100,,,
2003,1990 = 100,,,106.237
2004,1990 = 100,,,94.75
2005,1990 = 100,,,88.929
2006,1990 = 100,,,92.431
2007,1990 = 100,,,99.126
2008,1990 = 100,,,95.004
2009,1990 = 100,,,91.769
2010,1990 = 100,,,101.522
2011,1990 = 100,,,95.243
2012,1990 = 100,,,96.723
2013,1990 = 100,,,97.019
2014,1990 = 100,,,92.777
2015,1990 = 100,,,95.941
2016,1990 = 100,,,93.629
2017,1990 = 100,,,97.223
2018,1990 = 100,,,90.712
2019,1990 = 100,,,
2020,1990 = 100,,,
2021,1990 = 100,,,
1990,1990 = 100,,,100.0
1991,1990 = 100,,,
1992,1990 = 100,,,
1993,1990 = 100,,,
1994,1990 = 100,,,
1995,1990 = 100,,,104.054
1996,1990 = 100,,,
1997,1990 = 100,,,
1998,1990 = 100,,,
1999,1990 = 100,,,
2000,1990 = 100,,,
2001,1990 = 100,,,
2002,1990 = 100,,,
2003,1990 = 100,,,96.96
2004,1990 = 100,,,96.521
2005,1990 = 100,,,93.224
2006,1990 = 100,,,91.931
2007,1990 = 100,,,88.656
2008,1990 = 100,,,90.025
2009,1990 = 100,,,90.486
2010,1990 = 100,,,93.413
2011,1990 = 100,,,88.323
2012,1990 = 100,,,87.136
2013,1990 = 100,,,85.503
2014,1990 = 100,,,93.489
2015,1990 = 100,,,116.252
2016,1990 = 100,,,120.517
2017,1990 = 100,,,123.799
2018,1990 = 100,,,128.103
2019,1990 = 100,,,
2020,1990 = 100,,,
2021,1990 = 100,,,
1990,1990 = 100,,,100.0
1991,1990 = 100,,,
1992,1990 = 100,,,
1993,1990 = 100,,,
1994,1990 = 100,,,
1995,1990 = 100,,,107.122
1996,1990 = 100,,,
1997,1990 = 100,,,
1998,1990 = 100,,,
1999,1990 = 100,,,
2000,1990 = 100,,,99.696
2001,1990 = 100,,,
2002,1990 = 100,,,
2003,1990 = 100,,,97.081
2004,1990 = 100,,,95.162
2005,1990 = 100,,,93.011
2006,1990 = 100,,,91.124
2007,1990 = 100,,,85.968
2008,1990 = 100,,,86.713
2009,1990 = 100,,,83.498
2010,1990 = 100,,,84.915
2011,1990 = 100,,,81.218
2012,1990 = 100,,,81.293
2013,1990 = 100,,,80.667
2014,1990 = 100,,,75.548
2015,1990 = 100,,,78.846
2016,1990 = 100,,,81.54
2017,1990 = 100,,,79.645
2018,1990 = 100,,,75.771
2019,1990 = 100,,,
2020,1990 = 100,,,
2021,1990 = 100,,,
1990,1990 = 100,,,100.0
1991,1990 = 100,,,
1992,1990 = 100,,,
1993,1990 = 100,,,
1994,1990 = 100,,,
1995,1990 = 100,,,76.367
1996,1990 = 100,,,
1997,1990 = 100,,,
1998,1990 = 100,,,
1999,1990 = 100,,,
2000,1990 = 100,,,77.699
2001,1990 = 100,,,
2002,1990 = 100,,,
2003,1990 = 100,,,75.231
2004,1990 = 100,,,76.558
2005,1990 = 100,,,73.273
2006,1990 = 100,,,75.799
2007,1990 = 100,,,70.534
2008,1990 = 100,,,73.504
2009,1990 = 100,,,65.712
2010,1990 = 100,,,71.692
2011,1990 = 100,,,68.873
2012,1990 = 100,,,71.51
2013,1990 = 100,,,70.107
2014,1990 = 100,,,71.319
2015,1990 = 100,,,70.028
2016,1990 = 100,,,71.448
2017,1990 = 100,,,
2018,1990 = 100,,,
2019,1990 = 100,,,
2020,1990 = 100,,,
2021,1990 = 100,,,
1990,1990 = 100,,,100.0
1991,1990 = 100,,,
1992,1990 = 100,,,
1993,1990 = 100,,,
1994,1990 = 100,,,
1995,1990 = 100,,,
1996,1990 = 100,,,
1997,1990 = 100,,,
1998,1990 = 100,,,
1999,1990 = 100,,,
2000,1990 = 100,,,95.517
2001,1990 = 100,,,
2002,1990 = 100,,,
2003,1990 = 100,,,
2004,1990 = 100,,,90.753
2005,1990 = 100,,,
2006,1990 = 100,,,90.734
2007,1990 = 100,,,
2008,1990 = 100,,,89.388
2009,1990 = 100,,,86.241
2010,1990 = 100,,,87.877
2011,1990 = 100,,,86.75
2012,1990 = 100,,,84.588
2013,1990 = 100,,,85.368
2014,1990 = 100,,,86.798
2015,1990 = 100,,,86.475
2016,1990 = 100,,,86.04
2017,1990 = 100,,,84.418
2018,1990 = 100,,,82.853
2019,1990 = 100,,,
2020,1990 = 100,,,
2021,1990 = 100,,,
1990,1990 = 100,,,100.0
1991,1990 = 100,,,
1992,1990 = 100,,,
1993,1990 = 100,,,
1994,1990 = 100,,,
1995,1990 = 100,,,101.409
1996,1990 = 100,,,
1997,1990 = 100,,,
1998,1990 = 100,,,
1999,1990 = 100,,,
2000,1990 = 100,,,94.72
2001,1990 = 100,,,
2002,1990 = 100,,,
2003,1990 = 100,,,94.32
2004,1990 = 100,,,93.288
2005,1990 = 100,,,90.126
2006,1990 = 100,,,90.673
2007,1990 = 100,,,91.964
2008,1990 = 100,,,90.986
2009,1990 = 100,,,82.366
2010,1990 = 100,,,86.005
2011,1990 = 100,,,82.917
2012,1990 = 100,,,84.351
2013,1990 = 100,,,83.068
2014,1990 = 100,,,81.253
2015,1990 = 100,,,79.827
2016,1990 = 100,,,79.875
2017,1990 = 100,,,75.336
2018,1990 = 100,,,73.509
2019,1990 = 100,,,
2020,1990 = 100,,,
2021,1990 = 100,,,
1990,1990 = 100,,,100.0
1991,1990 = 100,,,
1992,1990 = 100,,,
1993,1990 = 100,,,
1994,1990 = 100,,,
1995,1990 = 100,,,110.246
1996,1990 = 100,,,
1997,1990 = 100,,,
1998,1990 = 100,,,
1999,1990 = 100,,,
2000,1990 = 100,,,74.815
2001,1990 = 100,,,
2002,1990 = 100,,,
2003,1990 = 100,,,69.787
2004,1990 = 100,,,70.209
2005,1990 = 100,,,68.817
2006,1990 = 100,,,69.656
2007,1990 = 100,,,70.026
2008,1990 = 100,,,72.248
2009,1990 = 100,,,70.612
2010,1990 = 100,,,67.039
2011,1990 = 100,,,62.487
2012,1990 = 100,,,62.689
2013,1990 = 100,,,65.184
2014,1990 = 100,,,61.236
2015,1990 = 100,,,62.126
2016,1990 = 100,,,62.742
2017,1990 = 100,,,63.357
2018,1990 = 100,,,61.657
2019,1990 = 100,,,
2020,1990 = 100,,,
2021,1990 = 100,,,
1990,1990 = 100,,,
1991,1990 = 100,,,
1992,1990 = 100,,,
1993,1990 = 100,,,
1994,1990 = 100,,,
1995,1990 = 100,,,
1996,1990 = 100,,,
1997,1990 = 100,,,
1998,1990 = 100,,,
1999,1990 = 100,,,
2000,1990 = 100,,,
2001,1990 = 100,,,
2002,1990 = 100,,,
2003,1990 = 100,,,
2004,1990 = 100,,,
2005,1990 = 100,,,
2006,1990 = 100,,,
2007,1990 = 100,,,
2008,1990 = 100,,,
2009,1990 = 100,,,
2010,1990 = 100,,,
2011,1990 = 100,,,
2012,1990 = 100,,,
2013,1990 = 100,,,
2014,1990 = 100,,,
2015,1990 = 100,,,
2016,1990 = 100,,,
2017,1990 = 100,,,
2018,1990 = 100,,,
2019,1990 = 100,,,
2020,1990 = 100,,,
2021,1990 = 100,,,
1990,1990 = 100,,,100.0
1991,1990 = 100,,,
1992,1990 = 100,,,
1993,1990 = 100,,,
1994,1990 = 100,,,
1995,1990 = 100,,,67.618
1996,1990 = 100,,,
1997,1990 = 100,,,
1998,1990 = 100,,,
1999,1990 = 100,,,
2000,1990 = 100,,,47.396
2001,1990 = 100,,,
2002,1990 = 100,,,
2003,1990 = 100,,,54.974
2004,1990 = 100,,,53.8
2005,1990 = 100,,,52.535
2006,1990 = 100,,,53.455
2007,1990 = 100,,,51.733
2008,1990 = 100,,,50.916
2009,1990 = 100,,,51.589
2010,1990 = 100,,,51.686
2011,1990 = 100,,,49.404
2012,1990 = 100,,,51.399
2013,1990 = 100,,,53.966
2014,1990 = 100,,,53.785
2015,1990 = 100,,,52.08
2016,1990 = 100,,,52.343
2017,1990 = 100,,,53.969
2018,1990 = 100,,,53.51
2019,1990 = 100,,,
2020,1990 = 100,,,
2021,1990 = 100,,,
1990,1990 = 100,,,100.0
1991,1990 = 100,,,
1992,1990 = 100,,,
1993,1990 = 100,,,
1994,1990 = 100,,,
1995,1990 = 100,,,56.955
1996,1990 = 100,,,
1997,1990 = 100,,,
1998,1990 = 100,,,
1999,1990 = 100,,,
2000,1990 = 100,,,58.862
2001,1990 = 100,,,
2002,1990 = 100,,,
2003,1990 = 100,,,63.912
2004,1990 = 100,,,63.209
2005,1990 = 100,,,63.243
2006,1990 = 100,,,62.898
2007,1990 = 100,,,61.53
2008,1990 = 100,,,63.126
2009,1990 = 100,,,65.681
2010,1990 = 100,,,64.018
2011,1990 = 100,,,63.684
2012,1990 = 100,,,64.479
2013,1990 = 100,,,63.54
2014,1990 = 100,,,60.415
2015,1990 = 100,,,59.136
2016,1990 = 100,,,51.684
2017,1990 = 100,,,51.427
2018,1990 = 100,,,53.571
2019,1990 = 100,,,
2020,1990 = 100,,,
2021,1990 = 100,,,
1990,1990 = 100,,,100.0
1991,1990 = 100,,,
1992,1990 = 100,,,
1993,1990 = 100,,,
1994,1990 = 100,,,
1995,1990 = 100,,,95.88
1996,1990 = 100,,,
1997,1990 = 100,,,
1998,1990 = 100,,,
1999,1990 = 100,,,
2000,1990 = 100,,,90.497
2001,1990 = 100,,,
2002,1990 = 100,,,
2003,1990 = 100,,,89.295
2004,1990 = 100,,,85.649
2005,1990 = 100,,,83.318
2006,1990 = 100,,,83.278
2007,1990 = 100,,,76.551
2008,1990 = 100,,,81.836
2009,1990 = 100,,,79.401
2010,1990 = 100,,,81.1
2011,1990 = 100,,,76.803
2012,1990 = 100,,,78.347
2013,1990 = 100,,,78.819
2014,1990 = 100,,,75.636
2015,1990 = 100,,,74.883
2016,1990 = 100,,,74.93
2017,1990 = 100,,,75.906
2018,1990 = 100,,,76.317
2019,1990 = 100,,,
2020,1990 = 100,,,
2021,1990 = 100,,,
1990,1990 = 100,,,100.0
1991,1990 = 100,,,
1992,1990 = 100,,,
1993,1990 = 100,,,
1994,1990 = 100,,,
1995,1990 = 100,,,54.65
1996,1990 = 100,,,
1997,1990 = 100,,,
1998,1990 = 100,,,
1999,1990 = 100,,,
2000,1990 = 100,,,49.748
2001,1990 = 100,,,
2002,1990 = 100,,,
2003,1990 = 100,,,47.888
2004,1990 = 100,,,47.416
2005,1990 = 100,,,45.899
2006,1990 = 100,,,44.816
2007,1990 = 100,,,42.087
2008,1990 = 100,,,43.278
2009,1990 = 100,,,42.0
2010,1990 = 100,,,42.406
2011,1990 = 100,,,40.251
2012,1990 = 100,,,41.134
2013,1990 = 100,,,41.532
2014,1990 = 100,,,39.755
2015,1990 = 100,,,39.898
2016,1990 = 100,,,40.776
2017,1990 = 100,,,40.958
2018,1990 = 100,,,40.92
2019,1990 = 100,,,
2020,1990 = 100,,,
2021,1990 = 100,,,
