Year,Units,Federal state,GeoCode,Value
1999,Percentage,,,23.2
2000,Percentage,,,23.6
2001,Percentage,,,24.1
2002,Percentage,,,25.0
2003,Percentage,,,26.3
2004,Percentage,,,27.0
2005,Percentage,,,28.1
2006,Percentage,,,30.1
2007,Percentage,,,29.4
2008,Percentage,,,29.2
2009,Percentage,,,31.5
2010,Percentage,,,36.7
2011,Percentage,,,36.9
2012,Percentage,,,37.0
2013,Percentage,,,36.4
2014,Percentage,,,35.5
2015,Percentage,,,34.3
2016,Percentage,,,33.7
2017,Percentage,,,32.2
2018,Percentage,,,30.2
2019,Percentage,,,29.2
2020,Percentage,,,30.6
2021,Percentage,,,25.2
1991,Percentage,,,36.5
1992,Percentage,,,38.0
1993,Percentage,,,38.5
1994,Percentage,,,39.6
1995,Percentage,,,36.9
1996,Percentage,,,37.4
1997,Percentage,,,36.0
1998,Percentage,,,34.3
1999,Percentage,,,32.9
2000,Percentage,,,31.9
2001,Percentage,,,30.8
2002,Percentage,,,27.5
2003,Percentage,,,28.6
2004,Percentage,,,28.9
2005,Percentage,,,29.0
2006,Percentage,,,32.6
2007,Percentage,,,32.4
2008,Percentage,,,33.4
2009,Percentage,,,40.6
2010,Percentage,,,48.4
2011,Percentage,,,47.7
2012,Percentage,,,50.0
2013,Percentage,,,52.7
2014,Percentage,,,52.5
2015,Percentage,,,52.4
2016,Percentage,,,52.1
2017,Percentage,,,50.1
2018,Percentage,,,48.6
2019,Percentage,,,48.6
2020,Percentage,,,51.6
2021,Percentage,,,48.9
1991,Percentage,,,5.0
1992,Percentage,,,10.4
1993,Percentage,,,8.5
1994,Percentage,,,13.2
1995,Percentage,,,14.9
1996,Percentage,,,17.6
1997,Percentage,,,19.6
1998,Percentage,,,20.9
1999,Percentage,,,21.2
2000,Percentage,,,21.1
2001,Percentage,,,20.8
2002,Percentage,,,20.1
2003,Percentage,,,20.1
2004,Percentage,,,20.1
2005,Percentage,,,20.6
2006,Percentage,,,18.1
2007,Percentage,,,16.0
2008,Percentage,,,13.3
2009,Percentage,,,11.7
2010,Percentage,,,10.7
2011,Percentage,,,9.1
2012,Percentage,,,9.2
2013,Percentage,,,8.1
2014,Percentage,,,6.8
2015,Percentage,,,5.8
2016,Percentage,,,4.5
2017,Percentage,,,3.8
2018,Percentage,,,3.4
2019,Percentage,,,2.9
2020,Percentage,,,5.8
2021,Percentage,,,6.3
1991,Percentage,,,5.4
1992,Percentage,,,15.9
1993,Percentage,,,13.0
1994,Percentage,,,19.1
1995,Percentage,,,23.1
1996,Percentage,,,27.2
1997,Percentage,,,32.8
1998,Percentage,,,36.1
1999,Percentage,,,39.4
2000,Percentage,,,41.8
2001,Percentage,,,39.1
2002,Percentage,,,39.9
2003,Percentage,,,42.5
2004,Percentage,,,43.9
2005,Percentage,,,46.9
2006,Percentage,,,47.1
2007,Percentage,,,46.4
2008,Percentage,,,44.9
2009,Percentage,,,46.8
2010,Percentage,,,47.4
2011,Percentage,,,46.4
2012,Percentage,,,44.2
2013,Percentage,,,42.4
2014,Percentage,,,41.6
2015,Percentage,,,41.5
2016,Percentage,,,39.5
2017,Percentage,,,38.7
2018,Percentage,,,36.4
2019,Percentage,,,36.3
2020,Percentage,,,37.4
2021,Percentage,,,36.6
1991,Percentage,,,23.7
1992,Percentage,,,23.6
1993,Percentage,,,23.1
1994,Percentage,,,24.2
1995,Percentage,,,24.3
1996,Percentage,,,25.4
1997,Percentage,,,26.1
1998,Percentage,,,27.0
1999,Percentage,,,27.3
2000,Percentage,,,27.5
2001,Percentage,,,27.1
2002,Percentage,,,28.6
2003,Percentage,,,29.9
2004,Percentage,,,31.3
2005,Percentage,,,32.7
2006,Percentage,,,35.0
2007,Percentage,,,34.3
2008,Percentage,,,33.6
2009,Percentage,,,38.9
2010,Percentage,,,42.1
2011,Percentage,,,41.6
2012,Percentage,,,40.7
2013,Percentage,,,39.6
2014,Percentage,,,38.7
2015,Percentage,,,37.6
2016,Percentage,,,38.5
2017,Percentage,,,36.2
2018,Percentage,,,37.0
2019,Percentage,,,35.2
2020,Percentage,,,37.0
2021,Percentage,,,36.2
1991,Percentage,,,6.7
1992,Percentage,,,12.7
1993,Percentage,,,10.3
1994,Percentage,,,16.9
1995,Percentage,,,24.9
1996,Percentage,,,28.5
1997,Percentage,,,31.5
1998,Percentage,,,30.1
1999,Percentage,,,31.8
2000,Percentage,,,33.6
2001,Percentage,,,34.5
2002,Percentage,,,35.6
2003,Percentage,,,36.3
2004,Percentage,,,37.4
2005,Percentage,,,39.7
2006,Percentage,,,41.5
2007,Percentage,,,39.3
2008,Percentage,,,37.8
2009,Percentage,,,39.9
2010,Percentage,,,39.4
2011,Percentage,,,37.1
2012,Percentage,,,36.0
2013,Percentage,,,35.7
2014,Percentage,,,33.3
2015,Percentage,,,32.2
2016,Percentage,,,30.7
2017,Percentage,,,30.2
2018,Percentage,,,27.4
2019,Percentage,,,26.4
2020,Percentage,,,28.6
2021,Percentage,,,28.1
1991,Percentage,,,11.5
1992,Percentage,,,11.6
1993,Percentage,,,11.6
1994,Percentage,,,11.7
1995,Percentage,,,12.0
1996,Percentage,,,11.8
1997,Percentage,,,12.2
1998,Percentage,,,12.1
1999,Percentage,,,11.9
2000,Percentage,,,11.7
2001,Percentage,,,11.4
2002,Percentage,,,12.1
2003,Percentage,,,12.3
2004,Percentage,,,12.8
2005,Percentage,,,13.3
2006,Percentage,,,13.5
2007,Percentage,,,12.8
2008,Percentage,,,12.5
2009,Percentage,,,17.7
2010,Percentage,,,17.0
2011,Percentage,,,16.9
2012,Percentage,,,16.6
2013,Percentage,,,16.6
2014,Percentage,,,13.5
2015,Percentage,,,13.3
2016,Percentage,,,13.0
2017,Percentage,,,11.0
2018,Percentage,,,10.2
2019,Percentage,,,10.1
2020,Percentage,,,11.3
2021,Percentage,,,10.7
1991,Percentage,,,9.3
1992,Percentage,,,9.1
1993,Percentage,,,8.9
1994,Percentage,,,8.9
1995,Percentage,,,8.6
1996,Percentage,,,8.6
1997,Percentage,,,9.2
1998,Percentage,,,9.4
1999,Percentage,,,9.4
2000,Percentage,,,9.0
2001,Percentage,,,8.5
2002,Percentage,,,8.4
2003,Percentage,,,8.9
2004,Percentage,,,9.2
2005,Percentage,,,9.4
2006,Percentage,,,9.3
2007,Percentage,,,8.6
2008,Percentage,,,8.2
2009,Percentage,,,9.7
2010,Percentage,,,9.6
2011,Percentage,,,8.8
2012,Percentage,,,8.5
2013,Percentage,,,7.8
2014,Percentage,,,7.1
2015,Percentage,,,6.4
2016,Percentage,,,5.7
2017,Percentage,,,5.0
2018,Percentage,,,4.4
2019,Percentage,,,4.0
2020,Percentage,,,5.1
2021,Percentage,,,5.2
1991,Percentage,,,11.9
1992,Percentage,,,14.0
1993,Percentage,,,16.9
1994,Percentage,,,19.4
1995,Percentage,,,25.1
1996,Percentage,,,29.3
1997,Percentage,,,32.4
1998,Percentage,,,35.0
1999,Percentage,,,37.2
2000,Percentage,,,39.1
2001,Percentage,,,44.4
2002,Percentage,,,51.9
2003,Percentage,,,57.1
2004,Percentage,,,63.1
2005,Percentage,,,65.8
2006,Percentage,,,65.1
2007,Percentage,,,59.9
2008,Percentage,,,56.5
2009,Percentage,,,59.3
2010,Percentage,,,58.5
2011,Percentage,,,56.8
2012,Percentage,,,55.5
2013,Percentage,,,53.5
2014,Percentage,,,50.4
2015,Percentage,,,47.0
2016,Percentage,,,43.6
2017,Percentage,,,40.0
2018,Percentage,,,36.3
2019,Percentage,,,34.3
2020,Percentage,,,38.6
2021,Percentage,,,38.0
1991,Percentage,,,5.6
1992,Percentage,,,14.5
1993,Percentage,,,11.9
1994,Percentage,,,19.8
1995,Percentage,,,25.4
1996,Percentage,,,28.4
1997,Percentage,,,32.1
1998,Percentage,,,33.9
1999,Percentage,,,34.4
2000,Percentage,,,34.3
2001,Percentage,,,31.9
2002,Percentage,,,33.1
2003,Percentage,,,35.3
2004,Percentage,,,37.8
2005,Percentage,,,37.6
2006,Percentage,,,37.0
2007,Percentage,,,35.8
2008,Percentage,,,34.3
2009,Percentage,,,35.5
2010,Percentage,,,39.5
2011,Percentage,,,38.0
2012,Percentage,,,36.9
2013,Percentage,,,34.5
2014,Percentage,,,31.9
2015,Percentage,,,30.9
2016,Percentage,,,29.8
2017,Percentage,,,26.6
2018,Percentage,,,24.7
2019,Percentage,,,24.1
2020,Percentage,,,26.8
2021,Percentage,,,26.0
1991,Percentage,,,41.5
1992,Percentage,,,43.3
1993,Percentage,,,45.4
1994,Percentage,,,43.3
1995,Percentage,,,42.3
1996,Percentage,,,41.7
1997,Percentage,,,41.1
1998,Percentage,,,39.8
1999,Percentage,,,37.7
2000,Percentage,,,38.2
2001,Percentage,,,38.5
2002,Percentage,,,40.5
2003,Percentage,,,43.7
2004,Percentage,,,46.1
2005,Percentage,,,49.5
2006,Percentage,,,51.3
2007,Percentage,,,53.0
2008,Percentage,,,55.9
2009,Percentage,,,64.3
2010,Percentage,,,68.5
2011,Percentage,,,69.3
2012,Percentage,,,69.0
2013,Percentage,,,69.5
2014,Percentage,,,69.1
2015,Percentage,,,71.9
2016,Percentage,,,68.0
2017,Percentage,,,65.0
2018,Percentage,,,66.0
2019,Percentage,,,90.5
2020,Percentage,,,122.0
2021,Percentage,,,106.2
1991,Percentage,,,16.1
1992,Percentage,,,16.4
1993,Percentage,,,17.9
1994,Percentage,,,18.9
1995,Percentage,,,19.2
1996,Percentage,,,20.1
1997,Percentage,,,19.8
1998,Percentage,,,19.7
1999,Percentage,,,20.5
2000,Percentage,,,21.4
2001,Percentage,,,21.5
2002,Percentage,,,21.9
2003,Percentage,,,23.2
2004,Percentage,,,23.8
2005,Percentage,,,24.3
2006,Percentage,,,24.5
2007,Percentage,,,23.6
2008,Percentage,,,22.9
2009,Percentage,,,26.2
2010,Percentage,,,26.8
2011,Percentage,,,26.3
2012,Percentage,,,25.4
2013,Percentage,,,24.8
2014,Percentage,,,27.3
2015,Percentage,,,26.7
2016,Percentage,,,28.2
2017,Percentage,,,27.9
2018,Percentage,,,28.9
2019,Percentage,,,27.0
2020,Percentage,,,30.0
2021,Percentage,,,27.9
1991,Percentage,,,15.8
1992,Percentage,,,15.7
1993,Percentage,,,15.3
1994,Percentage,,,15.9
1995,Percentage,,,16.2
1996,Percentage,,,16.4
1997,Percentage,,,16.1
1998,Percentage,,,16.5
1999,Percentage,,,16.2
2000,Percentage,,,15.4
2001,Percentage,,,14.9
2002,Percentage,,,15.5
2003,Percentage,,,16.0
2004,Percentage,,,16.9
2005,Percentage,,,17.6
2006,Percentage,,,17.3
2007,Percentage,,,16.9
2008,Percentage,,,16.8
2009,Percentage,,,19.1
2010,Percentage,,,22.9
2011,Percentage,,,23.5
2012,Percentage,,,24.8
2013,Percentage,,,24.0
2014,Percentage,,,24.8
2015,Percentage,,,23.7
2016,Percentage,,,22.6
2017,Percentage,,,20.9
2018,Percentage,,,18.6
2019,Percentage,,,18.2
2020,Percentage,,,21.1
2021,Percentage,,,19.4
1991,Percentage,,,4.7
1992,Percentage,,,8.7
1993,Percentage,,,7.3
1994,Percentage,,,12.6
1995,Percentage,,,16.6
1996,Percentage,,,22.2
1997,Percentage,,,26.1
1998,Percentage,,,29.8
1999,Percentage,,,31.8
2000,Percentage,,,33.4
2001,Percentage,,,32.3
2002,Percentage,,,34.3
2003,Percentage,,,36.0
2004,Percentage,,,38.1
2005,Percentage,,,40.5
2006,Percentage,,,39.9
2007,Percentage,,,35.8
2008,Percentage,,,34.0
2009,Percentage,,,34.0
2010,Percentage,,,35.3
2011,Percentage,,,33.4
2012,Percentage,,,33.4
2013,Percentage,,,31.4
2014,Percentage,,,29.8
2015,Percentage,,,28.8
2016,Percentage,,,25.4
2017,Percentage,,,22.2
2018,Percentage,,,21.0
2019,Percentage,,,19.4
2020,Percentage,,,21.5
2021,Percentage,,,20.5
