Year,Value,Units,Series,GeoCode
2009,27.945,Hectre per day,Calculated annual values,
2010,33.151,Hectre per day,Calculated annual values,
2011,29.61,Hectre per day,Calculated annual values,
2012,40.004,Hectre per day,Calculated annual values,
2013,29.005,Hectre per day,Calculated annual values,
2014,21.91,Hectre per day,Calculated annual values,
2015,39.63,Hectre per day,Calculated annual values,
2016,,Hectre per day,Calculated annual values,
2017,31.801,Hectre per day,Calculated annual values,
2018,32.036,Hectre per day,Calculated annual values,
2019,33.0,Hectre per day,Calculated annual values,
2020,40.0,Hectre per day,Calculated annual values,
1996,8.693,Hectre per day,Calculated annual values,
1997,20.204,Hectre per day,Calculated annual values,
1998,20.561,Hectre per day,Calculated annual values,
1999,20.566,Hectre per day,Calculated annual values,
2000,20.803,Hectre per day,Calculated annual values,
2001,29.0,Hectre per day,Calculated annual values,
2002,21.096,Hectre per day,Calculated annual values,
2003,34.0,Hectre per day,Calculated annual values,
2004,45.721,Hectre per day,Calculated annual values,
2005,56.986,Hectre per day,Calculated annual values,
2006,51.781,Hectre per day,Calculated annual values,
2007,32.603,Hectre per day,Calculated annual values,
2008,38.617,Hectre per day,Calculated annual values,
2009,32.055,Hectre per day,Calculated annual values,
2010,23.288,Hectre per day,Calculated annual values,
2011,27.064,Hectre per day,Calculated annual values,
2012,18.487,Hectre per day,Calculated annual values,
2013,23.065,Hectre per day,Calculated annual values,
2014,17.927,Hectre per day,Calculated annual values,
2015,11.614,Hectre per day,Calculated annual values,
2016,,Hectre per day,Calculated annual values,
2017,14.925,Hectre per day,Calculated annual values,
2018,10.008,Hectre per day,Calculated annual values,
2019,10.0,Hectre per day,Calculated annual values,
2020,12.0,Hectre per day,Calculated annual values,
1996,,Hectre per day,Moving four-year average,
1997,,Hectre per day,Moving four-year average,
1998,,Hectre per day,Moving four-year average,
1999,126.276,Hectre per day,Moving four-year average,
2000,129.157,Hectre per day,Moving four-year average,
2001,128.368,Hectre per day,Moving four-year average,
2002,123.041,Hectre per day,Moving four-year average,
2003,115.103,Hectre per day,Moving four-year average,
2004,115.116,Hectre per day,Moving four-year average,
2005,114.225,Hectre per day,Moving four-year average,
2006,113.335,Hectre per day,Moving four-year average,
2007,112.787,Hectre per day,Moving four-year average,
2008,103.77,Hectre per day,Moving four-year average,
2009,93.907,Hectre per day,Moving four-year average,
2010,86.647,Hectre per day,Moving four-year average,
2011,80.875,Hectre per day,Moving four-year average,
2012,74.442,Hectre per day,Moving four-year average,
2013,72.569,Hectre per day,Moving four-year average,
2014,69.209,Hectre per day,Moving four-year average,
2015,66.056,Hectre per day,Moving four-year average,
2016,61.539,Hectre per day,Moving four-year average,
2017,57.692,Hectre per day,Moving four-year average,
2018,56.373,Hectre per day,Moving four-year average,
2019,52.37,Hectre per day,Moving four-year average,
2020,54.051,Hectre per day,Moving four-year average,
1996,,Hectre per day,Moving four-year average,
1997,,Hectre per day,Moving four-year average,
1998,,Hectre per day,Moving four-year average,
1999,22.717,Hectre per day,Moving four-year average,
2000,22.724,Hectre per day,Moving four-year average,
2001,23.313,Hectre per day,Moving four-year average,
2002,23.104,Hectre per day,Moving four-year average,
2003,22.346,Hectre per day,Moving four-year average,
2004,22.583,Hectre per day,Moving four-year average,
2005,23.134,Hectre per day,Moving four-year average,
2006,23.545,Hectre per day,Moving four-year average,
2007,24.572,Hectre per day,Moving four-year average,
2008,23.798,Hectre per day,Moving four-year average,
2009,22.017,Hectre per day,Moving four-year average,
2010,21.127,Hectre per day,Moving four-year average,
2011,19.268,Hectre per day,Moving four-year average,
2012,16.61,Hectre per day,Moving four-year average,
2013,16.719,Hectre per day,Moving four-year average,
2014,17.441,Hectre per day,Moving four-year average,
2015,15.646,Hectre per day,Moving four-year average,
2016,,Hectre per day,Moving four-year average,
2017,,Hectre per day,Moving four-year average,
2018,,Hectre per day,Moving four-year average,
2019,,Hectre per day,Moving four-year average,
2020,8.109,Hectre per day,Moving four-year average,
1996,,Hectre per day,Moving four-year average,
1997,,Hectre per day,Moving four-year average,
1998,,Hectre per day,Moving four-year average,
1999,86.037,Hectre per day,Moving four-year average,
2000,85.968,Hectre per day,Moving four-year average,
2001,82.582,Hectre per day,Moving four-year average,
2002,77.331,Hectre per day,Moving four-year average,
2003,66.869,Hectre per day,Moving four-year average,
2004,60.164,Hectre per day,Moving four-year average,
2005,51.353,Hectre per day,Moving four-year average,
2006,42.312,Hectre per day,Moving four-year average,
2007,41.01,Hectre per day,Moving four-year average,
2008,34.726,Hectre per day,Moving four-year average,
2009,33.058,Hectre per day,Moving four-year average,
2010,33.949,Hectre per day,Moving four-year average,
2011,31.42,Hectre per day,Moving four-year average,
2012,32.678,Hectre per day,Moving four-year average,
2013,32.943,Hectre per day,Moving four-year average,
2014,30.132,Hectre per day,Moving four-year average,
2015,32.637,Hectre per day,Moving four-year average,
2016,,Hectre per day,Moving four-year average,
2017,,Hectre per day,Moving four-year average,
2018,,Hectre per day,Moving four-year average,
2019,,Hectre per day,Moving four-year average,
2020,34.209,Hectre per day,Moving four-year average,
1996,,Hectre per day,Moving four-year average,
1997,,Hectre per day,Moving four-year average,
1998,,Hectre per day,Moving four-year average,
1999,17.506,Hectre per day,Moving four-year average,
2000,20.534,Hectre per day,Moving four-year average,
2001,22.733,Hectre per day,Moving four-year average,
2002,22.866,Hectre per day,Moving four-year average,
2003,26.225,Hectre per day,Moving four-year average,
2004,32.454,Hectre per day,Moving four-year average,
2005,39.451,Hectre per day,Moving four-year average,
2006,47.122,Hectre per day,Moving four-year average,
2007,46.773,Hectre per day,Moving four-year average,
2008,44.997,Hectre per day,Moving four-year average,
2009,38.764,Hectre per day,Moving four-year average,
2010,31.641,Hectre per day,Moving four-year average,
2011,30.256,Hectre per day,Moving four-year average,
2012,25.224,Hectre per day,Moving four-year average,
2013,22.976,Hectre per day,Moving four-year average,
2014,21.636,Hectre per day,Moving four-year average,
2015,17.773,Hectre per day,Moving four-year average,
2016,,Hectre per day,Moving four-year average,
2017,,Hectre per day,Moving four-year average,
2018,,Hectre per day,Moving four-year average,
2019,,Hectre per day,Moving four-year average,
2020,11.733,Hectre per day,Moving four-year average,
1997,,Hectre per day,Moving four-year average,
1998,,Hectre per day,Moving four-year average,
1999,,Hectre per day,Moving four-year average,
2000,12.0,Hectre per day,Moving four-year average,
2001,,Hectre per day,Moving four-year average,
2002,,Hectre per day,Moving four-year average,
2003,,Hectre per day,Moving four-year average,
2004,10.4,Hectre per day,Moving four-year average,
2005,9.6,Hectre per day,Moving four-year average,
2006,9.3,Hectre per day,Moving four-year average,
2007,9.3,Hectre per day,Moving four-year average,
2008,9.2,Hectre per day,Moving four-year average,
2009,8.7,Hectre per day,Moving four-year average,
2010,8.1,Hectre per day,Moving four-year average,
2011,7.1,Hectre per day,Moving four-year average,
2012,6.7,Hectre per day,Moving four-year average,
2013,6.2,Hectre per day,Moving four-year average,
2014,5.9,Hectre per day,Moving four-year average,
2015,5.6,Hectre per day,Moving four-year average,
2016,,Hectre per day,Moving four-year average,
2017,,Hectre per day,Moving four-year average,
2018,,Hectre per day,Moving four-year average,
2019,5.2,Hectre per day,Moving four-year average,
2020,5.6,Hectre per day,Moving four-year average,
1996,27.4,Hectre per day,Moving four-year average,
1997,,Hectre per day,Moving four-year average,
1998,,Hectre per day,Moving four-year average,
1999,,Hectre per day,Moving four-year average,
2000,28.4,Hectre per day,Moving four-year average,
2001,,Hectre per day,Moving four-year average,
2002,,Hectre per day,Moving four-year average,
2003,,Hectre per day,Moving four-year average,
2004,18.0,Hectre per day,Moving four-year average,
2005,16.5,Hectre per day,Moving four-year average,
2006,17.2,Hectre per day,Moving four-year average,
2007,16.9,Hectre per day,Moving four-year average,
2008,17.2,Hectre per day,Moving four-year average,
2009,17.4,Hectre per day,Moving four-year average,
2010,17.4,Hectre per day,Moving four-year average,
2011,17.9,Hectre per day,Moving four-year average,
2012,18.0,Hectre per day,Moving four-year average,
2013,18.5,Hectre per day,Moving four-year average,
2014,,Hectre per day,Moving four-year average,
2015,12.1,Hectre per day,Moving four-year average,
2016,,Hectre per day,Moving four-year average,
2017,,Hectre per day,Moving four-year average,
2018,11.1,Hectre per day,Moving four-year average,
2019,10.6,Hectre per day,Moving four-year average,
2020,11.0,Hectre per day,Moving four-year average,
1996,-0.7,Hectre per day,Moving four-year average,
1997,,Hectre per day,Moving four-year average,
1998,,Hectre per day,Moving four-year average,
1999,,Hectre per day,Moving four-year average,
2000,1.4,Hectre per day,Moving four-year average,
2001,,Hectre per day,Moving four-year average,
2002,,Hectre per day,Moving four-year average,
2003,,Hectre per day,Moving four-year average,
2004,0.3,Hectre per day,Moving four-year average,
2005,0.3,Hectre per day,Moving four-year average,
2006,0.2,Hectre per day,Moving four-year average,
2007,0.3,Hectre per day,Moving four-year average,
2008,0.3,Hectre per day,Moving four-year average,
2009,0.3,Hectre per day,Moving four-year average,
2010,0.4,Hectre per day,Moving four-year average,
2011,0.3,Hectre per day,Moving four-year average,
2012,0.1,Hectre per day,Moving four-year average,
2013,0.0,Hectre per day,Moving four-year average,
2014,0.0,Hectre per day,Moving four-year average,
2015,-0.1,Hectre per day,Moving four-year average,
2016,0.1,Hectre per day,Moving four-year average,
2017,0.1,Hectre per day,Moving four-year average,
2018,0.2,Hectre per day,Moving four-year average,
2019,0.2,Hectre per day,Moving four-year average,
2020,0.1,Hectre per day,Moving four-year average,
1996,6.9,Hectre per day,Moving four-year average,
1997,,Hectre per day,Moving four-year average,
1998,,Hectre per day,Moving four-year average,
1999,,Hectre per day,Moving four-year average,
2000,9.3,Hectre per day,Moving four-year average,
2001,,Hectre per day,Moving four-year average,
2002,,Hectre per day,Moving four-year average,
2003,,Hectre per day,Moving four-year average,
2004,8.2,Hectre per day,Moving four-year average,
2005,8.6,Hectre per day,Moving four-year average,
2006,8.7,Hectre per day,Moving four-year average,
2007,8.3,Hectre per day,Moving four-year average,
2008,9.5,Hectre per day,Moving four-year average,
2009,8.4,Hectre per day,Moving four-year average,
2010,7.5,Hectre per day,Moving four-year average,
2011,6.6,Hectre per day,Moving four-year average,
2012,4.6,Hectre per day,Moving four-year average,
2013,5.7,Hectre per day,Moving four-year average,
2014,5.2,Hectre per day,Moving four-year average,
2015,4.9,Hectre per day,Moving four-year average,
2016,4.7,Hectre per day,Moving four-year average,
2017,2.1,Hectre per day,Moving four-year average,
2018,1.7,Hectre per day,Moving four-year average,
2019,1.4,Hectre per day,Moving four-year average,
2020,2.6,Hectre per day,Moving four-year average,
1996,0.1,Hectre per day,Moving four-year average,
1997,,Hectre per day,Moving four-year average,
1998,,Hectre per day,Moving four-year average,
1999,,Hectre per day,Moving four-year average,
2000,0.5,Hectre per day,Moving four-year average,
2001,,Hectre per day,Moving four-year average,
2002,,Hectre per day,Moving four-year average,
2003,,Hectre per day,Moving four-year average,
2004,0.2,Hectre per day,Moving four-year average,
2005,0.1,Hectre per day,Moving four-year average,
2006,0.1,Hectre per day,Moving four-year average,
2007,0.2,Hectre per day,Moving four-year average,
2008,0.2,Hectre per day,Moving four-year average,
2009,0.2,Hectre per day,Moving four-year average,
2010,0.2,Hectre per day,Moving four-year average,
2011,0.2,Hectre per day,Moving four-year average,
2012,0.3,Hectre per day,Moving four-year average,
2013,0.3,Hectre per day,Moving four-year average,
2014,0.2,Hectre per day,Moving four-year average,
2015,0.2,Hectre per day,Moving four-year average,
2016,0.1,Hectre per day,Moving four-year average,
2017,0.1,Hectre per day,Moving four-year average,
2018,0.1,Hectre per day,Moving four-year average,
2019,0.1,Hectre per day,Moving four-year average,
2020,0.0,Hectre per day,Moving four-year average,
1996,0.4,Hectre per day,Moving four-year average,
1997,,Hectre per day,Moving four-year average,
1998,,Hectre per day,Moving four-year average,
1999,,Hectre per day,Moving four-year average,
2000,0.2,Hectre per day,Moving four-year average,
2001,,Hectre per day,Moving four-year average,
2002,,Hectre per day,Moving four-year average,
2003,,Hectre per day,Moving four-year average,
2004,0.8,Hectre per day,Moving four-year average,
2005,1.0,Hectre per day,Moving four-year average,
2006,0.9,Hectre per day,Moving four-year average,
2007,0.8,Hectre per day,Moving four-year average,
2008,0.5,Hectre per day,Moving four-year average,
2009,0.3,Hectre per day,Moving four-year average,
2010,0.2,Hectre per day,Moving four-year average,
2011,0.1,Hectre per day,Moving four-year average,
2012,0.2,Hectre per day,Moving four-year average,
2013,0.2,Hectre per day,Moving four-year average,
2014,0.0,Hectre per day,Moving four-year average,
2015,-0.2,Hectre per day,Moving four-year average,
2016,-0.5,Hectre per day,Moving four-year average,
2017,-0.6,Hectre per day,Moving four-year average,
2018,-0.4,Hectre per day,Moving four-year average,
2019,-0.2,Hectre per day,Moving four-year average,
2020,0.0,Hectre per day,Moving four-year average,
1996,4.5,Hectre per day,Moving four-year average,
1997,,Hectre per day,Moving four-year average,
1998,,Hectre per day,Moving four-year average,
1999,,Hectre per day,Moving four-year average,
2000,4.9,Hectre per day,Moving four-year average,
2001,,Hectre per day,Moving four-year average,
2002,,Hectre per day,Moving four-year average,
2003,,Hectre per day,Moving four-year average,
2004,3.9,Hectre per day,Moving four-year average,
2005,4.2,Hectre per day,Moving four-year average,
2006,3.8,Hectre per day,Moving four-year average,
2007,3.9,Hectre per day,Moving four-year average,
2008,3.6,Hectre per day,Moving four-year average,
2009,3.6,Hectre per day,Moving four-year average,
2010,3.6,Hectre per day,Moving four-year average,
2011,2.9,Hectre per day,Moving four-year average,
2012,3.1,Hectre per day,Moving four-year average,
2013,2.7,Hectre per day,Moving four-year average,
2014,2.7,Hectre per day,Moving four-year average,
2015,3.0,Hectre per day,Moving four-year average,
2016,,Hectre per day,Moving four-year average,
2017,,Hectre per day,Moving four-year average,
2018,,Hectre per day,Moving four-year average,
2019,,Hectre per day,Moving four-year average,
2020,,Hectre per day,Moving four-year average,
1996,6.0,Hectre per day,Moving four-year average,
1997,,Hectre per day,Moving four-year average,
1998,,Hectre per day,Moving four-year average,
1999,,Hectre per day,Moving four-year average,
2000,7.6,Hectre per day,Moving four-year average,
2001,,Hectre per day,Moving four-year average,
2002,,Hectre per day,Moving four-year average,
2003,,Hectre per day,Moving four-year average,
2004,8.7,Hectre per day,Moving four-year average,
2005,8.6,Hectre per day,Moving four-year average,
2006,7.7,Hectre per day,Moving four-year average,
2007,7.2,Hectre per day,Moving four-year average,
2008,7.8,Hectre per day,Moving four-year average,
2009,8.1,Hectre per day,Moving four-year average,
2010,8.0,Hectre per day,Moving four-year average,
2011,7.0,Hectre per day,Moving four-year average,
2012,5.1,Hectre per day,Moving four-year average,
2013,3.8,Hectre per day,Moving four-year average,
2014,2.5,Hectre per day,Moving four-year average,
2015,3.1,Hectre per day,Moving four-year average,
2016,6.8,Hectre per day,Moving four-year average,
2017,4.2,Hectre per day,Moving four-year average,
2018,3.9,Hectre per day,Moving four-year average,
2019,2.5,Hectre per day,Moving four-year average,
2020,-1.7,Hectre per day,Moving four-year average,
1996,15.9,Hectre per day,Moving four-year average,
1997,,Hectre per day,Moving four-year average,
1998,,Hectre per day,Moving four-year average,
1999,,Hectre per day,Moving four-year average,
2000,16.4,Hectre per day,Moving four-year average,
2001,,Hectre per day,Moving four-year average,
2002,,Hectre per day,Moving four-year average,
2003,,Hectre per day,Moving four-year average,
2004,14.4,Hectre per day,Moving four-year average,
2005,14.2,Hectre per day,Moving four-year average,
2006,14.1,Hectre per day,Moving four-year average,
2007,13.5,Hectre per day,Moving four-year average,
2008,11.6,Hectre per day,Moving four-year average,
2009,10.3,Hectre per day,Moving four-year average,
2010,9.4,Hectre per day,Moving four-year average,
2011,10.6,Hectre per day,Moving four-year average,
2012,10.3,Hectre per day,Moving four-year average,
2013,10.5,Hectre per day,Moving four-year average,
2014,11.1,Hectre per day,Moving four-year average,
2015,9.7,Hectre per day,Moving four-year average,
2016,7.5,Hectre per day,Moving four-year average,
2017,6.8,Hectre per day,Moving four-year average,
2018,6.0,Hectre per day,Moving four-year average,
2019,5.1,Hectre per day,Moving four-year average,
2020,6.6,Hectre per day,Moving four-year average,
1996,15.8,Hectre per day,Moving four-year average,
1997,,Hectre per day,Moving four-year average,
1998,,Hectre per day,Moving four-year average,
1999,,Hectre per day,Moving four-year average,
2000,16.5,Hectre per day,Moving four-year average,
2001,,Hectre per day,Moving four-year average,
2002,,Hectre per day,Moving four-year average,
2003,,Hectre per day,Moving four-year average,
2004,15.2,Hectre per day,Moving four-year average,
2005,14.5,Hectre per day,Moving four-year average,
2006,14.1,Hectre per day,Moving four-year average,
2007,15.4,Hectre per day,Moving four-year average,
2008,14.2,Hectre per day,Moving four-year average,
2009,13.2,Hectre per day,Moving four-year average,
2010,12.5,Hectre per day,Moving four-year average,
2011,11.4,Hectre per day,Moving four-year average,
2012,10.3,Hectre per day,Moving four-year average,
2013,10.3,Hectre per day,Moving four-year average,
2014,9.7,Hectre per day,Moving four-year average,
2015,9.5,Hectre per day,Moving four-year average,
2016,,Hectre per day,Moving four-year average,
2017,,Hectre per day,Moving four-year average,
2018,,Hectre per day,Moving four-year average,
2019,,Hectre per day,Moving four-year average,
2020,,Hectre per day,Moving four-year average,
1996,5.0,Hectre per day,Moving four-year average,
1997,,Hectre per day,Moving four-year average,
1998,,Hectre per day,Moving four-year average,
1999,,Hectre per day,Moving four-year average,
2000,5.4,Hectre per day,Moving four-year average,
2001,,Hectre per day,Moving four-year average,
2002,,Hectre per day,Moving four-year average,
2003,,Hectre per day,Moving four-year average,
2004,5.8,Hectre per day,Moving four-year average,
2005,6.5,Hectre per day,Moving four-year average,
2006,6.6,Hectre per day,Moving four-year average,
2007,6.6,Hectre per day,Moving four-year average,
2008,5.4,Hectre per day,Moving four-year average,
2009,3.5,Hectre per day,Moving four-year average,
2010,2.3,Hectre per day,Moving four-year average,
2011,1.4,Hectre per day,Moving four-year average,
2012,0.9,Hectre per day,Moving four-year average,
2013,1.1,Hectre per day,Moving four-year average,
2014,1.1,Hectre per day,Moving four-year average,
2015,0.6,Hectre per day,Moving four-year average,
2016,0.8,Hectre per day,Moving four-year average,
2017,0.4,Hectre per day,Moving four-year average,
2018,0.6,Hectre per day,Moving four-year average,
2019,1.4,Hectre per day,Moving four-year average,
2020,2.0,Hectre per day,Moving four-year average,
1996,0.6,Hectre per day,Moving four-year average,
1997,,Hectre per day,Moving four-year average,
1998,,Hectre per day,Moving four-year average,
1999,,Hectre per day,Moving four-year average,
2000,0.7,Hectre per day,Moving four-year average,
2001,,Hectre per day,Moving four-year average,
2002,,Hectre per day,Moving four-year average,
2003,,Hectre per day,Moving four-year average,
2004,0.7,Hectre per day,Moving four-year average,
2005,0.7,Hectre per day,Moving four-year average,
2006,0.7,Hectre per day,Moving four-year average,
2007,0.8,Hectre per day,Moving four-year average,
2008,0.6,Hectre per day,Moving four-year average,
2009,0.6,Hectre per day,Moving four-year average,
2010,0.7,Hectre per day,Moving four-year average,
2011,0.7,Hectre per day,Moving four-year average,
2012,0.6,Hectre per day,Moving four-year average,
2013,0.5,Hectre per day,Moving four-year average,
2014,0.4,Hectre per day,Moving four-year average,
2015,0.3,Hectre per day,Moving four-year average,
2016,0.9,Hectre per day,Moving four-year average,
2017,0.9,Hectre per day,Moving four-year average,
2018,0.8,Hectre per day,Moving four-year average,
2019,0.9,Hectre per day,Moving four-year average,
2020,0.2,Hectre per day,Moving four-year average,
1996,8.8,Hectre per day,Moving four-year average,
1997,,Hectre per day,Moving four-year average,
1998,,Hectre per day,Moving four-year average,
1999,,Hectre per day,Moving four-year average,
2000,8.2,Hectre per day,Moving four-year average,
2001,,Hectre per day,Moving four-year average,
2002,,Hectre per day,Moving four-year average,
2003,,Hectre per day,Moving four-year average,
2004,5.2,Hectre per day,Moving four-year average,
2005,3.9,Hectre per day,Moving four-year average,
2006,3.6,Hectre per day,Moving four-year average,
2007,5.4,Hectre per day,Moving four-year average,
2008,6.4,Hectre per day,Moving four-year average,
2009,8.2,Hectre per day,Moving four-year average,
2010,8.8,Hectre per day,Moving four-year average,
2011,7.5,Hectre per day,Moving four-year average,
2012,7.2,Hectre per day,Moving four-year average,
2013,5.4,Hectre per day,Moving four-year average,
2014,,Hectre per day,Moving four-year average,
2015,,Hectre per day,Moving four-year average,
2016,,Hectre per day,Moving four-year average,
2017,,Hectre per day,Moving four-year average,
2018,,Hectre per day,Moving four-year average,
2019,,Hectre per day,Moving four-year average,
2020,5.2,Hectre per day,Moving four-year average,
1996,9.2,Hectre per day,Moving four-year average,
1997,,Hectre per day,Moving four-year average,
1998,,Hectre per day,Moving four-year average,
1999,,Hectre per day,Moving four-year average,
2000,9.9,Hectre per day,Moving four-year average,
2001,,Hectre per day,Moving four-year average,
2002,,Hectre per day,Moving four-year average,
2003,,Hectre per day,Moving four-year average,
2004,12.8,Hectre per day,Moving four-year average,
2005,16.2,Hectre per day,Moving four-year average,
2006,18.1,Hectre per day,Moving four-year average,
2007,16.1,Hectre per day,Moving four-year average,
2008,10.0,Hectre per day,Moving four-year average,
2009,3.9,Hectre per day,Moving four-year average,
2010,0.5,Hectre per day,Moving four-year average,
2011,0.2,Hectre per day,Moving four-year average,
2012,-0.6,Hectre per day,Moving four-year average,
2013,-0.6,Hectre per day,Moving four-year average,
2014,0.2,Hectre per day,Moving four-year average,
2015,0.5,Hectre per day,Moving four-year average,
2016,1.0,Hectre per day,Moving four-year average,
2017,1.1,Hectre per day,Moving four-year average,
2018,0.7,Hectre per day,Moving four-year average,
2019,1.0,Hectre per day,Moving four-year average,
2020,0.7,Hectre per day,Moving four-year average,
1996,3.3,Hectre per day,Moving four-year average,
1997,,Hectre per day,Moving four-year average,
1998,,Hectre per day,Moving four-year average,
1999,,Hectre per day,Moving four-year average,
2000,4.1,Hectre per day,Moving four-year average,
2001,,Hectre per day,Moving four-year average,
2002,,Hectre per day,Moving four-year average,
2003,,Hectre per day,Moving four-year average,
2004,8.4,Hectre per day,Moving four-year average,
2005,,Hectre per day,Moving four-year average,
2006,,Hectre per day,Moving four-year average,
2007,,Hectre per day,Moving four-year average,
2008,5.4,Hectre per day,Moving four-year average,
2009,5.1,Hectre per day,Moving four-year average,
2010,4.2,Hectre per day,Moving four-year average,
2011,3.6,Hectre per day,Moving four-year average,
2012,3.4,Hectre per day,Moving four-year average,
2013,3.2,Hectre per day,Moving four-year average,
2014,3.2,Hectre per day,Moving four-year average,
2015,2.7,Hectre per day,Moving four-year average,
2016,2.3,Hectre per day,Moving four-year average,
2017,2.5,Hectre per day,Moving four-year average,
2018,2.6,Hectre per day,Moving four-year average,
2019,2.3,Hectre per day,Moving four-year average,
2020,3.5,Hectre per day,Moving four-year average,
1996,6.1,Hectre per day,Moving four-year average,
1997,,Hectre per day,Moving four-year average,
1998,,Hectre per day,Moving four-year average,
1999,,Hectre per day,Moving four-year average,
2000,3.6,Hectre per day,Moving four-year average,
2001,,Hectre per day,Moving four-year average,
2002,,Hectre per day,Moving four-year average,
2003,,Hectre per day,Moving four-year average,
2004,2.2,Hectre per day,Moving four-year average,
2005,2.0,Hectre per day,Moving four-year average,
2006,1.4,Hectre per day,Moving four-year average,
2007,1.6,Hectre per day,Moving four-year average,
2008,1.9,Hectre per day,Moving four-year average,
2009,2.2,Hectre per day,Moving four-year average,
2010,2.7,Hectre per day,Moving four-year average,
2011,3.5,Hectre per day,Moving four-year average,
2012,4.2,Hectre per day,Moving four-year average,
2013,4.2,Hectre per day,Moving four-year average,
2014,5.3,Hectre per day,Moving four-year average,
2015,4.7,Hectre per day,Moving four-year average,
2016,5.5,Hectre per day,Moving four-year average,
2017,,Hectre per day,Moving four-year average,
2018,,Hectre per day,Moving four-year average,
2019,,Hectre per day,Moving four-year average,
2020,,Hectre per day,Moving four-year average,
1996,10.2,Hectre per day,Calculated annual values,
1997,12.0,Hectre per day,Calculated annual values,
1998,12.0,Hectre per day,Calculated annual values,
1999,12.0,Hectre per day,Calculated annual values,
2000,12.0,Hectre per day,Calculated annual values,
2001,11.8,Hectre per day,Calculated annual values,
2002,10.6,Hectre per day,Calculated annual values,
2003,10.3,Hectre per day,Calculated annual values,
2004,8.7,Hectre per day,Calculated annual values,
2005,8.8,Hectre per day,Calculated annual values,
2006,9.4,Hectre per day,Calculated annual values,
2007,10.3,Hectre per day,Calculated annual values,
2008,8.2,Hectre per day,Calculated annual values,
2009,7.0,Hectre per day,Calculated annual values,
2010,6.7,Hectre per day,Calculated annual values,
2011,6.3,Hectre per day,Calculated annual values,
2012,6.7,Hectre per day,Calculated annual values,
2013,5.3,Hectre per day,Calculated annual values,
2014,5.2,Hectre per day,Calculated annual values,
2015,5.2,Hectre per day,Calculated annual values,
2016,3.5,Hectre per day,Calculated annual values,
2017,7.9,Hectre per day,Calculated annual values,
2018,4.5,Hectre per day,Calculated annual values,
2019,4.8,Hectre per day,Calculated annual values,
2020,5.4,Hectre per day,Calculated annual values,
1996,27.4,Hectre per day,Calculated annual values,
1997,28.4,Hectre per day,Calculated annual values,
1998,28.4,Hectre per day,Calculated annual values,
