Year,Value,Units,GeoCode
2012,55.5,Percentage,
2013,53.5,Percentage,
2014,50.4,Percentage,
2015,47.0,Percentage,
2016,43.6,Percentage,
2017,40.0,Percentage,
2018,36.3,Percentage,
2019,34.3,Percentage,
2020,38.6,Percentage,
2021,38.0,Percentage,
1991,5.6,Percentage,
1992,14.5,Percentage,
1993,11.9,Percentage,
1994,19.8,Percentage,
1995,25.4,Percentage,
1996,28.4,Percentage,
1997,32.1,Percentage,
1998,33.9,Percentage,
1999,34.4,Percentage,
2000,34.3,Percentage,
2001,31.9,Percentage,
2002,33.1,Percentage,
2003,35.3,Percentage,
2004,37.8,Percentage,
2005,37.6,Percentage,
2006,37.0,Percentage,
2007,35.8,Percentage,
2008,34.3,Percentage,
2009,35.5,Percentage,
2010,39.5,Percentage,
2011,38.0,Percentage,
2012,36.9,Percentage,
2013,34.5,Percentage,
2014,31.9,Percentage,
2015,30.9,Percentage,
2016,29.8,Percentage,
2017,26.6,Percentage,
2018,24.7,Percentage,
2019,24.1,Percentage,
2020,26.8,Percentage,
2021,26.0,Percentage,
1991,41.5,Percentage,
1992,43.3,Percentage,
1993,45.4,Percentage,
1994,43.3,Percentage,
1995,42.3,Percentage,
1996,41.7,Percentage,
1997,41.1,Percentage,
1998,39.8,Percentage,
1999,37.7,Percentage,
2000,38.2,Percentage,
2001,38.5,Percentage,
2002,40.5,Percentage,
2003,43.7,Percentage,
2004,46.1,Percentage,
2005,49.5,Percentage,
2006,51.3,Percentage,
2007,53.0,Percentage,
2008,55.9,Percentage,
2009,64.3,Percentage,
2010,68.5,Percentage,
2011,69.3,Percentage,
2012,69.0,Percentage,
2013,69.5,Percentage,
2014,69.1,Percentage,
2015,71.9,Percentage,
2016,68.0,Percentage,
2017,65.0,Percentage,
2018,66.0,Percentage,
2019,90.5,Percentage,
2020,122.0,Percentage,
2021,106.2,Percentage,
1991,16.1,Percentage,
1992,16.4,Percentage,
1993,17.9,Percentage,
1994,18.9,Percentage,
1995,19.2,Percentage,
1996,20.1,Percentage,
1997,19.8,Percentage,
1998,19.7,Percentage,
1999,20.5,Percentage,
2000,21.4,Percentage,
2001,21.5,Percentage,
2002,21.9,Percentage,
2003,23.2,Percentage,
2004,23.8,Percentage,
2005,24.3,Percentage,
2006,24.5,Percentage,
2007,23.6,Percentage,
2008,22.9,Percentage,
2009,26.2,Percentage,
2010,26.8,Percentage,
2011,26.3,Percentage,
2012,25.4,Percentage,
2013,24.8,Percentage,
2014,27.3,Percentage,
2015,26.7,Percentage,
2016,28.2,Percentage,
2017,27.9,Percentage,
2018,28.9,Percentage,
2019,27.0,Percentage,
2020,30.0,Percentage,
2021,27.9,Percentage,
1991,15.8,Percentage,
1992,15.7,Percentage,
1993,15.3,Percentage,
1994,15.9,Percentage,
1995,16.2,Percentage,
1996,16.4,Percentage,
1997,16.1,Percentage,
1998,16.5,Percentage,
1999,16.2,Percentage,
2000,15.4,Percentage,
2001,14.9,Percentage,
2002,15.5,Percentage,
2003,16.0,Percentage,
2004,16.9,Percentage,
2005,17.6,Percentage,
2006,17.3,Percentage,
2007,16.9,Percentage,
2008,16.8,Percentage,
2009,19.1,Percentage,
2010,22.9,Percentage,
2011,23.5,Percentage,
2012,24.8,Percentage,
2013,24.0,Percentage,
2014,24.8,Percentage,
2015,23.7,Percentage,
2016,22.6,Percentage,
2017,20.9,Percentage,
2018,18.6,Percentage,
2019,18.2,Percentage,
2020,21.1,Percentage,
2021,19.4,Percentage,
1991,4.7,Percentage,
1992,8.7,Percentage,
1993,7.3,Percentage,
1994,12.6,Percentage,
1995,16.6,Percentage,
1996,22.2,Percentage,
1997,26.1,Percentage,
1998,29.8,Percentage,
1999,31.8,Percentage,
2000,33.4,Percentage,
2001,32.3,Percentage,
2002,34.3,Percentage,
2003,36.0,Percentage,
2004,38.1,Percentage,
2005,40.5,Percentage,
2006,39.9,Percentage,
2007,35.8,Percentage,
2008,34.0,Percentage,
2009,34.0,Percentage,
2010,35.3,Percentage,
2011,33.4,Percentage,
2012,33.4,Percentage,
2013,31.4,Percentage,
2014,29.8,Percentage,
2015,28.8,Percentage,
2016,25.4,Percentage,
2017,22.2,Percentage,
2018,21.0,Percentage,
2019,19.4,Percentage,
2020,21.5,Percentage,
2021,20.5,Percentage,
