Year,Units,Time series,Sex,Area,Value
2011,Percentage,Severe material deprivation,Female,European Union,9.1
2012,Percentage,Severe material deprivation,Female,European Union,10.2
2013,Percentage,Severe material deprivation,Female,European Union,9.8
2014,Percentage,Severe material deprivation,Female,European Union,9.0
2015,Percentage,Severe material deprivation,Female,European Union,8.2
2016,Percentage,Severe material deprivation,Female,European Union,7.7
2017,Percentage,Severe material deprivation,Female,European Union,6.8
2018,Percentage,Severe material deprivation,Female,European Union,6.1
2019,Percentage,Severe material deprivation,Female,European Union,5.6
2020,Percentage,Severe material deprivation,Female,European Union,6.0
2021,Percentage,Severe material deprivation,Female,European Union,
2010,Percentage,Severe material deprivation,Female,European Union,
2011,Percentage,Severe material deprivation,Female,European Union,9.1
2012,Percentage,Severe material deprivation,Female,European Union,10.2
2013,Percentage,Severe material deprivation,Female,European Union,9.8
2014,Percentage,Severe material deprivation,Female,European Union,9.0
2015,Percentage,Severe material deprivation,Female,European Union,8.2
2016,Percentage,Severe material deprivation,Female,European Union,7.7
2017,Percentage,Severe material deprivation,Female,European Union,6.8
2018,Percentage,Severe material deprivation,Female,European Union,6.1
2019,Percentage,Severe material deprivation,Female,European Union,5.6
2020,Percentage,Severe material deprivation,Female,European Union,6.0
2010,Percentage,Severe material deprivation,Male,European Union,
2011,Percentage,Severe material deprivation,Male,European Union,8.6
2012,Percentage,Severe material deprivation,Male,European Union,9.7
2013,Percentage,Severe material deprivation,Male,European Union,9.4
2014,Percentage,Severe material deprivation,Male,European Union,8.8
2015,Percentage,Severe material deprivation,Male,European Union,8.0
2016,Percentage,Severe material deprivation,Male,European Union,7.3
2017,Percentage,Severe material deprivation,Male,European Union,6.4
2018,Percentage,Severe material deprivation,Male,European Union,5.7
2019,Percentage,Severe material deprivation,Male,European Union,5.1
2020,Percentage,Severe material deprivation,Male,European Union,5.8
2021,Percentage,Severe material deprivation,Male,European Union,
2010,Percentage,Severe material deprivation,Male,European Union,
2011,Percentage,Severe material deprivation,Male,European Union,8.6
2012,Percentage,Severe material deprivation,Male,European Union,9.7
2013,Percentage,Severe material deprivation,Male,European Union,9.4
2014,Percentage,Severe material deprivation,Male,European Union,8.8
2015,Percentage,Severe material deprivation,Male,European Union,8.0
2016,Percentage,Severe material deprivation,Male,European Union,7.3
2017,Percentage,Severe material deprivation,Male,European Union,6.4
2018,Percentage,Severe material deprivation,Male,European Union,5.7
2019,Percentage,Severe material deprivation,Male,European Union,5.1
2020,Percentage,Severe material deprivation,Male,European Union,5.8
2010,Percentage,Severe material deprivation,,Germany,4.5
2011,Percentage,Severe material deprivation,,Germany,5.3
2012,Percentage,Severe material deprivation,,Germany,4.9
2013,Percentage,Severe material deprivation,,Germany,5.4
2014,Percentage,Severe material deprivation,,Germany,5.0
2015,Percentage,Severe material deprivation,,Germany,4.4
2016,Percentage,Severe material deprivation,,Germany,3.7
2017,Percentage,Severe material deprivation,,Germany,3.4
2018,Percentage,Severe material deprivation,,Germany,3.1
2019,Percentage,Severe material deprivation,,Germany,2.6
2020,Percentage,Severe material deprivation,,Germany,5.6
2021,Percentage,Severe material deprivation,,Germany,
2010,Percentage,Severe material deprivation,,Germany,4.5
2011,Percentage,Severe material deprivation,,Germany,5.3
2012,Percentage,Severe material deprivation,,Germany,4.9
2013,Percentage,Severe material deprivation,,Germany,5.4
2014,Percentage,Severe material deprivation,,Germany,5.0
2015,Percentage,Severe material deprivation,,Germany,4.4
2016,Percentage,Severe material deprivation,,Germany,3.7
2017,Percentage,Severe material deprivation,,Germany,3.4
2018,Percentage,Severe material deprivation,,Germany,3.1
2019,Percentage,Severe material deprivation,,Germany,2.6
2020,Percentage,Severe material deprivation,,Germany,5.6
2010,Percentage,Severe material deprivation,Female,Germany,
2011,Percentage,Severe material deprivation,Female,Germany,5.7
2012,Percentage,Severe material deprivation,Female,Germany,5.2
2013,Percentage,Severe material deprivation,Female,Germany,5.6
2014,Percentage,Severe material deprivation,Female,Germany,5.1
2015,Percentage,Severe material deprivation,Female,Germany,4.6
2016,Percentage,Severe material deprivation,Female,Germany,4.0
2017,Percentage,Severe material deprivation,Female,Germany,3.9
2018,Percentage,Severe material deprivation,Female,Germany,3.2
2019,Percentage,Severe material deprivation,Female,Germany,2.8
2020,Percentage,Severe material deprivation,Female,Germany,5.4
2021,Percentage,Severe material deprivation,Female,Germany,
2010,Percentage,Severe material deprivation,Female,Germany,
2011,Percentage,Severe material deprivation,Female,Germany,5.7
2012,Percentage,Severe material deprivation,Female,Germany,5.2
2013,Percentage,Severe material deprivation,Female,Germany,5.6
2014,Percentage,Severe material deprivation,Female,Germany,5.1
2015,Percentage,Severe material deprivation,Female,Germany,4.6
2016,Percentage,Severe material deprivation,Female,Germany,4.0
2017,Percentage,Severe material deprivation,Female,Germany,3.9
2018,Percentage,Severe material deprivation,Female,Germany,3.2
2019,Percentage,Severe material deprivation,Female,Germany,2.8
2020,Percentage,Severe material deprivation,Female,Germany,5.4
2010,Percentage,Severe material deprivation,Male,Germany,
2011,Percentage,Severe material deprivation,Male,Germany,5.0
2012,Percentage,Severe material deprivation,Male,Germany,4.5
2013,Percentage,Severe material deprivation,Male,Germany,5.2
2014,Percentage,Severe material deprivation,Male,Germany,4.8
2015,Percentage,Severe material deprivation,Male,Germany,4.2
2016,Percentage,Severe material deprivation,Male,Germany,3.4
2017,Percentage,Severe material deprivation,Male,Germany,2.9
2018,Percentage,Severe material deprivation,Male,Germany,3.0
2019,Percentage,Severe material deprivation,Male,Germany,2.4
2020,Percentage,Severe material deprivation,Male,Germany,5.8
2021,Percentage,Severe material deprivation,Male,Germany,
2010,Percentage,Severe material deprivation,Male,Germany,
2011,Percentage,Severe material deprivation,Male,Germany,5.0
2012,Percentage,Severe material deprivation,Male,Germany,4.5
2013,Percentage,Severe material deprivation,Male,Germany,5.2
2014,Percentage,Severe material deprivation,Male,Germany,4.8
2015,Percentage,Severe material deprivation,Male,Germany,4.2
2016,Percentage,Severe material deprivation,Male,Germany,3.4
2017,Percentage,Severe material deprivation,Male,Germany,2.9
2018,Percentage,Severe material deprivation,Male,Germany,3.0
2019,Percentage,Severe material deprivation,Male,Germany,2.4
2020,Percentage,Severe material deprivation,Male,Germany,5.8
