Year,Units,Anzeigen,Zeitreihe,Region,GeoCode,Value
2010,Anzahl,Zeitreihe,Insgesamt,Mecklenburg-Vorpommern,code13,1390
2011,Anzahl,Zeitreihe,Insgesamt,Mecklenburg-Vorpommern,code13,1405
2012,Anzahl,Zeitreihe,Insgesamt,Mecklenburg-Vorpommern,code13,1442
2013,Anzahl,Zeitreihe,Insgesamt,Mecklenburg-Vorpommern,code13,1618
2014,Anzahl,Zeitreihe,Insgesamt,Mecklenburg-Vorpommern,code13,1759
2015,Anzahl,Zeitreihe,Insgesamt,Mecklenburg-Vorpommern,code13,1972
2016,Anzahl,Zeitreihe,Insgesamt,Mecklenburg-Vorpommern,code13,2303
2017,Anzahl,Zeitreihe,Insgesamt,Mecklenburg-Vorpommern,code13,2775
2018,Anzahl,Zeitreihe,Insgesamt,Mecklenburg-Vorpommern,code13,3115
2019,Anzahl,Zeitreihe,Insgesamt,Mecklenburg-Vorpommern,code13,3247
2006,Anzahl,Zeitreihe,Insgesamt,Niedersachsen,code03,10759
2007,Anzahl,Zeitreihe,Insgesamt,Niedersachsen,code03,10237
2008,Anzahl,Zeitreihe,Insgesamt,Niedersachsen,code03,10357
2009,Anzahl,Zeitreihe,Insgesamt,Niedersachsen,code03,10402
2010,Anzahl,Zeitreihe,Insgesamt,Niedersachsen,code03,10444
2011,Anzahl,Zeitreihe,Insgesamt,Niedersachsen,code03,10452
2012,Anzahl,Zeitreihe,Insgesamt,Niedersachsen,code03,11133
2013,Anzahl,Zeitreihe,Insgesamt,Niedersachsen,code03,12109
2014,Anzahl,Zeitreihe,Insgesamt,Niedersachsen,code03,13195
2015,Anzahl,Zeitreihe,Insgesamt,Niedersachsen,code03,14657
2016,Anzahl,Zeitreihe,Insgesamt,Niedersachsen,code03,15932
2017,Anzahl,Zeitreihe,Insgesamt,Niedersachsen,code03,17702
2018,Anzahl,Zeitreihe,Insgesamt,Niedersachsen,code03,19333
2019,Anzahl,Zeitreihe,Insgesamt,Niedersachsen,code03,20687
2006,Anzahl,Zeitreihe,Insgesamt,Nordrhein-Westfalen,code05,38324
2007,Anzahl,Zeitreihe,Insgesamt,Nordrhein-Westfalen,code05,35303
2008,Anzahl,Zeitreihe,Insgesamt,Nordrhein-Westfalen,code05,36388
2009,Anzahl,Zeitreihe,Insgesamt,Nordrhein-Westfalen,code05,37820
2010,Anzahl,Zeitreihe,Insgesamt,Nordrhein-Westfalen,code05,38968
2011,Anzahl,Zeitreihe,Insgesamt,Nordrhein-Westfalen,code05,41572
2012,Anzahl,Zeitreihe,Insgesamt,Nordrhein-Westfalen,code05,44860
2013,Anzahl,Zeitreihe,Insgesamt,Nordrhein-Westfalen,code05,48945
2014,Anzahl,Zeitreihe,Insgesamt,Nordrhein-Westfalen,code05,53164
2015,Anzahl,Zeitreihe,Insgesamt,Nordrhein-Westfalen,code05,56422
2016,Anzahl,Zeitreihe,Insgesamt,Nordrhein-Westfalen,code05,60688
2017,Anzahl,Zeitreihe,Insgesamt,Nordrhein-Westfalen,code05,63089
2018,Anzahl,Zeitreihe,Insgesamt,Nordrhein-Westfalen,code05,67424
2019,Anzahl,Zeitreihe,Insgesamt,Nordrhein-Westfalen,code05,72166
2006,Anzahl,Zeitreihe,Insgesamt,Rheinland-Pfalz,code07,6488
2007,Anzahl,Zeitreihe,Insgesamt,Rheinland-Pfalz,code07,6993
2008,Anzahl,Zeitreihe,Insgesamt,Rheinland-Pfalz,code07,7166
2009,Anzahl,Zeitreihe,Insgesamt,Rheinland-Pfalz,code07,6992
2010,Anzahl,Zeitreihe,Insgesamt,Rheinland-Pfalz,code07,7023
2011,Anzahl,Zeitreihe,Insgesamt,Rheinland-Pfalz,code07,6748
2012,Anzahl,Zeitreihe,Insgesamt,Rheinland-Pfalz,code07,6820
2013,Anzahl,Zeitreihe,Insgesamt,Rheinland-Pfalz,code07,6951
2014,Anzahl,Zeitreihe,Insgesamt,Rheinland-Pfalz,code07,7214
2015,Anzahl,Zeitreihe,Insgesamt,Rheinland-Pfalz,code07,7575
2016,Anzahl,Zeitreihe,Insgesamt,Rheinland-Pfalz,code07,8177
2017,Anzahl,Zeitreihe,Insgesamt,Rheinland-Pfalz,code07,8928
2018,Anzahl,Zeitreihe,Insgesamt,Rheinland-Pfalz,code07,10194
2019,Anzahl,Zeitreihe,Insgesamt,Rheinland-Pfalz,code07,11069
2006,Anzahl,Zeitreihe,Insgesamt,Saarland,code10,1572
2007,Anzahl,Zeitreihe,Insgesamt,Saarland,code10,1573
2008,Anzahl,Zeitreihe,Insgesamt,Saarland,code10,1597
2009,Anzahl,Zeitreihe,Insgesamt,Saarland,code10,1708
2010,Anzahl,Zeitreihe,Insgesamt,Saarland,code10,1959
2011,Anzahl,Zeitreihe,Insgesamt,Saarland,code10,2085
2012,Anzahl,Zeitreihe,Insgesamt,Saarland,code10,2164
2013,Anzahl,Zeitreihe,Insgesamt,Saarland,code10,2246
2014,Anzahl,Zeitreihe,Insgesamt,Saarland,code10,2331
2015,Anzahl,Zeitreihe,Insgesamt,Saarland,code10,2413
2016,Anzahl,Zeitreihe,Insgesamt,Saarland,code10,2419
2017,Anzahl,Zeitreihe,Insgesamt,Saarland,code10,2481
2018,Anzahl,Zeitreihe,Insgesamt,Saarland,code10,2725
2019,Anzahl,Zeitreihe,Insgesamt,Saarland,code10,2961
2006,Anzahl,Zeitreihe,Insgesamt,Sachsen,code14,4963
2007,Anzahl,Zeitreihe,Insgesamt,Sachsen,code14,5139
2008,Anzahl,Zeitreihe,Insgesamt,Sachsen,code14,5053
2009,Anzahl,Zeitreihe,Insgesamt,Sachsen,code14,5332
2010,Anzahl,Zeitreihe,Insgesamt,Sachsen,code14,5542
2011,Anzahl,Zeitreihe,Insgesamt,Sachsen,code14,5966
2012,Anzahl,Zeitreihe,Insgesamt,Sachsen,code14,6748
2013,Anzahl,Zeitreihe,Insgesamt,Sachsen,code14,7873
2014,Anzahl,Zeitreihe,Insgesamt,Sachsen,code14,9023
2015,Anzahl,Zeitreihe,Insgesamt,Sachsen,code14,10278
2016,Anzahl,Zeitreihe,Insgesamt,Sachsen,code14,10829
2017,Anzahl,Zeitreihe,Insgesamt,Sachsen,code14,11340
2018,Anzahl,Zeitreihe,Insgesamt,Sachsen,code14,12575
2019,Anzahl,Zeitreihe,Insgesamt,Sachsen,code14,13267
2006,Anzahl,Zeitreihe,Insgesamt,Sachsen-Anhalt,code15,3198
2007,Anzahl,Zeitreihe,Insgesamt,Sachsen-Anhalt,code15,3247
2008,Anzahl,Zeitreihe,Insgesamt,Sachsen-Anhalt,code15,3251
2009,Anzahl,Zeitreihe,Insgesamt,Sachsen-Anhalt,code15,3463
2010,Anzahl,Zeitreihe,Insgesamt,Sachsen-Anhalt,code15,3712
2011,Anzahl,Zeitreihe,Insgesamt,Sachsen-Anhalt,code15,4041
2012,Anzahl,Zeitreihe,Insgesamt,Sachsen-Anhalt,code15,4444
2013,Anzahl,Zeitreihe,Insgesamt,Sachsen-Anhalt,code15,4705
2014,Anzahl,Zeitreihe,Insgesamt,Sachsen-Anhalt,code15,5080
2015,Anzahl,Zeitreihe,Insgesamt,Sachsen-Anhalt,code15,5582
2016,Anzahl,Zeitreihe,Insgesamt,Sachsen-Anhalt,code15,5650
2017,Anzahl,Zeitreihe,Insgesamt,Sachsen-Anhalt,code15,6091
2018,Anzahl,Zeitreihe,Insgesamt,Sachsen-Anhalt,code15,6641
2019,Anzahl,Zeitreihe,Insgesamt,Sachsen-Anhalt,code15,7321
2006,Anzahl,Zeitreihe,Insgesamt,Schleswig-Holstein,code01,2406
2007,Anzahl,Zeitreihe,Insgesamt,Schleswig-Holstein,code01,2416
2008,Anzahl,Zeitreihe,Insgesamt,Schleswig-Holstein,code01,2436
2009,Anzahl,Zeitreihe,Insgesamt,Schleswig-Holstein,code01,2523
2010,Anzahl,Zeitreihe,Insgesamt,Schleswig-Holstein,code01,2569
2011,Anzahl,Zeitreihe,Insgesamt,Schleswig-Holstein,code01,2633
2012,Anzahl,Zeitreihe,Insgesamt,Schleswig-Holstein,code01,2764
2013,Anzahl,Zeitreihe,Insgesamt,Schleswig-Holstein,code01,2830
2014,Anzahl,Zeitreihe,Insgesamt,Schleswig-Holstein,code01,2998
2015,Anzahl,Zeitreihe,Insgesamt,Schleswig-Holstein,code01,3155
2016,Anzahl,Zeitreihe,Insgesamt,Schleswig-Holstein,code01,3586
2017,Anzahl,Zeitreihe,Insgesamt,Schleswig-Holstein,code01,3667
2018,Anzahl,Zeitreihe,Insgesamt,Schleswig-Holstein,code01,4002
2019,Anzahl,Zeitreihe,Insgesamt,Schleswig-Holstein,code01,4276
2006,Anzahl,Zeitreihe,Insgesamt,Thüringen,code16,1937
2007,Anzahl,Zeitreihe,Insgesamt,Thüringen,code16,2176
2008,Anzahl,Zeitreihe,Insgesamt,Thüringen,code16,2192
2009,Anzahl,Zeitreihe,Insgesamt,Thüringen,code16,2543
2010,Anzahl,Zeitreihe,Insgesamt,Thüringen,code16,2909
2011,Anzahl,Zeitreihe,Insgesamt,Thüringen,code16,3012
2012,Anzahl,Zeitreihe,Insgesamt,Thüringen,code16,3412
2013,Anzahl,Zeitreihe,Insgesamt,Thüringen,code16,4000
2014,Anzahl,Zeitreihe,Insgesamt,Thüringen,code16,4508
2015,Anzahl,Zeitreihe,Insgesamt,Thüringen,code16,4948
2016,Anzahl,Zeitreihe,Insgesamt,Thüringen,code16,5180
2017,Anzahl,Zeitreihe,Insgesamt,Thüringen,code16,5623
2018,Anzahl,Zeitreihe,Insgesamt,Thüringen,code16,6397
2019,Anzahl,Zeitreihe,Insgesamt,Thüringen,code16,7700
2005,Anzahl,Zeitreihe,Studierende aus LDCs,,,4960
2006,Anzahl,Zeitreihe,Studierende aus LDCs,,,5012
2007,Anzahl,Zeitreihe,Studierende aus LDCs,,,4933
2008,Anzahl,Zeitreihe,Studierende aus LDCs,,,5331
2009,Anzahl,Zeitreihe,Studierende aus LDCs,,,5738
2010,Anzahl,Zeitreihe,Studierende aus LDCs,,,6300
2011,Anzahl,Zeitreihe,Studierende aus LDCs,,,6925
2012,Anzahl,Zeitreihe,Studierende aus LDCs,,,7577
2013,Anzahl,Zeitreihe,Studierende aus LDCs,,,8348
2014,Anzahl,Zeitreihe,Studierende aus LDCs,,,9244
2015,Anzahl,Zeitreihe,Studierende aus LDCs,,,9746
2016,Anzahl,Zeitreihe,Studierende aus LDCs,,,10119
2017,Anzahl,Zeitreihe,Studierende aus LDCs,,,10576
2018,Anzahl,Zeitreihe,Studierende aus LDCs,,,11525
2019,Anzahl,Zeitreihe,Studierende aus LDCs,,,13067
2005,Anzahl,Zeitreihe,Studierende aus LDCs,Baden-Württemberg,,502
2006,Anzahl,Zeitreihe,Studierende aus LDCs,Baden-Württemberg,,524
2007,Anzahl,Zeitreihe,Studierende aus LDCs,Baden-Württemberg,,532
2008,Anzahl,Zeitreihe,Studierende aus LDCs,Baden-Württemberg,,559
2009,Anzahl,Zeitreihe,Studierende aus LDCs,Baden-Württemberg,,598
2010,Anzahl,Zeitreihe,Studierende aus LDCs,Baden-Württemberg,,669
2011,Anzahl,Zeitreihe,Studierende aus LDCs,Baden-Württemberg,,704
2012,Anzahl,Zeitreihe,Studierende aus LDCs,Baden-Württemberg,,808
2013,Anzahl,Zeitreihe,Studierende aus LDCs,Baden-Württemberg,,895
2014,Anzahl,Zeitreihe,Studierende aus LDCs,Baden-Württemberg,,957
2015,Anzahl,Zeitreihe,Studierende aus LDCs,Baden-Württemberg,,939
2016,Anzahl,Zeitreihe,Studierende aus LDCs,Baden-Württemberg,,937
2017,Anzahl,Zeitreihe,Studierende aus LDCs,Baden-Württemberg,,857
2018,Anzahl,Zeitreihe,Studierende aus LDCs,Baden-Württemberg,,833
2019,Anzahl,Zeitreihe,Studierende aus LDCs,Baden-Württemberg,,794
2005,Anzahl,Zeitreihe,Studierende aus LDCs,Bayern,,320
2006,Anzahl,Zeitreihe,Studierende aus LDCs,Bayern,,359
2007,Anzahl,Zeitreihe,Studierende aus LDCs,Bayern,,352
2008,Anzahl,Zeitreihe,Studierende aus LDCs,Bayern,,402
2009,Anzahl,Zeitreihe,Studierende aus LDCs,Bayern,,436
2010,Anzahl,Zeitreihe,Studierende aus LDCs,Bayern,,476
2011,Anzahl,Zeitreihe,Studierende aus LDCs,Bayern,,568
2012,Anzahl,Zeitreihe,Studierende aus LDCs,Bayern,,624
2013,Anzahl,Zeitreihe,Studierende aus LDCs,Bayern,,716
2014,Anzahl,Zeitreihe,Studierende aus LDCs,Bayern,,812
2015,Anzahl,Zeitreihe,Studierende aus LDCs,Bayern,,859
2016,Anzahl,Zeitreihe,Studierende aus LDCs,Bayern,,884
2017,Anzahl,Zeitreihe,Studierende aus LDCs,Bayern,,1036
2018,Anzahl,Zeitreihe,Studierende aus LDCs,Bayern,,1170
2019,Anzahl,Zeitreihe,Studierende aus LDCs,Bayern,,1347
2005,Anzahl,Zeitreihe,Studierende aus LDCs,Berlin,,362
2006,Anzahl,Zeitreihe,Studierende aus LDCs,Berlin,,370
2007,Anzahl,Zeitreihe,Studierende aus LDCs,Berlin,,337
2008,Anzahl,Zeitreihe,Studierende aus LDCs,Berlin,,404
2009,Anzahl,Zeitreihe,Studierende aus LDCs,Berlin,,441
2010,Anzahl,Zeitreihe,Studierende aus LDCs,Berlin,,505
2011,Anzahl,Zeitreihe,Studierende aus LDCs,Berlin,,570
2012,Anzahl,Zeitreihe,Studierende aus LDCs,Berlin,,582
2013,Anzahl,Zeitreihe,Studierende aus LDCs,Berlin,,634
2014,Anzahl,Zeitreihe,Studierende aus LDCs,Berlin,,726
2015,Anzahl,Zeitreihe,Studierende aus LDCs,Berlin,,751
2016,Anzahl,Zeitreihe,Studierende aus LDCs,Berlin,,755
2017,Anzahl,Zeitreihe,Studierende aus LDCs,Berlin,,852
2018,Anzahl,Zeitreihe,Studierende aus LDCs,Berlin,,896
2019,Anzahl,Zeitreihe,Studierende aus LDCs,Berlin,,1002
2005,Anzahl,Zeitreihe,Studierende aus LDCs,Brandenburg,,124
2006,Anzahl,Zeitreihe,Studierende aus LDCs,Brandenburg,,121
2007,Anzahl,Zeitreihe,Studierende aus LDCs,Brandenburg,,123
2008,Anzahl,Zeitreihe,Studierende aus LDCs,Brandenburg,,122
2009,Anzahl,Zeitreihe,Studierende aus LDCs,Brandenburg,,125
2010,Anzahl,Zeitreihe,Studierende aus LDCs,Brandenburg,,148
2011,Anzahl,Zeitreihe,Studierende aus LDCs,Brandenburg,,154
2012,Anzahl,Zeitreihe,Studierende aus LDCs,Brandenburg,,193
2013,Anzahl,Zeitreihe,Studierende aus LDCs,Brandenburg,,226
2014,Anzahl,Zeitreihe,Studierende aus LDCs,Brandenburg,,277
2015,Anzahl,Zeitreihe,Studierende aus LDCs,Brandenburg,,321
2016,Anzahl,Zeitreihe,Studierende aus LDCs,Brandenburg,,311
2017,Anzahl,Zeitreihe,Studierende aus LDCs,Brandenburg,,356
2018,Anzahl,Zeitreihe,Studierende aus LDCs,Brandenburg,,400
2019,Anzahl,Zeitreihe,Studierende aus LDCs,Brandenburg,,495
2005,Anzahl,Zeitreihe,Studierende aus LDCs,Bremen,,188
2006,Anzahl,Zeitreihe,Studierende aus LDCs,Bremen,,192
2007,Anzahl,Zeitreihe,Studierende aus LDCs,Bremen,,206
2008,Anzahl,Zeitreihe,Studierende aus LDCs,Bremen,,194
2009,Anzahl,Zeitreihe,Studierende aus LDCs,Bremen,,194
2010,Anzahl,Zeitreihe,Studierende aus LDCs,Bremen,,203
2011,Anzahl,Zeitreihe,Studierende aus LDCs,Bremen,,227
2012,Anzahl,Zeitreihe,Studierende aus LDCs,Bremen,,255
2013,Anzahl,Zeitreihe,Studierende aus LDCs,Bremen,,261
2014,Anzahl,Zeitreihe,Studierende aus LDCs,Bremen,,235
2015,Anzahl,Zeitreihe,Studierende aus LDCs,Bremen,,262
2016,Anzahl,Zeitreihe,Studierende aus LDCs,Bremen,,277
2017,Anzahl,Zeitreihe,Studierende aus LDCs,Bremen,,312
2018,Anzahl,Zeitreihe,Studierende aus LDCs,Bremen,,337
2019,Anzahl,Zeitreihe,Studierende aus LDCs,Bremen,,395
2005,Anzahl,Zeitreihe,Studierende aus LDCs,Hamburg,,292
2006,Anzahl,Zeitreihe,Studierende aus LDCs,Hamburg,,281
2007,Anzahl,Zeitreihe,Studierende aus LDCs,Hamburg,,260
2008,Anzahl,Zeitreihe,Studierende aus LDCs,Hamburg,,285
2009,Anzahl,Zeitreihe,Studierende aus LDCs,Hamburg,,317
2010,Anzahl,Zeitreihe,Studierende aus LDCs,Hamburg,,331
2011,Anzahl,Zeitreihe,Studierende aus LDCs,Hamburg,,338
2012,Anzahl,Zeitreihe,Studierende aus LDCs,Hamburg,,342
2013,Anzahl,Zeitreihe,Studierende aus LDCs,Hamburg,,369
2014,Anzahl,Zeitreihe,Studierende aus LDCs,Hamburg,,383
2015,Anzahl,Zeitreihe,Studierende aus LDCs,Hamburg,,409
2016,Anzahl,Zeitreihe,Studierende aus LDCs,Hamburg,,421
2017,Anzahl,Zeitreihe,Studierende aus LDCs,Hamburg,,442
2018,Anzahl,Zeitreihe,Studierende aus LDCs,Hamburg,,495
2019,Anzahl,Zeitreihe,Studierende aus LDCs,Hamburg,,573
2005,Anzahl,Zeitreihe,Studierende aus LDCs,Hessen,,728
2006,Anzahl,Zeitreihe,Studierende aus LDCs,Hessen,,731
2007,Anzahl,Zeitreihe,Studierende aus LDCs,Hessen,,665
2008,Anzahl,Zeitreihe,Studierende aus LDCs,Hessen,,766
2009,Anzahl,Zeitreihe,Studierende aus LDCs,Hessen,,843
2010,Anzahl,Zeitreihe,Studierende aus LDCs,Hessen,,904
2011,Anzahl,Zeitreihe,Studierende aus LDCs,Hessen,,968
2012,Anzahl,Zeitreihe,Studierende aus LDCs,Hessen,,1062
2013,Anzahl,Zeitreihe,Studierende aus LDCs,Hessen,,1158
2014,Anzahl,Zeitreihe,Studierende aus LDCs,Hessen,,1263
2015,Anzahl,Zeitreihe,Studierende aus LDCs,Hessen,,1345
2016,Anzahl,Zeitreihe,Studierende aus LDCs,Hessen,,1352
2017,Anzahl,Zeitreihe,Studierende aus LDCs,Hessen,,1385
2018,Anzahl,Zeitreihe,Studierende aus LDCs,Hessen,,1481
2019,Anzahl,Zeitreihe,Studierende aus LDCs,Hessen,,1649
2005,Anzahl,Zeitreihe,Studierende aus LDCs,Mecklenburg-Vorpommern,,61
2006,Anzahl,Zeitreihe,Studierende aus LDCs,Mecklenburg-Vorpommern,,66
2007,Anzahl,Zeitreihe,Studierende aus LDCs,Mecklenburg-Vorpommern,,68
2008,Anzahl,Zeitreihe,Studierende aus LDCs,Mecklenburg-Vorpommern,,69
2009,Anzahl,Zeitreihe,Studierende aus LDCs,Mecklenburg-Vorpommern,,79
2010,Anzahl,Zeitreihe,Studierende aus LDCs,Mecklenburg-Vorpommern,,86
2011,Anzahl,Zeitreihe,Studierende aus LDCs,Mecklenburg-Vorpommern,,103
2012,Anzahl,Zeitreihe,Studierende aus LDCs,Mecklenburg-Vorpommern,,104
2013,Anzahl,Zeitreihe,Studierende aus LDCs,Mecklenburg-Vorpommern,,118
2014,Anzahl,Zeitreihe,Studierende aus LDCs,Mecklenburg-Vorpommern,,133
2015,Anzahl,Zeitreihe,Studierende aus LDCs,Mecklenburg-Vorpommern,,123
