Year,Units,Series,Bundesland,GeoCode,Value
2021,Anzahl,EMAS-Organisationsstandorte,,,667.0
2005,Anzahl,EMAS-Organisationsstandorte,,,
2006,Anzahl,EMAS-Organisationsstandorte,,,
2007,Anzahl,EMAS-Organisationsstandorte,,,
2008,Anzahl,EMAS-Organisationsstandorte,,,
2009,Anzahl,EMAS-Organisationsstandorte,,,
2010,Anzahl,EMAS-Organisationsstandorte,,,385.0
2011,Anzahl,EMAS-Organisationsstandorte,,,391.0
2012,Anzahl,EMAS-Organisationsstandorte,,,388.0
2013,Anzahl,EMAS-Organisationsstandorte,,,391.0
2014,Anzahl,EMAS-Organisationsstandorte,,,421.0
2015,Anzahl,EMAS-Organisationsstandorte,,,466.0
2016,Anzahl,EMAS-Organisationsstandorte,,,475.0
2017,Anzahl,EMAS-Organisationsstandorte,,,524.0
2018,Anzahl,EMAS-Organisationsstandorte,,,502.0
2019,Anzahl,EMAS-Organisationsstandorte,,,478.0
2020,Anzahl,EMAS-Organisationsstandorte,,,502.0
2021,Anzahl,EMAS-Organisationsstandorte,,,638.0
2005,Anzahl,EMAS-Organisationsstandorte,,,
2006,Anzahl,EMAS-Organisationsstandorte,,,
2007,Anzahl,EMAS-Organisationsstandorte,,,
2008,Anzahl,EMAS-Organisationsstandorte,,,
2009,Anzahl,EMAS-Organisationsstandorte,,,
2010,Anzahl,EMAS-Organisationsstandorte,,,53.0
2011,Anzahl,EMAS-Organisationsstandorte,,,53.0
2012,Anzahl,EMAS-Organisationsstandorte,,,48.0
2013,Anzahl,EMAS-Organisationsstandorte,,,56.0
2014,Anzahl,EMAS-Organisationsstandorte,,,50.0
2015,Anzahl,EMAS-Organisationsstandorte,,,52.0
2016,Anzahl,EMAS-Organisationsstandorte,,,57.0
2017,Anzahl,EMAS-Organisationsstandorte,,,61.0
2018,Anzahl,EMAS-Organisationsstandorte,,,63.0
2019,Anzahl,EMAS-Organisationsstandorte,,,65.0
2020,Anzahl,EMAS-Organisationsstandorte,,,68.0
2021,Anzahl,EMAS-Organisationsstandorte,,,66.0
2005,Anzahl,EMAS-Organisationsstandorte,,,
2006,Anzahl,EMAS-Organisationsstandorte,,,
2007,Anzahl,EMAS-Organisationsstandorte,,,
2008,Anzahl,EMAS-Organisationsstandorte,,,
2009,Anzahl,EMAS-Organisationsstandorte,,,
2010,Anzahl,EMAS-Organisationsstandorte,,,52.0
2011,Anzahl,EMAS-Organisationsstandorte,,,47.0
2012,Anzahl,EMAS-Organisationsstandorte,,,36.0
2013,Anzahl,EMAS-Organisationsstandorte,,,40.0
2014,Anzahl,EMAS-Organisationsstandorte,,,39.0
2015,Anzahl,EMAS-Organisationsstandorte,,,39.0
2016,Anzahl,EMAS-Organisationsstandorte,,,47.0
2017,Anzahl,EMAS-Organisationsstandorte,,,60.0
2018,Anzahl,EMAS-Organisationsstandorte,,,61.0
2019,Anzahl,EMAS-Organisationsstandorte,,,64.0
2020,Anzahl,EMAS-Organisationsstandorte,,,64.0
2021,Anzahl,EMAS-Organisationsstandorte,,,57.0
2005,Anzahl,EMAS-Organisationsstandorte,,,
2006,Anzahl,EMAS-Organisationsstandorte,,,
2007,Anzahl,EMAS-Organisationsstandorte,,,
2008,Anzahl,EMAS-Organisationsstandorte,,,
2009,Anzahl,EMAS-Organisationsstandorte,,,
2010,Anzahl,EMAS-Organisationsstandorte,,,26.0
2011,Anzahl,EMAS-Organisationsstandorte,,,26.0
2012,Anzahl,EMAS-Organisationsstandorte,,,28.0
2013,Anzahl,EMAS-Organisationsstandorte,,,29.0
2014,Anzahl,EMAS-Organisationsstandorte,,,28.0
2015,Anzahl,EMAS-Organisationsstandorte,,,30.0
2016,Anzahl,EMAS-Organisationsstandorte,,,29.0
2017,Anzahl,EMAS-Organisationsstandorte,,,30.0
2018,Anzahl,EMAS-Organisationsstandorte,,,31.0
2019,Anzahl,EMAS-Organisationsstandorte,,,31.0
2020,Anzahl,EMAS-Organisationsstandorte,,,30.0
2021,Anzahl,EMAS-Organisationsstandorte,,,25.0
2005,Anzahl,EMAS-Organisationsstandorte,,,
2006,Anzahl,EMAS-Organisationsstandorte,,,
2007,Anzahl,EMAS-Organisationsstandorte,,,
2008,Anzahl,EMAS-Organisationsstandorte,,,
2009,Anzahl,EMAS-Organisationsstandorte,,,
2010,Anzahl,EMAS-Organisationsstandorte,,,37.0
2011,Anzahl,EMAS-Organisationsstandorte,,,36.0
2012,Anzahl,EMAS-Organisationsstandorte,,,33.0
2013,Anzahl,EMAS-Organisationsstandorte,,,34.0
2014,Anzahl,EMAS-Organisationsstandorte,,,38.0
2015,Anzahl,EMAS-Organisationsstandorte,,,37.0
2016,Anzahl,EMAS-Organisationsstandorte,,,37.0
2017,Anzahl,EMAS-Organisationsstandorte,,,51.0
2018,Anzahl,EMAS-Organisationsstandorte,,,58.0
2019,Anzahl,EMAS-Organisationsstandorte,,,58.0
2020,Anzahl,EMAS-Organisationsstandorte,,,59.0
2021,Anzahl,EMAS-Organisationsstandorte,,,69.0
2005,Anzahl,EMAS-Organisationsstandorte,,,
2006,Anzahl,EMAS-Organisationsstandorte,,,
2007,Anzahl,EMAS-Organisationsstandorte,,,
2008,Anzahl,EMAS-Organisationsstandorte,,,
2009,Anzahl,EMAS-Organisationsstandorte,,,
2010,Anzahl,EMAS-Organisationsstandorte,,,138.0
2011,Anzahl,EMAS-Organisationsstandorte,,,139.0
2012,Anzahl,EMAS-Organisationsstandorte,,,140.0
2013,Anzahl,EMAS-Organisationsstandorte,,,132.0
2014,Anzahl,EMAS-Organisationsstandorte,,,134.0
2015,Anzahl,EMAS-Organisationsstandorte,,,144.0
2016,Anzahl,EMAS-Organisationsstandorte,,,159.0
2017,Anzahl,EMAS-Organisationsstandorte,,,159.0
2018,Anzahl,EMAS-Organisationsstandorte,,,142.0
2019,Anzahl,EMAS-Organisationsstandorte,,,126.0
2020,Anzahl,EMAS-Organisationsstandorte,,,132.0
2021,Anzahl,EMAS-Organisationsstandorte,,,157.0
2005,Anzahl,EMAS-Organisationsstandorte,,,
2006,Anzahl,EMAS-Organisationsstandorte,,,
2007,Anzahl,EMAS-Organisationsstandorte,,,
2008,Anzahl,EMAS-Organisationsstandorte,,,
2009,Anzahl,EMAS-Organisationsstandorte,,,
2010,Anzahl,EMAS-Organisationsstandorte,,,10.0
2011,Anzahl,EMAS-Organisationsstandorte,,,10.0
2012,Anzahl,EMAS-Organisationsstandorte,,,10.0
2013,Anzahl,EMAS-Organisationsstandorte,,,10.0
2014,Anzahl,EMAS-Organisationsstandorte,,,10.0
2015,Anzahl,EMAS-Organisationsstandorte,,,7.0
2016,Anzahl,EMAS-Organisationsstandorte,,,8.0
2017,Anzahl,EMAS-Organisationsstandorte,,,8.0
2018,Anzahl,EMAS-Organisationsstandorte,,,6.0
2019,Anzahl,EMAS-Organisationsstandorte,,,3.0
2020,Anzahl,EMAS-Organisationsstandorte,,,3.0
2021,Anzahl,EMAS-Organisationsstandorte,,,1.0
2005,Anzahl,EMAS-Organisationsstandorte,,,
2006,Anzahl,EMAS-Organisationsstandorte,,,
2007,Anzahl,EMAS-Organisationsstandorte,,,
2008,Anzahl,EMAS-Organisationsstandorte,,,
2009,Anzahl,EMAS-Organisationsstandorte,,,
2010,Anzahl,EMAS-Organisationsstandorte,,,91.0
2011,Anzahl,EMAS-Organisationsstandorte,,,95.0
2012,Anzahl,EMAS-Organisationsstandorte,,,82.0
2013,Anzahl,EMAS-Organisationsstandorte,,,82.0
2014,Anzahl,EMAS-Organisationsstandorte,,,84.0
2015,Anzahl,EMAS-Organisationsstandorte,,,85.0
2016,Anzahl,EMAS-Organisationsstandorte,,,80.0
2017,Anzahl,EMAS-Organisationsstandorte,,,93.0
2018,Anzahl,EMAS-Organisationsstandorte,,,88.0
2019,Anzahl,EMAS-Organisationsstandorte,,,87.0
2020,Anzahl,EMAS-Organisationsstandorte,,,85.0
2021,Anzahl,EMAS-Organisationsstandorte,,,84.0
2005,Anzahl,EMAS-Organisationsstandorte,,,
2006,Anzahl,EMAS-Organisationsstandorte,,,
2007,Anzahl,EMAS-Organisationsstandorte,,,
2008,Anzahl,EMAS-Organisationsstandorte,,,
2009,Anzahl,EMAS-Organisationsstandorte,,,
2010,Anzahl,EMAS-Organisationsstandorte,,,262.0
2011,Anzahl,EMAS-Organisationsstandorte,,,263.0
2012,Anzahl,EMAS-Organisationsstandorte,,,232.0
2013,Anzahl,EMAS-Organisationsstandorte,,,231.0
2014,Anzahl,EMAS-Organisationsstandorte,,,222.0
2015,Anzahl,EMAS-Organisationsstandorte,,,229.0
2016,Anzahl,EMAS-Organisationsstandorte,,,236.0
2017,Anzahl,EMAS-Organisationsstandorte,,,232.0
2018,Anzahl,EMAS-Organisationsstandorte,,,229.0
2019,Anzahl,EMAS-Organisationsstandorte,,,236.0
2020,Anzahl,EMAS-Organisationsstandorte,,,232.0
2021,Anzahl,EMAS-Organisationsstandorte,,,220.0
2005,Anzahl,EMAS-Organisationsstandorte,,,
2006,Anzahl,EMAS-Organisationsstandorte,,,
2007,Anzahl,EMAS-Organisationsstandorte,,,
2008,Anzahl,EMAS-Organisationsstandorte,,,
2009,Anzahl,EMAS-Organisationsstandorte,,,
2010,Anzahl,EMAS-Organisationsstandorte,,,53.0
2011,Anzahl,EMAS-Organisationsstandorte,,,48.0
2012,Anzahl,EMAS-Organisationsstandorte,,,49.0
2013,Anzahl,EMAS-Organisationsstandorte,,,53.0
2014,Anzahl,EMAS-Organisationsstandorte,,,51.0
2015,Anzahl,EMAS-Organisationsstandorte,,,45.0
2016,Anzahl,EMAS-Organisationsstandorte,,,51.0
2017,Anzahl,EMAS-Organisationsstandorte,,,53.0
2018,Anzahl,EMAS-Organisationsstandorte,,,54.0
2019,Anzahl,EMAS-Organisationsstandorte,,,66.0
2020,Anzahl,EMAS-Organisationsstandorte,,,50.0
2021,Anzahl,EMAS-Organisationsstandorte,,,53.0
2005,Anzahl,EMAS-Organisationsstandorte,,,
2006,Anzahl,EMAS-Organisationsstandorte,,,
2007,Anzahl,EMAS-Organisationsstandorte,,,
2008,Anzahl,EMAS-Organisationsstandorte,,,
2009,Anzahl,EMAS-Organisationsstandorte,,,
2010,Anzahl,EMAS-Organisationsstandorte,,,60.0
2011,Anzahl,EMAS-Organisationsstandorte,,,55.0
2012,Anzahl,EMAS-Organisationsstandorte,,,55.0
2013,Anzahl,EMAS-Organisationsstandorte,,,57.0
2014,Anzahl,EMAS-Organisationsstandorte,,,63.0
2015,Anzahl,EMAS-Organisationsstandorte,,,61.0
2016,Anzahl,EMAS-Organisationsstandorte,,,62.0
2017,Anzahl,EMAS-Organisationsstandorte,,,64.0
2018,Anzahl,EMAS-Organisationsstandorte,,,59.0
2019,Anzahl,EMAS-Organisationsstandorte,,,59.0
2020,Anzahl,EMAS-Organisationsstandorte,,,60.0
2021,Anzahl,EMAS-Organisationsstandorte,,,55.0
2005,Anzahl,EMAS-Organisationsstandorte,,,
2006,Anzahl,EMAS-Organisationsstandorte,,,
2007,Anzahl,EMAS-Organisationsstandorte,,,
2008,Anzahl,EMAS-Organisationsstandorte,,,
2009,Anzahl,EMAS-Organisationsstandorte,,,
2010,Anzahl,EMAS-Organisationsstandorte,,,63.0
2011,Anzahl,EMAS-Organisationsstandorte,,,62.0
2012,Anzahl,EMAS-Organisationsstandorte,,,66.0
2013,Anzahl,EMAS-Organisationsstandorte,,,63.0
2014,Anzahl,EMAS-Organisationsstandorte,,,65.0
2015,Anzahl,EMAS-Organisationsstandorte,,,64.0
2016,Anzahl,EMAS-Organisationsstandorte,,,74.0
2017,Anzahl,EMAS-Organisationsstandorte,,,89.0
2018,Anzahl,EMAS-Organisationsstandorte,,,112.0
2019,Anzahl,EMAS-Organisationsstandorte,,,113.0
2020,Anzahl,EMAS-Organisationsstandorte,,,106.0
2021,Anzahl,EMAS-Organisationsstandorte,,,86.0
2005,Anzahl,EMAS-Organisationsstandorte,,,
2006,Anzahl,EMAS-Organisationsstandorte,,,
2007,Anzahl,EMAS-Organisationsstandorte,,,
2008,Anzahl,EMAS-Organisationsstandorte,,,
2009,Anzahl,EMAS-Organisationsstandorte,,,
2010,Anzahl,EMAS-Organisationsstandorte,,,53.0
2011,Anzahl,EMAS-Organisationsstandorte,,,50.0
2012,Anzahl,EMAS-Organisationsstandorte,,,40.0
2013,Anzahl,EMAS-Organisationsstandorte,,,41.0
2014,Anzahl,EMAS-Organisationsstandorte,,,39.0
2015,Anzahl,EMAS-Organisationsstandorte,,,39.0
2016,Anzahl,EMAS-Organisationsstandorte,,,44.0
2017,Anzahl,EMAS-Organisationsstandorte,,,44.0
2018,Anzahl,EMAS-Organisationsstandorte,,,45.0
2019,Anzahl,EMAS-Organisationsstandorte,,,66.0
2020,Anzahl,EMAS-Organisationsstandorte,,,65.0
2021,Anzahl,EMAS-Organisationsstandorte,,,65.0
2005,Anzahl,EMAS-Organisationsstandorte,,,
2006,Anzahl,EMAS-Organisationsstandorte,,,
2007,Anzahl,EMAS-Organisationsstandorte,,,
2008,Anzahl,EMAS-Organisationsstandorte,,,
2009,Anzahl,EMAS-Organisationsstandorte,,,
2010,Anzahl,EMAS-Organisationsstandorte,,,59.0
2011,Anzahl,EMAS-Organisationsstandorte,,,59.0
2012,Anzahl,EMAS-Organisationsstandorte,,,45.0
2013,Anzahl,EMAS-Organisationsstandorte,,,43.0
2014,Anzahl,EMAS-Organisationsstandorte,,,41.0
2015,Anzahl,EMAS-Organisationsstandorte,,,32.0
2016,Anzahl,EMAS-Organisationsstandorte,,,33.0
2017,Anzahl,EMAS-Organisationsstandorte,,,45.0
2018,Anzahl,EMAS-Organisationsstandorte,,,39.0
2019,Anzahl,EMAS-Organisationsstandorte,,,37.0
2020,Anzahl,EMAS-Organisationsstandorte,,,40.0
2021,Anzahl,EMAS-Organisationsstandorte,,,29.0
2005,Anzahl,EMAS-Organisationsstandorte,,,
2006,Anzahl,EMAS-Organisationsstandorte,,,
2007,Anzahl,EMAS-Organisationsstandorte,,,
2008,Anzahl,EMAS-Organisationsstandorte,,,
2009,Anzahl,EMAS-Organisationsstandorte,,,
2010,Anzahl,EMAS-Organisationsstandorte,,,78.0
2011,Anzahl,EMAS-Organisationsstandorte,,,71.0
2012,Anzahl,EMAS-Organisationsstandorte,,,62.0
2013,Anzahl,EMAS-Organisationsstandorte,,,72.0
2014,Anzahl,EMAS-Organisationsstandorte,,,77.0
2015,Anzahl,EMAS-Organisationsstandorte,,,90.0
2016,Anzahl,EMAS-Organisationsstandorte,,,93.0
2017,Anzahl,EMAS-Organisationsstandorte,,,89.0
2018,Anzahl,EMAS-Organisationsstandorte,,,81.0
2019,Anzahl,EMAS-Organisationsstandorte,,,87.0
2020,Anzahl,EMAS-Organisationsstandorte,,,85.0
2021,Anzahl,EMAS-Organisationsstandorte,,,72.0
2005,Anzahl,EMAS-Organisationen,,,1491.0
2006,Anzahl,EMAS-Organisationen,,,1490.0
2007,Anzahl,EMAS-Organisationen,,,1466.0
2008,Anzahl,EMAS-Organisationen,,,1408.0
2009,Anzahl,EMAS-Organisationen,,,1354.0
2010,Anzahl,EMAS-Organisationen,,,1332.0
2011,Anzahl,EMAS-Organisationen,,,1269.0
2012,Anzahl,EMAS-Organisationen,,,1212.0
2013,Anzahl,EMAS-Organisationen,,,1228.0
2014,Anzahl,EMAS-Organisationen,,,1223.0
2015,Anzahl,EMAS-Organisationen,,,1216.0
2016,Anzahl,EMAS-Organisationen,,,1225.0
2017,Anzahl,EMAS-Organisationen,,,1240.0
2018,Anzahl,EMAS-Organisationen,,,1183.0
2019,Anzahl,EMAS-Organisationen,,,1150.0
2020,Anzahl,EMAS-Organisationen,,,1113.0
2021,Anzahl,EMAS-Organisationen,,,1115.0
2005,Anzahl,EMAS-Organisationen,,,313.0
2006,Anzahl,EMAS-Organisationen,,,358.0
2007,Anzahl,EMAS-Organisationen,,,353.0
2008,Anzahl,EMAS-Organisationen,,,363.0
2009,Anzahl,EMAS-Organisationen,,,366.0
2010,Anzahl,EMAS-Organisationen,,,403.0
2011,Anzahl,EMAS-Organisationen,,,408.0
2012,Anzahl,EMAS-Organisationen,,,410.0
2013,Anzahl,EMAS-Organisationen,,,420.0
2014,Anzahl,EMAS-Organisationen,,,415.0
2015,Anzahl,EMAS-Organisationen,,,422.0
2016,Anzahl,EMAS-Organisationen,,,408.0
2017,Anzahl,EMAS-Organisationen,,,396.0
2018,Anzahl,EMAS-Organisationen,,,371.0
2019,Anzahl,EMAS-Organisationen,,,347.0
2020,Anzahl,EMAS-Organisationen,,,339.0
2021,Anzahl,EMAS-Organisationen,,,330.0
2005,Anzahl,EMAS-Organisationen,,,320.0
2006,Anzahl,EMAS-Organisationen,,,302.0
2007,Anzahl,EMAS-Organisationen,,,298.0
2008,Anzahl,EMAS-Organisationen,,,287.0
2009,Anzahl,EMAS-Organisationen,,,282.0
2010,Anzahl,EMAS-Organisationen,,,275.0
2011,Anzahl,EMAS-Organisationen,,,250.0
2012,Anzahl,EMAS-Organisationen,,,247.0
2013,Anzahl,EMAS-Organisationen,,,244.0
2014,Anzahl,EMAS-Organisationen,,,257.0
2015,Anzahl,EMAS-Organisationen,,,269.0
2016,Anzahl,EMAS-Organisationen,,,274.0
2017,Anzahl,EMAS-Organisationen,,,288.0
2018,Anzahl,EMAS-Organisationen,,,283.0
2019,Anzahl,EMAS-Organisationen,,,288.0
2020,Anzahl,EMAS-Organisationen,,,287.0
2021,Anzahl,EMAS-Organisationen,,,296.0
2005,Anzahl,EMAS-Organisationen,,,56.0
2006,Anzahl,EMAS-Organisationen,,,55.0
2007,Anzahl,EMAS-Organisationen,,,57.0
2008,Anzahl,EMAS-Organisationen,,,51.0
2009,Anzahl,EMAS-Organisationen,,,43.0
2010,Anzahl,EMAS-Organisationen,,,39.0
2011,Anzahl,EMAS-Organisationen,,,39.0
2012,Anzahl,EMAS-Organisationen,,,34.0
2013,Anzahl,EMAS-Organisationen,,,41.0
2014,Anzahl,EMAS-Organisationen,,,35.0
2015,Anzahl,EMAS-Organisationen,,,26.0
2016,Anzahl,EMAS-Organisationen,,,30.0
2017,Anzahl,EMAS-Organisationen,,,32.0
2018,Anzahl,EMAS-Organisationen,,,30.0
2019,Anzahl,EMAS-Organisationen,,,30.0
2020,Anzahl,EMAS-Organisationen,,,28.0
2021,Anzahl,EMAS-Organisationen,,,32.0
2005,Anzahl,EMAS-Organisationen,,,42.0
2006,Anzahl,EMAS-Organisationen,,,38.0
2007,Anzahl,EMAS-Organisationen,,,34.0
2008,Anzahl,EMAS-Organisationen,,,33.0
2009,Anzahl,EMAS-Organisationen,,,34.0
2010,Anzahl,EMAS-Organisationen,,,38.0
2011,Anzahl,EMAS-Organisationen,,,30.0
2012,Anzahl,EMAS-Organisationen,,,26.0
2013,Anzahl,EMAS-Organisationen,,,30.0
2014,Anzahl,EMAS-Organisationen,,,29.0
2015,Anzahl,EMAS-Organisationen,,,27.0
2016,Anzahl,EMAS-Organisationen,,,30.0
2017,Anzahl,EMAS-Organisationen,,,36.0
2018,Anzahl,EMAS-Organisationen,,,37.0
2019,Anzahl,EMAS-Organisationen,,,35.0
2020,Anzahl,EMAS-Organisationen,,,34.0
2021,Anzahl,EMAS-Organisationen,,,36.0
2005,Anzahl,EMAS-Organisationen,,,20.0
2006,Anzahl,EMAS-Organisationen,,,20.0
2007,Anzahl,EMAS-Organisationen,,,19.0
2008,Anzahl,EMAS-Organisationen,,,24.0
2009,Anzahl,EMAS-Organisationen,,,24.0
2010,Anzahl,EMAS-Organisationen,,,21.0
2011,Anzahl,EMAS-Organisationen,,,20.0
2012,Anzahl,EMAS-Organisationen,,,17.0
2013,Anzahl,EMAS-Organisationen,,,16.0
2014,Anzahl,EMAS-Organisationen,,,14.0
2015,Anzahl,EMAS-Organisationen,,,12.0
2016,Anzahl,EMAS-Organisationen,,,11.0
2017,Anzahl,EMAS-Organisationen,,,12.0
2018,Anzahl,EMAS-Organisationen,,,11.0
2019,Anzahl,EMAS-Organisationen,,,11.0
2020,Anzahl,EMAS-Organisationen,,,10.0
2021,Anzahl,EMAS-Organisationen,,,9.0
2005,Anzahl,EMAS-Organisationen,,,20.0
2006,Anzahl,EMAS-Organisationen,,,20.0
2007,Anzahl,EMAS-Organisationen,,,21.0
2008,Anzahl,EMAS-Organisationen,,,14.0
2009,Anzahl,EMAS-Organisationen,,,13.0
2010,Anzahl,EMAS-Organisationen,,,12.0
2011,Anzahl,EMAS-Organisationen,,,12.0
2012,Anzahl,EMAS-Organisationen,,,10.0
2013,Anzahl,EMAS-Organisationen,,,9.0
2014,Anzahl,EMAS-Organisationen,,,11.0
2015,Anzahl,EMAS-Organisationen,,,11.0
2016,Anzahl,EMAS-Organisationen,,,10.0
2017,Anzahl,EMAS-Organisationen,,,12.0
2018,Anzahl,EMAS-Organisationen,,,14.0
2019,Anzahl,EMAS-Organisationen,,,14.0
2020,Anzahl,EMAS-Organisationen,,,14.0
2021,Anzahl,EMAS-Organisationen,,,15.0
2005,Anzahl,EMAS-Organisationen,,,103.0
2006,Anzahl,EMAS-Organisationen,,,102.0
2007,Anzahl,EMAS-Organisationen,,,98.0
2008,Anzahl,EMAS-Organisationen,,,69.0
2009,Anzahl,EMAS-Organisationen,,,67.0
2010,Anzahl,EMAS-Organisationen,,,73.0
2011,Anzahl,EMAS-Organisationen,,,74.0
2012,Anzahl,EMAS-Organisationen,,,72.0
2013,Anzahl,EMAS-Organisationen,,,70.0
2014,Anzahl,EMAS-Organisationen,,,73.0
2015,Anzahl,EMAS-Organisationen,,,76.0
2016,Anzahl,EMAS-Organisationen,,,80.0
2017,Anzahl,EMAS-Organisationen,,,78.0
2018,Anzahl,EMAS-Organisationen,,,71.0
2019,Anzahl,EMAS-Organisationen,,,63.0
2020,Anzahl,EMAS-Organisationen,,,63.0
2021,Anzahl,EMAS-Organisationen,,,68.0
2005,Anzahl,EMAS-Organisationen,,,24.0
2006,Anzahl,EMAS-Organisationen,,,25.0
2007,Anzahl,EMAS-Organisationen,,,24.0
2008,Anzahl,EMAS-Organisationen,,,23.0
2009,Anzahl,EMAS-Organisationen,,,16.0
2010,Anzahl,EMAS-Organisationen,,,8.0
2011,Anzahl,EMAS-Organisationen,,,8.0
2012,Anzahl,EMAS-Organisationen,,,6.0
2013,Anzahl,EMAS-Organisationen,,,6.0
2014,Anzahl,EMAS-Organisationen,,,6.0
2015,Anzahl,EMAS-Organisationen,,,5.0
2016,Anzahl,EMAS-Organisationen,,,6.0
2017,Anzahl,EMAS-Organisationen,,,5.0
2018,Anzahl,EMAS-Organisationen,,,4.0
2019,Anzahl,EMAS-Organisationen,,,2.0
2020,Anzahl,EMAS-Organisationen,,,2.0
2021,Anzahl,EMAS-Organisationen,,,1.0
2005,Anzahl,EMAS-Organisationen,,,56.0
2006,Anzahl,EMAS-Organisationen,,,58.0
2007,Anzahl,EMAS-Organisationen,,,61.0
2008,Anzahl,EMAS-Organisationen,,,61.0
2009,Anzahl,EMAS-Organisationen,,,67.0
2010,Anzahl,EMAS-Organisationen,,,72.0
2011,Anzahl,EMAS-Organisationen,,,76.0
2012,Anzahl,EMAS-Organisationen,,,62.0
2013,Anzahl,EMAS-Organisationen,,,64.0
2014,Anzahl,EMAS-Organisationen,,,60.0
2015,Anzahl,EMAS-Organisationen,,,56.0
2016,Anzahl,EMAS-Organisationen,,,55.0
2017,Anzahl,EMAS-Organisationen,,,59.0
2018,Anzahl,EMAS-Organisationen,,,55.0
2019,Anzahl,EMAS-Organisationen,,,54.0
2020,Anzahl,EMAS-Organisationen,,,51.0
2021,Anzahl,EMAS-Organisationen,,,51.0
2005,Anzahl,EMAS-Organisationen,,,164.0
2006,Anzahl,EMAS-Organisationen,,,156.0
2007,Anzahl,EMAS-Organisationen,,,168.0
2008,Anzahl,EMAS-Organisationen,,,164.0
2009,Anzahl,EMAS-Organisationen,,,157.0
2010,Anzahl,EMAS-Organisationen,,,140.0
2011,Anzahl,EMAS-Organisationen,,,131.0
2012,Anzahl,EMAS-Organisationen,,,121.0
2013,Anzahl,EMAS-Organisationen,,,118.0
2014,Anzahl,EMAS-Organisationen,,,113.0
2015,Anzahl,EMAS-Organisationen,,,114.0
2016,Anzahl,EMAS-Organisationen,,,117.0
2017,Anzahl,EMAS-Organisationen,,,115.0
2018,Anzahl,EMAS-Organisationen,,,111.0
2019,Anzahl,EMAS-Organisationen,,,105.0
2020,Anzahl,EMAS-Organisationen,,,100.0
2021,Anzahl,EMAS-Organisationen,,,99.0
2005,Anzahl,EMAS-Organisationen,,,53.0
2006,Anzahl,EMAS-Organisationen,,,49.0
2007,Anzahl,EMAS-Organisationen,,,49.0
