Year,Units,Series,xxxart der betreuung,Value
2007,percentage,all-day care provision for 3 to 5-year-old children,xxxkindertageseinrichtungen,24.189
2008,percentage,all-day care provision for 3 to 5-year-old children,xxxkindertageseinrichtungen,26.896
2009,percentage,all-day care provision for 3 to 5-year-old children,xxxkindertageseinrichtungen,29.696
2010,percentage,all-day care provision for 3 to 5-year-old children,xxxkindertageseinrichtungen,32.138
2011,percentage,all-day care provision for 3 to 5-year-old children,xxxkindertageseinrichtungen,34.672
2012,percentage,all-day care provision for 3 to 5-year-old children,xxxkindertageseinrichtungen,37.041
2013,percentage,all-day care provision for 3 to 5-year-old children,xxxkindertageseinrichtungen,39.267
2014,percentage,all-day care provision for 3 to 5-year-old children,xxxkindertageseinrichtungen,41.701
2015,percentage,all-day care provision for 3 to 5-year-old children,xxxkindertageseinrichtungen,43.67
2016,percentage,all-day care provision for 3 to 5-year-old children,xxxkindertageseinrichtungen,44.49
2017,percentage,all-day care provision for 3 to 5-year-old children,xxxkindertageseinrichtungen,45.239
2018,percentage,all-day care provision for 3 to 5-year-old children,xxxkindertageseinrichtungen,45.838
2019,percentage,all-day care provision for 3 to 5-year-old children,xxxkindertageseinrichtungen,46.871
2020,percentage,all-day care provision for 3 to 5-year-old children,xxxkindertageseinrichtungen,47.553
2021,percentage,all-day care provision for 3 to 5-year-old children,xxxkindertageseinrichtungen,46.934
2022,percentage,all-day care provision for 3 to 5-year-old children,xxxkindertageseinrichtungen,46.99
2023,percentage,all-day care provision for 3 to 5-year-old children,xxxkindertageseinrichtungen,46.64
2024,percentage,all-day care provision for 3 to 5-year-old children,xxxkindertageseinrichtungen,46.607
2006,percentage,all-day care provision for 3 to 5-year-old children,xxxtagespflege,0.127
2007,percentage,all-day care provision for 3 to 5-year-old children,xxxtagespflege,0.141
2008,percentage,all-day care provision for 3 to 5-year-old children,xxxtagespflege,0.171
2009,percentage,all-day care provision for 3 to 5-year-old children,xxxtagespflege,0.174
2010,percentage,all-day care provision for 3 to 5-year-old children,xxxtagespflege,0.183
2011,percentage,all-day care provision for 3 to 5-year-old children,xxxtagespflege,0.207
2012,percentage,all-day care provision for 3 to 5-year-old children,xxxtagespflege,0.204
2013,percentage,all-day care provision for 3 to 5-year-old children,xxxtagespflege,0.218
2014,percentage,all-day care provision for 3 to 5-year-old children,xxxtagespflege,0.244
2015,percentage,all-day care provision for 3 to 5-year-old children,xxxtagespflege,0.265
2016,percentage,all-day care provision for 3 to 5-year-old children,xxxtagespflege,0.266
2017,percentage,all-day care provision for 3 to 5-year-old children,xxxtagespflege,0.27
2018,percentage,all-day care provision for 3 to 5-year-old children,xxxtagespflege,0.294
2019,percentage,all-day care provision for 3 to 5-year-old children,xxxtagespflege,0.306
2020,percentage,all-day care provision for 3 to 5-year-old children,xxxtagespflege,0.36
2021,percentage,all-day care provision for 3 to 5-year-old children,xxxtagespflege,0.39
2022,percentage,all-day care provision for 3 to 5-year-old children,xxxtagespflege,0.363
2023,percentage,all-day care provision for 3 to 5-year-old children,xxxtagespflege,0.363
2024,percentage,all-day care provision for 3 to 5-year-old children,xxxtagespflege,0.369
