Year,Units,federal state,GeoCode,Value
2010,percentage,,,3.4
2011,percentage,,,3.34
2012,percentage,,,3.3
2013,percentage,,,3.65
2014,percentage,,,3.94
2015,percentage,,,4.44
2016,percentage,,,
2017,percentage,,,
2018,percentage,,,
2019,percentage,,,
2020,percentage,,,
2021,percentage,,,
2005,percentage,,,3.58
2006,percentage,,,6.59
2007,percentage,,,7.86
2008,percentage,,,7.57
2009,percentage,,,8.12
2010,percentage,,,8.45
2011,percentage,,,9.63
2012,percentage,,,10.24
2013,percentage,,,10.66
2014,percentage,,,11.31
2015,percentage,,,12.1
2016,percentage,,,11.53
2017,percentage,,,11.89
2018,percentage,,,12.14
2019,percentage,,,12.64
2020,percentage,,,
2021,percentage,,,
2005,percentage,,,7.94
2006,percentage,,,12.39
2007,percentage,,,16.33
2008,percentage,,,16.79
2009,percentage,,,17.83
2010,percentage,,,18.19
2011,percentage,,,20.59
2012,percentage,,,20.78
2013,percentage,,,21.86
2014,percentage,,,22.86
2015,percentage,,,25.69
2016,percentage,,,23.4
2017,percentage,,,26.26
2018,percentage,,,25.2
2019,percentage,,,26.0
2020,percentage,,,
2021,percentage,,,
2005,percentage,,,9.25
2006,percentage,,,10.52
2007,percentage,,,13.93
2008,percentage,,,14.4
2009,percentage,,,15.05
2010,percentage,,,17.19
2011,percentage,,,19.77
2012,percentage,,,20.77
2013,percentage,,,20.58
2014,percentage,,,23.47
2015,percentage,,,30.56
2016,percentage,,,31.87
2017,percentage,,,36.08
2018,percentage,,,37.2
2019,percentage,,,40.26
2020,percentage,,,41.38
2021,percentage,,,
2005,percentage,,,12.43
2006,percentage,,,13.67
2007,percentage,,,16.69
2008,percentage,,,15.39
2009,percentage,,,15.01
2010,percentage,,,16.47
2011,percentage,,,17.06
2012,percentage,,,16.93
2013,percentage,,,18.05
2014,percentage,,,18.69
2015,percentage,,,19.95
2016,percentage,,,20.21
2017,percentage,,,21.18
2018,percentage,,,21.06
2019,percentage,,,21.57
2020,percentage,,,
2021,percentage,,,
