Year,Units,time series,xxx,sex,Value
2013,percentage,,xxx,male,8.973
2014,percentage,,xxx,male,6.22
2015,percentage,,xxx,male,6.271
2016,percentage,,xxx,male,6.196
2017,percentage,,xxx,male,6.754
2018,percentage,,xxx,male,6.667
2019,percentage,,xxx,male,6.796
2020,percentage,,xxx,male,7.682
2021,percentage,,xxx,male,8.73
2022,percentage,,xxx,male,8.875
2023,percentage,,xxx,male,8.523
2000,percentage,,xxx,male,11.521
2001,percentage,,xxx,male,
2002,percentage,,xxx,male,
2003,percentage,,xxx,male,9.698
2004,percentage,,xxx,male,10.096
2005,percentage,,xxx,male,9.233
2006,percentage,,xxx,male,8.559
2007,percentage,,xxx,male,7.792
2008,percentage,,xxx,male,7.873
2009,percentage,,xxx,male,7.716
1999,percentage,,xxx,,14.758
2010,percentage,,xxx,,21.845
2011,percentage,,xxx,,20.718
2012,percentage,,xxx,,21.921
2013,percentage,,xxx,,23.661
2014,percentage,,xxx,,26.562
2015,percentage,,xxx,,27.312
2016,percentage,,xxx,,28.228
2017,percentage,,xxx,,28.615
2018,percentage,,xxx,,29.424
2019,percentage,,xxx,,30.073
2020,percentage,,xxx,,30.051
2021,percentage,,xxx,,31.762
2022,percentage,,xxx,,31.769
2023,percentage,,xxx,,34.086
2000,percentage,,xxx,,15.033
2001,percentage,,xxx,,15.618
2002,percentage,,xxx,,15.477
2003,percentage,,xxx,,16.102
2004,percentage,,xxx,,17.435
2005,percentage,,xxx,,17.677
2006,percentage,,xxx,,17.995
2007,percentage,,xxx,,19.184
2008,percentage,,xxx,,20.344
2009,percentage,,xxx,,21.988
1999,percentage,,xxx,female,
2010,percentage,,xxx,female,22.156
2011,percentage,,xxx,female,21.081
2012,percentage,,xxx,female,22.529
2013,percentage,,xxx,female,24.098
2014,percentage,,xxx,female,27.374
2015,percentage,,xxx,female,28.689
2016,percentage,,xxx,female,29.285
2017,percentage,,xxx,female,30.235
2018,percentage,,xxx,female,31.053
2019,percentage,,xxx,female,31.956
2020,percentage,,xxx,female,31.916
2021,percentage,,xxx,female,33.729
2022,percentage,,xxx,female,34.453
2023,percentage,,xxx,female,36.491
2000,percentage,,xxx,female,12.747
2001,percentage,,xxx,female,
2002,percentage,,xxx,female,
2003,percentage,,xxx,female,14.324
2004,percentage,,xxx,female,15.746
2005,percentage,,xxx,female,16.594
2006,percentage,,xxx,female,17.284
2007,percentage,,xxx,female,18.837
2008,percentage,,xxx,female,20.263
2009,percentage,,xxx,female,22.064
1999,percentage,,xxx,male,
2010,percentage,,xxx,male,21.539
2011,percentage,,xxx,male,20.363
2012,percentage,,xxx,male,21.326
2013,percentage,,xxx,male,23.23
2014,percentage,,xxx,male,25.753
2015,percentage,,xxx,male,25.969
2016,percentage,,xxx,male,27.206
2017,percentage,,xxx,male,27.062
2018,percentage,,xxx,male,27.868
2019,percentage,,xxx,male,28.285
2020,percentage,,xxx,male,28.273
2021,percentage,,xxx,male,29.922
2022,percentage,,xxx,male,29.234
2023,percentage,,xxx,male,31.807
2000,percentage,,xxx,male,17.239
2001,percentage,,xxx,male,
2002,percentage,,xxx,male,
2003,percentage,,xxx,male,17.781
2004,percentage,,xxx,male,19.053
2005,percentage,,xxx,male,18.724
2006,percentage,,xxx,male,18.693
2007,percentage,,xxx,male,19.522
2008,percentage,,xxx,male,20.424
2009,percentage,,xxx,male,21.912
1999,percentage,,xxx,,49.396
2010,percentage,,xxx,,41.065
2011,percentage,,xxx,,40.482
2012,percentage,,xxx,,39.425
2013,percentage,,xxx,,38.693
2014,percentage,,xxx,,38.047
2015,percentage,,xxx,,36.855
2016,percentage,,xxx,,35.171
2017,percentage,,xxx,,34.264
2018,percentage,,xxx,,33.065
2019,percentage,,xxx,,32.248
2020,percentage,,xxx,,28.838
2021,percentage,,xxx,,26.004
2022,percentage,,xxx,,24.477
2023,percentage,,xxx,,21.8
2000,percentage,,xxx,,49.322
2001,percentage,,xxx,,49.65
2002,percentage,,xxx,,48.917
2003,percentage,,xxx,,48.646
2004,percentage,,xxx,,46.517
2005,percentage,,xxx,,44.75
2006,percentage,,xxx,,43.96
2007,percentage,,xxx,,43.504
2008,percentage,,xxx,,42.921
2009,percentage,,xxx,,41.204
1999,percentage,,xxx,female,
2010,percentage,,xxx,female,39.405
2011,percentage,,xxx,female,38.186
2012,percentage,,xxx,female,36.887
2013,percentage,,xxx,female,36.193
2014,percentage,,xxx,female,35.163
2015,percentage,,xxx,female,33.5
2016,percentage,,xxx,female,32.001
2017,percentage,,xxx,female,31.554
2018,percentage,,xxx,female,30.558
2019,percentage,,xxx,female,29.631
2020,percentage,,xxx,female,25.707
2021,percentage,,xxx,female,23.698
2022,percentage,,xxx,female,22.03
2023,percentage,,xxx,female,19.152
2000,percentage,,xxx,female,50.121
2001,percentage,,xxx,female,
2002,percentage,,xxx,female,
2003,percentage,,xxx,female,48.995
2004,percentage,,xxx,female,46.648
2005,percentage,,xxx,female,44.886
2006,percentage,,xxx,female,43.095
2007,percentage,,xxx,female,42.657
2008,percentage,,xxx,female,41.379
2009,percentage,,xxx,female,39.704
1999,percentage,,xxx,male,
2010,percentage,,xxx,male,42.697
2011,percentage,,xxx,male,42.734
2012,percentage,,xxx,male,41.907
2013,percentage,,xxx,male,41.153
2014,percentage,,xxx,male,40.92
2015,percentage,,xxx,male,40.13
2016,percentage,,xxx,male,38.238
2017,percentage,,xxx,male,36.862
2018,percentage,,xxx,male,35.459
2019,percentage,,xxx,male,34.733
2020,percentage,,xxx,male,31.825
2021,percentage,,xxx,male,28.163
2022,percentage,,xxx,male,26.787
2023,percentage,,xxx,male,24.308
2000,percentage,,xxx,male,48.549
2001,percentage,,xxx,male,
2002,percentage,,xxx,male,
2003,percentage,,xxx,male,48.317
2004,percentage,,xxx,male,46.391
2005,percentage,,xxx,male,44.619
2006,percentage,,xxx,male,44.808
2007,percentage,,xxx,male,44.327
2008,percentage,,xxx,male,44.444
2009,percentage,,xxx,male,42.688
1999,percentage,xxx,,,82.747
2010,percentage,xxx,,,82.435
2011,percentage,xxx,,,82.745
2012,percentage,xxx,,,82.889
2013,percentage,xxx,,,83.211
2014,percentage,xxx,,,83.781
2015,percentage,xxx,,,83.694
2016,percentage,xxx,,,83.079
2017,percentage,xxx,,,83.099
2018,percentage,xxx,,,82.898
2019,percentage,xxx,,,82.736
2020,percentage,xxx,,,81.124
2021,percentage,xxx,,,79.559
2022,percentage,xxx,,,77.876
2023,percentage,xxx,,,78.127
2000,percentage,xxx,,,82.319
2001,percentage,xxx,,,82.822
2002,percentage,xxx,,,82.193
2003,percentage,xxx,,,82.594
2004,percentage,xxx,,,82.738
2005,percentage,xxx,,,80.75
2006,percentage,xxx,,,80.464
2007,percentage,xxx,,,81.142
2008,percentage,xxx,,,81.787
2009,percentage,xxx,,,82.007
2030,percentage,xxx,,,
1999,percentage,xxx,,female,
2010,percentage,xxx,,female,82.152
2011,percentage,xxx,,female,82.547
2012,percentage,xxx,,female,82.871
2013,percentage,xxx,,female,83.036
2014,percentage,xxx,,female,83.537
2015,percentage,xxx,,female,83.993
2016,percentage,xxx,,female,83.329
2017,percentage,xxx,,female,84.193
2018,percentage,xxx,,female,84.384
2019,percentage,xxx,,female,84.042
2020,percentage,xxx,,female,82.356
2021,percentage,xxx,,female,80.865
2022,percentage,xxx,,female,79.383
2023,percentage,xxx,,female,79.396
2000,percentage,xxx,,female,81.001
2001,percentage,xxx,,female,
2002,percentage,xxx,,female,
2003,percentage,xxx,,female,81.227
2004,percentage,xxx,,female,81.302
2005,percentage,xxx,,female,79.878
2006,percentage,xxx,,female,79.577
2007,percentage,xxx,,female,80.69
2008,percentage,xxx,,female,81.069
2009,percentage,xxx,,female,81.903
1999,percentage,xxx,,male,
2010,percentage,xxx,,male,82.713
2011,percentage,xxx,,male,82.843
2012,percentage,xxx,,male,82.81
2013,percentage,xxx,,male,83.382
2014,percentage,xxx,,male,83.825
2015,percentage,xxx,,male,83.205
2016,percentage,xxx,,male,82.836
2017,percentage,xxx,,male,82.051
2018,percentage,xxx,,male,81.479
2019,percentage,xxx,,male,81.497
2020,percentage,xxx,,male,80.144
2021,percentage,xxx,,male,77.75
2022,percentage,xxx,,male,76.453
2023,percentage,xxx,,male,76.925
2000,percentage,xxx,,male,83.591
2001,percentage,xxx,,male,
2002,percentage,xxx,,male,
2003,percentage,xxx,,male,83.784
2004,percentage,xxx,,male,84.113
2005,percentage,xxx,,male,81.594
2006,percentage,xxx,,male,81.333
2007,percentage,xxx,,male,81.583
2008,percentage,xxx,,male,82.299
2009,percentage,xxx,,male,81.911
