Year,Units,federal state,GeoCode,Value
2002,percentage,,,27.14
2003,percentage,,,24.08
2004,percentage,,,23.73
2005,percentage,,,23.13
2006,percentage,,,23.34
2007,percentage,,,21.83
2008,percentage,,,22.34
2009,percentage,,,19.88
2010,percentage,,,20.47
2011,percentage,,,20.63
2012,percentage,,,22.35
2013,percentage,,,20.98
2014,percentage,,,21.56
2015,percentage,,,22.07
2016,percentage,,,23.47
2017,percentage,,,23.49
2018,percentage,,,24.55
2019,percentage,,,23.86
2020,percentage,,,
2021,percentage,,,
1991,percentage,,,18.1
1992,percentage,,,17.48
1993,percentage,,,18.32
1994,percentage,,,15.38
1995,percentage,,,14.65
1996,percentage,,,15.7
1997,percentage,,,14.92
1998,percentage,,,15.95
1999,percentage,,,17.95
2000,percentage,,,18.09
2001,percentage,,,16.92
2002,percentage,,,17.01
2003,percentage,,,13.3
2004,percentage,,,15.41
2005,percentage,,,14.24
2006,percentage,,,14.91
2007,percentage,,,15.08
2008,percentage,,,15.3
2009,percentage,,,14.43
2010,percentage,,,14.81
2011,percentage,,,14.41
2012,percentage,,,18.68
2013,percentage,,,16.27
2014,percentage,,,13.81
2015,percentage,,,16.83
2016,percentage,,,15.84
2017,percentage,,,14.01
2018,percentage,,,16.22
2019,percentage,,,15.79
2020,percentage,,,
2021,percentage,,,
1991,percentage,,,16.47
1992,percentage,,,18.11
1993,percentage,,,17.08
1994,percentage,,,15.44
1995,percentage,,,14.19
1996,percentage,,,14.04
1997,percentage,,,14.72
1998,percentage,,,15.65
1999,percentage,,,14.84
2000,percentage,,,16.32
2001,percentage,,,17.95
2002,percentage,,,19.16
2003,percentage,,,18.37
2004,percentage,,,21.45
2005,percentage,,,22.6
2006,percentage,,,23.38
2007,percentage,,,25.63
2008,percentage,,,26.45
2009,percentage,,,20.36
2010,percentage,,,24.49
2011,percentage,,,20.89
2012,percentage,,,20.52
2013,percentage,,,21.11
2014,percentage,,,21.32
2015,percentage,,,21.61
2016,percentage,,,19.74
2017,percentage,,,16.01
2018,percentage,,,18.15
2019,percentage,,,18.2
2020,percentage,,,
2021,percentage,,,
1991,percentage,,,21.9
1992,percentage,,,21.43
1993,percentage,,,20.49
1994,percentage,,,18.32
1995,percentage,,,18.7
1996,percentage,,,17.43
1997,percentage,,,18.02
1998,percentage,,,18.36
1999,percentage,,,18.62
2000,percentage,,,18.4
2001,percentage,,,18.74
2002,percentage,,,17.02
2003,percentage,,,16.22
2004,percentage,,,16.33
2005,percentage,,,17.93
2006,percentage,,,17.41
2007,percentage,,,18.29
2008,percentage,,,20.03
2009,percentage,,,16.73
2010,percentage,,,17.58
2011,percentage,,,19.18
2012,percentage,,,17.67
2013,percentage,,,17.87
2014,percentage,,,17.33
2015,percentage,,,17.14
2016,percentage,,,18.05
2017,percentage,,,18.51
2018,percentage,,,18.7
2019,percentage,,,19.27
2020,percentage,,,
2021,percentage,,,
1991,percentage,,,49.47
1992,percentage,,,61.6
1993,percentage,,,60.16
1994,percentage,,,57.59
1995,percentage,,,54.99
1996,percentage,,,48.12
1997,percentage,,,43.66
1998,percentage,,,40.51
1999,percentage,,,37.44
2000,percentage,,,35.32
2001,percentage,,,30.18
2002,percentage,,,26.25
2003,percentage,,,25.35
2004,percentage,,,25.03
2005,percentage,,,26.88
2006,percentage,,,27.57
2007,percentage,,,23.03
2008,percentage,,,23.74
2009,percentage,,,21.05
2010,percentage,,,22.21
2011,percentage,,,24.2
2012,percentage,,,23.57
2013,percentage,,,20.59
2014,percentage,,,21.48
2015,percentage,,,21.94
2016,percentage,,,24.06
2017,percentage,,,22.85
2018,percentage,,,25.52
2019,percentage,,,27.68
2020,percentage,,,
2021,percentage,,,
1991,percentage,,,27.84
1992,percentage,,,26.37
1993,percentage,,,24.03
1994,percentage,,,23.63
1995,percentage,,,23.37
1996,percentage,,,22.88
1997,percentage,,,23.65
1998,percentage,,,24.76
1999,percentage,,,26.27
2000,percentage,,,26.6
2001,percentage,,,25.32
2002,percentage,,,23.85
2003,percentage,,,24.78
2004,percentage,,,21.7
2005,percentage,,,19.94
2006,percentage,,,20.76
2007,percentage,,,21.5
2008,percentage,,,20.75
2009,percentage,,,22.81
2010,percentage,,,22.36
2011,percentage,,,24.02
2012,percentage,,,24.35
2013,percentage,,,24.35
2014,percentage,,,24.37
2015,percentage,,,24.87
2016,percentage,,,24.67
2017,percentage,,,25.36
2018,percentage,,,24.98
2019,percentage,,,27.26
2020,percentage,,,
2021,percentage,,,
1991,percentage,,,20.48
1992,percentage,,,20.25
1993,percentage,,,18.36
1994,percentage,,,17.89
1995,percentage,,,17.09
1996,percentage,,,17.19
1997,percentage,,,17.1
1998,percentage,,,17.73
1999,percentage,,,19.25
2000,percentage,,,19.7
2001,percentage,,,19.03
2002,percentage,,,17.13
2003,percentage,,,16.28
2004,percentage,,,15.74
2005,percentage,,,16.74
2006,percentage,,,16.19
2007,percentage,,,16.32
2008,percentage,,,16.32
2009,percentage,,,15.89
2010,percentage,,,15.98
2011,percentage,,,16.63
2012,percentage,,,15.92
2013,percentage,,,15.78
2014,percentage,,,16.05
2015,percentage,,,15.67
2016,percentage,,,16.07
2017,percentage,,,16.54
2018,percentage,,,16.71
2019,percentage,,,16.41
2020,percentage,,,
2021,percentage,,,
1991,percentage,,,23.67
1992,percentage,,,22.7
1993,percentage,,,21.93
1994,percentage,,,22.74
1995,percentage,,,22.86
1996,percentage,,,21.16
1997,percentage,,,21.79
1998,percentage,,,22.85
1999,percentage,,,23.22
2000,percentage,,,23.91
2001,percentage,,,21.93
2002,percentage,,,21.83
2003,percentage,,,19.54
2004,percentage,,,18.86
2005,percentage,,,18.66
2006,percentage,,,19.41
2007,percentage,,,20.35
2008,percentage,,,20.19
2009,percentage,,,20.65
2010,percentage,,,19.98
2011,percentage,,,21.13
2012,percentage,,,20.5
2013,percentage,,,21.17
2014,percentage,,,21.37
2015,percentage,,,20.89
2016,percentage,,,20.54
2017,percentage,,,21.03
2018,percentage,,,22.93
2019,percentage,,,21.66
2020,percentage,,,
2021,percentage,,,
1991,percentage,,,20.72
1992,percentage,,,20.34
1993,percentage,,,18.6
1994,percentage,,,19.64
1995,percentage,,,20.55
1996,percentage,,,21.0
1997,percentage,,,21.22
1998,percentage,,,24.57
1999,percentage,,,23.63
2000,percentage,,,23.37
2001,percentage,,,18.61
2002,percentage,,,18.9
2003,percentage,,,18.75
2004,percentage,,,15.75
2005,percentage,,,15.14
2006,percentage,,,16.21
2007,percentage,,,16.69
2008,percentage,,,16.49
2009,percentage,,,15.02
2010,percentage,,,18.16
2011,percentage,,,17.35
2012,percentage,,,16.89
2013,percentage,,,17.54
2014,percentage,,,17.63
2015,percentage,,,18.07
2016,percentage,,,17.36
2017,percentage,,,16.55
2018,percentage,,,17.56
2019,percentage,,,17.9
2020,percentage,,,
2021,percentage,,,
1991,percentage,,,42.68
1992,percentage,,,41.58
1993,percentage,,,39.35
1994,percentage,,,46.51
1995,percentage,,,46.06
1996,percentage,,,45.56
1997,percentage,,,43.03
1998,percentage,,,39.02
1999,percentage,,,36.28
2000,percentage,,,35.38
2001,percentage,,,27.21
2002,percentage,,,23.03
2003,percentage,,,22.76
2004,percentage,,,23.16
2005,percentage,,,21.32
2006,percentage,,,20.87
2007,percentage,,,23.75
2008,percentage,,,22.18
2009,percentage,,,20.93
2010,percentage,,,22.61
2011,percentage,,,23.7
2012,percentage,,,23.05
2013,percentage,,,21.22
2014,percentage,,,20.93
2015,percentage,,,19.35
2016,percentage,,,21.2
2017,percentage,,,19.95
2018,percentage,,,20.51
2019,percentage,,,21.67
2020,percentage,,,
2021,percentage,,,
1991,percentage,,,42.81
1992,percentage,,,54.18
1993,percentage,,,53.43
1994,percentage,,,54.92
1995,percentage,,,52.91
1996,percentage,,,44.87
1997,percentage,,,41.69
1998,percentage,,,40.97
1999,percentage,,,36.73
2000,percentage,,,33.76
2001,percentage,,,25.81
2002,percentage,,,23.07
2003,percentage,,,22.1
2004,percentage,,,22.23
2005,percentage,,,20.54
2006,percentage,,,18.99
2007,percentage,,,19.52
2008,percentage,,,19.59
2009,percentage,,,21.24
2010,percentage,,,19.82
2011,percentage,,,18.92
2012,percentage,,,19.72
2013,percentage,,,18.74
2014,percentage,,,18.31
2015,percentage,,,18.87
2016,percentage,,,19.0
2017,percentage,,,18.82
2018,percentage,,,18.73
2019,percentage,,,19.86
2020,percentage,,,
2021,percentage,,,
1991,percentage,,,21.71
1992,percentage,,,22.33
1993,percentage,,,21.23
1994,percentage,,,22.06
1995,percentage,,,22.9
1996,percentage,,,21.37
1997,percentage,,,21.76
1998,percentage,,,23.01
1999,percentage,,,23.79
2000,percentage,,,22.84
2001,percentage,,,20.52
2002,percentage,,,18.33
2003,percentage,,,18.15
2004,percentage,,,17.26
2005,percentage,,,17.38
2006,percentage,,,19.84
2007,percentage,,,19.87
2008,percentage,,,19.91
2009,percentage,,,18.55
2010,percentage,,,21.23
2011,percentage,,,22.71
2012,percentage,,,21.53
2013,percentage,,,18.88
2014,percentage,,,21.48
2015,percentage,,,20.56
2016,percentage,,,23.19
2017,percentage,,,21.47
2018,percentage,,,21.31
2019,percentage,,,22.24
2020,percentage,,,
2021,percentage,,,
1991,percentage,,,45.78
1992,percentage,,,52.46
1993,percentage,,,55.58
1994,percentage,,,55.62
1995,percentage,,,50.17
1996,percentage,,,39.59
1997,percentage,,,38.73
1998,percentage,,,36.76
1999,percentage,,,38.15
2000,percentage,,,34.07
2001,percentage,,,31.7
2002,percentage,,,26.4
2003,percentage,,,26.42
2004,percentage,,,22.37
2005,percentage,,,23.06
2006,percentage,,,23.44
2007,percentage,,,24.13
2008,percentage,,,26.23
2009,percentage,,,22.15
2010,percentage,,,21.34
2011,percentage,,,22.02
2012,percentage,,,21.75
2013,percentage,,,20.01
2014,percentage,,,20.03
2015,percentage,,,19.13
2016,percentage,,,20.91
2017,percentage,,,19.05
2018,percentage,,,20.1
2019,percentage,,,20.24
2020,percentage,,,
2021,percentage,,,
