Year,Units,Series,federal state,GeoCode,Value
2021,2008 = 100,final energy productivity,,,
2008,2008 = 100,final energy productivity,,,100.0
2009,2008 = 100,final energy productivity,,,97.32
2010,2008 = 100,final energy productivity,,,91.27
2011,2008 = 100,final energy productivity,,,95.84
2012,2008 = 100,final energy productivity,,,100.14
2013,2008 = 100,final energy productivity,,,99.81
2014,2008 = 100,final energy productivity,,,95.75
2015,2008 = 100,final energy productivity,,,97.56
2016,2008 = 100,final energy productivity,,,100.05
2017,2008 = 100,final energy productivity,,,105.98
2018,2008 = 100,final energy productivity,,,105.52
2019,2008 = 100,final energy productivity,,,108.12
2020,2008 = 100,final energy productivity,,,116.49
2021,2008 = 100,final energy productivity,,,
2008,2008 = 100,final energy productivity,,,100.0
2009,2008 = 100,final energy productivity,,,97.62
2010,2008 = 100,final energy productivity,,,94.0
2011,2008 = 100,final energy productivity,,,100.82
2012,2008 = 100,final energy productivity,,,99.28
2013,2008 = 100,final energy productivity,,,103.85
2014,2008 = 100,final energy productivity,,,109.73
2015,2008 = 100,final energy productivity,,,108.89
2016,2008 = 100,final energy productivity,,,110.63
2017,2008 = 100,final energy productivity,,,112.13
2018,2008 = 100,final energy productivity,,,110.62
2019,2008 = 100,final energy productivity,,,114.41
2020,2008 = 100,final energy productivity,,,118.79
2021,2008 = 100,final energy productivity,,,
2008,2008 = 100,final energy productivity,,,100.0
2009,2008 = 100,final energy productivity,,,97.8
2010,2008 = 100,final energy productivity,,,98.68
2011,2008 = 100,final energy productivity,,,106.69
2012,2008 = 100,final energy productivity,,,104.23
2013,2008 = 100,final energy productivity,,,102.41
2014,2008 = 100,final energy productivity,,,106.01
2015,2008 = 100,final energy productivity,,,104.15
2016,2008 = 100,final energy productivity,,,105.02
2017,2008 = 100,final energy productivity,,,107.74
2018,2008 = 100,final energy productivity,,,109.92
2019,2008 = 100,final energy productivity,,,109.25
2020,2008 = 100,final energy productivity,,,127.37
2021,2008 = 100,final energy productivity,,,
2008,2008 = 100,final energy productivity,,,100.0
2009,2008 = 100,final energy productivity,,,99.92
2010,2008 = 100,final energy productivity,,,94.59
2011,2008 = 100,final energy productivity,,,104.51
2012,2008 = 100,final energy productivity,,,100.74
2013,2008 = 100,final energy productivity,,,98.51
2014,2008 = 100,final energy productivity,,,104.5
2015,2008 = 100,final energy productivity,,,104.84
2016,2008 = 100,final energy productivity,,,111.42
2017,2008 = 100,final energy productivity,,,107.49
2018,2008 = 100,final energy productivity,,,109.2
2019,2008 = 100,final energy productivity,,,
2020,2008 = 100,final energy productivity,,,
2021,2008 = 100,final energy productivity,,,
2008,2008 = 100,final energy productivity,,,100.0
2009,2008 = 100,final energy productivity,,,98.99
2010,2008 = 100,final energy productivity,,,97.8
2011,2008 = 100,final energy productivity,,,107.99
2012,2008 = 100,final energy productivity,,,111.39
2013,2008 = 100,final energy productivity,,,108.66
2014,2008 = 100,final energy productivity,,,114.36
2015,2008 = 100,final energy productivity,,,114.25
2016,2008 = 100,final energy productivity,,,119.83
2017,2008 = 100,final energy productivity,,,118.64
2018,2008 = 100,final energy productivity,,,119.9
2019,2008 = 100,final energy productivity,,,122.55
2020,2008 = 100,final energy productivity,,,124.12
2021,2008 = 100,final energy productivity,,,
2008,2008 = 100,final energy productivity,,,100.0
2009,2008 = 100,final energy productivity,,,106.78
2010,2008 = 100,final energy productivity,,,102.13
2011,2008 = 100,final energy productivity,,,111.63
2012,2008 = 100,final energy productivity,,,112.41
2013,2008 = 100,final energy productivity,,,111.93
2014,2008 = 100,final energy productivity,,,117.18
2015,2008 = 100,final energy productivity,,,118.9
2016,2008 = 100,final energy productivity,,,110.79
2017,2008 = 100,final energy productivity,,,121.19
2018,2008 = 100,final energy productivity,,,107.47
2019,2008 = 100,final energy productivity,,,119.28
2020,2008 = 100,final energy productivity,,,
2021,2008 = 100,final energy productivity,,,
2008,2008 = 100,final energy productivity,,,100.0
2009,2008 = 100,final energy productivity,,,99.39
2010,2008 = 100,final energy productivity,,,99.84
2011,2008 = 100,final energy productivity,,,110.2
2012,2008 = 100,final energy productivity,,,112.68
2013,2008 = 100,final energy productivity,,,109.21
2014,2008 = 100,final energy productivity,,,114.57
2015,2008 = 100,final energy productivity,,,115.35
2016,2008 = 100,final energy productivity,,,114.08
2017,2008 = 100,final energy productivity,,,114.87
2018,2008 = 100,final energy productivity,,,113.54
2019,2008 = 100,final energy productivity,,,112.81
2020,2008 = 100,final energy productivity,,,111.8
2021,2008 = 100,final energy productivity,,,
2008,2008 = 100,final energy productivity,,,
2009,2008 = 100,final energy productivity,,,
2010,2008 = 100,final energy productivity,,,
2011,2008 = 100,final energy productivity,,,
2012,2008 = 100,final energy productivity,,,
2013,2008 = 100,final energy productivity,,,
2014,2008 = 100,final energy productivity,,,
2015,2008 = 100,final energy productivity,,,
2016,2008 = 100,final energy productivity,,,
2017,2008 = 100,final energy productivity,,,
2018,2008 = 100,final energy productivity,,,
2019,2008 = 100,final energy productivity,,,
2020,2008 = 100,final energy productivity,,,
2021,2008 = 100,final energy productivity,,,
2008,2008 = 100,final energy productivity,,,100.0
2009,2008 = 100,final energy productivity,,,97.31
2010,2008 = 100,final energy productivity,,,95.38
2011,2008 = 100,final energy productivity,,,105.69
2012,2008 = 100,final energy productivity,,,100.88
2013,2008 = 100,final energy productivity,,,99.0
2014,2008 = 100,final energy productivity,,,107.33
2015,2008 = 100,final energy productivity,,,107.39
2016,2008 = 100,final energy productivity,,,106.32
2017,2008 = 100,final energy productivity,,,105.78
2018,2008 = 100,final energy productivity,,,109.5
2019,2008 = 100,final energy productivity,,,112.39
2020,2008 = 100,final energy productivity,,,
2021,2008 = 100,final energy productivity,,,
2008,2008 = 100,final energy productivity,,,100.0
2009,2008 = 100,final energy productivity,,,95.9
2010,2008 = 100,final energy productivity,,,92.18
2011,2008 = 100,final energy productivity,,,95.71
2012,2008 = 100,final energy productivity,,,94.69
2013,2008 = 100,final energy productivity,,,94.42
2014,2008 = 100,final energy productivity,,,99.36
2015,2008 = 100,final energy productivity,,,100.04
2016,2008 = 100,final energy productivity,,,98.64
2017,2008 = 100,final energy productivity,,,98.56
2018,2008 = 100,final energy productivity,,,95.94
2019,2008 = 100,final energy productivity,,,102.82
2020,2008 = 100,final energy productivity,,,
2021,2008 = 100,final energy productivity,,,
2008,2008 = 100,final energy productivity,,,100.0
2009,2008 = 100,final energy productivity,,,99.59
2010,2008 = 100,final energy productivity,,,94.81
2011,2008 = 100,final energy productivity,,,102.34
2012,2008 = 100,final energy productivity,,,99.58
2013,2008 = 100,final energy productivity,,,95.74
2014,2008 = 100,final energy productivity,,,103.67
2015,2008 = 100,final energy productivity,,,102.77
2016,2008 = 100,final energy productivity,,,104.8
2017,2008 = 100,final energy productivity,,,106.91
2018,2008 = 100,final energy productivity,,,107.84
2019,2008 = 100,final energy productivity,,,114.83
2020,2008 = 100,final energy productivity,,,112.08
2021,2008 = 100,final energy productivity,,,
2008,2008 = 100,final energy productivity,,,100.0
2009,2008 = 100,final energy productivity,,,100.4
2010,2008 = 100,final energy productivity,,,98.88
2011,2008 = 100,final energy productivity,,,109.82
2012,2008 = 100,final energy productivity,,,108.24
2013,2008 = 100,final energy productivity,,,107.02
2014,2008 = 100,final energy productivity,,,117.46
2015,2008 = 100,final energy productivity,,,117.02
2016,2008 = 100,final energy productivity,,,115.82
2017,2008 = 100,final energy productivity,,,118.93
2018,2008 = 100,final energy productivity,,,118.84
2019,2008 = 100,final energy productivity,,,119.23
2020,2008 = 100,final energy productivity,,,
2021,2008 = 100,final energy productivity,,,
2008,2008 = 100,primary energy consumption,,,100.0
2009,2008 = 100,primary energy consumption,,,94.1
2010,2008 = 100,primary energy consumption,,,98.87
2011,2008 = 100,primary energy consumption,,,94.57
2012,2008 = 100,primary energy consumption,,,93.51
2013,2008 = 100,primary energy consumption,,,96.12
2014,2008 = 100,primary energy consumption,,,91.65
2015,2008 = 100,primary energy consumption,,,92.22
2016,2008 = 100,primary energy consumption,,,93.82
2017,2008 = 100,primary energy consumption,,,94.04
2018,2008 = 100,primary energy consumption,,,91.3
2019,2008 = 100,primary energy consumption,,,89.05
2020,2008 = 100,primary energy consumption,,,82.72
2021,2008 = 100,primary energy consumption,,,85.29
2008,2008 = 100,primary energy consumption,,,100.0
2009,2008 = 100,primary energy consumption,,,95.08
2010,2008 = 100,primary energy consumption,,,95.23
2011,2008 = 100,primary energy consumption,,,88.26
2012,2008 = 100,primary energy consumption,,,85.68
2013,2008 = 100,primary energy consumption,,,88.92
2014,2008 = 100,primary energy consumption,,,85.43
2015,2008 = 100,primary energy consumption,,,87.24
2016,2008 = 100,primary energy consumption,,,89.3
2017,2008 = 100,primary energy consumption,,,87.72
2018,2008 = 100,primary energy consumption,,,87.85
2019,2008 = 100,primary energy consumption,,,88.24
2020,2008 = 100,primary energy consumption,,,82.75
2021,2008 = 100,primary energy consumption,,,
2008,2008 = 100,primary energy consumption,,,100.0
2009,2008 = 100,primary energy consumption,,,98.27
2010,2008 = 100,primary energy consumption,,,102.05
2011,2008 = 100,primary energy consumption,,,99.9
2012,2008 = 100,primary energy consumption,,,97.56
2013,2008 = 100,primary energy consumption,,,98.19
2014,2008 = 100,primary energy consumption,,,94.71
2015,2008 = 100,primary energy consumption,,,94.84
2016,2008 = 100,primary energy consumption,,,94.96
2017,2008 = 100,primary energy consumption,,,95.4
2018,2008 = 100,primary energy consumption,,,89.76
2019,2008 = 100,primary energy consumption,,,91.53
2020,2008 = 100,primary energy consumption,,,
2021,2008 = 100,primary energy consumption,,,
2008,2008 = 100,primary energy consumption,,,100.0
2009,2008 = 100,primary energy consumption,,,98.6
2010,2008 = 100,primary energy consumption,,,107.63
2011,2008 = 100,primary energy consumption,,,96.33
2012,2008 = 100,primary energy consumption,,,97.58
2013,2008 = 100,primary energy consumption,,,100.58
2014,2008 = 100,primary energy consumption,,,94.6
2015,2008 = 100,primary energy consumption,,,92.23
2016,2008 = 100,primary energy consumption,,,94.71
2017,2008 = 100,primary energy consumption,,,94.16
2018,2008 = 100,primary energy consumption,,,92.75
2019,2008 = 100,primary energy consumption,,,91.99
2020,2008 = 100,primary energy consumption,,,83.88
2021,2008 = 100,primary energy consumption,,,
2008,2008 = 100,primary energy consumption,,,100.0
2009,2008 = 100,primary energy consumption,,,97.02
2010,2008 = 100,primary energy consumption,,,102.12
2011,2008 = 100,primary energy consumption,,,104.45
2012,2008 = 100,primary energy consumption,,,104.54
2013,2008 = 100,primary energy consumption,,,102.19
2014,2008 = 100,primary energy consumption,,,101.39
2015,2008 = 100,primary energy consumption,,,101.43
2016,2008 = 100,primary energy consumption,,,101.96
2017,2008 = 100,primary energy consumption,,,103.67
2018,2008 = 100,primary energy consumption,,,106.36
2019,2008 = 100,primary energy consumption,,,96.19
2020,2008 = 100,primary energy consumption,,,
2021,2008 = 100,primary energy consumption,,,
2008,2008 = 100,primary energy consumption,,,100.0
2009,2008 = 100,primary energy consumption,,,96.2
2010,2008 = 100,primary energy consumption,,,105.9
2011,2008 = 100,primary energy consumption,,,100.29
2012,2008 = 100,primary energy consumption,,,100.34
2013,2008 = 100,primary energy consumption,,,99.37
2014,2008 = 100,primary energy consumption,,,100.79
2015,2008 = 100,primary energy consumption,,,100.07
2016,2008 = 100,primary energy consumption,,,98.88
2017,2008 = 100,primary energy consumption,,,100.55
2018,2008 = 100,primary energy consumption,,,95.59
2019,2008 = 100,primary energy consumption,,,89.68
2020,2008 = 100,primary energy consumption,,,81.09
2021,2008 = 100,primary energy consumption,,,
2008,2008 = 100,primary energy consumption,,,100.0
2009,2008 = 100,primary energy consumption,,,98.74
2010,2008 = 100,primary energy consumption,,,106.3
2011,2008 = 100,primary energy consumption,,,99.55
2012,2008 = 100,primary energy consumption,,,99.96
2013,2008 = 100,primary energy consumption,,,99.16
2014,2008 = 100,primary energy consumption,,,99.79
2015,2008 = 100,primary energy consumption,,,107.13
2016,2008 = 100,primary energy consumption,,,110.39
2017,2008 = 100,primary energy consumption,,,111.87
2018,2008 = 100,primary energy consumption,,,114.51
2019,2008 = 100,primary energy consumption,,,110.11
2020,2008 = 100,primary energy consumption,,,98.06
2021,2008 = 100,primary energy consumption,,,
2008,2008 = 100,primary energy consumption,,,100.0
2009,2008 = 100,primary energy consumption,,,83.48
2010,2008 = 100,primary energy consumption,,,94.98
2011,2008 = 100,primary energy consumption,,,83.35
2012,2008 = 100,primary energy consumption,,,80.85
2013,2008 = 100,primary energy consumption,,,81.39
2014,2008 = 100,primary energy consumption,,,80.3
2015,2008 = 100,primary energy consumption,,,81.72
2016,2008 = 100,primary energy consumption,,,83.3
2017,2008 = 100,primary energy consumption,,,82.91
2018,2008 = 100,primary energy consumption,,,81.35
2019,2008 = 100,primary energy consumption,,,82.38
2020,2008 = 100,primary energy consumption,,,83.2
2021,2008 = 100,primary energy consumption,,,
2008,2008 = 100,primary energy consumption,,,100.0
2009,2008 = 100,primary energy consumption,,,95.14
2010,2008 = 100,primary energy consumption,,,101.93
2011,2008 = 100,primary energy consumption,,,98.29
2012,2008 = 100,primary energy consumption,,,103.93
2013,2008 = 100,primary energy consumption,,,104.58
2014,2008 = 100,primary energy consumption,,,104.25
2015,2008 = 100,primary energy consumption,,,102.14
2016,2008 = 100,primary energy consumption,,,106.07
2017,2008 = 100,primary energy consumption,,,93.21
2018,2008 = 100,primary energy consumption,,,91.07
2019,2008 = 100,primary energy consumption,,,
2020,2008 = 100,primary energy consumption,,,
2021,2008 = 100,primary energy consumption,,,
2008,2008 = 100,primary energy consumption,,,100.0
2009,2008 = 100,primary energy consumption,,,97.64
2010,2008 = 100,primary energy consumption,,,100.68
2011,2008 = 100,primary energy consumption,,,91.89
2012,2008 = 100,primary energy consumption,,,90.82
2013,2008 = 100,primary energy consumption,,,91.16
2014,2008 = 100,primary energy consumption,,,90.39
2015,2008 = 100,primary energy consumption,,,89.77
2016,2008 = 100,primary energy consumption,,,89.54
2017,2008 = 100,primary energy consumption,,,90.11
2018,2008 = 100,primary energy consumption,,,91.14
2019,2008 = 100,primary energy consumption,,,89.44
2020,2008 = 100,primary energy consumption,,,88.14
2021,2008 = 100,primary energy consumption,,,
2008,2008 = 100,primary energy consumption,,,100.0
2009,2008 = 100,primary energy consumption,,,100.7
2010,2008 = 100,primary energy consumption,,,105.72
2011,2008 = 100,primary energy consumption,,,101.91
2012,2008 = 100,primary energy consumption,,,100.62
2013,2008 = 100,primary energy consumption,,,100.5
2014,2008 = 100,primary energy consumption,,,102.51
2015,2008 = 100,primary energy consumption,,,101.62
2016,2008 = 100,primary energy consumption,,,96.72
2017,2008 = 100,primary energy consumption,,,94.96
2018,2008 = 100,primary energy consumption,,,89.34
2019,2008 = 100,primary energy consumption,,,86.49
2020,2008 = 100,primary energy consumption,,,
2021,2008 = 100,primary energy consumption,,,
2008,2008 = 100,primary energy consumption,,,100.0
2009,2008 = 100,primary energy consumption,,,92.72
2010,2008 = 100,primary energy consumption,,,100.2
2011,2008 = 100,primary energy consumption,,,94.41
2012,2008 = 100,primary energy consumption,,,94.43
2013,2008 = 100,primary energy consumption,,,97.93
2014,2008 = 100,primary energy consumption,,,92.62
2015,2008 = 100,primary energy consumption,,,95.1
2016,2008 = 100,primary energy consumption,,,96.27
2017,2008 = 100,primary energy consumption,,,98.35
2018,2008 = 100,primary energy consumption,,,95.26
2019,2008 = 100,primary energy consumption,,,95.6
2020,2008 = 100,primary energy consumption,,,101.39
2021,2008 = 100,primary energy consumption,,,
2008,2008 = 100,primary energy consumption,,,100.0
2009,2008 = 100,primary energy consumption,,,82.89
2010,2008 = 100,primary energy consumption,,,87.41
2011,2008 = 100,primary energy consumption,,,91.69
2012,2008 = 100,primary energy consumption,,,94.81
2013,2008 = 100,primary energy consumption,,,99.3
2014,2008 = 100,primary energy consumption,,,90.75
2015,2008 = 100,primary energy consumption,,,87.67
2016,2008 = 100,primary energy consumption,,,
2017,2008 = 100,primary energy consumption,,,
2018,2008 = 100,primary energy consumption,,,
2019,2008 = 100,primary energy consumption,,,
2020,2008 = 100,primary energy consumption,,,
2021,2008 = 100,primary energy consumption,,,
2008,2008 = 100,primary energy consumption,,,100.0
2009,2008 = 100,primary energy consumption,,,99.52
2010,2008 = 100,primary energy consumption,,,101.53
2011,2008 = 100,primary energy consumption,,,97.23
2012,2008 = 100,primary energy consumption,,,99.19
2013,2008 = 100,primary energy consumption,,,102.32
2014,2008 = 100,primary energy consumption,,,100.39
2015,2008 = 100,primary energy consumption,,,98.73
2016,2008 = 100,primary energy consumption,,,101.29
2017,2008 = 100,primary energy consumption,,,104.77
2018,2008 = 100,primary energy consumption,,,103.22
2019,2008 = 100,primary energy consumption,,,95.92
2020,2008 = 100,primary energy consumption,,,
2021,2008 = 100,primary energy consumption,,,
2008,2008 = 100,primary energy consumption,,,100.0
2009,2008 = 100,primary energy consumption,,,99.07
2010,2008 = 100,primary energy consumption,,,104.27
2011,2008 = 100,primary energy consumption,,,102.29
2012,2008 = 100,primary energy consumption,,,102.75
2013,2008 = 100,primary energy consumption,,,96.97
2014,2008 = 100,primary energy consumption,,,96.97
2015,2008 = 100,primary energy consumption,,,100.22
2016,2008 = 100,primary energy consumption,,,103.21
2017,2008 = 100,primary energy consumption,,,99.37
2018,2008 = 100,primary energy consumption,,,108.23
2019,2008 = 100,primary energy consumption,,,101.43
2020,2008 = 100,primary energy consumption,,,
2021,2008 = 100,primary energy consumption,,,
2008,2008 = 100,primary energy consumption,,,100.0
2009,2008 = 100,primary energy consumption,,,97.2
2010,2008 = 100,primary energy consumption,,,102.21
2011,2008 = 100,primary energy consumption,,,96.78
2012,2008 = 100,primary energy consumption,,,101.1
2013,2008 = 100,primary energy consumption,,,104.53
2014,2008 = 100,primary energy consumption,,,99.93
2015,2008 = 100,primary energy consumption,,,97.3
2016,2008 = 100,primary energy consumption,,,99.17
2017,2008 = 100,primary energy consumption,,,89.18
2018,2008 = 100,primary energy consumption,,,98.13
2019,2008 = 100,primary energy consumption,,,93.77
2020,2008 = 100,primary energy consumption,,,97.94
2021,2008 = 100,primary energy consumption,,,
2008,2008 = 100,primary energy consumption,,,100.0
2009,2008 = 100,primary energy consumption,,,96.12
2010,2008 = 100,primary energy consumption,,,100.04
2011,2008 = 100,primary energy consumption,,,95.19
2012,2008 = 100,primary energy consumption,,,96.75
2013,2008 = 100,primary energy consumption,,,98.68
2014,2008 = 100,primary energy consumption,,,92.92
2015,2008 = 100,primary energy consumption,,,93.12
2016,2008 = 100,primary energy consumption,,,95.7
2017,2008 = 100,primary energy consumption,,,96.49
2018,2008 = 100,primary energy consumption,,,95.14
2019,2008 = 100,primary energy consumption,,,93.27
2020,2008 = 100,primary energy consumption,,,
2021,2008 = 100,primary energy consumption,,,
