Year,Units,Series,federal state,GeoCode,Value
2018,percentage,data from the federal statistical office,hesse,code06,
2019,percentage,data from the federal statistical office,hesse,code06,
2020,percentage,data from the federal statistical office,hesse,code06,15.0
2021,percentage,data from the federal statistical office,hesse,code06,
2000,percentage,data from the federal statistical office,hesse,code06,
2030.0,percentage,data from the federal statistical office,,,
1999,percentage,data from the federal statistical office,mecklenburg western pomerania,code13,
2001,percentage,data from the federal statistical office,mecklenburg western pomerania,code13,7.2
2002,percentage,data from the federal statistical office,mecklenburg western pomerania,code13,
2003,percentage,data from the federal statistical office,mecklenburg western pomerania,code13,8.1
2004,percentage,data from the federal statistical office,mecklenburg western pomerania,code13,
2005,percentage,data from the federal statistical office,mecklenburg western pomerania,code13,8.1
2006,percentage,data from the federal statistical office,mecklenburg western pomerania,code13,
2007,percentage,data from the federal statistical office,mecklenburg western pomerania,code13,8.8
2008,percentage,data from the federal statistical office,mecklenburg western pomerania,code13,
2009,percentage,data from the federal statistical office,mecklenburg western pomerania,code13,
2010,percentage,data from the federal statistical office,mecklenburg western pomerania,code13,8.7
2011,percentage,data from the federal statistical office,mecklenburg western pomerania,code13,
2012,percentage,data from the federal statistical office,mecklenburg western pomerania,code13,
2013,percentage,data from the federal statistical office,mecklenburg western pomerania,code13,9.0
2014,percentage,data from the federal statistical office,mecklenburg western pomerania,code13,
2015,percentage,data from the federal statistical office,mecklenburg western pomerania,code13,
2016,percentage,data from the federal statistical office,mecklenburg western pomerania,code13,9.4
2017,percentage,data from the federal statistical office,mecklenburg western pomerania,code13,
2018,percentage,data from the federal statistical office,mecklenburg western pomerania,code13,
2019,percentage,data from the federal statistical office,mecklenburg western pomerania,code13,
2020,percentage,data from the federal statistical office,mecklenburg western pomerania,code13,12.2
2021,percentage,data from the federal statistical office,mecklenburg western pomerania,code13,
2000,percentage,data from the federal statistical office,mecklenburg western pomerania,code13,
2030.0,percentage,data from the federal statistical office,,,
1999,percentage,data from the federal statistical office,lower saxony,code03,
2001,percentage,data from the federal statistical office,lower saxony,code03,1.4
2002,percentage,data from the federal statistical office,lower saxony,code03,
2003,percentage,data from the federal statistical office,lower saxony,code03,2.1
2004,percentage,data from the federal statistical office,lower saxony,code03,
2005,percentage,data from the federal statistical office,lower saxony,code03,2.4
2006,percentage,data from the federal statistical office,lower saxony,code03,
2007,percentage,data from the federal statistical office,lower saxony,code03,2.9
2008,percentage,data from the federal statistical office,lower saxony,code03,
2009,percentage,data from the federal statistical office,lower saxony,code03,
2010,percentage,data from the federal statistical office,lower saxony,code03,2.9
2011,percentage,data from the federal statistical office,lower saxony,code03,
2012,percentage,data from the federal statistical office,lower saxony,code03,
2013,percentage,data from the federal statistical office,lower saxony,code03,2.9
2014,percentage,data from the federal statistical office,lower saxony,code03,
2015,percentage,data from the federal statistical office,lower saxony,code03,
2016,percentage,data from the federal statistical office,lower saxony,code03,3.2
2017,percentage,data from the federal statistical office,lower saxony,code03,
2018,percentage,data from the federal statistical office,lower saxony,code03,
2019,percentage,data from the federal statistical office,lower saxony,code03,
2020,percentage,data from the federal statistical office,lower saxony,code03,4.8
2021,percentage,data from the federal statistical office,lower saxony,code03,
2000,percentage,data from the federal statistical office,lower saxony,code03,
2030.0,percentage,data from the federal statistical office,,,
1999,percentage,data from the federal statistical office,north rhine-westphalia,code05,
2001,percentage,data from the federal statistical office,north rhine-westphalia,code05,1.5
2002,percentage,data from the federal statistical office,north rhine-westphalia,code05,
2003,percentage,data from the federal statistical office,north rhine-westphalia,code05,2.5
2004,percentage,data from the federal statistical office,north rhine-westphalia,code05,
2005,percentage,data from the federal statistical office,north rhine-westphalia,code05,2.8
2006,percentage,data from the federal statistical office,north rhine-westphalia,code05,
2007,percentage,data from the federal statistical office,north rhine-westphalia,code05,3.3
2008,percentage,data from the federal statistical office,north rhine-westphalia,code05,
2009,percentage,data from the federal statistical office,north rhine-westphalia,code05,
2010,percentage,data from the federal statistical office,north rhine-westphalia,code05,3.6
2011,percentage,data from the federal statistical office,north rhine-westphalia,code05,
2012,percentage,data from the federal statistical office,north rhine-westphalia,code05,
2013,percentage,data from the federal statistical office,north rhine-westphalia,code05,4.2
2014,percentage,data from the federal statistical office,north rhine-westphalia,code05,
2015,percentage,data from the federal statistical office,north rhine-westphalia,code05,
2016,percentage,data from the federal statistical office,north rhine-westphalia,code05,4.2
2017,percentage,data from the federal statistical office,north rhine-westphalia,code05,
2018,percentage,data from the federal statistical office,north rhine-westphalia,code05,
2019,percentage,data from the federal statistical office,north rhine-westphalia,code05,
2020,percentage,data from the federal statistical office,north rhine-westphalia,code05,5.7
2021,percentage,data from the federal statistical office,north rhine-westphalia,code05,
2000,percentage,data from the federal statistical office,north rhine-westphalia,code05,
2030.0,percentage,data from the federal statistical office,,,
1999,percentage,data from the federal statistical office,rhineland palatinate,code07,
2001,percentage,data from the federal statistical office,rhineland palatinate,code07,2.2
2002,percentage,data from the federal statistical office,rhineland palatinate,code07,
2003,percentage,data from the federal statistical office,rhineland palatinate,code07,2.4
2004,percentage,data from the federal statistical office,rhineland palatinate,code07,
2005,percentage,data from the federal statistical office,rhineland palatinate,code07,2.7
2006,percentage,data from the federal statistical office,rhineland palatinate,code07,
2007,percentage,data from the federal statistical office,rhineland palatinate,code07,3.6
2008,percentage,data from the federal statistical office,rhineland palatinate,code07,
2009,percentage,data from the federal statistical office,rhineland palatinate,code07,
2010,percentage,data from the federal statistical office,rhineland palatinate,code07,5.1
2011,percentage,data from the federal statistical office,rhineland palatinate,code07,
2012,percentage,data from the federal statistical office,rhineland palatinate,code07,
2013,percentage,data from the federal statistical office,rhineland palatinate,code07,6.4
2014,percentage,data from the federal statistical office,rhineland palatinate,code07,
2015,percentage,data from the federal statistical office,rhineland palatinate,code07,
2016,percentage,data from the federal statistical office,rhineland palatinate,code07,8.7
2017,percentage,data from the federal statistical office,rhineland palatinate,code07,
2018,percentage,data from the federal statistical office,rhineland palatinate,code07,
2019,percentage,data from the federal statistical office,rhineland palatinate,code07,
2020,percentage,data from the federal statistical office,rhineland palatinate,code07,11.3
2021,percentage,data from the federal statistical office,rhineland palatinate,code07,
2000,percentage,data from the federal statistical office,rhineland palatinate,code07,
2030.0,percentage,data from the federal statistical office,,,
1999,percentage,data from the federal statistical office,saarland,code10,
2001,percentage,data from the federal statistical office,saarland,code10,5.4
2002,percentage,data from the federal statistical office,saarland,code10,
2003,percentage,data from the federal statistical office,saarland,code10,6.7
2004,percentage,data from the federal statistical office,saarland,code10,
2005,percentage,data from the federal statistical office,saarland,code10,7.8
2006,percentage,data from the federal statistical office,saarland,code10,
2007,percentage,data from the federal statistical office,saarland,code10,9.1
2008,percentage,data from the federal statistical office,saarland,code10,
2009,percentage,data from the federal statistical office,saarland,code10,
2010,percentage,data from the federal statistical office,saarland,code10,10.6
2011,percentage,data from the federal statistical office,saarland,code10,
2012,percentage,data from the federal statistical office,saarland,code10,
2013,percentage,data from the federal statistical office,saarland,code10,11.4
2014,percentage,data from the federal statistical office,saarland,code10,
2015,percentage,data from the federal statistical office,saarland,code10,
2016,percentage,data from the federal statistical office,saarland,code10,14.9
2017,percentage,data from the federal statistical office,saarland,code10,
2018,percentage,data from the federal statistical office,saarland,code10,
2019,percentage,data from the federal statistical office,saarland,code10,
2020,percentage,data from the federal statistical office,saarland,code10,18.0
2021,percentage,data from the federal statistical office,saarland,code10,
2000,percentage,data from the federal statistical office,saarland,code10,
2030.0,percentage,data from the federal statistical office,,,
1999,percentage,data from the federal statistical office,saxony,code14,
2001,percentage,data from the federal statistical office,saxony,code14,2.6
2002,percentage,data from the federal statistical office,saxony,code14,
2003,percentage,data from the federal statistical office,saxony,code14,3.4
2004,percentage,data from the federal statistical office,saxony,code14,
2005,percentage,data from the federal statistical office,saxony,code14,3.4
2006,percentage,data from the federal statistical office,saxony,code14,
2007,percentage,data from the federal statistical office,saxony,code14,3.5
2008,percentage,data from the federal statistical office,saxony,code14,
2009,percentage,data from the federal statistical office,saxony,code14,
2010,percentage,data from the federal statistical office,saxony,code14,3.7
2011,percentage,data from the federal statistical office,saxony,code14,
2012,percentage,data from the federal statistical office,saxony,code14,
2013,percentage,data from the federal statistical office,saxony,code14,3.8
2014,percentage,data from the federal statistical office,saxony,code14,
2015,percentage,data from the federal statistical office,saxony,code14,
2016,percentage,data from the federal statistical office,saxony,code14,4.6
2017,percentage,data from the federal statistical office,saxony,code14,
2018,percentage,data from the federal statistical office,saxony,code14,
2019,percentage,data from the federal statistical office,saxony,code14,
2020,percentage,data from the federal statistical office,saxony,code14,7.9
2021,percentage,data from the federal statistical office,saxony,code14,
2000,percentage,data from the federal statistical office,saxony,code14,
2030.0,percentage,data from the federal statistical office,,,
1999,percentage,data from the federal statistical office,saxony-anhalt,code15,
2001,percentage,data from the federal statistical office,saxony-anhalt,code15,2.6
2002,percentage,data from the federal statistical office,saxony-anhalt,code15,
2003,percentage,data from the federal statistical office,saxony-anhalt,code15,3.2
2004,percentage,data from the federal statistical office,saxony-anhalt,code15,
2005,percentage,data from the federal statistical office,saxony-anhalt,code15,4.2
2006,percentage,data from the federal statistical office,saxony-anhalt,code15,
2007,percentage,data from the federal statistical office,saxony-anhalt,code15,3.8
2008,percentage,data from the federal statistical office,saxony-anhalt,code15,
2009,percentage,data from the federal statistical office,saxony-anhalt,code15,
2010,percentage,data from the federal statistical office,saxony-anhalt,code15,4.2
2011,percentage,data from the federal statistical office,saxony-anhalt,code15,
2012,percentage,data from the federal statistical office,saxony-anhalt,code15,
2013,percentage,data from the federal statistical office,saxony-anhalt,code15,4.5
2014,percentage,data from the federal statistical office,saxony-anhalt,code15,
2015,percentage,data from the federal statistical office,saxony-anhalt,code15,
2016,percentage,data from the federal statistical office,saxony-anhalt,code15,5.0
2017,percentage,data from the federal statistical office,saxony-anhalt,code15,
2018,percentage,data from the federal statistical office,saxony-anhalt,code15,
2019,percentage,data from the federal statistical office,saxony-anhalt,code15,
2020,percentage,data from the federal statistical office,saxony-anhalt,code15,9.0
2021,percentage,data from the federal statistical office,saxony-anhalt,code15,
2000,percentage,data from the federal statistical office,saxony-anhalt,code15,
2030.0,percentage,data from the federal statistical office,,,
1999,percentage,data from the federal statistical office,schleswig-holstein,code01,
2001,percentage,data from the federal statistical office,schleswig-holstein,code01,1.9
2002,percentage,data from the federal statistical office,schleswig-holstein,code01,
2003,percentage,data from the federal statistical office,schleswig-holstein,code01,2.2
2004,percentage,data from the federal statistical office,schleswig-holstein,code01,
2005,percentage,data from the federal statistical office,schleswig-holstein,code01,2.8
2006,percentage,data from the federal statistical office,schleswig-holstein,code01,
2007,percentage,data from the federal statistical office,schleswig-holstein,code01,2.9
2008,percentage,data from the federal statistical office,schleswig-holstein,code01,
2009,percentage,data from the federal statistical office,schleswig-holstein,code01,
2010,percentage,data from the federal statistical office,schleswig-holstein,code01,3.3
2011,percentage,data from the federal statistical office,schleswig-holstein,code01,
2012,percentage,data from the federal statistical office,schleswig-holstein,code01,
2013,percentage,data from the federal statistical office,schleswig-holstein,code01,3.4
2014,percentage,data from the federal statistical office,schleswig-holstein,code01,
2015,percentage,data from the federal statistical office,schleswig-holstein,code01,
2016,percentage,data from the federal statistical office,schleswig-holstein,code01,4.0
2017,percentage,data from the federal statistical office,schleswig-holstein,code01,
2018,percentage,data from the federal statistical office,schleswig-holstein,code01,
2019,percentage,data from the federal statistical office,schleswig-holstein,code01,
2020,percentage,data from the federal statistical office,schleswig-holstein,code01,6.4
2021,percentage,data from the federal statistical office,schleswig-holstein,code01,
2000,percentage,data from the federal statistical office,schleswig-holstein,code01,
2030.0,percentage,data from the federal statistical office,,,
1999,percentage,data from the federal statistical office,thuringia,code16,
2001,percentage,data from the federal statistical office,thuringia,code16,2.1
2002,percentage,data from the federal statistical office,thuringia,code16,
2003,percentage,data from the federal statistical office,thuringia,code16,3.0
2004,percentage,data from the federal statistical office,thuringia,code16,
2005,percentage,data from the federal statistical office,thuringia,code16,3.1
2006,percentage,data from the federal statistical office,thuringia,code16,
2007,percentage,data from the federal statistical office,thuringia,code16,5.1
2008,percentage,data from the federal statistical office,thuringia,code16,
2009,percentage,data from the federal statistical office,thuringia,code16,
2010,percentage,data from the federal statistical office,thuringia,code16,4.4
2011,percentage,data from the federal statistical office,thuringia,code16,
2012,percentage,data from the federal statistical office,thuringia,code16,
2013,percentage,data from the federal statistical office,thuringia,code16,4.4
2014,percentage,data from the federal statistical office,thuringia,code16,
2015,percentage,data from the federal statistical office,thuringia,code16,
2016,percentage,data from the federal statistical office,thuringia,code16,4.3
2017,percentage,data from the federal statistical office,thuringia,code16,
2018,percentage,data from the federal statistical office,thuringia,code16,
2019,percentage,data from the federal statistical office,thuringia,code16,
2020,percentage,data from the federal statistical office,thuringia,code16,6.6
2021,percentage,data from the federal statistical office,thuringia,code16,
2000,percentage,data from the federal statistical office,thuringia,code16,
2030.0,percentage,data from the federal statistical office,,,
1999,percentage,data from the federal ministry of food and agriculture,,,
2001,percentage,data from the federal ministry of food and agriculture,,,3.7
2002,percentage,data from the federal ministry of food and agriculture,,,4.1
2003,percentage,data from the federal ministry of food and agriculture,,,4.3
2004,percentage,data from the federal ministry of food and agriculture,,,4.5
2005,percentage,data from the federal ministry of food and agriculture,,,4.7
2006,percentage,data from the federal ministry of food and agriculture,,,4.9
2007,percentage,data from the federal ministry of food and agriculture,,,5.1
2008,percentage,data from the federal ministry of food and agriculture,,,5.4
2009,percentage,data from the federal ministry of food and agriculture,,,5.6
2010,percentage,data from the federal ministry of food and agriculture,,,5.9
2011,percentage,data from the federal ministry of food and agriculture,,,6.1
2012,percentage,data from the federal ministry of food and agriculture,,,6.2
2013,percentage,data from the federal ministry of food and agriculture,,,6.3
2014,percentage,data from the federal ministry of food and agriculture,,,6.3
2015,percentage,data from the federal ministry of food and agriculture,,,6.5
2016,percentage,data from the federal ministry of food and agriculture,,,7.5
2017,percentage,data from the federal ministry of food and agriculture,,,8.2
2018,percentage,data from the federal ministry of food and agriculture,,,9.0
2019,percentage,data from the federal ministry of food and agriculture,,,9.7
2020,percentage,data from the federal ministry of food and agriculture,,,10.3
2021,percentage,data from the federal ministry of food and agriculture,,,10.9
2000,percentage,data from the federal ministry of food and agriculture,,,
2030.0,percentage,data from the federal ministry of food and agriculture,,,
