Year,Units,federal state,GeoCode,criminal offences,Value
2008,"per 100,000 inhabitants",baden-wuerttemberg,code08,Straftaten insgesamt,5628.669
2009,"per 100,000 inhabitants",baden-wuerttemberg,code08,Straftaten insgesamt,5515.582
2010,"per 100,000 inhabitants",baden-wuerttemberg,code08,Straftaten insgesamt,5457.241
2011,"per 100,000 inhabitants",baden-wuerttemberg,code08,Straftaten insgesamt,5562.282
2012,"per 100,000 inhabitants",baden-wuerttemberg,code08,Straftaten insgesamt,5455.051
2013,"per 100,000 inhabitants",baden-wuerttemberg,code08,Straftaten insgesamt,5450.5
2014,"per 100,000 inhabitants",baden-wuerttemberg,code08,Straftaten insgesamt,5592.3
2015,"per 100,000 inhabitants",baden-wuerttemberg,code08,Straftaten insgesamt,5760.805
2016,"per 100,000 inhabitants",baden-wuerttemberg,code08,Straftaten insgesamt,5598.845
2017,"per 100,000 inhabitants",baden-wuerttemberg,code08,Straftaten insgesamt,5295.459
2018,"per 100,000 inhabitants",baden-wuerttemberg,code08,Straftaten insgesamt,5190.519
2019,"per 100,000 inhabitants",baden-wuerttemberg,code08,Straftaten insgesamt,5183.715
2020,"per 100,000 inhabitants",baden-wuerttemberg,code08,Straftaten insgesamt,4851.774
2021,"per 100,000 inhabitants",baden-wuerttemberg,code08,Straftaten insgesamt,4380.16
1993,"per 100,000 inhabitants",bavaria,code09,Straftaten insgesamt,5698.936
1994,"per 100,000 inhabitants",bavaria,code09,Straftaten insgesamt,5755.526
1995,"per 100,000 inhabitants",bavaria,code09,Straftaten insgesamt,5659.312
1996,"per 100,000 inhabitants",bavaria,code09,Straftaten insgesamt,5792.028
1997,"per 100,000 inhabitants",bavaria,code09,Straftaten insgesamt,5840.88
1998,"per 100,000 inhabitants",bavaria,code09,Straftaten insgesamt,5729.465
1999,"per 100,000 inhabitants",bavaria,code09,Straftaten insgesamt,5712.341
2000,"per 100,000 inhabitants",bavaria,code09,Straftaten insgesamt,5654.849
2001,"per 100,000 inhabitants",bavaria,code09,Straftaten insgesamt,5789.82
2002,"per 100,000 inhabitants",bavaria,code09,Straftaten insgesamt,5671.818
2003,"per 100,000 inhabitants",bavaria,code09,Straftaten insgesamt,5754.791
2004,"per 100,000 inhabitants",bavaria,code09,Straftaten insgesamt,5801.895
2005,"per 100,000 inhabitants",bavaria,code09,Straftaten insgesamt,5532.8
2006,"per 100,000 inhabitants",bavaria,code09,Straftaten insgesamt,5455.26
2007,"per 100,000 inhabitants",bavaria,code09,Straftaten insgesamt,5392.219
2008,"per 100,000 inhabitants",bavaria,code09,Straftaten insgesamt,5199.994
2009,"per 100,000 inhabitants",bavaria,code09,Straftaten insgesamt,5130.388
2010,"per 100,000 inhabitants",bavaria,code09,Straftaten insgesamt,5017.309
2011,"per 100,000 inhabitants",bavaria,code09,Straftaten insgesamt,5031.799
2012,"per 100,000 inhabitants",bavaria,code09,Straftaten insgesamt,5037.742
2013,"per 100,000 inhabitants",bavaria,code09,Straftaten insgesamt,5073.1
2014,"per 100,000 inhabitants",bavaria,code09,Straftaten insgesamt,5163.9
2015,"per 100,000 inhabitants",bavaria,code09,Straftaten insgesamt,6350.003
2016,"per 100,000 inhabitants",bavaria,code09,Straftaten insgesamt,6870.962
2017,"per 100,000 inhabitants",bavaria,code09,Straftaten insgesamt,4868.333
2018,"per 100,000 inhabitants",bavaria,code09,Straftaten insgesamt,4888.905
2019,"per 100,000 inhabitants",bavaria,code09,Straftaten insgesamt,4614.796
2020,"per 100,000 inhabitants",bavaria,code09,Straftaten insgesamt,4527.656
2021,"per 100,000 inhabitants",bavaria,code09,Straftaten insgesamt,4137.538
1993,"per 100,000 inhabitants",berlin,code11,Straftaten insgesamt,16398.424
1994,"per 100,000 inhabitants",berlin,code11,Straftaten insgesamt,15960.884
1995,"per 100,000 inhabitants",berlin,code11,Straftaten insgesamt,16889.159
1996,"per 100,000 inhabitants",berlin,code11,Straftaten insgesamt,17332.703
1997,"per 100,000 inhabitants",berlin,code11,Straftaten insgesamt,17392.654
1998,"per 100,000 inhabitants",berlin,code11,Straftaten insgesamt,17432.102
1999,"per 100,000 inhabitants",berlin,code11,Straftaten insgesamt,17205.543
2000,"per 100,000 inhabitants",berlin,code11,Straftaten insgesamt,16849.007
2001,"per 100,000 inhabitants",berlin,code11,Straftaten insgesamt,17384.991
2002,"per 100,000 inhabitants",berlin,code11,Straftaten insgesamt,17758.228
2003,"per 100,000 inhabitants",berlin,code11,Straftaten insgesamt,17173.732
2004,"per 100,000 inhabitants",berlin,code11,Straftaten insgesamt,16500.48
2005,"per 100,000 inhabitants",berlin,code11,Straftaten insgesamt,15613.554
2006,"per 100,000 inhabitants",berlin,code11,Straftaten insgesamt,15240.121
2007,"per 100,000 inhabitants",berlin,code11,Straftaten insgesamt,15220.406
2008,"per 100,000 inhabitants",berlin,code11,Straftaten insgesamt,14796.442
2009,"per 100,000 inhabitants",berlin,code11,Straftaten insgesamt,15188.32
2010,"per 100,000 inhabitants",berlin,code11,Straftaten insgesamt,14526.391
2011,"per 100,000 inhabitants",berlin,code11,Straftaten insgesamt,15080.318
2012,"per 100,000 inhabitants",berlin,code11,Straftaten insgesamt,14891.663
2013,"per 100,000 inhabitants",berlin,code11,Straftaten insgesamt,14907.6
2014,"per 100,000 inhabitants",berlin,code11,Straftaten insgesamt,15873.3
2015,"per 100,000 inhabitants",berlin,code11,Straftaten insgesamt,16414.259
2016,"per 100,000 inhabitants",berlin,code11,Straftaten insgesamt,16160.653
2017,"per 100,000 inhabitants",berlin,code11,Straftaten insgesamt,14558.371
2018,"per 100,000 inhabitants",berlin,code11,Straftaten insgesamt,14160.169
2019,"per 100,000 inhabitants",berlin,code11,Straftaten insgesamt,14086.434
2020,"per 100,000 inhabitants",berlin,code11,Straftaten insgesamt,13738.745
2021,"per 100,000 inhabitants",berlin,code11,Straftaten insgesamt,13158.172
1993,"per 100,000 inhabitants",brandenburg,code12,Straftaten insgesamt,12918.761
1994,"per 100,000 inhabitants",brandenburg,code12,Straftaten insgesamt,12974.273
1995,"per 100,000 inhabitants",brandenburg,code12,Straftaten insgesamt,12097.324
1996,"per 100,000 inhabitants",brandenburg,code12,Straftaten insgesamt,11742.386
1997,"per 100,000 inhabitants",brandenburg,code12,Straftaten insgesamt,11311.745
1998,"per 100,000 inhabitants",brandenburg,code12,Straftaten insgesamt,10871.576
1999,"per 100,000 inhabitants",brandenburg,code12,Straftaten insgesamt,9785.906
2000,"per 100,000 inhabitants",brandenburg,code12,Straftaten insgesamt,9925.197
2001,"per 100,000 inhabitants",brandenburg,code12,Straftaten insgesamt,9556.005
2002,"per 100,000 inhabitants",brandenburg,code12,Straftaten insgesamt,9511.249
2003,"per 100,000 inhabitants",brandenburg,code12,Straftaten insgesamt,9613.121
2004,"per 100,000 inhabitants",brandenburg,code12,Straftaten insgesamt,9406.883
2005,"per 100,000 inhabitants",brandenburg,code12,Straftaten insgesamt,8974.969
2006,"per 100,000 inhabitants",brandenburg,code12,Straftaten insgesamt,8816.103
2007,"per 100,000 inhabitants",brandenburg,code12,Straftaten insgesamt,9010.441
2008,"per 100,000 inhabitants",brandenburg,code12,Straftaten insgesamt,8364.957
2009,"per 100,000 inhabitants",brandenburg,code12,Straftaten insgesamt,8069.819
2010,"per 100,000 inhabitants",brandenburg,code12,Straftaten insgesamt,8267.145
2011,"per 100,000 inhabitants",brandenburg,code12,Straftaten insgesamt,8031.067
2012,"per 100,000 inhabitants",brandenburg,code12,Straftaten insgesamt,7954.818
2013,"per 100,000 inhabitants",brandenburg,code12,Straftaten insgesamt,8051.7
2014,"per 100,000 inhabitants",brandenburg,code12,Straftaten insgesamt,8004.0
2015,"per 100,000 inhabitants",brandenburg,code12,Straftaten insgesamt,7659.634
2016,"per 100,000 inhabitants",brandenburg,code12,Straftaten insgesamt,7478.632
2017,"per 100,000 inhabitants",brandenburg,code12,Straftaten insgesamt,7015.138
2018,"per 100,000 inhabitants",brandenburg,code12,Straftaten insgesamt,6901.966
2019,"per 100,000 inhabitants",brandenburg,code12,Straftaten insgesamt,6840.513
2020,"per 100,000 inhabitants",brandenburg,code12,Straftaten insgesamt,6461.059
2021,"per 100,000 inhabitants",brandenburg,code12,Straftaten insgesamt,6280.503
1993,"per 100,000 inhabitants",bremen,code04,Straftaten insgesamt,16134.251
1994,"per 100,000 inhabitants",bremen,code04,Straftaten insgesamt,14849.41
1995,"per 100,000 inhabitants",bremen,code04,Straftaten insgesamt,14854.991
1996,"per 100,000 inhabitants",bremen,code04,Straftaten insgesamt,14962.599
1997,"per 100,000 inhabitants",bremen,code04,Straftaten insgesamt,14446.51
1998,"per 100,000 inhabitants",bremen,code04,Straftaten insgesamt,13342.777
1999,"per 100,000 inhabitants",bremen,code04,Straftaten insgesamt,13048.891
2000,"per 100,000 inhabitants",bremen,code04,Straftaten insgesamt,14084.637
2001,"per 100,000 inhabitants",bremen,code04,Straftaten insgesamt,14218.731
2002,"per 100,000 inhabitants",bremen,code04,Straftaten insgesamt,14555.812
2003,"per 100,000 inhabitants",bremen,code04,Straftaten insgesamt,14482.432
2004,"per 100,000 inhabitants",bremen,code04,Straftaten insgesamt,15417.977
2005,"per 100,000 inhabitants",bremen,code04,Straftaten insgesamt,14716.057
2006,"per 100,000 inhabitants",bremen,code04,Straftaten insgesamt,14546.313
2007,"per 100,000 inhabitants",bremen,code04,Straftaten insgesamt,14638.489
2008,"per 100,000 inhabitants",bremen,code04,Straftaten insgesamt,14452.295
2009,"per 100,000 inhabitants",bremen,code04,Straftaten insgesamt,14238.874
2010,"per 100,000 inhabitants",bremen,code04,Straftaten insgesamt,13643.624
2011,"per 100,000 inhabitants",bremen,code04,Straftaten insgesamt,14276.548
2012,"per 100,000 inhabitants",bremen,code04,Straftaten insgesamt,13311.315
2013,"per 100,000 inhabitants",bremen,code04,Straftaten insgesamt,13059.2
2014,"per 100,000 inhabitants",bremen,code04,Straftaten insgesamt,12743.9
2015,"per 100,000 inhabitants",bremen,code04,Straftaten insgesamt,13784.356
2016,"per 100,000 inhabitants",bremen,code04,Straftaten insgesamt,13686.598
2017,"per 100,000 inhabitants",bremen,code04,Straftaten insgesamt,11959.579
2018,"per 100,000 inhabitants",bremen,code04,Straftaten insgesamt,10942.804
2019,"per 100,000 inhabitants",bremen,code04,Straftaten insgesamt,11453.822
2020,"per 100,000 inhabitants",bremen,code04,Straftaten insgesamt,11871.515
2021,"per 100,000 inhabitants",bremen,code04,Straftaten insgesamt,11169.335
1993,"per 100,000 inhabitants",hamburg,code02,Straftaten insgesamt,16919.817
1994,"per 100,000 inhabitants",hamburg,code02,Straftaten insgesamt,15401.776
1995,"per 100,000 inhabitants",hamburg,code02,Straftaten insgesamt,16734.975
1996,"per 100,000 inhabitants",hamburg,code02,Straftaten insgesamt,16124.469
1997,"per 100,000 inhabitants",hamburg,code02,Straftaten insgesamt,17664.472
1998,"per 100,000 inhabitants",hamburg,code02,Straftaten insgesamt,16923.745
1999,"per 100,000 inhabitants",hamburg,code02,Straftaten insgesamt,16854.017
2000,"per 100,000 inhabitants",hamburg,code02,Straftaten insgesamt,17030.485
2001,"per 100,000 inhabitants",hamburg,code02,Straftaten insgesamt,19007.281
2002,"per 100,000 inhabitants",hamburg,code02,Straftaten insgesamt,15992.52
2003,"per 100,000 inhabitants",hamburg,code02,Straftaten insgesamt,16143.506
2004,"per 100,000 inhabitants",hamburg,code02,Straftaten insgesamt,15529.472
2005,"per 100,000 inhabitants",hamburg,code02,Straftaten insgesamt,14582.808
2006,"per 100,000 inhabitants",hamburg,code02,Straftaten insgesamt,14051.123
2007,"per 100,000 inhabitants",hamburg,code02,Straftaten insgesamt,14026.725
2008,"per 100,000 inhabitants",hamburg,code02,Straftaten insgesamt,13887.925
2009,"per 100,000 inhabitants",hamburg,code02,Straftaten insgesamt,13932.422
2010,"per 100,000 inhabitants",hamburg,code02,Straftaten insgesamt,13239.878
2011,"per 100,000 inhabitants",hamburg,code02,Straftaten insgesamt,13418.186
2012,"per 100,000 inhabitants",hamburg,code02,Straftaten insgesamt,13244.775
2013,"per 100,000 inhabitants",hamburg,code02,Straftaten insgesamt,13724.4
2014,"per 100,000 inhabitants",hamburg,code02,Straftaten insgesamt,13742.9
2015,"per 100,000 inhabitants",hamburg,code02,Straftaten insgesamt,13839.36
2016,"per 100,000 inhabitants",hamburg,code02,Straftaten insgesamt,13384.185
2017,"per 100,000 inhabitants",hamburg,code02,Straftaten insgesamt,12480.24
2018,"per 100,000 inhabitants",hamburg,code02,Straftaten insgesamt,11941.217
2019,"per 100,000 inhabitants",hamburg,code02,Straftaten insgesamt,11450.924
2020,"per 100,000 inhabitants",hamburg,code02,Straftaten insgesamt,11017.765
2021,"per 100,000 inhabitants",hamburg,code02,Straftaten insgesamt,10062.36
1993,"per 100,000 inhabitants",hesse,code06,Straftaten insgesamt,8362.552
1994,"per 100,000 inhabitants",hesse,code06,Straftaten insgesamt,7940.082
1995,"per 100,000 inhabitants",hesse,code06,Straftaten insgesamt,7776.079
1996,"per 100,000 inhabitants",hesse,code06,Straftaten insgesamt,7710.327
1997,"per 100,000 inhabitants",hesse,code06,Straftaten insgesamt,7627.771
1998,"per 100,000 inhabitants",hesse,code06,Straftaten insgesamt,7452.443
1999,"per 100,000 inhabitants",hesse,code06,Straftaten insgesamt,7135.841
2000,"per 100,000 inhabitants",hesse,code06,Straftaten insgesamt,6987.653
2001,"per 100,000 inhabitants",hesse,code06,Straftaten insgesamt,6800.932
2002,"per 100,000 inhabitants",hesse,code06,Straftaten insgesamt,7104.5
2003,"per 100,000 inhabitants",hesse,code06,Straftaten insgesamt,7535.005
2004,"per 100,000 inhabitants",hesse,code06,Straftaten insgesamt,7670.757
2005,"per 100,000 inhabitants",hesse,code06,Straftaten insgesamt,7329.074
2006,"per 100,000 inhabitants",hesse,code06,Straftaten insgesamt,7098.918
2007,"per 100,000 inhabitants",hesse,code06,Straftaten insgesamt,7015.997
2008,"per 100,000 inhabitants",hesse,code06,Straftaten insgesamt,6801.635
2009,"per 100,000 inhabitants",hesse,code06,Straftaten insgesamt,6810.08
2010,"per 100,000 inhabitants",hesse,code06,Straftaten insgesamt,6732.368
2011,"per 100,000 inhabitants",hesse,code06,Straftaten insgesamt,6647.795
2012,"per 100,000 inhabitants",hesse,code06,Straftaten insgesamt,6600.619
2013,"per 100,000 inhabitants",hesse,code06,Straftaten insgesamt,6428.6
2014,"per 100,000 inhabitants",hesse,code06,Straftaten insgesamt,6565.8
2015,"per 100,000 inhabitants",hesse,code06,Straftaten insgesamt,6616.269
2016,"per 100,000 inhabitants",hesse,code06,Straftaten insgesamt,6672.483
2017,"per 100,000 inhabitants",hesse,code06,Straftaten insgesamt,6045.818
2018,"per 100,000 inhabitants",hesse,code06,Straftaten insgesamt,5971.205
2019,"per 100,000 inhabitants",hesse,code06,Straftaten insgesamt,5822.6
2020,"per 100,000 inhabitants",hesse,code06,Straftaten insgesamt,5445.589
2021,"per 100,000 inhabitants",hesse,code06,Straftaten insgesamt,5339.612
1993,"per 100,000 inhabitants",mecklenburg western pomerania,code13,Straftaten insgesamt,13811.726
1994,"per 100,000 inhabitants",mecklenburg western pomerania,code13,Straftaten insgesamt,11897.681
1995,"per 100,000 inhabitants",mecklenburg western pomerania,code13,Straftaten insgesamt,12060.317
1996,"per 100,000 inhabitants",mecklenburg western pomerania,code13,Straftaten insgesamt,11705.199
1997,"per 100,000 inhabitants",mecklenburg western pomerania,code13,Straftaten insgesamt,11665.702
1998,"per 100,000 inhabitants",mecklenburg western pomerania,code13,Straftaten insgesamt,11310.987
1999,"per 100,000 inhabitants",mecklenburg western pomerania,code13,Straftaten insgesamt,10500.326
2000,"per 100,000 inhabitants",mecklenburg western pomerania,code13,Straftaten insgesamt,10267.223
2001,"per 100,000 inhabitants",mecklenburg western pomerania,code13,Straftaten insgesamt,10447.111
2002,"per 100,000 inhabitants",mecklenburg western pomerania,code13,Straftaten insgesamt,10000.917
2003,"per 100,000 inhabitants",mecklenburg western pomerania,code13,Straftaten insgesamt,10863.475
2004,"per 100,000 inhabitants",mecklenburg western pomerania,code13,Straftaten insgesamt,10412.37
2005,"per 100,000 inhabitants",mecklenburg western pomerania,code13,Straftaten insgesamt,9402.295
2006,"per 100,000 inhabitants",mecklenburg western pomerania,code13,Straftaten insgesamt,9029.235
2007,"per 100,000 inhabitants",mecklenburg western pomerania,code13,Straftaten insgesamt,9016.077
2008,"per 100,000 inhabitants",mecklenburg western pomerania,code13,Straftaten insgesamt,8880.811
2009,"per 100,000 inhabitants",mecklenburg western pomerania,code13,Straftaten insgesamt,8424.916
2010,"per 100,000 inhabitants",mecklenburg western pomerania,code13,Straftaten insgesamt,7968.343
2011,"per 100,000 inhabitants",mecklenburg western pomerania,code13,Straftaten insgesamt,7953.113
2012,"per 100,000 inhabitants",mecklenburg western pomerania,code13,Straftaten insgesamt,7883.321
2013,"per 100,000 inhabitants",mecklenburg western pomerania,code13,Straftaten insgesamt,7528.7
2014,"per 100,000 inhabitants",mecklenburg western pomerania,code13,Straftaten insgesamt,7304.0
2015,"per 100,000 inhabitants",mecklenburg western pomerania,code13,Straftaten insgesamt,7332.763
2016,"per 100,000 inhabitants",mecklenburg western pomerania,code13,Straftaten insgesamt,7632.343
2017,"per 100,000 inhabitants",mecklenburg western pomerania,code13,Straftaten insgesamt,6850.362
2018,"per 100,000 inhabitants",mecklenburg western pomerania,code13,Straftaten insgesamt,6744.691
2019,"per 100,000 inhabitants",mecklenburg western pomerania,code13,Straftaten insgesamt,6916.241
2020,"per 100,000 inhabitants",mecklenburg western pomerania,code13,Straftaten insgesamt,6587.246
2021,"per 100,000 inhabitants",mecklenburg western pomerania,code13,Straftaten insgesamt,6484.584
1993,"per 100,000 inhabitants",lower saxony,code03,Straftaten insgesamt,8597.417
1994,"per 100,000 inhabitants",lower saxony,code03,Straftaten insgesamt,7710.205
1995,"per 100,000 inhabitants",lower saxony,code03,Straftaten insgesamt,7787.852
1996,"per 100,000 inhabitants",lower saxony,code03,Straftaten insgesamt,7516.195
1997,"per 100,000 inhabitants",lower saxony,code03,Straftaten insgesamt,7424.117
1998,"per 100,000 inhabitants",lower saxony,code03,Straftaten insgesamt,7286.226
1999,"per 100,000 inhabitants",lower saxony,code03,Straftaten insgesamt,7017.633
2000,"per 100,000 inhabitants",lower saxony,code03,Straftaten insgesamt,7205.937
2001,"per 100,000 inhabitants",lower saxony,code03,Straftaten insgesamt,7218.97
2002,"per 100,000 inhabitants",lower saxony,code03,Straftaten insgesamt,7726.731
2003,"per 100,000 inhabitants",lower saxony,code03,Straftaten insgesamt,7522.88
2004,"per 100,000 inhabitants",lower saxony,code03,Straftaten insgesamt,7437.14
2005,"per 100,000 inhabitants",lower saxony,code03,Straftaten insgesamt,7618.01
2006,"per 100,000 inhabitants",lower saxony,code03,Straftaten insgesamt,7656.801
2007,"per 100,000 inhabitants",lower saxony,code03,Straftaten insgesamt,7717.431
2008,"per 100,000 inhabitants",lower saxony,code03,Straftaten insgesamt,7516.174
2009,"per 100,000 inhabitants",lower saxony,code03,Straftaten insgesamt,7549.167
2010,"per 100,000 inhabitants",lower saxony,code03,Straftaten insgesamt,7473.27
2011,"per 100,000 inhabitants",lower saxony,code03,Straftaten insgesamt,7099.489
2012,"per 100,000 inhabitants",lower saxony,code03,Straftaten insgesamt,7167.492
2013,"per 100,000 inhabitants",lower saxony,code03,Straftaten insgesamt,7015.1
2014,"per 100,000 inhabitants",lower saxony,code03,Straftaten insgesamt,7094.9
2015,"per 100,000 inhabitants",lower saxony,code03,Straftaten insgesamt,7263.178
2016,"per 100,000 inhabitants",lower saxony,code03,Straftaten insgesamt,7089.585
2017,"per 100,000 inhabitants",lower saxony,code03,Straftaten insgesamt,6621.456
2018,"per 100,000 inhabitants",lower saxony,code03,Straftaten insgesamt,6361.915
2019,"per 100,000 inhabitants",lower saxony,code03,Straftaten insgesamt,6346.199
2020,"per 100,000 inhabitants",lower saxony,code03,Straftaten insgesamt,6219.444
2021,"per 100,000 inhabitants",lower saxony,code03,Straftaten insgesamt,5898.678
1993,"per 100,000 inhabitants",north rhine-westphalia,code05,Straftaten insgesamt,7806.263
1994,"per 100,000 inhabitants",north rhine-westphalia,code05,Straftaten insgesamt,7517.726
1995,"per 100,000 inhabitants",north rhine-westphalia,code05,Straftaten insgesamt,7680.641
1996,"per 100,000 inhabitants",north rhine-westphalia,code05,Straftaten insgesamt,7761.981
1997,"per 100,000 inhabitants",north rhine-westphalia,code05,Straftaten insgesamt,7578.958
1998,"per 100,000 inhabitants",north rhine-westphalia,code05,Straftaten insgesamt,7455.517
1999,"per 100,000 inhabitants",north rhine-westphalia,code05,Straftaten insgesamt,7460.722
2000,"per 100,000 inhabitants",north rhine-westphalia,code05,Straftaten insgesamt,7435.425
2001,"per 100,000 inhabitants",north rhine-westphalia,code05,Straftaten insgesamt,7708.684
2002,"per 100,000 inhabitants",north rhine-westphalia,code05,Straftaten insgesamt,8176.293
2003,"per 100,000 inhabitants",north rhine-westphalia,code05,Straftaten insgesamt,8372.738
2004,"per 100,000 inhabitants",north rhine-westphalia,code05,Straftaten insgesamt,8566.303
2005,"per 100,000 inhabitants",north rhine-westphalia,code05,Straftaten insgesamt,8417.374
2006,"per 100,000 inhabitants",north rhine-westphalia,code05,Straftaten insgesamt,8367.345
2007,"per 100,000 inhabitants",north rhine-westphalia,code05,Straftaten insgesamt,8406.891
2008,"per 100,000 inhabitants",north rhine-westphalia,code05,Straftaten insgesamt,8193.064
2009,"per 100,000 inhabitants",north rhine-westphalia,code05,Straftaten insgesamt,8257.257
2010,"per 100,000 inhabitants",north rhine-westphalia,code05,Straftaten insgesamt,8203.493
2011,"per 100,000 inhabitants",north rhine-westphalia,code05,Straftaten insgesamt,8614.719
2012,"per 100,000 inhabitants",north rhine-westphalia,code05,Straftaten insgesamt,8654.171
2013,"per 100,000 inhabitants",north rhine-westphalia,code05,Straftaten insgesamt,8459.1
2014,"per 100,000 inhabitants",north rhine-westphalia,code05,Straftaten insgesamt,8542.8
2015,"per 100,000 inhabitants",north rhine-westphalia,code05,Straftaten insgesamt,8603.241
2016,"per 100,000 inhabitants",north rhine-westphalia,code05,Straftaten insgesamt,8224.929
2017,"per 100,000 inhabitants",north rhine-westphalia,code05,Straftaten insgesamt,7676.816
2018,"per 100,000 inhabitants",north rhine-westphalia,code05,Straftaten insgesamt,7159.622
2019,"per 100,000 inhabitants",north rhine-westphalia,code05,Straftaten insgesamt,6847.448
2020,"per 100,000 inhabitants",north rhine-westphalia,code05,Straftaten insgesamt,6774.102
2021,"per 100,000 inhabitants",north rhine-westphalia,code05,Straftaten insgesamt,6702.56
1993,"per 100,000 inhabitants",rhineland palatinate,code07,Straftaten insgesamt,6087.154
1994,"per 100,000 inhabitants",rhineland palatinate,code07,Straftaten insgesamt,6241.908
1995,"per 100,000 inhabitants",rhineland palatinate,code07,Straftaten insgesamt,6331.018
1996,"per 100,000 inhabitants",rhineland palatinate,code07,Straftaten insgesamt,6515.486
1997,"per 100,000 inhabitants",rhineland palatinate,code07,Straftaten insgesamt,6666.915
1998,"per 100,000 inhabitants",rhineland palatinate,code07,Straftaten insgesamt,6545.293
