Year,Units,Series,Series,Series,Series,Value
2021,2015 = 100,b) co2 emissions of vehicles in the public sector,b) co2 emissions of vehicles in the public sector,b) co2 emissions of vehicles in the public sector,b) co2 emissions of vehicles in the public sector,102.998
2022,2015 = 100,b) co2 emissions of vehicles in the public sector,b) co2 emissions of vehicles in the public sector,b) co2 emissions of vehicles in the public sector,b) co2 emissions of vehicles in the public sector,101.606
2024,2015 = 100,b) co2 emissions of vehicles in the public sector,b) co2 emissions of vehicles in the public sector,b) co2 emissions of vehicles in the public sector,b) co2 emissions of vehicles in the public sector,
2023,2015 = 100,b) co2 emissions of vehicles in the public sector,b) co2 emissions of vehicles in the public sector,b) co2 emissions of vehicles in the public sector,b) co2 emissions of vehicles in the public sector,
2026,2015 = 100,b) co2 emissions of vehicles in the public sector,b) co2 emissions of vehicles in the public sector,b) co2 emissions of vehicles in the public sector,b) co2 emissions of vehicles in the public sector,
2015,percentage,xxxnachhaltige textilbeschaffung,xxxnachhaltige textilbeschaffung,xxxnachhaltige textilbeschaffung,xxxnachhaltige textilbeschaffung,
2016,percentage,xxxnachhaltige textilbeschaffung,xxxnachhaltige textilbeschaffung,xxxnachhaltige textilbeschaffung,xxxnachhaltige textilbeschaffung,
2017,percentage,xxxnachhaltige textilbeschaffung,xxxnachhaltige textilbeschaffung,xxxnachhaltige textilbeschaffung,xxxnachhaltige textilbeschaffung,
2018,percentage,xxxnachhaltige textilbeschaffung,xxxnachhaltige textilbeschaffung,xxxnachhaltige textilbeschaffung,xxxnachhaltige textilbeschaffung,
2019,percentage,xxxnachhaltige textilbeschaffung,xxxnachhaltige textilbeschaffung,xxxnachhaltige textilbeschaffung,xxxnachhaltige textilbeschaffung,
2020,percentage,xxxnachhaltige textilbeschaffung,xxxnachhaltige textilbeschaffung,xxxnachhaltige textilbeschaffung,xxxnachhaltige textilbeschaffung,
2021,percentage,xxxnachhaltige textilbeschaffung,xxxnachhaltige textilbeschaffung,xxxnachhaltige textilbeschaffung,xxxnachhaltige textilbeschaffung,
2022,percentage,xxxnachhaltige textilbeschaffung,xxxnachhaltige textilbeschaffung,xxxnachhaltige textilbeschaffung,xxxnachhaltige textilbeschaffung,
2024,percentage,xxxnachhaltige textilbeschaffung,xxxnachhaltige textilbeschaffung,xxxnachhaltige textilbeschaffung,xxxnachhaltige textilbeschaffung,99.999
2023,percentage,xxxnachhaltige textilbeschaffung,xxxnachhaltige textilbeschaffung,xxxnachhaltige textilbeschaffung,xxxnachhaltige textilbeschaffung,
2026,percentage,xxxnachhaltige textilbeschaffung,xxxnachhaltige textilbeschaffung,xxxnachhaltige textilbeschaffung,xxxnachhaltige textilbeschaffung,
