Year,Value,Units,GeoCode
2012,36.9,percentage,
2013,34.5,percentage,
2014,31.9,percentage,
2015,30.9,percentage,
2016,29.8,percentage,
2017,26.6,percentage,
2018,24.7,percentage,
2019,24.1,percentage,
2020,26.8,percentage,
2021,26.0,percentage,
1991,41.5,percentage,
1992,43.3,percentage,
1993,45.4,percentage,
1994,43.3,percentage,
1995,42.3,percentage,
1996,41.7,percentage,
1997,41.1,percentage,
1998,39.8,percentage,
1999,37.7,percentage,
2000,38.2,percentage,
2001,38.5,percentage,
2002,40.5,percentage,
2003,43.7,percentage,
2004,46.1,percentage,
2005,49.5,percentage,
2006,51.3,percentage,
2007,53.0,percentage,
2008,55.9,percentage,
2009,64.3,percentage,
2010,68.5,percentage,
2011,69.3,percentage,
2012,69.0,percentage,
2013,69.5,percentage,
2014,69.1,percentage,
2015,71.9,percentage,
2016,68.0,percentage,
2017,65.0,percentage,
2018,66.0,percentage,
2019,90.5,percentage,
2020,122.0,percentage,
2021,106.2,percentage,
1991,16.1,percentage,
1992,16.4,percentage,
1993,17.9,percentage,
1994,18.9,percentage,
1995,19.2,percentage,
1996,20.1,percentage,
1997,19.8,percentage,
1998,19.7,percentage,
1999,20.5,percentage,
2000,21.4,percentage,
2001,21.5,percentage,
2002,21.9,percentage,
2003,23.2,percentage,
2004,23.8,percentage,
2005,24.3,percentage,
2006,24.5,percentage,
2007,23.6,percentage,
2008,22.9,percentage,
2009,26.2,percentage,
2010,26.8,percentage,
2011,26.3,percentage,
2012,25.4,percentage,
2013,24.8,percentage,
2014,27.3,percentage,
2015,26.7,percentage,
2016,28.2,percentage,
2017,27.9,percentage,
2018,28.9,percentage,
2019,27.0,percentage,
2020,30.0,percentage,
2021,27.9,percentage,
1991,15.8,percentage,
1992,15.7,percentage,
1993,15.3,percentage,
1994,15.9,percentage,
1995,16.2,percentage,
1996,16.4,percentage,
1997,16.1,percentage,
1998,16.5,percentage,
1999,16.2,percentage,
2000,15.4,percentage,
2001,14.9,percentage,
2002,15.5,percentage,
2003,16.0,percentage,
2004,16.9,percentage,
2005,17.6,percentage,
2006,17.3,percentage,
2007,16.9,percentage,
2008,16.8,percentage,
2009,19.1,percentage,
2010,22.9,percentage,
2011,23.5,percentage,
2012,24.8,percentage,
2013,24.0,percentage,
2014,24.8,percentage,
2015,23.7,percentage,
2016,22.6,percentage,
2017,20.9,percentage,
2018,18.6,percentage,
2019,18.2,percentage,
2020,21.1,percentage,
2021,19.4,percentage,
1991,4.7,percentage,
1992,8.7,percentage,
1993,7.3,percentage,
1994,12.6,percentage,
1995,16.6,percentage,
1996,22.2,percentage,
1997,26.1,percentage,
1998,29.8,percentage,
1999,31.8,percentage,
2000,33.4,percentage,
2001,32.3,percentage,
2002,34.3,percentage,
2003,36.0,percentage,
2004,38.1,percentage,
2005,40.5,percentage,
2006,39.9,percentage,
2007,35.8,percentage,
2008,34.0,percentage,
2009,34.0,percentage,
2010,35.3,percentage,
2011,33.4,percentage,
2012,33.4,percentage,
2013,31.4,percentage,
2014,29.8,percentage,
2015,28.8,percentage,
2016,25.4,percentage,
2017,22.2,percentage,
2018,21.0,percentage,
2019,19.4,percentage,
2020,21.5,percentage,
2021,20.5,percentage,
