Year,Value,Units,Series,GeoCode
2015,39.63,hectre per day,calculated annual values,
2016,,hectre per day,calculated annual values,
2017,31.801,hectre per day,calculated annual values,
2018,32.036,hectre per day,calculated annual values,
2019,33.0,hectre per day,calculated annual values,
2020,40.0,hectre per day,calculated annual values,
1996,8.693,hectre per day,calculated annual values,
1997,20.204,hectre per day,calculated annual values,
1998,20.561,hectre per day,calculated annual values,
1999,20.566,hectre per day,calculated annual values,
2000,20.803,hectre per day,calculated annual values,
2001,29.0,hectre per day,calculated annual values,
2002,21.096,hectre per day,calculated annual values,
2003,34.0,hectre per day,calculated annual values,
2004,45.721,hectre per day,calculated annual values,
2005,56.986,hectre per day,calculated annual values,
2006,51.781,hectre per day,calculated annual values,
2007,32.603,hectre per day,calculated annual values,
2008,38.617,hectre per day,calculated annual values,
2009,32.055,hectre per day,calculated annual values,
2010,23.288,hectre per day,calculated annual values,
2011,27.064,hectre per day,calculated annual values,
2012,18.487,hectre per day,calculated annual values,
2013,23.065,hectre per day,calculated annual values,
2014,17.927,hectre per day,calculated annual values,
2015,11.614,hectre per day,calculated annual values,
2016,,hectre per day,calculated annual values,
2017,14.925,hectre per day,calculated annual values,
2018,10.008,hectre per day,calculated annual values,
2019,10.0,hectre per day,calculated annual values,
2020,12.0,hectre per day,calculated annual values,
1996,,hectre per day,moving four-year average,
1997,,hectre per day,moving four-year average,
1998,,hectre per day,moving four-year average,
1999,126.276,hectre per day,moving four-year average,
2000,129.157,hectre per day,moving four-year average,
2001,128.368,hectre per day,moving four-year average,
2002,123.041,hectre per day,moving four-year average,
2003,115.103,hectre per day,moving four-year average,
2004,115.116,hectre per day,moving four-year average,
2005,114.225,hectre per day,moving four-year average,
2006,113.335,hectre per day,moving four-year average,
2007,112.787,hectre per day,moving four-year average,
2008,103.77,hectre per day,moving four-year average,
2009,93.907,hectre per day,moving four-year average,
2010,86.647,hectre per day,moving four-year average,
2011,80.875,hectre per day,moving four-year average,
2012,74.442,hectre per day,moving four-year average,
2013,72.569,hectre per day,moving four-year average,
2014,69.209,hectre per day,moving four-year average,
2015,66.056,hectre per day,moving four-year average,
2016,61.539,hectre per day,moving four-year average,
2017,57.692,hectre per day,moving four-year average,
2018,56.373,hectre per day,moving four-year average,
2019,52.37,hectre per day,moving four-year average,
2020,54.051,hectre per day,moving four-year average,
1996,,hectre per day,moving four-year average,
1997,,hectre per day,moving four-year average,
1998,,hectre per day,moving four-year average,
1999,22.717,hectre per day,moving four-year average,
2000,22.724,hectre per day,moving four-year average,
2001,23.313,hectre per day,moving four-year average,
2002,23.104,hectre per day,moving four-year average,
2003,22.346,hectre per day,moving four-year average,
2004,22.583,hectre per day,moving four-year average,
2005,23.134,hectre per day,moving four-year average,
2006,23.545,hectre per day,moving four-year average,
2007,24.572,hectre per day,moving four-year average,
2008,23.798,hectre per day,moving four-year average,
2009,22.017,hectre per day,moving four-year average,
2010,21.127,hectre per day,moving four-year average,
2011,19.268,hectre per day,moving four-year average,
2012,16.61,hectre per day,moving four-year average,
2013,16.719,hectre per day,moving four-year average,
2014,17.441,hectre per day,moving four-year average,
2015,15.646,hectre per day,moving four-year average,
2016,,hectre per day,moving four-year average,
2017,,hectre per day,moving four-year average,
2018,,hectre per day,moving four-year average,
2019,,hectre per day,moving four-year average,
2020,8.109,hectre per day,moving four-year average,
1996,,hectre per day,moving four-year average,
1997,,hectre per day,moving four-year average,
1998,,hectre per day,moving four-year average,
1999,86.037,hectre per day,moving four-year average,
2000,85.968,hectre per day,moving four-year average,
2001,82.582,hectre per day,moving four-year average,
2002,77.331,hectre per day,moving four-year average,
2003,66.869,hectre per day,moving four-year average,
2004,60.164,hectre per day,moving four-year average,
2005,51.353,hectre per day,moving four-year average,
2006,42.312,hectre per day,moving four-year average,
2007,41.01,hectre per day,moving four-year average,
2008,34.726,hectre per day,moving four-year average,
2009,33.058,hectre per day,moving four-year average,
2010,33.949,hectre per day,moving four-year average,
2011,31.42,hectre per day,moving four-year average,
2012,32.678,hectre per day,moving four-year average,
2013,32.943,hectre per day,moving four-year average,
2014,30.132,hectre per day,moving four-year average,
2015,32.637,hectre per day,moving four-year average,
2016,,hectre per day,moving four-year average,
2017,,hectre per day,moving four-year average,
2018,,hectre per day,moving four-year average,
2019,,hectre per day,moving four-year average,
2020,34.209,hectre per day,moving four-year average,
1996,,hectre per day,moving four-year average,
1997,,hectre per day,moving four-year average,
1998,,hectre per day,moving four-year average,
1999,17.506,hectre per day,moving four-year average,
2000,20.534,hectre per day,moving four-year average,
2001,22.733,hectre per day,moving four-year average,
2002,22.866,hectre per day,moving four-year average,
2003,26.225,hectre per day,moving four-year average,
2004,32.454,hectre per day,moving four-year average,
2005,39.451,hectre per day,moving four-year average,
2006,47.122,hectre per day,moving four-year average,
2007,46.773,hectre per day,moving four-year average,
2008,44.997,hectre per day,moving four-year average,
2009,38.764,hectre per day,moving four-year average,
2010,31.641,hectre per day,moving four-year average,
2011,30.256,hectre per day,moving four-year average,
2012,25.224,hectre per day,moving four-year average,
2013,22.976,hectre per day,moving four-year average,
2014,21.636,hectre per day,moving four-year average,
2015,17.773,hectre per day,moving four-year average,
2016,,hectre per day,moving four-year average,
2017,,hectre per day,moving four-year average,
2018,,hectre per day,moving four-year average,
2019,,hectre per day,moving four-year average,
2020,11.733,hectre per day,moving four-year average,
1997,,hectre per day,moving four-year average,
1998,,hectre per day,moving four-year average,
1999,,hectre per day,moving four-year average,
2000,12.0,hectre per day,moving four-year average,
2001,,hectre per day,moving four-year average,
2002,,hectre per day,moving four-year average,
2003,,hectre per day,moving four-year average,
2004,10.4,hectre per day,moving four-year average,
2005,9.6,hectre per day,moving four-year average,
2006,9.3,hectre per day,moving four-year average,
2007,9.3,hectre per day,moving four-year average,
2008,9.2,hectre per day,moving four-year average,
2009,8.7,hectre per day,moving four-year average,
2010,8.1,hectre per day,moving four-year average,
2011,7.1,hectre per day,moving four-year average,
2012,6.7,hectre per day,moving four-year average,
2013,6.2,hectre per day,moving four-year average,
2014,5.9,hectre per day,moving four-year average,
2015,5.6,hectre per day,moving four-year average,
2016,,hectre per day,moving four-year average,
2017,,hectre per day,moving four-year average,
2018,,hectre per day,moving four-year average,
2019,5.2,hectre per day,moving four-year average,
2020,5.6,hectre per day,moving four-year average,
1996,27.4,hectre per day,moving four-year average,
1997,,hectre per day,moving four-year average,
1998,,hectre per day,moving four-year average,
1999,,hectre per day,moving four-year average,
2000,28.4,hectre per day,moving four-year average,
2001,,hectre per day,moving four-year average,
2002,,hectre per day,moving four-year average,
2003,,hectre per day,moving four-year average,
2004,18.0,hectre per day,moving four-year average,
2005,16.5,hectre per day,moving four-year average,
2006,17.2,hectre per day,moving four-year average,
2007,16.9,hectre per day,moving four-year average,
2008,17.2,hectre per day,moving four-year average,
2009,17.4,hectre per day,moving four-year average,
2010,17.4,hectre per day,moving four-year average,
2011,17.9,hectre per day,moving four-year average,
2012,18.0,hectre per day,moving four-year average,
2013,18.5,hectre per day,moving four-year average,
2014,,hectre per day,moving four-year average,
2015,12.1,hectre per day,moving four-year average,
2016,,hectre per day,moving four-year average,
2017,,hectre per day,moving four-year average,
2018,11.1,hectre per day,moving four-year average,
2019,10.6,hectre per day,moving four-year average,
2020,11.0,hectre per day,moving four-year average,
1996,-0.7,hectre per day,moving four-year average,
1997,,hectre per day,moving four-year average,
1998,,hectre per day,moving four-year average,
1999,,hectre per day,moving four-year average,
2000,1.4,hectre per day,moving four-year average,
2001,,hectre per day,moving four-year average,
2002,,hectre per day,moving four-year average,
2003,,hectre per day,moving four-year average,
2004,0.3,hectre per day,moving four-year average,
2005,0.3,hectre per day,moving four-year average,
2006,0.2,hectre per day,moving four-year average,
2007,0.3,hectre per day,moving four-year average,
2008,0.3,hectre per day,moving four-year average,
2009,0.3,hectre per day,moving four-year average,
2010,0.4,hectre per day,moving four-year average,
2011,0.3,hectre per day,moving four-year average,
2012,0.1,hectre per day,moving four-year average,
2013,0.0,hectre per day,moving four-year average,
2014,0.0,hectre per day,moving four-year average,
2015,-0.1,hectre per day,moving four-year average,
2016,0.1,hectre per day,moving four-year average,
2017,0.1,hectre per day,moving four-year average,
2018,0.2,hectre per day,moving four-year average,
2019,0.2,hectre per day,moving four-year average,
2020,0.1,hectre per day,moving four-year average,
1996,6.9,hectre per day,moving four-year average,
1997,,hectre per day,moving four-year average,
1998,,hectre per day,moving four-year average,
1999,,hectre per day,moving four-year average,
2000,9.3,hectre per day,moving four-year average,
2001,,hectre per day,moving four-year average,
2002,,hectre per day,moving four-year average,
2003,,hectre per day,moving four-year average,
2004,8.2,hectre per day,moving four-year average,
2005,8.6,hectre per day,moving four-year average,
2006,8.7,hectre per day,moving four-year average,
2007,8.3,hectre per day,moving four-year average,
2008,9.5,hectre per day,moving four-year average,
2009,8.4,hectre per day,moving four-year average,
2010,7.5,hectre per day,moving four-year average,
2011,6.6,hectre per day,moving four-year average,
2012,4.6,hectre per day,moving four-year average,
2013,5.7,hectre per day,moving four-year average,
2014,5.2,hectre per day,moving four-year average,
2015,4.9,hectre per day,moving four-year average,
2016,4.7,hectre per day,moving four-year average,
2017,2.1,hectre per day,moving four-year average,
2018,1.7,hectre per day,moving four-year average,
2019,1.4,hectre per day,moving four-year average,
2020,2.6,hectre per day,moving four-year average,
1996,0.1,hectre per day,moving four-year average,
1997,,hectre per day,moving four-year average,
1998,,hectre per day,moving four-year average,
1999,,hectre per day,moving four-year average,
2000,0.5,hectre per day,moving four-year average,
2001,,hectre per day,moving four-year average,
2002,,hectre per day,moving four-year average,
2003,,hectre per day,moving four-year average,
2004,0.2,hectre per day,moving four-year average,
2005,0.1,hectre per day,moving four-year average,
2006,0.1,hectre per day,moving four-year average,
2007,0.2,hectre per day,moving four-year average,
2008,0.2,hectre per day,moving four-year average,
2009,0.2,hectre per day,moving four-year average,
2010,0.2,hectre per day,moving four-year average,
2011,0.2,hectre per day,moving four-year average,
2012,0.3,hectre per day,moving four-year average,
2013,0.3,hectre per day,moving four-year average,
2014,0.2,hectre per day,moving four-year average,
2015,0.2,hectre per day,moving four-year average,
2016,0.1,hectre per day,moving four-year average,
2017,0.1,hectre per day,moving four-year average,
2018,0.1,hectre per day,moving four-year average,
2019,0.1,hectre per day,moving four-year average,
2020,0.0,hectre per day,moving four-year average,
1996,0.4,hectre per day,moving four-year average,
1997,,hectre per day,moving four-year average,
1998,,hectre per day,moving four-year average,
1999,,hectre per day,moving four-year average,
2000,0.2,hectre per day,moving four-year average,
2001,,hectre per day,moving four-year average,
2002,,hectre per day,moving four-year average,
2003,,hectre per day,moving four-year average,
2004,0.8,hectre per day,moving four-year average,
2005,1.0,hectre per day,moving four-year average,
2006,0.9,hectre per day,moving four-year average,
2007,0.8,hectre per day,moving four-year average,
2008,0.5,hectre per day,moving four-year average,
2009,0.3,hectre per day,moving four-year average,
2010,0.2,hectre per day,moving four-year average,
2011,0.1,hectre per day,moving four-year average,
2012,0.2,hectre per day,moving four-year average,
2013,0.2,hectre per day,moving four-year average,
2014,0.0,hectre per day,moving four-year average,
2015,-0.2,hectre per day,moving four-year average,
2016,-0.5,hectre per day,moving four-year average,
2017,-0.6,hectre per day,moving four-year average,
2018,-0.4,hectre per day,moving four-year average,
2019,-0.2,hectre per day,moving four-year average,
2020,0.0,hectre per day,moving four-year average,
1996,4.5,hectre per day,moving four-year average,
1997,,hectre per day,moving four-year average,
1998,,hectre per day,moving four-year average,
1999,,hectre per day,moving four-year average,
2000,4.9,hectre per day,moving four-year average,
2001,,hectre per day,moving four-year average,
2002,,hectre per day,moving four-year average,
2003,,hectre per day,moving four-year average,
2004,3.9,hectre per day,moving four-year average,
2005,4.2,hectre per day,moving four-year average,
2006,3.8,hectre per day,moving four-year average,
2007,3.9,hectre per day,moving four-year average,
2008,3.6,hectre per day,moving four-year average,
2009,3.6,hectre per day,moving four-year average,
2010,3.6,hectre per day,moving four-year average,
2011,2.9,hectre per day,moving four-year average,
2012,3.1,hectre per day,moving four-year average,
2013,2.7,hectre per day,moving four-year average,
2014,2.7,hectre per day,moving four-year average,
2015,3.0,hectre per day,moving four-year average,
2016,,hectre per day,moving four-year average,
2017,,hectre per day,moving four-year average,
2018,,hectre per day,moving four-year average,
2019,,hectre per day,moving four-year average,
2020,,hectre per day,moving four-year average,
1996,6.0,hectre per day,moving four-year average,
1997,,hectre per day,moving four-year average,
1998,,hectre per day,moving four-year average,
1999,,hectre per day,moving four-year average,
2000,7.6,hectre per day,moving four-year average,
2001,,hectre per day,moving four-year average,
2002,,hectre per day,moving four-year average,
2003,,hectre per day,moving four-year average,
2004,8.7,hectre per day,moving four-year average,
2005,8.6,hectre per day,moving four-year average,
2006,7.7,hectre per day,moving four-year average,
2007,7.2,hectre per day,moving four-year average,
2008,7.8,hectre per day,moving four-year average,
2009,8.1,hectre per day,moving four-year average,
2010,8.0,hectre per day,moving four-year average,
2011,7.0,hectre per day,moving four-year average,
2012,5.1,hectre per day,moving four-year average,
2013,3.8,hectre per day,moving four-year average,
2014,2.5,hectre per day,moving four-year average,
2015,3.1,hectre per day,moving four-year average,
2016,6.8,hectre per day,moving four-year average,
2017,4.2,hectre per day,moving four-year average,
2018,3.9,hectre per day,moving four-year average,
2019,2.5,hectre per day,moving four-year average,
2020,-1.7,hectre per day,moving four-year average,
1996,15.9,hectre per day,moving four-year average,
1997,,hectre per day,moving four-year average,
1998,,hectre per day,moving four-year average,
1999,,hectre per day,moving four-year average,
2000,16.4,hectre per day,moving four-year average,
2001,,hectre per day,moving four-year average,
2002,,hectre per day,moving four-year average,
2003,,hectre per day,moving four-year average,
2004,14.4,hectre per day,moving four-year average,
2005,14.2,hectre per day,moving four-year average,
2006,14.1,hectre per day,moving four-year average,
2007,13.5,hectre per day,moving four-year average,
2008,11.6,hectre per day,moving four-year average,
2009,10.3,hectre per day,moving four-year average,
2010,9.4,hectre per day,moving four-year average,
2011,10.6,hectre per day,moving four-year average,
2012,10.3,hectre per day,moving four-year average,
2013,10.5,hectre per day,moving four-year average,
2014,11.1,hectre per day,moving four-year average,
2015,9.7,hectre per day,moving four-year average,
2016,7.5,hectre per day,moving four-year average,
2017,6.8,hectre per day,moving four-year average,
2018,6.0,hectre per day,moving four-year average,
2019,5.1,hectre per day,moving four-year average,
2020,6.6,hectre per day,moving four-year average,
1996,15.8,hectre per day,moving four-year average,
1997,,hectre per day,moving four-year average,
1998,,hectre per day,moving four-year average,
1999,,hectre per day,moving four-year average,
2000,16.5,hectre per day,moving four-year average,
2001,,hectre per day,moving four-year average,
2002,,hectre per day,moving four-year average,
2003,,hectre per day,moving four-year average,
2004,15.2,hectre per day,moving four-year average,
2005,14.5,hectre per day,moving four-year average,
2006,14.1,hectre per day,moving four-year average,
2007,15.4,hectre per day,moving four-year average,
2008,14.2,hectre per day,moving four-year average,
2009,13.2,hectre per day,moving four-year average,
2010,12.5,hectre per day,moving four-year average,
2011,11.4,hectre per day,moving four-year average,
2012,10.3,hectre per day,moving four-year average,
2013,10.3,hectre per day,moving four-year average,
2014,9.7,hectre per day,moving four-year average,
2015,9.5,hectre per day,moving four-year average,
2016,,hectre per day,moving four-year average,
2017,,hectre per day,moving four-year average,
2018,,hectre per day,moving four-year average,
2019,,hectre per day,moving four-year average,
2020,,hectre per day,moving four-year average,
1996,5.0,hectre per day,moving four-year average,
1997,,hectre per day,moving four-year average,
1998,,hectre per day,moving four-year average,
1999,,hectre per day,moving four-year average,
2000,5.4,hectre per day,moving four-year average,
2001,,hectre per day,moving four-year average,
2002,,hectre per day,moving four-year average,
2003,,hectre per day,moving four-year average,
2004,5.8,hectre per day,moving four-year average,
2005,6.5,hectre per day,moving four-year average,
2006,6.6,hectre per day,moving four-year average,
2007,6.6,hectre per day,moving four-year average,
2008,5.4,hectre per day,moving four-year average,
2009,3.5,hectre per day,moving four-year average,
2010,2.3,hectre per day,moving four-year average,
2011,1.4,hectre per day,moving four-year average,
2012,0.9,hectre per day,moving four-year average,
2013,1.1,hectre per day,moving four-year average,
2014,1.1,hectre per day,moving four-year average,
2015,0.6,hectre per day,moving four-year average,
2016,0.8,hectre per day,moving four-year average,
2017,0.4,hectre per day,moving four-year average,
2018,0.6,hectre per day,moving four-year average,
2019,1.4,hectre per day,moving four-year average,
2020,2.0,hectre per day,moving four-year average,
1996,0.6,hectre per day,moving four-year average,
1997,,hectre per day,moving four-year average,
1998,,hectre per day,moving four-year average,
1999,,hectre per day,moving four-year average,
2000,0.7,hectre per day,moving four-year average,
2001,,hectre per day,moving four-year average,
2002,,hectre per day,moving four-year average,
2003,,hectre per day,moving four-year average,
2004,0.7,hectre per day,moving four-year average,
2005,0.7,hectre per day,moving four-year average,
2006,0.7,hectre per day,moving four-year average,
2007,0.8,hectre per day,moving four-year average,
2008,0.6,hectre per day,moving four-year average,
2009,0.6,hectre per day,moving four-year average,
2010,0.7,hectre per day,moving four-year average,
2011,0.7,hectre per day,moving four-year average,
2012,0.6,hectre per day,moving four-year average,
2013,0.5,hectre per day,moving four-year average,
2014,0.4,hectre per day,moving four-year average,
2015,0.3,hectre per day,moving four-year average,
2016,0.9,hectre per day,moving four-year average,
2017,0.9,hectre per day,moving four-year average,
2018,0.8,hectre per day,moving four-year average,
2019,0.9,hectre per day,moving four-year average,
2020,0.2,hectre per day,moving four-year average,
1996,8.8,hectre per day,moving four-year average,
1997,,hectre per day,moving four-year average,
1998,,hectre per day,moving four-year average,
1999,,hectre per day,moving four-year average,
2000,8.2,hectre per day,moving four-year average,
2001,,hectre per day,moving four-year average,
2002,,hectre per day,moving four-year average,
2003,,hectre per day,moving four-year average,
2004,5.2,hectre per day,moving four-year average,
2005,3.9,hectre per day,moving four-year average,
2006,3.6,hectre per day,moving four-year average,
2007,5.4,hectre per day,moving four-year average,
2008,6.4,hectre per day,moving four-year average,
2009,8.2,hectre per day,moving four-year average,
2010,8.8,hectre per day,moving four-year average,
2011,7.5,hectre per day,moving four-year average,
2012,7.2,hectre per day,moving four-year average,
2013,5.4,hectre per day,moving four-year average,
2014,,hectre per day,moving four-year average,
2015,,hectre per day,moving four-year average,
2016,,hectre per day,moving four-year average,
2017,,hectre per day,moving four-year average,
2018,,hectre per day,moving four-year average,
2019,,hectre per day,moving four-year average,
2020,5.2,hectre per day,moving four-year average,
1996,9.2,hectre per day,moving four-year average,
1997,,hectre per day,moving four-year average,
1998,,hectre per day,moving four-year average,
1999,,hectre per day,moving four-year average,
2000,9.9,hectre per day,moving four-year average,
2001,,hectre per day,moving four-year average,
2002,,hectre per day,moving four-year average,
2003,,hectre per day,moving four-year average,
2004,12.8,hectre per day,moving four-year average,
2005,16.2,hectre per day,moving four-year average,
2006,18.1,hectre per day,moving four-year average,
2007,16.1,hectre per day,moving four-year average,
2008,10.0,hectre per day,moving four-year average,
2009,3.9,hectre per day,moving four-year average,
2010,0.5,hectre per day,moving four-year average,
2011,0.2,hectre per day,moving four-year average,
2012,-0.6,hectre per day,moving four-year average,
2013,-0.6,hectre per day,moving four-year average,
2014,0.2,hectre per day,moving four-year average,
2015,0.5,hectre per day,moving four-year average,
2016,1.0,hectre per day,moving four-year average,
2017,1.1,hectre per day,moving four-year average,
2018,0.7,hectre per day,moving four-year average,
2019,1.0,hectre per day,moving four-year average,
2020,0.7,hectre per day,moving four-year average,
1996,3.3,hectre per day,moving four-year average,
1997,,hectre per day,moving four-year average,
1998,,hectre per day,moving four-year average,
1999,,hectre per day,moving four-year average,
2000,4.1,hectre per day,moving four-year average,
2001,,hectre per day,moving four-year average,
2002,,hectre per day,moving four-year average,
2003,,hectre per day,moving four-year average,
2004,8.4,hectre per day,moving four-year average,
2005,,hectre per day,moving four-year average,
2006,,hectre per day,moving four-year average,
2007,,hectre per day,moving four-year average,
2008,5.4,hectre per day,moving four-year average,
2009,5.1,hectre per day,moving four-year average,
2010,4.2,hectre per day,moving four-year average,
2011,3.6,hectre per day,moving four-year average,
2012,3.4,hectre per day,moving four-year average,
2013,3.2,hectre per day,moving four-year average,
2014,3.2,hectre per day,moving four-year average,
2015,2.7,hectre per day,moving four-year average,
2016,2.3,hectre per day,moving four-year average,
2017,2.5,hectre per day,moving four-year average,
2018,2.6,hectre per day,moving four-year average,
2019,2.3,hectre per day,moving four-year average,
2020,3.5,hectre per day,moving four-year average,
1996,6.1,hectre per day,moving four-year average,
1997,,hectre per day,moving four-year average,
1998,,hectre per day,moving four-year average,
1999,,hectre per day,moving four-year average,
2000,3.6,hectre per day,moving four-year average,
2001,,hectre per day,moving four-year average,
2002,,hectre per day,moving four-year average,
2003,,hectre per day,moving four-year average,
2004,2.2,hectre per day,moving four-year average,
2005,2.0,hectre per day,moving four-year average,
2006,1.4,hectre per day,moving four-year average,
2007,1.6,hectre per day,moving four-year average,
2008,1.9,hectre per day,moving four-year average,
2009,2.2,hectre per day,moving four-year average,
2010,2.7,hectre per day,moving four-year average,
2011,3.5,hectre per day,moving four-year average,
2012,4.2,hectre per day,moving four-year average,
2013,4.2,hectre per day,moving four-year average,
2014,5.3,hectre per day,moving four-year average,
2015,4.7,hectre per day,moving four-year average,
2016,5.5,hectre per day,moving four-year average,
2017,,hectre per day,moving four-year average,
2018,,hectre per day,moving four-year average,
2019,,hectre per day,moving four-year average,
2020,,hectre per day,moving four-year average,
1996,10.2,hectre per day,calculated annual values,
1997,12.0,hectre per day,calculated annual values,
1998,12.0,hectre per day,calculated annual values,
1999,12.0,hectre per day,calculated annual values,
2000,12.0,hectre per day,calculated annual values,
2001,11.8,hectre per day,calculated annual values,
2002,10.6,hectre per day,calculated annual values,
2003,10.3,hectre per day,calculated annual values,
2004,8.7,hectre per day,calculated annual values,
2005,8.8,hectre per day,calculated annual values,
2006,9.4,hectre per day,calculated annual values,
2007,10.3,hectre per day,calculated annual values,
2008,8.2,hectre per day,calculated annual values,
2009,7.0,hectre per day,calculated annual values,
2010,6.7,hectre per day,calculated annual values,
2011,6.3,hectre per day,calculated annual values,
2012,6.7,hectre per day,calculated annual values,
2013,5.3,hectre per day,calculated annual values,
2014,5.2,hectre per day,calculated annual values,
2015,5.2,hectre per day,calculated annual values,
2016,3.5,hectre per day,calculated annual values,
2017,7.9,hectre per day,calculated annual values,
2018,4.5,hectre per day,calculated annual values,
2019,4.8,hectre per day,calculated annual values,
2020,5.4,hectre per day,calculated annual values,
1996,27.4,hectre per day,calculated annual values,
1997,28.4,hectre per day,calculated annual values,
1998,28.4,hectre per day,calculated annual values,
1999,28.4,hectre per day,calculated annual values,
2000,28.4,hectre per day,calculated annual values,
2001,21.6,hectre per day,calculated annual values,
2002,18.0,hectre per day,calculated annual values,
2003,17.2,hectre per day,calculated annual values,
2004,15.2,hectre per day,calculated annual values,
2005,15.8,hectre per day,calculated annual values,
2006,20.6,hectre per day,calculated annual values,
2007,16.1,hectre per day,calculated annual values,
2008,16.4,hectre per day,calculated annual values,
2009,16.4,hectre per day,calculated annual values,
2010,20.8,hectre per day,calculated annual values,
2011,,hectre per day,calculated annual values,
2012,12.0,hectre per day,calculated annual values,
2013,12.6,hectre per day,calculated annual values,
2014,,hectre per day,calculated annual values,
2015,12.8,hectre per day,calculated annual values,
2016,9.8,hectre per day,calculated annual values,
2017,11.7,hectre per day,calculated annual values,
2018,10.0,hectre per day,calculated annual values,
2019,10.8,hectre per day,calculated annual values,
2020,11.6,hectre per day,calculated annual values,
1996,-0.7,hectre per day,calculated annual values,
1997,1.4,hectre per day,calculated annual values,
1998,1.4,hectre per day,calculated annual values,
1999,1.4,hectre per day,calculated annual values,
2000,1.4,hectre per day,calculated annual values,
2001,0.5,hectre per day,calculated annual values,
2002,0.4,hectre per day,calculated annual values,
2003,0.1,hectre per day,calculated annual values,
2004,0.2,hectre per day,calculated annual values,
2005,0.4,hectre per day,calculated annual values,
2006,0.1,hectre per day,calculated annual values,
2007,0.5,hectre per day,calculated annual values,
2008,0.1,hectre per day,calculated annual values,
2009,0.6,hectre per day,calculated annual values,
2010,0.3,hectre per day,calculated annual values,
2011,0.2,hectre per day,calculated annual values,
2012,-0.6,hectre per day,calculated annual values,
2013,0.3,hectre per day,calculated annual values,
2014,0.0,hectre per day,calculated annual values,
2015,0.0,hectre per day,calculated annual values,
2016,0.2,hectre per day,calculated annual values,
2017,0.3,hectre per day,calculated annual values,
2018,0.1,hectre per day,calculated annual values,
2019,0.1,hectre per day,calculated annual values,
2020,0.0,hectre per day,calculated annual values,
1996,6.9,hectre per day,calculated annual values,
1997,9.3,hectre per day,calculated annual values,
1998,9.3,hectre per day,calculated annual values,
1999,9.3,hectre per day,calculated annual values,
2000,9.3,hectre per day,calculated annual values,
2001,9.3,hectre per day,calculated annual values,
2002,8.0,hectre per day,calculated annual values,
2003,8.3,hectre per day,calculated annual values,
2004,7.0,hectre per day,calculated annual values,
2005,11.2,hectre per day,calculated annual values,
2006,8.4,hectre per day,calculated annual values,
2007,6.8,hectre per day,calculated annual values,
2008,11.5,hectre per day,calculated annual values,
