Year,Units,Bundesland,GeoCode,Value
2005,Prozent,,,
2006,Prozent,,,8.4
2007,Prozent,,,
2008,Prozent,,,10.32
2009,Prozent,,,10.79
2010,Prozent,,,11.69
2011,Prozent,,,13.15
2012,Prozent,,,14.68
2013,Prozent,,,14.78
2014,Prozent,,,15.31
2015,Prozent,,,17.84
2016,Prozent,,,18.08
2017,Prozent,,,20.49
2018,Prozent,,,21.88
2019,Prozent,,,24.11
2020,Prozent,,,26.98
2021,Prozent,,,
2005,Prozent,,,3.18
2006,Prozent,,,4.07
2007,Prozent,,,4.63
2008,Prozent,,,3.95
2009,Prozent,,,4.9
2010,Prozent,,,4.99
2011,Prozent,,,5.35
2012,Prozent,,,5.82
2013,Prozent,,,5.75
2014,Prozent,,,5.76
2015,Prozent,,,6.33
2016,Prozent,,,6.42
2017,Prozent,,,6.84
2018,Prozent,,,7.3
2019,Prozent,,,7.94
2020,Prozent,,,
2021,Prozent,,,
2005,Prozent,,,5.51
2006,Prozent,,,7.52
2007,Prozent,,,9.19
2008,Prozent,,,8.67
2009,Prozent,,,9.19
2010,Prozent,,,10.02
2011,Prozent,,,10.78
2012,Prozent,,,12.31
2013,Prozent,,,12.82
2014,Prozent,,,13.05
2015,Prozent,,,14.27
2016,Prozent,,,14.09
2017,Prozent,,,14.67
2018,Prozent,,,15.4
2019,Prozent,,,15.96
2020,Prozent,,,
2021,Prozent,,,
2005,Prozent,,,1.83
2006,Prozent,,,2.21
2007,Prozent,,,2.7
2008,Prozent,,,2.45
2009,Prozent,,,2.98
2010,Prozent,,,3.4
2011,Prozent,,,3.34
2012,Prozent,,,3.3
2013,Prozent,,,3.65
2014,Prozent,,,3.94
2015,Prozent,,,4.44
2016,Prozent,,,
2017,Prozent,,,
2018,Prozent,,,
2019,Prozent,,,
2020,Prozent,,,
2021,Prozent,,,
2005,Prozent,,,3.58
2006,Prozent,,,6.59
2007,Prozent,,,7.86
2008,Prozent,,,7.57
2009,Prozent,,,8.12
2010,Prozent,,,8.45
2011,Prozent,,,9.63
2012,Prozent,,,10.24
2013,Prozent,,,10.66
2014,Prozent,,,11.31
2015,Prozent,,,12.1
2016,Prozent,,,11.53
2017,Prozent,,,11.89
2018,Prozent,,,12.14
2019,Prozent,,,12.64
2020,Prozent,,,
2021,Prozent,,,
2005,Prozent,,,7.94
2006,Prozent,,,12.39
2007,Prozent,,,16.33
2008,Prozent,,,16.79
2009,Prozent,,,17.83
2010,Prozent,,,18.19
2011,Prozent,,,20.59
2012,Prozent,,,20.78
2013,Prozent,,,21.86
2014,Prozent,,,22.86
2015,Prozent,,,25.69
2016,Prozent,,,23.4
2017,Prozent,,,26.26
2018,Prozent,,,25.2
2019,Prozent,,,26.0
2020,Prozent,,,
2021,Prozent,,,
2005,Prozent,,,9.25
2006,Prozent,,,10.52
2007,Prozent,,,13.93
2008,Prozent,,,14.4
2009,Prozent,,,15.05
2010,Prozent,,,17.19
2011,Prozent,,,19.77
2012,Prozent,,,20.77
2013,Prozent,,,20.58
2014,Prozent,,,23.47
2015,Prozent,,,30.56
2016,Prozent,,,31.87
2017,Prozent,,,36.08
2018,Prozent,,,37.2
2019,Prozent,,,40.26
2020,Prozent,,,41.38
2021,Prozent,,,
2005,Prozent,,,12.43
2006,Prozent,,,13.67
2007,Prozent,,,16.69
2008,Prozent,,,15.39
2009,Prozent,,,15.01
2010,Prozent,,,16.47
2011,Prozent,,,17.06
2012,Prozent,,,16.93
2013,Prozent,,,18.05
2014,Prozent,,,18.69
2015,Prozent,,,19.95
2016,Prozent,,,20.21
2017,Prozent,,,21.18
2018,Prozent,,,21.06
2019,Prozent,,,21.57
2020,Prozent,,,
2021,Prozent,,,
