Year,Units,Display,Region,GeoCode,Value
2014,Percentage,Time series,Hesse,code06,87.1
2015,Percentage,Time series,Hesse,code06,84.6
2016,Percentage,Time series,Hesse,code06,84.7
2017,Percentage,Time series,Hesse,code06,87.3
2018,Percentage,Time series,Hesse,code06,80.9
2008,Percentage,Time series,Mecklenburg Western Pomerania,code13,88.7
2009,Percentage,Time series,Mecklenburg Western Pomerania,code13,90.0
2010,Percentage,Time series,Mecklenburg Western Pomerania,code13,86.2
2011,Percentage,Time series,Mecklenburg Western Pomerania,code13,86.2
2012,Percentage,Time series,Mecklenburg Western Pomerania,code13,85.0
2013,Percentage,Time series,Mecklenburg Western Pomerania,code13,85.0
2018,Percentage,Time series,Mecklenburg Western Pomerania,code13,81.4
2008,Percentage,Time series,Lower Saxony,code03,69.9
2009,Percentage,Time series,Lower Saxony,code03,73.0
2010,Percentage,Time series,Lower Saxony,code03,70.4
2011,Percentage,Time series,Lower Saxony,code03,69.7
2012,Percentage,Time series,Lower Saxony,code03,69.1
2013,Percentage,Time series,Lower Saxony,code03,69.3
2014,Percentage,Time series,Lower Saxony,code03,69.6
2015,Percentage,Time series,Lower Saxony,code03,68.7
2016,Percentage,Time series,Lower Saxony,code03,71.5
2017,Percentage,Time series,Lower Saxony,code03,70.7
2018,Percentage,Time series,Lower Saxony,code03,69.3
2008,Percentage,Time series,North Rhine-Westphalia,code05,85.1
2009,Percentage,Time series,North Rhine-Westphalia,code05,86.4
2010,Percentage,Time series,North Rhine-Westphalia,code05,84.0
2011,Percentage,Time series,North Rhine-Westphalia,code05,89.2
2012,Percentage,Time series,North Rhine-Westphalia,code05,84.6
2013,Percentage,Time series,North Rhine-Westphalia,code05,89.3
2014,Percentage,Time series,North Rhine-Westphalia,code05,89.3
2015,Percentage,Time series,North Rhine-Westphalia,code05,88.6
2016,Percentage,Time series,North Rhine-Westphalia,code05,87.4
2017,Percentage,Time series,North Rhine-Westphalia,code05,89.0
2018,Percentage,Time series,North Rhine-Westphalia,code05,88.5
2008,Percentage,Time series,Rhineland Palatinate,code07,78.3
2009,Percentage,Time series,Rhineland Palatinate,code07,78.3
2010,Percentage,Time series,Rhineland Palatinate,code07,76.8
2011,Percentage,Time series,Rhineland Palatinate,code07,75.4
2012,Percentage,Time series,Rhineland Palatinate,code07,71.0
2013,Percentage,Time series,Rhineland Palatinate,code07,72.5
2014,Percentage,Time series,Rhineland Palatinate,code07,75.4
2015,Percentage,Time series,Rhineland Palatinate,code07,73.9
2016,Percentage,Time series,Rhineland Palatinate,code07,76.8
2017,Percentage,Time series,Rhineland Palatinate,code07,76.8
2018,Percentage,Time series,Rhineland Palatinate,code07,72.1
2008,Percentage,Time series,Saarland,code10,100.0
2009,Percentage,Time series,Saarland,code10,100.0
2010,Percentage,Time series,Saarland,code10,100.0
2011,Percentage,Time series,Saarland,code10,87.5
2012,Percentage,Time series,Saarland,code10,100.0
2013,Percentage,Time series,Saarland,code10,100.0
2014,Percentage,Time series,Saarland,code10,100.0
2015,Percentage,Time series,Saarland,code10,100.0
2016,Percentage,Time series,Saarland,code10,100.0
2017,Percentage,Time series,Saarland,code10,100.0
2018,Percentage,Time series,Saarland,code10,100.0
2008,Percentage,Time series,Saxony,code14,63.0
2009,Percentage,Time series,Saxony,code14,64.8
2010,Percentage,Time series,Saxony,code14,64.4
2011,Percentage,Time series,Saxony,code14,70.5
2012,Percentage,Time series,Saxony,code14,64.5
2013,Percentage,Time series,Saxony,code14,66.7
2014,Percentage,Time series,Saxony,code14,66.7
2015,Percentage,Time series,Saxony,code14,68.3
2016,Percentage,Time series,Saxony,code14,65.1
2017,Percentage,Time series,Saxony,code14,71.0
2018,Percentage,Time series,Saxony,code14,70.7
2008,Percentage,Time series,Saxony-Anhalt,code15,78.5
2009,Percentage,Time series,Saxony-Anhalt,code15,76.9
2010,Percentage,Time series,Saxony-Anhalt,code15,76.8
2011,Percentage,Time series,Saxony-Anhalt,code15,75.4
2012,Percentage,Time series,Saxony-Anhalt,code15,75.4
2013,Percentage,Time series,Saxony-Anhalt,code15,73.9
2014,Percentage,Time series,Saxony-Anhalt,code15,73.9
2015,Percentage,Time series,Saxony-Anhalt,code15,72.9
2016,Percentage,Time series,Saxony-Anhalt,code15,75.7
2017,Percentage,Time series,Saxony-Anhalt,code15,80.0
2018,Percentage,Time series,Saxony-Anhalt,code15,77.3
2008,Percentage,Time series,Schleswig-Holstein,code01,66.0
2009,Percentage,Time series,Schleswig-Holstein,code01,64.2
2010,Percentage,Time series,Schleswig-Holstein,code01,64.2
2011,Percentage,Time series,Schleswig-Holstein,code01,69.8
2012,Percentage,Time series,Schleswig-Holstein,code01,66.0
2013,Percentage,Time series,Schleswig-Holstein,code01,66.0
2014,Percentage,Time series,Schleswig-Holstein,code01,66.0
2015,Percentage,Time series,Schleswig-Holstein,code01,69.8
2016,Percentage,Time series,Schleswig-Holstein,code01,71.7
2017,Percentage,Time series,Schleswig-Holstein,code01,66.7
2018,Percentage,Time series,Schleswig-Holstein,code01,69.8
2008,Percentage,Time series,Thuringia,code16,72.7
2009,Percentage,Time series,Thuringia,code16,74.5
2010,Percentage,Time series,Thuringia,code16,76.4
2011,Percentage,Time series,Thuringia,code16,74.5
2012,Percentage,Time series,Thuringia,code16,72.7
2013,Percentage,Time series,Thuringia,code16,70.0
2014,Percentage,Time series,Thuringia,code16,74.6
2016,Percentage,Time series,Thuringia,code16,77.1
2017,Percentage,Time series,Thuringia,code16,72.2
2018,Percentage,Time series,Thuringia,code16,76.9
