Year,Units,Bundesland,GeoCode,Zeitreihe,Value
2007,Anzahl,,,,5139.0
2008,Anzahl,,,,5053.0
2009,Anzahl,,,,5332.0
2010,Anzahl,,,,5542.0
2011,Anzahl,,,,5966.0
2012,Anzahl,,,,6748.0
2013,Anzahl,,,,7873.0
2014,Anzahl,,,,9023.0
2015,Anzahl,,,,10278.0
2016,Anzahl,,,,10829.0
2017,Anzahl,,,,11340.0
2018,Anzahl,,,,12575.0
2019,Anzahl,,,,13267.0
2020,Anzahl,,,,13507.0
2005,Anzahl,,,,
2006,Anzahl,,,,3198.0
2007,Anzahl,,,,3247.0
2008,Anzahl,,,,3251.0
2009,Anzahl,,,,3463.0
2010,Anzahl,,,,3712.0
2011,Anzahl,,,,4041.0
2012,Anzahl,,,,4444.0
2013,Anzahl,,,,4705.0
2014,Anzahl,,,,5080.0
2015,Anzahl,,,,5582.0
2016,Anzahl,,,,5650.0
2017,Anzahl,,,,6091.0
2018,Anzahl,,,,6641.0
2019,Anzahl,,,,7321.0
2020,Anzahl,,,,7679.0
2005,Anzahl,,,,
2006,Anzahl,,,,2406.0
2007,Anzahl,,,,2416.0
2008,Anzahl,,,,2436.0
2009,Anzahl,,,,2523.0
2010,Anzahl,,,,2569.0
2011,Anzahl,,,,2633.0
2012,Anzahl,,,,2764.0
2013,Anzahl,,,,2830.0
2014,Anzahl,,,,2998.0
2015,Anzahl,,,,3155.0
2016,Anzahl,,,,3586.0
2017,Anzahl,,,,3667.0
2018,Anzahl,,,,4002.0
2019,Anzahl,,,,4276.0
2020,Anzahl,,,,4402.0
2005,Anzahl,,,,
2006,Anzahl,,,,1937.0
2007,Anzahl,,,,2176.0
2008,Anzahl,,,,2192.0
2009,Anzahl,,,,2543.0
2010,Anzahl,,,,2909.0
2011,Anzahl,,,,3012.0
2012,Anzahl,,,,3412.0
2013,Anzahl,,,,4000.0
2014,Anzahl,,,,4508.0
2015,Anzahl,,,,4948.0
2016,Anzahl,,,,5180.0
2017,Anzahl,,,,5623.0
2018,Anzahl,,,,6397.0
2019,Anzahl,,,,7700.0
2020,Anzahl,,,,8785.0
2005,Anzahl,,,Studierende aus LDCs,4960.0
2006,Anzahl,,,Studierende aus LDCs,5012.0
2007,Anzahl,,,Studierende aus LDCs,4933.0
2008,Anzahl,,,Studierende aus LDCs,5331.0
2009,Anzahl,,,Studierende aus LDCs,5738.0
2010,Anzahl,,,Studierende aus LDCs,6300.0
2011,Anzahl,,,Studierende aus LDCs,6925.0
2012,Anzahl,,,Studierende aus LDCs,7577.0
2013,Anzahl,,,Studierende aus LDCs,8348.0
2014,Anzahl,,,Studierende aus LDCs,9244.0
2015,Anzahl,,,Studierende aus LDCs,9746.0
2016,Anzahl,,,Studierende aus LDCs,10119.0
2017,Anzahl,,,Studierende aus LDCs,10576.0
2018,Anzahl,,,Studierende aus LDCs,11525.0
2019,Anzahl,,,Studierende aus LDCs,13067.0
2020,Anzahl,,,Studierende aus LDCs,15055.0
2005,Anzahl,,,Studierende aus LDCs,502.0
2006,Anzahl,,,Studierende aus LDCs,524.0
2007,Anzahl,,,Studierende aus LDCs,532.0
2008,Anzahl,,,Studierende aus LDCs,559.0
2009,Anzahl,,,Studierende aus LDCs,598.0
2010,Anzahl,,,Studierende aus LDCs,669.0
2011,Anzahl,,,Studierende aus LDCs,704.0
2012,Anzahl,,,Studierende aus LDCs,808.0
2013,Anzahl,,,Studierende aus LDCs,895.0
2014,Anzahl,,,Studierende aus LDCs,957.0
2015,Anzahl,,,Studierende aus LDCs,939.0
2016,Anzahl,,,Studierende aus LDCs,937.0
2017,Anzahl,,,Studierende aus LDCs,857.0
2018,Anzahl,,,Studierende aus LDCs,833.0
2019,Anzahl,,,Studierende aus LDCs,794.0
2020,Anzahl,,,Studierende aus LDCs,817.0
2005,Anzahl,,,Studierende aus LDCs,320.0
2006,Anzahl,,,Studierende aus LDCs,359.0
2007,Anzahl,,,Studierende aus LDCs,352.0
2008,Anzahl,,,Studierende aus LDCs,402.0
2009,Anzahl,,,Studierende aus LDCs,436.0
2010,Anzahl,,,Studierende aus LDCs,476.0
2011,Anzahl,,,Studierende aus LDCs,568.0
2012,Anzahl,,,Studierende aus LDCs,624.0
2013,Anzahl,,,Studierende aus LDCs,716.0
2014,Anzahl,,,Studierende aus LDCs,812.0
2015,Anzahl,,,Studierende aus LDCs,859.0
2016,Anzahl,,,Studierende aus LDCs,884.0
2017,Anzahl,,,Studierende aus LDCs,1036.0
2018,Anzahl,,,Studierende aus LDCs,1170.0
2019,Anzahl,,,Studierende aus LDCs,1347.0
2020,Anzahl,,,Studierende aus LDCs,1751.0
2005,Anzahl,,,Studierende aus LDCs,362.0
2006,Anzahl,,,Studierende aus LDCs,370.0
2007,Anzahl,,,Studierende aus LDCs,337.0
2008,Anzahl,,,Studierende aus LDCs,404.0
2009,Anzahl,,,Studierende aus LDCs,441.0
2010,Anzahl,,,Studierende aus LDCs,505.0
2011,Anzahl,,,Studierende aus LDCs,570.0
2012,Anzahl,,,Studierende aus LDCs,582.0
2013,Anzahl,,,Studierende aus LDCs,634.0
2014,Anzahl,,,Studierende aus LDCs,726.0
2015,Anzahl,,,Studierende aus LDCs,751.0
2016,Anzahl,,,Studierende aus LDCs,755.0
2017,Anzahl,,,Studierende aus LDCs,852.0
2018,Anzahl,,,Studierende aus LDCs,896.0
2019,Anzahl,,,Studierende aus LDCs,1002.0
2020,Anzahl,,,Studierende aus LDCs,1115.0
2005,Anzahl,,,Studierende aus LDCs,124.0
2006,Anzahl,,,Studierende aus LDCs,121.0
2007,Anzahl,,,Studierende aus LDCs,123.0
2008,Anzahl,,,Studierende aus LDCs,122.0
2009,Anzahl,,,Studierende aus LDCs,125.0
2010,Anzahl,,,Studierende aus LDCs,148.0
2011,Anzahl,,,Studierende aus LDCs,154.0
2012,Anzahl,,,Studierende aus LDCs,193.0
2013,Anzahl,,,Studierende aus LDCs,226.0
2014,Anzahl,,,Studierende aus LDCs,277.0
2015,Anzahl,,,Studierende aus LDCs,321.0
2016,Anzahl,,,Studierende aus LDCs,311.0
2017,Anzahl,,,Studierende aus LDCs,356.0
2018,Anzahl,,,Studierende aus LDCs,400.0
2019,Anzahl,,,Studierende aus LDCs,495.0
2020,Anzahl,,,Studierende aus LDCs,582.0
2005,Anzahl,,,Studierende aus LDCs,188.0
2006,Anzahl,,,Studierende aus LDCs,192.0
2007,Anzahl,,,Studierende aus LDCs,206.0
2008,Anzahl,,,Studierende aus LDCs,194.0
2009,Anzahl,,,Studierende aus LDCs,194.0
2010,Anzahl,,,Studierende aus LDCs,203.0
2011,Anzahl,,,Studierende aus LDCs,227.0
2012,Anzahl,,,Studierende aus LDCs,255.0
2013,Anzahl,,,Studierende aus LDCs,261.0
2014,Anzahl,,,Studierende aus LDCs,235.0
2015,Anzahl,,,Studierende aus LDCs,262.0
2016,Anzahl,,,Studierende aus LDCs,277.0
2017,Anzahl,,,Studierende aus LDCs,312.0
2018,Anzahl,,,Studierende aus LDCs,337.0
2019,Anzahl,,,Studierende aus LDCs,395.0
2020,Anzahl,,,Studierende aus LDCs,471.0
2005,Anzahl,,,Studierende aus LDCs,292.0
2006,Anzahl,,,Studierende aus LDCs,281.0
2007,Anzahl,,,Studierende aus LDCs,260.0
2008,Anzahl,,,Studierende aus LDCs,285.0
2009,Anzahl,,,Studierende aus LDCs,317.0
2010,Anzahl,,,Studierende aus LDCs,331.0
2011,Anzahl,,,Studierende aus LDCs,338.0
2012,Anzahl,,,Studierende aus LDCs,342.0
2013,Anzahl,,,Studierende aus LDCs,369.0
2014,Anzahl,,,Studierende aus LDCs,383.0
2015,Anzahl,,,Studierende aus LDCs,409.0
2016,Anzahl,,,Studierende aus LDCs,421.0
2017,Anzahl,,,Studierende aus LDCs,442.0
2018,Anzahl,,,Studierende aus LDCs,495.0
2019,Anzahl,,,Studierende aus LDCs,573.0
2020,Anzahl,,,Studierende aus LDCs,621.0
2005,Anzahl,,,Studierende aus LDCs,728.0
2006,Anzahl,,,Studierende aus LDCs,731.0
2007,Anzahl,,,Studierende aus LDCs,665.0
2008,Anzahl,,,Studierende aus LDCs,766.0
2009,Anzahl,,,Studierende aus LDCs,843.0
2010,Anzahl,,,Studierende aus LDCs,904.0
2011,Anzahl,,,Studierende aus LDCs,968.0
2012,Anzahl,,,Studierende aus LDCs,1062.0
2013,Anzahl,,,Studierende aus LDCs,1158.0
2014,Anzahl,,,Studierende aus LDCs,1263.0
2015,Anzahl,,,Studierende aus LDCs,1345.0
2016,Anzahl,,,Studierende aus LDCs,1352.0
2017,Anzahl,,,Studierende aus LDCs,1385.0
2018,Anzahl,,,Studierende aus LDCs,1481.0
2019,Anzahl,,,Studierende aus LDCs,1649.0
2020,Anzahl,,,Studierende aus LDCs,1826.0
2005,Anzahl,,,Studierende aus LDCs,61.0
2006,Anzahl,,,Studierende aus LDCs,66.0
2007,Anzahl,,,Studierende aus LDCs,68.0
2008,Anzahl,,,Studierende aus LDCs,69.0
2009,Anzahl,,,Studierende aus LDCs,79.0
2010,Anzahl,,,Studierende aus LDCs,86.0
2011,Anzahl,,,Studierende aus LDCs,103.0
2012,Anzahl,,,Studierende aus LDCs,104.0
2013,Anzahl,,,Studierende aus LDCs,118.0
2014,Anzahl,,,Studierende aus LDCs,133.0
2015,Anzahl,,,Studierende aus LDCs,123.0
2016,Anzahl,,,Studierende aus LDCs,141.0
2017,Anzahl,,,Studierende aus LDCs,143.0
2018,Anzahl,,,Studierende aus LDCs,172.0
2019,Anzahl,,,Studierende aus LDCs,177.0
2020,Anzahl,,,Studierende aus LDCs,155.0
2005,Anzahl,,,Studierende aus LDCs,374.0
2006,Anzahl,,,Studierende aus LDCs,351.0
2007,Anzahl,,,Studierende aus LDCs,340.0
2008,Anzahl,,,Studierende aus LDCs,337.0
2009,Anzahl,,,Studierende aus LDCs,332.0
2010,Anzahl,,,Studierende aus LDCs,388.0
2011,Anzahl,,,Studierende aus LDCs,406.0
2012,Anzahl,,,Studierende aus LDCs,424.0
2013,Anzahl,,,Studierende aus LDCs,467.0
2014,Anzahl,,,Studierende aus LDCs,535.0
2015,Anzahl,,,Studierende aus LDCs,597.0
2016,Anzahl,,,Studierende aus LDCs,667.0
2017,Anzahl,,,Studierende aus LDCs,703.0
2018,Anzahl,,,Studierende aus LDCs,757.0
2019,Anzahl,,,Studierende aus LDCs,830.0
2020,Anzahl,,,Studierende aus LDCs,949.0
2005,Anzahl,,,Studierende aus LDCs,1261.0
2006,Anzahl,,,Studierende aus LDCs,1213.0
2007,Anzahl,,,Studierende aus LDCs,1183.0
2008,Anzahl,,,Studierende aus LDCs,1229.0
2009,Anzahl,,,Studierende aus LDCs,1304.0
2010,Anzahl,,,Studierende aus LDCs,1393.0
2011,Anzahl,,,Studierende aus LDCs,1666.0
2012,Anzahl,,,Studierende aus LDCs,1865.0
2013,Anzahl,,,Studierende aus LDCs,2057.0
2014,Anzahl,,,Studierende aus LDCs,2399.0
2015,Anzahl,,,Studierende aus LDCs,2518.0
2016,Anzahl,,,Studierende aus LDCs,2666.0
2017,Anzahl,,,Studierende aus LDCs,2684.0
2018,Anzahl,,,Studierende aus LDCs,2921.0
2019,Anzahl,,,Studierende aus LDCs,3316.0
2020,Anzahl,,,Studierende aus LDCs,3768.0
2005,Anzahl,,,Studierende aus LDCs,239.0
2006,Anzahl,,,Studierende aus LDCs,271.0
2007,Anzahl,,,Studierende aus LDCs,313.0
2008,Anzahl,,,Studierende aus LDCs,335.0
2009,Anzahl,,,Studierende aus LDCs,336.0
2010,Anzahl,,,Studierende aus LDCs,373.0
2011,Anzahl,,,Studierende aus LDCs,344.0
2012,Anzahl,,,Studierende aus LDCs,339.0
2013,Anzahl,,,Studierende aus LDCs,348.0
2014,Anzahl,,,Studierende aus LDCs,389.0
2015,Anzahl,,,Studierende aus LDCs,409.0
2016,Anzahl,,,Studierende aus LDCs,422.0
2017,Anzahl,,,Studierende aus LDCs,432.0
2018,Anzahl,,,Studierende aus LDCs,500.0
2019,Anzahl,,,Studierende aus LDCs,562.0
2020,Anzahl,,,Studierende aus LDCs,665.0
2005,Anzahl,,,Studierende aus LDCs,95.0
2006,Anzahl,,,Studierende aus LDCs,93.0
2007,Anzahl,,,Studierende aus LDCs,106.0
2008,Anzahl,,,Studierende aus LDCs,110.0
2009,Anzahl,,,Studierende aus LDCs,104.0
2010,Anzahl,,,Studierende aus LDCs,130.0
2011,Anzahl,,,Studierende aus LDCs,118.0
2012,Anzahl,,,Studierende aus LDCs,115.0
2013,Anzahl,,,Studierende aus LDCs,116.0
2014,Anzahl,,,Studierende aus LDCs,124.0
2015,Anzahl,,,Studierende aus LDCs,126.0
2016,Anzahl,,,Studierende aus LDCs,128.0
2017,Anzahl,,,Studierende aus LDCs,127.0
2018,Anzahl,,,Studierende aus LDCs,130.0
2019,Anzahl,,,Studierende aus LDCs,140.0
2020,Anzahl,,,Studierende aus LDCs,160.0
2005,Anzahl,,,Studierende aus LDCs,184.0
2006,Anzahl,,,Studierende aus LDCs,200.0
2007,Anzahl,,,Studierende aus LDCs,195.0
2008,Anzahl,,,Studierende aus LDCs,218.0
2009,Anzahl,,,Studierende aus LDCs,240.0
2010,Anzahl,,,Studierende aus LDCs,237.0
2011,Anzahl,,,Studierende aus LDCs,272.0
2012,Anzahl,,,Studierende aus LDCs,317.0
2013,Anzahl,,,Studierende aus LDCs,378.0
2014,Anzahl,,,Studierende aus LDCs,391.0
2015,Anzahl,,,Studierende aus LDCs,434.0
2016,Anzahl,,,Studierende aus LDCs,453.0
2017,Anzahl,,,Studierende aus LDCs,449.0
2018,Anzahl,,,Studierende aus LDCs,520.0
2019,Anzahl,,,Studierende aus LDCs,631.0
2020,Anzahl,,,Studierende aus LDCs,719.0
2005,Anzahl,,,Studierende aus LDCs,100.0
2006,Anzahl,,,Studierende aus LDCs,93.0
2007,Anzahl,,,Studierende aus LDCs,88.0
2008,Anzahl,,,Studierende aus LDCs,97.0
2009,Anzahl,,,Studierende aus LDCs,121.0
2010,Anzahl,,,Studierende aus LDCs,150.0
2011,Anzahl,,,Studierende aus LDCs,171.0
2012,Anzahl,,,Studierende aus LDCs,201.0
2013,Anzahl,,,Studierende aus LDCs,227.0
2014,Anzahl,,,Studierende aus LDCs,240.0
2015,Anzahl,,,Studierende aus LDCs,282.0
2016,Anzahl,,,Studierende aus LDCs,261.0
2017,Anzahl,,,Studierende aus LDCs,288.0
2018,Anzahl,,,Studierende aus LDCs,344.0
2019,Anzahl,,,Studierende aus LDCs,459.0
2020,Anzahl,,,Studierende aus LDCs,550.0
2005,Anzahl,,,Studierende aus LDCs,105.0
2006,Anzahl,,,Studierende aus LDCs,118.0
2007,Anzahl,,,Studierende aus LDCs,132.0
2008,Anzahl,,,Studierende aus LDCs,150.0
2009,Anzahl,,,Studierende aus LDCs,171.0
2010,Anzahl,,,Studierende aus LDCs,160.0
2011,Anzahl,,,Studierende aus LDCs,181.0
2012,Anzahl,,,Studierende aus LDCs,196.0
2013,Anzahl,,,Studierende aus LDCs,213.0
2014,Anzahl,,,Studierende aus LDCs,201.0
2015,Anzahl,,,Studierende aus LDCs,184.0
2016,Anzahl,,,Studierende aus LDCs,221.0
2017,Anzahl,,,Studierende aus LDCs,270.0
2018,Anzahl,,,Studierende aus LDCs,295.0
2019,Anzahl,,,Studierende aus LDCs,339.0
2020,Anzahl,,,Studierende aus LDCs,402.0
2005,Anzahl,,,Studierende aus LDCs,25.0
2006,Anzahl,,,Studierende aus LDCs,29.0
2007,Anzahl,,,Studierende aus LDCs,33.0
2008,Anzahl,,,Studierende aus LDCs,54.0
2009,Anzahl,,,Studierende aus LDCs,97.0
2010,Anzahl,,,Studierende aus LDCs,147.0
2011,Anzahl,,,Studierende aus LDCs,135.0
2012,Anzahl,,,Studierende aus LDCs,150.0
2013,Anzahl,,,Studierende aus LDCs,165.0
2014,Anzahl,,,Studierende aus LDCs,179.0
2015,Anzahl,,,Studierende aus LDCs,187.0
2016,Anzahl,,,Studierende aus LDCs,223.0
2017,Anzahl,,,Studierende aus LDCs,240.0
2018,Anzahl,,,Studierende aus LDCs,274.0
2019,Anzahl,,,Studierende aus LDCs,357.0
2020,Anzahl,,,Studierende aus LDCs,504.0
2005,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,129502.0
2006,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,129631.0
2007,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,124181.0
2008,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,127067.0
2009,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,131633.0
2010,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,136445.0
2011,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,140304.0
2012,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,150880.0
2013,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,164098.0
2014,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,176768.0
2015,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,190403.0
2016,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,204694.0
2017,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,219306.0
2018,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,236609.0
2019,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,251487.0
2020,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,260001.0
2005,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,18582.0
2006,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,18379.0
2007,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,17473.0
2008,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,17650.0
2009,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,18418.0
2010,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,19111.0
2011,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,19082.0
2012,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,21116.0
2013,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,22842.0
2014,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,24597.0
2015,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,26283.0
2016,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,28310.0
2017,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,28393.0
2018,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,27934.0
2019,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,27197.0
2020,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,25283.0
2005,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,12251.0
2006,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,12721.0
2007,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,12324.0
2008,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,12533.0
2009,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,12980.0
2010,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,13620.0
2011,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,14060.0
2012,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,15284.0
2013,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,17719.0
2014,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,19151.0
2015,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,21169.0
2016,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,23123.0
2017,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,26821.0
2018,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,30524.0
2019,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,33606.0
2020,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,37132.0
2005,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,9047.0
2006,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,8871.0
2007,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,9202.0
