Year,Units,sex,federal state,GeoCode,Value
1999,percentage,,bremen,code04,
2010,percentage,,bremen,code04,14.3
2011,percentage,,bremen,code04,17.22
2012,percentage,,bremen,code04,13.34
2013,percentage,,bremen,code04,14.9
2014,percentage,,bremen,code04,14.01
2015,percentage,,bremen,code04,11.54
2016,percentage,,bremen,code04,11.08
2017,percentage,,bremen,code04,10.91
2018,percentage,,bremen,code04,14.64
2019,percentage,,bremen,code04,16.04
2020,percentage,,bremen,code04,-15.3
1999,percentage,female,bremen,code04,
2010,percentage,female,bremen,code04,
2011,percentage,female,bremen,code04,
2012,percentage,female,bremen,code04,
2013,percentage,female,bremen,code04,
2014,percentage,female,bremen,code04,
2015,percentage,female,bremen,code04,
2016,percentage,female,bremen,code04,
2017,percentage,female,bremen,code04,
2018,percentage,female,bremen,code04,
2019,percentage,female,bremen,code04,
2020,percentage,female,bremen,code04,
1999,percentage,male,bremen,code04,
2010,percentage,male,bremen,code04,
2011,percentage,male,bremen,code04,
2012,percentage,male,bremen,code04,
2013,percentage,male,bremen,code04,
2014,percentage,male,bremen,code04,
2015,percentage,male,bremen,code04,
2016,percentage,male,bremen,code04,
2017,percentage,male,bremen,code04,
2018,percentage,male,bremen,code04,17.71
2019,percentage,male,bremen,code04,17.71
2020,percentage,male,bremen,code04,
1999,percentage,,hamburg,code02,
2010,percentage,,hamburg,code02,13.2
2011,percentage,,hamburg,code02,13.16
2012,percentage,,hamburg,code02,12.47
2013,percentage,,hamburg,code02,11.6
2014,percentage,,hamburg,code02,11.79
2015,percentage,,hamburg,code02,12.57
2016,percentage,,hamburg,code02,12.81
2017,percentage,,hamburg,code02,11.41
2018,percentage,,hamburg,code02,11.56
2019,percentage,,hamburg,code02,13.96
2020,percentage,,hamburg,code02,-11.3
1999,percentage,female,hamburg,code02,
2010,percentage,female,hamburg,code02,11.7
2011,percentage,female,hamburg,code02,11.02
2012,percentage,female,hamburg,code02,11.12
2013,percentage,female,hamburg,code02,11.9
2014,percentage,female,hamburg,code02,9.7
2015,percentage,female,hamburg,code02,10.99
2016,percentage,female,hamburg,code02,12.4
2017,percentage,female,hamburg,code02,10.75
2018,percentage,female,hamburg,code02,12.17
2019,percentage,female,hamburg,code02,13.45
2020,percentage,female,hamburg,code02,
1999,percentage,male,hamburg,code02,
2010,percentage,male,hamburg,code02,14.9
2011,percentage,male,hamburg,code02,15.42
2012,percentage,male,hamburg,code02,13.94
2013,percentage,male,hamburg,code02,11.4
2014,percentage,male,hamburg,code02,13.88
2015,percentage,male,hamburg,code02,14.09
2016,percentage,male,hamburg,code02,13.23
2017,percentage,male,hamburg,code02,12.11
2018,percentage,male,hamburg,code02,10.97
2019,percentage,male,hamburg,code02,14.44
2020,percentage,male,hamburg,code02,
1999,percentage,,hesse,code06,
2010,percentage,,hesse,code06,11.8
2011,percentage,,hesse,code06,10.58
2012,percentage,,hesse,code06,9.07
2013,percentage,,hesse,code06,10.0
2014,percentage,,hesse,code06,9.67
2015,percentage,,hesse,code06,9.52
2016,percentage,,hesse,code06,10.48
2017,percentage,,hesse,code06,10.15
2018,percentage,,hesse,code06,10.7
2019,percentage,,hesse,code06,10.33
2020,percentage,,hesse,code06,12.3
1999,percentage,female,hesse,code06,
2010,percentage,female,hesse,code06,10.6
2011,percentage,female,hesse,code06,9.5
2012,percentage,female,hesse,code06,8.43
2013,percentage,female,hesse,code06,9.2
2014,percentage,female,hesse,code06,8.87
2015,percentage,female,hesse,code06,9.42
2016,percentage,female,hesse,code06,9.45
2017,percentage,female,hesse,code06,8.27
2018,percentage,female,hesse,code06,8.91
2019,percentage,female,hesse,code06,8.75
2020,percentage,female,hesse,code06,9.4
1999,percentage,male,hesse,code06,
2010,percentage,male,hesse,code06,13.1
2011,percentage,male,hesse,code06,11.67
2012,percentage,male,hesse,code06,9.69
2013,percentage,male,hesse,code06,10.7
2014,percentage,male,hesse,code06,10.43
2015,percentage,male,hesse,code06,9.61
2016,percentage,male,hesse,code06,11.41
2017,percentage,male,hesse,code06,11.79
2018,percentage,male,hesse,code06,12.35
2019,percentage,male,hesse,code06,11.78
2020,percentage,male,hesse,code06,14.8
1999,percentage,,mecklenburg western pomerania,code13,
2010,percentage,,mecklenburg western pomerania,code13,9.2
2011,percentage,,mecklenburg western pomerania,code13,9.86
2012,percentage,,mecklenburg western pomerania,code13,10.95
2013,percentage,,mecklenburg western pomerania,code13,9.6
2014,percentage,,mecklenburg western pomerania,code13,9.95
2015,percentage,,mecklenburg western pomerania,code13,10.58
2016,percentage,,mecklenburg western pomerania,code13,13.64
2017,percentage,,mecklenburg western pomerania,code13,9.83
2018,percentage,,mecklenburg western pomerania,code13,11.13
2019,percentage,,mecklenburg western pomerania,code13,11.4
2020,percentage,,mecklenburg western pomerania,code13,-13.7
1999,percentage,female,mecklenburg western pomerania,code13,
2010,percentage,female,mecklenburg western pomerania,code13,
2011,percentage,female,mecklenburg western pomerania,code13,8.77
2012,percentage,female,mecklenburg western pomerania,code13,10.89
2013,percentage,female,mecklenburg western pomerania,code13,
2014,percentage,female,mecklenburg western pomerania,code13,
2015,percentage,female,mecklenburg western pomerania,code13,
2016,percentage,female,mecklenburg western pomerania,code13,
2017,percentage,female,mecklenburg western pomerania,code13,
2018,percentage,female,mecklenburg western pomerania,code13,
2019,percentage,female,mecklenburg western pomerania,code13,
2020,percentage,female,mecklenburg western pomerania,code13,
1999,percentage,male,mecklenburg western pomerania,code13,
2010,percentage,male,mecklenburg western pomerania,code13,11.6
2011,percentage,male,mecklenburg western pomerania,code13,10.85
2012,percentage,male,mecklenburg western pomerania,code13,10.99
2013,percentage,male,mecklenburg western pomerania,code13,
2014,percentage,male,mecklenburg western pomerania,code13,
2015,percentage,male,mecklenburg western pomerania,code13,
2016,percentage,male,mecklenburg western pomerania,code13,14.3
2017,percentage,male,mecklenburg western pomerania,code13,
2018,percentage,male,mecklenburg western pomerania,code13,12.6
2019,percentage,male,mecklenburg western pomerania,code13,11.75
2020,percentage,male,mecklenburg western pomerania,code13,
1999,percentage,,lower saxony,code03,
2010,percentage,,lower saxony,code03,13.9
2011,percentage,,lower saxony,code03,14.09
2012,percentage,,lower saxony,code03,11.8
2013,percentage,,lower saxony,code03,10.8
2014,percentage,,lower saxony,code03,10.69
2015,percentage,,lower saxony,code03,10.67
2016,percentage,,lower saxony,code03,12.05
2017,percentage,,lower saxony,code03,11.33
2018,percentage,,lower saxony,code03,11.0
2019,percentage,,lower saxony,code03,11.91
2020,percentage,,lower saxony,code03,10.4
1999,percentage,female,lower saxony,code03,
2010,percentage,female,lower saxony,code03,12.8
2011,percentage,female,lower saxony,code03,13.71
2012,percentage,female,lower saxony,code03,9.97
2013,percentage,female,lower saxony,code03,10.4
2014,percentage,female,lower saxony,code03,9.88
2015,percentage,female,lower saxony,code03,10.48
2016,percentage,female,lower saxony,code03,11.55
2017,percentage,female,lower saxony,code03,10.35
2018,percentage,female,lower saxony,code03,9.74
2019,percentage,female,lower saxony,code03,10.67
2020,percentage,female,lower saxony,code03,8.7
1999,percentage,male,lower saxony,code03,
2010,percentage,male,lower saxony,code03,15.0
2011,percentage,male,lower saxony,code03,14.45
2012,percentage,male,lower saxony,code03,13.46
2013,percentage,male,lower saxony,code03,11.1
2014,percentage,male,lower saxony,code03,11.45
2015,percentage,male,lower saxony,code03,10.84
2016,percentage,male,lower saxony,code03,12.51
2017,percentage,male,lower saxony,code03,12.21
2018,percentage,male,lower saxony,code03,12.13
2019,percentage,male,lower saxony,code03,13.06
2020,percentage,male,lower saxony,code03,11.9
1999,percentage,,north rhine-westphalia,code05,
2010,percentage,,north rhine-westphalia,code05,14.6
2011,percentage,,north rhine-westphalia,code05,13.56
2012,percentage,,north rhine-westphalia,code05,12.77
2013,percentage,,north rhine-westphalia,code05,11.6
2014,percentage,,north rhine-westphalia,code05,11.25
2015,percentage,,north rhine-westphalia,code05,11.42
2016,percentage,,north rhine-westphalia,code05,11.41
2017,percentage,,north rhine-westphalia,code05,11.58
2018,percentage,,north rhine-westphalia,code05,11.98
2019,percentage,,north rhine-westphalia,code05,11.17
2020,percentage,,north rhine-westphalia,code05,10.8
1999,percentage,female,north rhine-westphalia,code05,
2010,percentage,female,north rhine-westphalia,code05,13.5
2011,percentage,female,north rhine-westphalia,code05,12.34
2012,percentage,female,north rhine-westphalia,code05,12.12
2013,percentage,female,north rhine-westphalia,code05,10.8
2014,percentage,female,north rhine-westphalia,code05,11.05
2015,percentage,female,north rhine-westphalia,code05,11.46
2016,percentage,female,north rhine-westphalia,code05,10.69
2017,percentage,female,north rhine-westphalia,code05,10.59
2018,percentage,female,north rhine-westphalia,code05,11.15
2019,percentage,female,north rhine-westphalia,code05,9.39
2020,percentage,female,north rhine-westphalia,code05,9.0
1999,percentage,male,north rhine-westphalia,code05,
2010,percentage,male,north rhine-westphalia,code05,15.7
2011,percentage,male,north rhine-westphalia,code05,14.76
2012,percentage,male,north rhine-westphalia,code05,13.39
2013,percentage,male,north rhine-westphalia,code05,12.3
2014,percentage,male,north rhine-westphalia,code05,11.43
2015,percentage,male,north rhine-westphalia,code05,11.38
2016,percentage,male,north rhine-westphalia,code05,12.08
2017,percentage,male,north rhine-westphalia,code05,12.47
2018,percentage,male,north rhine-westphalia,code05,12.72
2019,percentage,male,north rhine-westphalia,code05,12.79
2020,percentage,male,north rhine-westphalia,code05,12.4
1999,percentage,,rhineland palatinate,code07,
2010,percentage,,rhineland palatinate,code07,15.5
2011,percentage,,rhineland palatinate,code07,13.52
2012,percentage,,rhineland palatinate,code07,12.5
2013,percentage,,rhineland palatinate,code07,13.1
2014,percentage,,rhineland palatinate,code07,10.4
2015,percentage,,rhineland palatinate,code07,12.18
2016,percentage,,rhineland palatinate,code07,11.83
2017,percentage,,rhineland palatinate,code07,11.74
2018,percentage,,rhineland palatinate,code07,11.53
2019,percentage,,rhineland palatinate,code07,11.62
2020,percentage,,rhineland palatinate,code07,10.1
1999,percentage,female,rhineland palatinate,code07,
2010,percentage,female,rhineland palatinate,code07,14.5
2011,percentage,female,rhineland palatinate,code07,12.2
2012,percentage,female,rhineland palatinate,code07,13.23
2013,percentage,female,rhineland palatinate,code07,12.7
2014,percentage,female,rhineland palatinate,code07,9.92
2015,percentage,female,rhineland palatinate,code07,12.22
2016,percentage,female,rhineland palatinate,code07,10.38
2017,percentage,female,rhineland palatinate,code07,10.04
2018,percentage,female,rhineland palatinate,code07,9.59
2019,percentage,female,rhineland palatinate,code07,10.51
2020,percentage,female,rhineland palatinate,code07,-7.9
1999,percentage,male,rhineland palatinate,code07,
2010,percentage,male,rhineland palatinate,code07,16.6
2011,percentage,male,rhineland palatinate,code07,14.79
2012,percentage,male,rhineland palatinate,code07,11.78
2013,percentage,male,rhineland palatinate,code07,13.4
2014,percentage,male,rhineland palatinate,code07,10.89
2015,percentage,male,rhineland palatinate,code07,12.14
2016,percentage,male,rhineland palatinate,code07,13.17
2017,percentage,male,rhineland palatinate,code07,13.28
2018,percentage,male,rhineland palatinate,code07,13.21
2019,percentage,male,rhineland palatinate,code07,12.61
2020,percentage,male,rhineland palatinate,code07,12.1
1999,percentage,,saarland,code10,
2010,percentage,,saarland,code10,13.2
2011,percentage,,saarland,code10,15.44
2012,percentage,,saarland,code10,12.86
2013,percentage,,saarland,code10,14.1
2014,percentage,,saarland,code10,11.88
2015,percentage,,saarland,code10,12.23
2016,percentage,,saarland,code10,10.32
2017,percentage,,saarland,code10,11.68
2018,percentage,,saarland,code10,11.78
2019,percentage,,saarland,code10,11.52
2020,percentage,,saarland,code10,
1999,percentage,female,saarland,code10,
2010,percentage,female,saarland,code10,
2011,percentage,female,saarland,code10,
2012,percentage,female,saarland,code10,
2013,percentage,female,saarland,code10,14.2
2014,percentage,female,saarland,code10,
2015,percentage,female,saarland,code10,15.93
2016,percentage,female,saarland,code10,
2017,percentage,female,saarland,code10,
2018,percentage,female,saarland,code10,
2019,percentage,female,saarland,code10,
2020,percentage,female,saarland,code10,
1999,percentage,male,saarland,code10,
2010,percentage,male,saarland,code10,14.8
2011,percentage,male,saarland,code10,18.44
2012,percentage,male,saarland,code10,14.72
2013,percentage,male,saarland,code10,14.0
2014,percentage,male,saarland,code10,
2015,percentage,male,saarland,code10,
2016,percentage,male,saarland,code10,
2017,percentage,male,saarland,code10,13.0
2018,percentage,male,saarland,code10,
2019,percentage,male,saarland,code10,
2020,percentage,male,saarland,code10,
1999,percentage,,saxony,code14,
2010,percentage,,saxony,code14,7.6
2011,percentage,,saxony,code14,7.68
2012,percentage,,saxony,code14,7.71
2013,percentage,,saxony,code14,6.5
2014,percentage,,saxony,code14,6.82
2015,percentage,,saxony,code14,8.44
2016,percentage,,saxony,code14,7.74
2017,percentage,,saxony,code14,8.57
2018,percentage,,saxony,code14,7.51
2019,percentage,,saxony,code14,8.29
2020,percentage,,saxony,code14,8.0
1999,percentage,female,saxony,code14,
2010,percentage,female,saxony,code14,7.6
2011,percentage,female,saxony,code14,7.46
2012,percentage,female,saxony,code14,7.23
2013,percentage,female,saxony,code14,6.7
2014,percentage,female,saxony,code14,6.64
2015,percentage,female,saxony,code14,7.14
2016,percentage,female,saxony,code14,7.03
2017,percentage,female,saxony,code14,9.81
2018,percentage,female,saxony,code14,7.0
2019,percentage,female,saxony,code14,6.97
2020,percentage,female,saxony,code14,
1999,percentage,male,saxony,code14,
2010,percentage,male,saxony,code14,7.6
2011,percentage,male,saxony,code14,7.89
2012,percentage,male,saxony,code14,8.15
2013,percentage,male,saxony,code14,6.3
2014,percentage,male,saxony,code14,7.0
2015,percentage,male,saxony,code14,9.62
2016,percentage,male,saxony,code14,8.33
2017,percentage,male,saxony,code14,7.46
2018,percentage,male,saxony,code14,7.95
2019,percentage,male,saxony,code14,9.39
2020,percentage,male,saxony,code14,-8.9
1999,percentage,,saxony-anhalt,code15,
2010,percentage,,saxony-anhalt,code15,11.7
2011,percentage,,saxony-anhalt,code15,12.92
2012,percentage,,saxony-anhalt,code15,11.05
2013,percentage,,saxony-anhalt,code15,9.7
2014,percentage,,saxony-anhalt,code15,9.3
2015,percentage,,saxony-anhalt,code15,12.17
2016,percentage,,saxony-anhalt,code15,11.17
2017,percentage,,saxony-anhalt,code15,13.56
2018,percentage,,saxony-anhalt,code15,9.07
2019,percentage,,saxony-anhalt,code15,12.68
2020,percentage,,saxony-anhalt,code15,-13.2
1999,percentage,female,saxony-anhalt,code15,
2010,percentage,female,saxony-anhalt,code15,9.1
2011,percentage,female,saxony-anhalt,code15,11.65
2012,percentage,female,saxony-anhalt,code15,10.08
2013,percentage,female,saxony-anhalt,code15,
2014,percentage,female,saxony-anhalt,code15,
2015,percentage,female,saxony-anhalt,code15,11.66
2016,percentage,female,saxony-anhalt,code15,
2017,percentage,female,saxony-anhalt,code15,11.9
2018,percentage,female,saxony-anhalt,code15,
2019,percentage,female,saxony-anhalt,code15,9.99
2020,percentage,female,saxony-anhalt,code15,
1999,percentage,male,saxony-anhalt,code15,
2010,percentage,male,saxony-anhalt,code15,13.9
2011,percentage,male,saxony-anhalt,code15,13.98
2012,percentage,male,saxony-anhalt,code15,11.83
2013,percentage,male,saxony-anhalt,code15,10.5
2014,percentage,male,saxony-anhalt,code15,9.37
2015,percentage,male,saxony-anhalt,code15,12.61
2016,percentage,male,saxony-anhalt,code15,13.31
2017,percentage,male,saxony-anhalt,code15,14.98
2018,percentage,male,saxony-anhalt,code15,9.99
2019,percentage,male,saxony-anhalt,code15,14.82
2020,percentage,male,saxony-anhalt,code15,
1999,percentage,,schleswig-holstein,code01,
2010,percentage,,schleswig-holstein,code01,12.6
2011,percentage,,schleswig-holstein,code01,12.86
2012,percentage,,schleswig-holstein,code01,12.28
2013,percentage,,schleswig-holstein,code01,10.3
2014,percentage,,schleswig-holstein,code01,12.81
2015,percentage,,schleswig-holstein,code01,10.56
2016,percentage,,schleswig-holstein,code01,10.73
2017,percentage,,schleswig-holstein,code01,9.07
2018,percentage,,schleswig-holstein,code01,10.09
2019,percentage,,schleswig-holstein,code01,10.97
2020,percentage,,schleswig-holstein,code01,11.8
1999,percentage,female,schleswig-holstein,code01,
2010,percentage,female,schleswig-holstein,code01,12.8
2011,percentage,female,schleswig-holstein,code01,11.99
2012,percentage,female,schleswig-holstein,code01,11.61
2013,percentage,female,schleswig-holstein,code01,10.3
2014,percentage,female,schleswig-holstein,code01,12.51
2015,percentage,female,schleswig-holstein,code01,8.94
2016,percentage,female,schleswig-holstein,code01,10.64
2017,percentage,female,schleswig-holstein,code01,7.62
2018,percentage,female,schleswig-holstein,code01,8.93
2019,percentage,female,schleswig-holstein,code01,8.66
2020,percentage,female,schleswig-holstein,code01,
1999,percentage,male,schleswig-holstein,code01,
2010,percentage,male,schleswig-holstein,code01,12.5
2011,percentage,male,schleswig-holstein,code01,13.62
2012,percentage,male,schleswig-holstein,code01,12.87
2013,percentage,male,schleswig-holstein,code01,10.4
2014,percentage,male,schleswig-holstein,code01,13.09
2015,percentage,male,schleswig-holstein,code01,12.06
2016,percentage,male,schleswig-holstein,code01,10.82
2017,percentage,male,schleswig-holstein,code01,10.38
2018,percentage,male,schleswig-holstein,code01,11.18
2019,percentage,male,schleswig-holstein,code01,13.23
2020,percentage,male,schleswig-holstein,code01,-14.2
1999,percentage,,thuringia,code16,
2010,percentage,,thuringia,code16,6.3
2011,percentage,,thuringia,code16,7.65
2012,percentage,,thuringia,code16,6.99
2013,percentage,,thuringia,code16,7.7
2014,percentage,,thuringia,code16,6.12
2015,percentage,,thuringia,code16,8.33
2016,percentage,,thuringia,code16,8.8
2017,percentage,,thuringia,code16,8.71
2018,percentage,,thuringia,code16,8.46
2019,percentage,,thuringia,code16,9.6
2020,percentage,,thuringia,code16,-9.1
1999,percentage,female,thuringia,code16,
2010,percentage,female,thuringia,code16,6.4
2011,percentage,female,thuringia,code16,6.67
2012,percentage,female,thuringia,code16,
2013,percentage,female,thuringia,code16,
2014,percentage,female,thuringia,code16,
2015,percentage,female,thuringia,code16,
2016,percentage,female,thuringia,code16,
2017,percentage,female,thuringia,code16,
2018,percentage,female,thuringia,code16,
2019,percentage,female,thuringia,code16,
2020,percentage,female,thuringia,code16,
1999,percentage,male,thuringia,code16,
2010,percentage,male,thuringia,code16,6.2
2011,percentage,male,thuringia,code16,8.49
2012,percentage,male,thuringia,code16,8.04
2013,percentage,male,thuringia,code16,8.3
2014,percentage,male,thuringia,code16,
2015,percentage,male,thuringia,code16,9.13
2016,percentage,male,thuringia,code16,10.02
2017,percentage,male,thuringia,code16,10.56
2018,percentage,male,thuringia,code16,10.1
2019,percentage,male,thuringia,code16,10.48
2020,percentage,male,thuringia,code16,
