Year,Units,federal state,GeoCode,Value
2007,percentage,,,29.4
2008,percentage,,,29.2
2009,percentage,,,31.5
2010,percentage,,,36.7
2011,percentage,,,36.9
2012,percentage,,,37.0
2013,percentage,,,36.4
2014,percentage,,,35.5
2015,percentage,,,34.3
2016,percentage,,,33.7
2017,percentage,,,32.2
2018,percentage,,,30.2
2019,percentage,,,29.2
2020,percentage,,,30.6
2021,percentage,,,25.2
1991,percentage,,,36.5
1992,percentage,,,38.0
1993,percentage,,,38.5
1994,percentage,,,39.6
1995,percentage,,,36.9
1996,percentage,,,37.4
1997,percentage,,,36.0
1998,percentage,,,34.3
1999,percentage,,,32.9
2000,percentage,,,31.9
2001,percentage,,,30.8
2002,percentage,,,27.5
2003,percentage,,,28.6
2004,percentage,,,28.9
2005,percentage,,,29.0
2006,percentage,,,32.6
2007,percentage,,,32.4
2008,percentage,,,33.4
2009,percentage,,,40.6
2010,percentage,,,48.4
2011,percentage,,,47.7
2012,percentage,,,50.0
2013,percentage,,,52.7
2014,percentage,,,52.5
2015,percentage,,,52.4
2016,percentage,,,52.1
2017,percentage,,,50.1
2018,percentage,,,48.6
2019,percentage,,,48.6
2020,percentage,,,51.6
2021,percentage,,,48.9
1991,percentage,,,5.0
1992,percentage,,,10.4
1993,percentage,,,8.5
1994,percentage,,,13.2
1995,percentage,,,14.9
1996,percentage,,,17.6
1997,percentage,,,19.6
1998,percentage,,,20.9
1999,percentage,,,21.2
2000,percentage,,,21.1
2001,percentage,,,20.8
2002,percentage,,,20.1
2003,percentage,,,20.1
2004,percentage,,,20.1
2005,percentage,,,20.6
2006,percentage,,,18.1
2007,percentage,,,16.0
2008,percentage,,,13.3
2009,percentage,,,11.7
2010,percentage,,,10.7
2011,percentage,,,9.1
2012,percentage,,,9.2
2013,percentage,,,8.1
2014,percentage,,,6.8
2015,percentage,,,5.8
2016,percentage,,,4.5
2017,percentage,,,3.8
2018,percentage,,,3.4
2019,percentage,,,2.9
2020,percentage,,,5.8
2021,percentage,,,6.3
1991,percentage,,,5.4
1992,percentage,,,15.9
1993,percentage,,,13.0
1994,percentage,,,19.1
1995,percentage,,,23.1
1996,percentage,,,27.2
1997,percentage,,,32.8
1998,percentage,,,36.1
1999,percentage,,,39.4
2000,percentage,,,41.8
2001,percentage,,,39.1
2002,percentage,,,39.9
2003,percentage,,,42.5
2004,percentage,,,43.9
2005,percentage,,,46.9
2006,percentage,,,47.1
2007,percentage,,,46.4
2008,percentage,,,44.9
2009,percentage,,,46.8
2010,percentage,,,47.4
2011,percentage,,,46.4
2012,percentage,,,44.2
2013,percentage,,,42.4
2014,percentage,,,41.6
2015,percentage,,,41.5
2016,percentage,,,39.5
2017,percentage,,,38.7
2018,percentage,,,36.4
2019,percentage,,,36.3
2020,percentage,,,37.4
2021,percentage,,,36.6
1991,percentage,,,23.7
1992,percentage,,,23.6
1993,percentage,,,23.1
1994,percentage,,,24.2
1995,percentage,,,24.3
1996,percentage,,,25.4
1997,percentage,,,26.1
1998,percentage,,,27.0
1999,percentage,,,27.3
2000,percentage,,,27.5
2001,percentage,,,27.1
2002,percentage,,,28.6
2003,percentage,,,29.9
2004,percentage,,,31.3
2005,percentage,,,32.7
2006,percentage,,,35.0
2007,percentage,,,34.3
2008,percentage,,,33.6
2009,percentage,,,38.9
2010,percentage,,,42.1
2011,percentage,,,41.6
2012,percentage,,,40.7
2013,percentage,,,39.6
2014,percentage,,,38.7
2015,percentage,,,37.6
2016,percentage,,,38.5
2017,percentage,,,36.2
2018,percentage,,,37.0
2019,percentage,,,35.2
2020,percentage,,,37.0
2021,percentage,,,36.2
1991,percentage,,,6.7
1992,percentage,,,12.7
1993,percentage,,,10.3
1994,percentage,,,16.9
1995,percentage,,,24.9
1996,percentage,,,28.5
1997,percentage,,,31.5
1998,percentage,,,30.1
1999,percentage,,,31.8
2000,percentage,,,33.6
2001,percentage,,,34.5
2002,percentage,,,35.6
2003,percentage,,,36.3
2004,percentage,,,37.4
2005,percentage,,,39.7
2006,percentage,,,41.5
2007,percentage,,,39.3
2008,percentage,,,37.8
2009,percentage,,,39.9
2010,percentage,,,39.4
2011,percentage,,,37.1
2012,percentage,,,36.0
2013,percentage,,,35.7
2014,percentage,,,33.3
2015,percentage,,,32.2
2016,percentage,,,30.7
2017,percentage,,,30.2
2018,percentage,,,27.4
2019,percentage,,,26.4
2020,percentage,,,28.6
2021,percentage,,,28.1
1991,percentage,,,11.5
1992,percentage,,,11.6
1993,percentage,,,11.6
1994,percentage,,,11.7
1995,percentage,,,12.0
1996,percentage,,,11.8
1997,percentage,,,12.2
1998,percentage,,,12.1
1999,percentage,,,11.9
2000,percentage,,,11.7
2001,percentage,,,11.4
2002,percentage,,,12.1
2003,percentage,,,12.3
2004,percentage,,,12.8
2005,percentage,,,13.3
2006,percentage,,,13.5
2007,percentage,,,12.8
2008,percentage,,,12.5
2009,percentage,,,17.7
2010,percentage,,,17.0
2011,percentage,,,16.9
2012,percentage,,,16.6
2013,percentage,,,16.6
2014,percentage,,,13.5
2015,percentage,,,13.3
2016,percentage,,,13.0
2017,percentage,,,11.0
2018,percentage,,,10.2
2019,percentage,,,10.1
2020,percentage,,,11.3
2021,percentage,,,10.7
1991,percentage,,,9.3
1992,percentage,,,9.1
1993,percentage,,,8.9
1994,percentage,,,8.9
1995,percentage,,,8.6
1996,percentage,,,8.6
1997,percentage,,,9.2
1998,percentage,,,9.4
1999,percentage,,,9.4
2000,percentage,,,9.0
2001,percentage,,,8.5
2002,percentage,,,8.4
2003,percentage,,,8.9
2004,percentage,,,9.2
2005,percentage,,,9.4
2006,percentage,,,9.3
2007,percentage,,,8.6
2008,percentage,,,8.2
2009,percentage,,,9.7
2010,percentage,,,9.6
2011,percentage,,,8.8
2012,percentage,,,8.5
2013,percentage,,,7.8
2014,percentage,,,7.1
2015,percentage,,,6.4
2016,percentage,,,5.7
2017,percentage,,,5.0
2018,percentage,,,4.4
2019,percentage,,,4.0
2020,percentage,,,5.1
2021,percentage,,,5.2
1991,percentage,,,11.9
1992,percentage,,,14.0
1993,percentage,,,16.9
1994,percentage,,,19.4
1995,percentage,,,25.1
1996,percentage,,,29.3
1997,percentage,,,32.4
1998,percentage,,,35.0
1999,percentage,,,37.2
2000,percentage,,,39.1
2001,percentage,,,44.4
2002,percentage,,,51.9
2003,percentage,,,57.1
2004,percentage,,,63.1
2005,percentage,,,65.8
2006,percentage,,,65.1
2007,percentage,,,59.9
2008,percentage,,,56.5
2009,percentage,,,59.3
2010,percentage,,,58.5
2011,percentage,,,56.8
2012,percentage,,,55.5
2013,percentage,,,53.5
2014,percentage,,,50.4
2015,percentage,,,47.0
2016,percentage,,,43.6
2017,percentage,,,40.0
2018,percentage,,,36.3
2019,percentage,,,34.3
2020,percentage,,,38.6
2021,percentage,,,38.0
1991,percentage,,,5.6
1992,percentage,,,14.5
1993,percentage,,,11.9
1994,percentage,,,19.8
1995,percentage,,,25.4
1996,percentage,,,28.4
1997,percentage,,,32.1
1998,percentage,,,33.9
1999,percentage,,,34.4
2000,percentage,,,34.3
2001,percentage,,,31.9
2002,percentage,,,33.1
2003,percentage,,,35.3
2004,percentage,,,37.8
2005,percentage,,,37.6
2006,percentage,,,37.0
2007,percentage,,,35.8
2008,percentage,,,34.3
2009,percentage,,,35.5
2010,percentage,,,39.5
2011,percentage,,,38.0
2012,percentage,,,36.9
2013,percentage,,,34.5
2014,percentage,,,31.9
2015,percentage,,,30.9
2016,percentage,,,29.8
2017,percentage,,,26.6
2018,percentage,,,24.7
2019,percentage,,,24.1
2020,percentage,,,26.8
2021,percentage,,,26.0
1991,percentage,,,41.5
1992,percentage,,,43.3
1993,percentage,,,45.4
1994,percentage,,,43.3
1995,percentage,,,42.3
1996,percentage,,,41.7
1997,percentage,,,41.1
1998,percentage,,,39.8
1999,percentage,,,37.7
2000,percentage,,,38.2
2001,percentage,,,38.5
2002,percentage,,,40.5
2003,percentage,,,43.7
2004,percentage,,,46.1
2005,percentage,,,49.5
2006,percentage,,,51.3
2007,percentage,,,53.0
2008,percentage,,,55.9
2009,percentage,,,64.3
2010,percentage,,,68.5
2011,percentage,,,69.3
2012,percentage,,,69.0
2013,percentage,,,69.5
2014,percentage,,,69.1
2015,percentage,,,71.9
2016,percentage,,,68.0
2017,percentage,,,65.0
2018,percentage,,,66.0
2019,percentage,,,90.5
2020,percentage,,,122.0
2021,percentage,,,106.2
1991,percentage,,,16.1
1992,percentage,,,16.4
1993,percentage,,,17.9
1994,percentage,,,18.9
1995,percentage,,,19.2
1996,percentage,,,20.1
1997,percentage,,,19.8
1998,percentage,,,19.7
1999,percentage,,,20.5
2000,percentage,,,21.4
2001,percentage,,,21.5
2002,percentage,,,21.9
2003,percentage,,,23.2
2004,percentage,,,23.8
2005,percentage,,,24.3
2006,percentage,,,24.5
2007,percentage,,,23.6
2008,percentage,,,22.9
2009,percentage,,,26.2
2010,percentage,,,26.8
2011,percentage,,,26.3
2012,percentage,,,25.4
2013,percentage,,,24.8
2014,percentage,,,27.3
2015,percentage,,,26.7
2016,percentage,,,28.2
2017,percentage,,,27.9
2018,percentage,,,28.9
2019,percentage,,,27.0
2020,percentage,,,30.0
2021,percentage,,,27.9
1991,percentage,,,15.8
1992,percentage,,,15.7
1993,percentage,,,15.3
1994,percentage,,,15.9
1995,percentage,,,16.2
1996,percentage,,,16.4
1997,percentage,,,16.1
1998,percentage,,,16.5
1999,percentage,,,16.2
2000,percentage,,,15.4
2001,percentage,,,14.9
2002,percentage,,,15.5
2003,percentage,,,16.0
2004,percentage,,,16.9
2005,percentage,,,17.6
2006,percentage,,,17.3
2007,percentage,,,16.9
2008,percentage,,,16.8
2009,percentage,,,19.1
2010,percentage,,,22.9
2011,percentage,,,23.5
2012,percentage,,,24.8
2013,percentage,,,24.0
2014,percentage,,,24.8
2015,percentage,,,23.7
2016,percentage,,,22.6
2017,percentage,,,20.9
2018,percentage,,,18.6
2019,percentage,,,18.2
2020,percentage,,,21.1
2021,percentage,,,19.4
1991,percentage,,,4.7
1992,percentage,,,8.7
1993,percentage,,,7.3
1994,percentage,,,12.6
1995,percentage,,,16.6
1996,percentage,,,22.2
1997,percentage,,,26.1
1998,percentage,,,29.8
1999,percentage,,,31.8
2000,percentage,,,33.4
2001,percentage,,,32.3
2002,percentage,,,34.3
2003,percentage,,,36.0
2004,percentage,,,38.1
2005,percentage,,,40.5
2006,percentage,,,39.9
2007,percentage,,,35.8
2008,percentage,,,34.0
2009,percentage,,,34.0
2010,percentage,,,35.3
2011,percentage,,,33.4
2012,percentage,,,33.4
2013,percentage,,,31.4
2014,percentage,,,29.8
2015,percentage,,,28.8
2016,percentage,,,25.4
2017,percentage,,,22.2
2018,percentage,,,21.0
2019,percentage,,,19.4
2020,percentage,,,21.5
2021,percentage,,,20.5
