Year,Units,Zeitreihe,Geschlecht,Gebiet,Value
2011,Prozent,Materielle Deprivation,,Deutschland,12.4
2012,Prozent,Materielle Deprivation,,Deutschland,11.3
2013,Prozent,Materielle Deprivation,,Deutschland,11.6
2014,Prozent,Materielle Deprivation,,Deutschland,12.3
2015,Prozent,Materielle Deprivation,,Deutschland,11.2
2016,Prozent,Materielle Deprivation,,Deutschland,9.6
2017,Prozent,Materielle Deprivation,,Deutschland,8.3
2018,Prozent,Materielle Deprivation,,Deutschland,7.6
2019,Prozent,Materielle Deprivation,,Deutschland,6.8
2020,Prozent,Materielle Deprivation,,Deutschland,9.1
2021,Prozent,Materielle Deprivation,,Deutschland,8.8
2010,Prozent,Materielle Deprivation,Weiblich,Deutschland,11.5
2011,Prozent,Materielle Deprivation,Weiblich,Deutschland,13.3
2012,Prozent,Materielle Deprivation,Weiblich,Deutschland,12.2
2013,Prozent,Materielle Deprivation,Weiblich,Deutschland,12.5
2014,Prozent,Materielle Deprivation,Weiblich,Deutschland,13.3
2015,Prozent,Materielle Deprivation,Weiblich,Deutschland,12.2
2016,Prozent,Materielle Deprivation,Weiblich,Deutschland,10.5
2017,Prozent,Materielle Deprivation,Weiblich,Deutschland,9.0
2018,Prozent,Materielle Deprivation,Weiblich,Deutschland,8.2
2019,Prozent,Materielle Deprivation,Weiblich,Deutschland,7.2
2020,Prozent,Materielle Deprivation,Weiblich,Deutschland,9.3
2021,Prozent,Materielle Deprivation,Weiblich,Deutschland,8.8
2010,Prozent,Materielle Deprivation,Männlich,Deutschland,10.6
2011,Prozent,Materielle Deprivation,Männlich,Deutschland,11.5
2012,Prozent,Materielle Deprivation,Männlich,Deutschland,10.5
2013,Prozent,Materielle Deprivation,Männlich,Deutschland,10.7
2014,Prozent,Materielle Deprivation,Männlich,Deutschland,11.3
2015,Prozent,Materielle Deprivation,Männlich,Deutschland,10.2
2016,Prozent,Materielle Deprivation,Männlich,Deutschland,8.6
2017,Prozent,Materielle Deprivation,Männlich,Deutschland,7.6
2018,Prozent,Materielle Deprivation,Männlich,Deutschland,7.0
2019,Prozent,Materielle Deprivation,Männlich,Deutschland,6.4
2020,Prozent,Materielle Deprivation,Männlich,Deutschland,8.9
2021,Prozent,Materielle Deprivation,Männlich,Deutschland,8.8
2010,Prozent,Erhebliche materielle Deprivation,,Europäische Union,8.4
2011,Prozent,Erhebliche materielle Deprivation,,Europäische Union,8.8
2012,Prozent,Erhebliche materielle Deprivation,,Europäische Union,9.9
2013,Prozent,Erhebliche materielle Deprivation,,Europäische Union,9.6
2014,Prozent,Erhebliche materielle Deprivation,,Europäische Union,8.9
2015,Prozent,Erhebliche materielle Deprivation,,Europäische Union,8.1
2016,Prozent,Erhebliche materielle Deprivation,,Europäische Union,7.5
2017,Prozent,Erhebliche materielle Deprivation,,Europäische Union,6.6
2018,Prozent,Erhebliche materielle Deprivation,,Europäische Union,5.9
2019,Prozent,Erhebliche materielle Deprivation,,Europäische Union,5.3
2020,Prozent,Erhebliche materielle Deprivation,,Europäische Union,5.9
2021,Prozent,Erhebliche materielle Deprivation,,Europäische Union,
2010,Prozent,Erhebliche materielle Deprivation,Weiblich,Europäische Union,
2011,Prozent,Erhebliche materielle Deprivation,Weiblich,Europäische Union,9.1
2012,Prozent,Erhebliche materielle Deprivation,Weiblich,Europäische Union,10.2
2013,Prozent,Erhebliche materielle Deprivation,Weiblich,Europäische Union,9.8
2014,Prozent,Erhebliche materielle Deprivation,Weiblich,Europäische Union,9.0
2015,Prozent,Erhebliche materielle Deprivation,Weiblich,Europäische Union,8.2
2016,Prozent,Erhebliche materielle Deprivation,Weiblich,Europäische Union,7.7
2017,Prozent,Erhebliche materielle Deprivation,Weiblich,Europäische Union,6.8
2018,Prozent,Erhebliche materielle Deprivation,Weiblich,Europäische Union,6.1
2019,Prozent,Erhebliche materielle Deprivation,Weiblich,Europäische Union,5.6
2020,Prozent,Erhebliche materielle Deprivation,Weiblich,Europäische Union,6.0
2021,Prozent,Erhebliche materielle Deprivation,Weiblich,Europäische Union,
2010,Prozent,Erhebliche materielle Deprivation,Männlich,Europäische Union,
2011,Prozent,Erhebliche materielle Deprivation,Männlich,Europäische Union,8.6
2012,Prozent,Erhebliche materielle Deprivation,Männlich,Europäische Union,9.7
2013,Prozent,Erhebliche materielle Deprivation,Männlich,Europäische Union,9.4
2014,Prozent,Erhebliche materielle Deprivation,Männlich,Europäische Union,8.8
2015,Prozent,Erhebliche materielle Deprivation,Männlich,Europäische Union,8.0
2016,Prozent,Erhebliche materielle Deprivation,Männlich,Europäische Union,7.3
2017,Prozent,Erhebliche materielle Deprivation,Männlich,Europäische Union,6.4
2018,Prozent,Erhebliche materielle Deprivation,Männlich,Europäische Union,5.7
2019,Prozent,Erhebliche materielle Deprivation,Männlich,Europäische Union,5.1
2020,Prozent,Erhebliche materielle Deprivation,Männlich,Europäische Union,5.8
2021,Prozent,Erhebliche materielle Deprivation,Männlich,Europäische Union,
2010,Prozent,Erhebliche materielle Deprivation,,Deutschland,4.5
2011,Prozent,Erhebliche materielle Deprivation,,Deutschland,5.3
2012,Prozent,Erhebliche materielle Deprivation,,Deutschland,4.9
2013,Prozent,Erhebliche materielle Deprivation,,Deutschland,5.4
2014,Prozent,Erhebliche materielle Deprivation,,Deutschland,5.0
2015,Prozent,Erhebliche materielle Deprivation,,Deutschland,4.4
2016,Prozent,Erhebliche materielle Deprivation,,Deutschland,3.7
2017,Prozent,Erhebliche materielle Deprivation,,Deutschland,3.4
2018,Prozent,Erhebliche materielle Deprivation,,Deutschland,3.1
2019,Prozent,Erhebliche materielle Deprivation,,Deutschland,2.6
2020,Prozent,Erhebliche materielle Deprivation,,Deutschland,5.6
2021,Prozent,Erhebliche materielle Deprivation,,Deutschland,
2010,Prozent,Erhebliche materielle Deprivation,Weiblich,Deutschland,
2011,Prozent,Erhebliche materielle Deprivation,Weiblich,Deutschland,5.7
2012,Prozent,Erhebliche materielle Deprivation,Weiblich,Deutschland,5.2
2013,Prozent,Erhebliche materielle Deprivation,Weiblich,Deutschland,5.6
2014,Prozent,Erhebliche materielle Deprivation,Weiblich,Deutschland,5.1
2015,Prozent,Erhebliche materielle Deprivation,Weiblich,Deutschland,4.6
2016,Prozent,Erhebliche materielle Deprivation,Weiblich,Deutschland,4.0
2017,Prozent,Erhebliche materielle Deprivation,Weiblich,Deutschland,3.9
2018,Prozent,Erhebliche materielle Deprivation,Weiblich,Deutschland,3.2
2019,Prozent,Erhebliche materielle Deprivation,Weiblich,Deutschland,2.8
2020,Prozent,Erhebliche materielle Deprivation,Weiblich,Deutschland,5.4
2021,Prozent,Erhebliche materielle Deprivation,Weiblich,Deutschland,
2010,Prozent,Erhebliche materielle Deprivation,Männlich,Deutschland,
2011,Prozent,Erhebliche materielle Deprivation,Männlich,Deutschland,5.0
2012,Prozent,Erhebliche materielle Deprivation,Männlich,Deutschland,4.5
2013,Prozent,Erhebliche materielle Deprivation,Männlich,Deutschland,5.2
2014,Prozent,Erhebliche materielle Deprivation,Männlich,Deutschland,4.8
2015,Prozent,Erhebliche materielle Deprivation,Männlich,Deutschland,4.2
2016,Prozent,Erhebliche materielle Deprivation,Männlich,Deutschland,3.4
2017,Prozent,Erhebliche materielle Deprivation,Männlich,Deutschland,2.9
2018,Prozent,Erhebliche materielle Deprivation,Männlich,Deutschland,3.0
2019,Prozent,Erhebliche materielle Deprivation,Männlich,Deutschland,2.4
2020,Prozent,Erhebliche materielle Deprivation,Männlich,Deutschland,5.8
2021,Prozent,Erhebliche materielle Deprivation,Männlich,Deutschland,
