Year,Units,Bundesland,GeoCode,Value
2011,Prozent,,,21.3
2012,Prozent,,,25.3
2013,Prozent,,,26.5
2014,Prozent,,,28.0
2015,Prozent,,,31.2
2016,Prozent,,,35.2
2017,Prozent,,,36.5
2018,Prozent,,,38.4
2019,Prozent,,,39.9
2008,Prozent,,,19.5
2009,Prozent,,,21.6
2010,Prozent,,,23.2
2011,Prozent,,,25.3
2012,Prozent,,,26.9
2013,Prozent,,,29.3
2014,Prozent,,,31.5
2015,Prozent,,,34.5
2016,Prozent,,,36.7
2017,Prozent,,,38.4
2018,Prozent,,,40.6
2019,Prozent,,,42.9
2008,Prozent,,,16.8
2009,Prozent,,,18.5
2010,Prozent,,,19.7
2011,Prozent,,,20.9
2012,Prozent,,,22.0
2013,Prozent,,,25.6
2014,Prozent,,,27.5
2015,Prozent,,,29.4
2016,Prozent,,,31.7
2017,Prozent,,,33.4
2018,Prozent,,,35.3
2019,Prozent,,,36.7
2008,Prozent,,,17.5
2009,Prozent,,,20.1
2010,Prozent,,,21.7
2011,Prozent,,,23.6
2012,Prozent,,,25.0
2013,Prozent,,,27.3
2014,Prozent,,,30.3
2015,Prozent,,,31.9
2016,Prozent,,,33.5
2017,Prozent,,,35.0
2018,Prozent,,,37.0
2019,Prozent,,,39.4
2008,Prozent,,,12.9
2009,Prozent,,,14.6
2010,Prozent,,,16.4
2011,Prozent,,,18.8
2012,Prozent,,,19.1
2013,Prozent,,,21.0
2014,Prozent,,,24.1
2015,Prozent,,,25.3
2016,Prozent,,,28.5
2017,Prozent,,,28.4
2018,Prozent,,,29.2
2019,Prozent,,,32.2
2008,Prozent,,,26.9
2009,Prozent,,,31.0
2010,Prozent,,,33.0
2011,Prozent,,,36.0
2012,Prozent,,,38.5
2013,Prozent,,,41.1
2014,Prozent,,,44.7
2015,Prozent,,,47.5
2016,Prozent,,,49.1
2017,Prozent,,,51.9
2018,Prozent,,,53.5
2019,Prozent,,,54.8
2008,Prozent,,,17.6
2009,Prozent,,,17.9
2010,Prozent,,,20.1
2011,Prozent,,,22.2
2012,Prozent,,,23.2
2013,Prozent,,,25.9
2014,Prozent,,,28.6
2015,Prozent,,,31.7
2016,Prozent,,,35.1
2017,Prozent,,,36.8
2018,Prozent,,,38.8
2019,Prozent,,,40.1
2008,Prozent,,,18.4
2009,Prozent,,,19.9
2010,Prozent,,,22.0
2011,Prozent,,,24.0
2012,Prozent,,,24.7
2013,Prozent,,,27.0
2014,Prozent,,,29.4
2015,Prozent,,,30.8
2016,Prozent,,,33.4
2017,Prozent,,,34.6
2018,Prozent,,,36.5
2019,Prozent,,,37.9
2008,Prozent,,,25.0
2009,Prozent,,,28.4
2010,Prozent,,,29.4
2011,Prozent,,,32.1
2012,Prozent,,,34.6
2013,Prozent,,,37.0
2014,Prozent,,,40.6
2015,Prozent,,,43.3
2016,Prozent,,,45.2
2017,Prozent,,,47.6
2018,Prozent,,,49.1
2019,Prozent,,,50.2
