Year,Units,Criminal offences,Value
1994,"Per 100,000 inhabitants",Other offences,6969.442
1995,"Per 100,000 inhabitants",Other offences,7066.485
1996,"Per 100,000 inhabitants",Other offences,7004.051
1997,"Per 100,000 inhabitants",Other offences,6902.249
1998,"Per 100,000 inhabitants",Other offences,6717.579
1999,"Per 100,000 inhabitants",Other offences,6537.571
2000,"Per 100,000 inhabitants",Other offences,6429.227
2001,"Per 100,000 inhabitants",Other offences,6525.908
2002,"Per 100,000 inhabitants",Other offences,6696.451
2003,"Per 100,000 inhabitants",Other offences,6667.887
2004,"Per 100,000 inhabitants",Other offences,6658.625
2005,"Per 100,000 inhabitants",Other offences,6369.412
2006,"Per 100,000 inhabitants",Other offences,6266.75
2007,"Per 100,000 inhabitants",Other offences,6299.947
2008,"Per 100,000 inhabitants",Other offences,6138.74
2009,"Per 100,000 inhabitants",Other offences,5997.87
2010,"Per 100,000 inhabitants",Other offences,5850.772
2011,"Per 100,000 inhabitants",Other offences,5963.585
2012,"Per 100,000 inhabitants",Other offences,5923.634
2013,"Per 100,000 inhabitants",Other offences,5894.4
2014,"Per 100,000 inhabitants",Other offences,5986.7
2015,"Per 100,000 inhabitants",Other offences,6243.8
2016,"Per 100,000 inhabitants",Other offences,6306.3
2017,"Per 100,000 inhabitants",Other offences,5571.9
2018,"Per 100,000 inhabitants",Other offences,5411.739
2019,"Per 100,000 inhabitants",Other offences,5279.749
2020,"Per 100,000 inhabitants",Other offences,5166.816
2021,"Per 100,000 inhabitants",Other offences,4903.685
2022,"Per 100,000 inhabitants",Other offences,5546.324
2023,"Per 100,000 inhabitants",Other offences,5872.316
