Year,Units,Series,Region,GeoCode,Value
2009,Total,Endenergieproduktivität,Mecklenburg-Vorpommern,code13,99.9
2010,Total,Endenergieproduktivität,Mecklenburg-Vorpommern,code13,94.6
2011,Total,Endenergieproduktivität,Mecklenburg-Vorpommern,code13,104.5
2012,Total,Endenergieproduktivität,Mecklenburg-Vorpommern,code13,100.7
2013,Total,Endenergieproduktivität,Mecklenburg-Vorpommern,code13,98.5
2014,Total,Endenergieproduktivität,Mecklenburg-Vorpommern,code13,104.5
2015,Total,Endenergieproduktivität,Mecklenburg-Vorpommern,code13,104.8
2016,Total,Endenergieproduktivität,Mecklenburg-Vorpommern,code13,111.4
2008,Total,Endenergieproduktivität,Niedersachsen,code03,100.0
2009,Total,Endenergieproduktivität,Niedersachsen,code03,99.0
2010,Total,Endenergieproduktivität,Niedersachsen,code03,97.7
2011,Total,Endenergieproduktivität,Niedersachsen,code03,108.1
2012,Total,Endenergieproduktivität,Niedersachsen,code03,111.9
2013,Total,Endenergieproduktivität,Niedersachsen,code03,109.0
2014,Total,Endenergieproduktivität,Niedersachsen,code03,114.8
2015,Total,Endenergieproduktivität,Niedersachsen,code03,114.9
2016,Total,Endenergieproduktivität,Niedersachsen,code03,120.1
2017,Total,Endenergieproduktivität,Niedersachsen,code03,119.9
2018,Total,Endenergieproduktivität,Niedersachsen,code03,122.3
2019,Total,Endenergieproduktivität,Niedersachsen,code03,111.4
2008,Total,Endenergieproduktivität,Nordrhein-Westfalen,code05,100.0
2009,Total,Endenergieproduktivität,Nordrhein-Westfalen,code05,106.8
2010,Total,Endenergieproduktivität,Nordrhein-Westfalen,code05,102.1
2011,Total,Endenergieproduktivität,Nordrhein-Westfalen,code05,111.6
2012,Total,Endenergieproduktivität,Nordrhein-Westfalen,code05,112.4
2013,Total,Endenergieproduktivität,Nordrhein-Westfalen,code05,111.9
2014,Total,Endenergieproduktivität,Nordrhein-Westfalen,code05,117.2
2015,Total,Endenergieproduktivität,Nordrhein-Westfalen,code05,118.9
2016,Total,Endenergieproduktivität,Nordrhein-Westfalen,code05,110.8
2017,Total,Endenergieproduktivität,Nordrhein-Westfalen,code05,121.2
2018,Total,Endenergieproduktivität,Nordrhein-Westfalen,code05,107.7
2019,Total,Endenergieproduktivität,Nordrhein-Westfalen,code05,0.0
2008,Total,Endenergieproduktivität,Rheinland-Pfalz,code07,100.0
2009,Total,Endenergieproduktivität,Rheinland-Pfalz,code07,99.4
2010,Total,Endenergieproduktivität,Rheinland-Pfalz,code07,100.0
2011,Total,Endenergieproduktivität,Rheinland-Pfalz,code07,110.2
2012,Total,Endenergieproduktivität,Rheinland-Pfalz,code07,112.8
2013,Total,Endenergieproduktivität,Rheinland-Pfalz,code07,109.3
2014,Total,Endenergieproduktivität,Rheinland-Pfalz,code07,114.5
2015,Total,Endenergieproduktivität,Rheinland-Pfalz,code07,115.4
2016,Total,Endenergieproduktivität,Rheinland-Pfalz,code07,114.1
2017,Total,Endenergieproduktivität,Rheinland-Pfalz,code07,115.5
2018,Total,Endenergieproduktivität,Rheinland-Pfalz,code07,113.1
2019,Total,Endenergieproduktivität,Rheinland-Pfalz,code07,101.6
2008,Total,Endenergieproduktivität,Sachsen,code14,100.0
2009,Total,Endenergieproduktivität,Sachsen,code14,97.3
2010,Total,Endenergieproduktivität,Sachsen,code14,94.8
2011,Total,Endenergieproduktivität,Sachsen,code14,105.3
2012,Total,Endenergieproduktivität,Sachsen,code14,101.0
2013,Total,Endenergieproduktivität,Sachsen,code14,99.1
2014,Total,Endenergieproduktivität,Sachsen,code14,107.8
2015,Total,Endenergieproduktivität,Sachsen,code14,108.0
2016,Total,Endenergieproduktivität,Sachsen,code14,106.5
2017,Total,Endenergieproduktivität,Sachsen,code14,108.9
2018,Total,Endenergieproduktivität,Sachsen,code14,115.5
2019,Total,Endenergieproduktivität,Sachsen,code14,0.0
2008,Total,Endenergieproduktivität,Sachsen-Anhalt,code15,100.0
2009,Total,Endenergieproduktivität,Sachsen-Anhalt,code15,95.9
2010,Total,Endenergieproduktivität,Sachsen-Anhalt,code15,92.2
2011,Total,Endenergieproduktivität,Sachsen-Anhalt,code15,95.7
2012,Total,Endenergieproduktivität,Sachsen-Anhalt,code15,94.7
2013,Total,Endenergieproduktivität,Sachsen-Anhalt,code15,94.4
2014,Total,Endenergieproduktivität,Sachsen-Anhalt,code15,99.4
2015,Total,Endenergieproduktivität,Sachsen-Anhalt,code15,100.0
2016,Total,Endenergieproduktivität,Sachsen-Anhalt,code15,98.6
2017,Total,Endenergieproduktivität,Sachsen-Anhalt,code15,102.6
2018,Total,Endenergieproduktivität,Sachsen-Anhalt,code15,104.2
2019,Total,Endenergieproduktivität,Sachsen-Anhalt,code15,106.4
2008,Total,Endenergieproduktivität,Schleswig-Holstein,code01,100.0
2009,Total,Endenergieproduktivität,Schleswig-Holstein,code01,99.6
2010,Total,Endenergieproduktivität,Schleswig-Holstein,code01,95.5
2011,Total,Endenergieproduktivität,Schleswig-Holstein,code01,103.0
2012,Total,Endenergieproduktivität,Schleswig-Holstein,code01,104.7
2013,Total,Endenergieproduktivität,Schleswig-Holstein,code01,100.9
2014,Total,Endenergieproduktivität,Schleswig-Holstein,code01,109.0
2015,Total,Endenergieproduktivität,Schleswig-Holstein,code01,108.4
2016,Total,Endenergieproduktivität,Schleswig-Holstein,code01,110.1
2017,Total,Endenergieproduktivität,Schleswig-Holstein,code01,111.3
2018,Total,Endenergieproduktivität,Schleswig-Holstein,code01,115.4
2019,Total,Endenergieproduktivität,Schleswig-Holstein,code01,110.4
2008,Total,Endenergieproduktivität,Thüringen,code16,100.0
2009,Total,Endenergieproduktivität,Thüringen,code16,100.4
2010,Total,Endenergieproduktivität,Thüringen,code16,98.9
2011,Total,Endenergieproduktivität,Thüringen,code16,109.8
2012,Total,Endenergieproduktivität,Thüringen,code16,108.2
2013,Total,Endenergieproduktivität,Thüringen,code16,107.0
2014,Total,Endenergieproduktivität,Thüringen,code16,117.5
2015,Total,Endenergieproduktivität,Thüringen,code16,116.3
2016,Total,Endenergieproduktivität,Thüringen,code16,114.3
2017,Total,Endenergieproduktivität,Thüringen,code16,116.9
2018,Total,Endenergieproduktivität,Thüringen,code16,120.1
2008,%,Endenergieproduktivität,,,100.0
2009,%,Endenergieproduktivität,,,99.7
2010,%,Endenergieproduktivität,,,96.7
2011,%,Endenergieproduktivität,,,105.3
2012,%,Endenergieproduktivität,,,105.3
2013,%,Endenergieproduktivität,,,102.8
2014,%,Endenergieproduktivität,,,110.8
2015,%,Endenergieproduktivität,,,110.0
2016,%,Endenergieproduktivität,,,110.3
2017,%,Endenergieproduktivität,,,111.7
2018,%,Endenergieproduktivität,,,116.3
2019,%,Endenergieproduktivität,,,116.9
2020,%,Endenergieproduktivität,,,120.0
2008,%,Endenergieproduktivität,Baden-Württemberg,code08,100.0
2009,%,Endenergieproduktivität,Baden-Württemberg,code08,95.6
2010,%,Endenergieproduktivität,Baden-Württemberg,code08,100.4
2011,%,Endenergieproduktivität,Baden-Württemberg,code08,109.6
2012,%,Endenergieproduktivität,Baden-Württemberg,code08,111.9
2013,%,Endenergieproduktivität,Baden-Württemberg,code08,107.7
2014,%,Endenergieproduktivität,Baden-Württemberg,code08,117.2
2015,%,Endenergieproduktivität,Baden-Württemberg,code08,116.7
2016,%,Endenergieproduktivität,Baden-Württemberg,code08,115.3
2017,%,Endenergieproduktivität,Baden-Württemberg,code08,125.2
2018,%,Endenergieproduktivität,Baden-Württemberg,code08,123.6
2019,%,Endenergieproduktivität,Baden-Württemberg,code08,109.7
2008,%,Endenergieproduktivität,Bayern,code09,100.0
2009,%,Endenergieproduktivität,Bayern,code09,98.7
2010,%,Endenergieproduktivität,Bayern,code09,96.3
2011,%,Endenergieproduktivität,Bayern,code09,103.2
2012,%,Endenergieproduktivität,Bayern,code09,104.6
2013,%,Endenergieproduktivität,Bayern,code09,105.0
2014,%,Endenergieproduktivität,Bayern,code09,112.9
2015,%,Endenergieproduktivität,Bayern,code09,112.1
2016,%,Endenergieproduktivität,Bayern,code09,111.3
2017,%,Endenergieproduktivität,Bayern,code09,115.7
2018,%,Endenergieproduktivität,Bayern,code09,117.9
2008,%,Endenergieproduktivität,Berlin,code11,100.0
2009,%,Endenergieproduktivität,Berlin,code11,98.3
2010,%,Endenergieproduktivität,Berlin,code11,93.1
2011,%,Endenergieproduktivität,Berlin,code11,108.6
2012,%,Endenergieproduktivität,Berlin,code11,107.4
2013,%,Endenergieproduktivität,Berlin,code11,104.1
2014,%,Endenergieproduktivität,Berlin,code11,115.5
2015,%,Endenergieproduktivität,Berlin,code11,122.1
2016,%,Endenergieproduktivität,Berlin,code11,124.5
2017,%,Endenergieproduktivität,Berlin,code11,131.4
2018,%,Endenergieproduktivität,Berlin,code11,145.9
2008,%,Endenergieproduktivität,Brandenburg,code12,100.0
2009,%,Endenergieproduktivität,Brandenburg,code12,101.2
2010,%,Endenergieproduktivität,Brandenburg,code12,97.5
2011,%,Endenergieproduktivität,Brandenburg,code12,99.4
2012,%,Endenergieproduktivität,Brandenburg,code12,100.1
2013,%,Endenergieproduktivität,Brandenburg,code12,96.4
2014,%,Endenergieproduktivität,Brandenburg,code12,103.7
2015,%,Endenergieproduktivität,Brandenburg,code12,106.5
2016,%,Endenergieproduktivität,Brandenburg,code12,103.6
2017,%,Endenergieproduktivität,Brandenburg,code12,101.5
2018,%,Endenergieproduktivität,Brandenburg,code12,105.2
2008,%,Endenergieproduktivität,Bremen,code04,100.0
2009,%,Endenergieproduktivität,Bremen,code04,97.4
2010,%,Endenergieproduktivität,Bremen,code04,91.4
2011,%,Endenergieproduktivität,Bremen,code04,95.9
2012,%,Endenergieproduktivität,Bremen,code04,100.3
2013,%,Endenergieproduktivität,Bremen,code04,99.9
2014,%,Endenergieproduktivität,Bremen,code04,95.3
2015,%,Endenergieproduktivität,Bremen,code04,97.4
2016,%,Endenergieproduktivität,Bremen,code04,98.5
2017,%,Endenergieproduktivität,Bremen,code04,107.0
2018,%,Endenergieproduktivität,Bremen,code04,115.1
2019,%,Endenergieproduktivität,Bremen,code04,113.4
2008,%,Endenergieproduktivität,Hamburg,code02,100.0
2009,%,Endenergieproduktivität,Hamburg,code02,97.6
2010,%,Endenergieproduktivität,Hamburg,code02,94.2
2011,%,Endenergieproduktivität,Hamburg,code02,100.9
2012,%,Endenergieproduktivität,Hamburg,code02,99.3
2013,%,Endenergieproduktivität,Hamburg,code02,103.8
2014,%,Endenergieproduktivität,Hamburg,code02,109.6
2015,%,Endenergieproduktivität,Hamburg,code02,108.8
2016,%,Endenergieproduktivität,Hamburg,code02,110.7
2017,%,Endenergieproduktivität,Hamburg,code02,115.0
2018,%,Endenergieproduktivität,Hamburg,code02,116.1
2019,%,Endenergieproduktivität,Hamburg,code02,112.8
2008,%,Endenergieproduktivität,Hessen,code06,100.0
2009,%,Endenergieproduktivität,Hessen,code06,97.6
2010,%,Endenergieproduktivität,Hessen,code06,98.4
2011,%,Endenergieproduktivität,Hessen,code06,106.6
2012,%,Endenergieproduktivität,Hessen,code06,104.5
2013,%,Endenergieproduktivität,Hessen,code06,102.6
2014,%,Endenergieproduktivität,Hessen,code06,106.3
2015,%,Endenergieproduktivität,Hessen,code06,104.6
2016,%,Endenergieproduktivität,Hessen,code06,104.9
2017,%,Endenergieproduktivität,Hessen,code06,110.4
2018,%,Endenergieproduktivität,Hessen,code06,111.6
2019,%,Endenergieproduktivität,Hessen,code06,102.7
2008,%,Endenergieproduktivität,Mecklenburg-Vorpommern,code13,100.0
2009,%,Endenergieproduktivität,Mecklenburg-Vorpommern,code13,99.9
2010,%,Endenergieproduktivität,Mecklenburg-Vorpommern,code13,94.6
2011,%,Endenergieproduktivität,Mecklenburg-Vorpommern,code13,104.5
2012,%,Endenergieproduktivität,Mecklenburg-Vorpommern,code13,100.7
2013,%,Endenergieproduktivität,Mecklenburg-Vorpommern,code13,98.5
2014,%,Endenergieproduktivität,Mecklenburg-Vorpommern,code13,104.5
2015,%,Endenergieproduktivität,Mecklenburg-Vorpommern,code13,104.8
2016,%,Endenergieproduktivität,Mecklenburg-Vorpommern,code13,111.4
2008,%,Endenergieproduktivität,Niedersachsen,code03,100.0
2009,%,Endenergieproduktivität,Niedersachsen,code03,99.0
2010,%,Endenergieproduktivität,Niedersachsen,code03,97.7
2011,%,Endenergieproduktivität,Niedersachsen,code03,108.1
2012,%,Endenergieproduktivität,Niedersachsen,code03,111.9
2013,%,Endenergieproduktivität,Niedersachsen,code03,109.0
2014,%,Endenergieproduktivität,Niedersachsen,code03,114.8
2015,%,Endenergieproduktivität,Niedersachsen,code03,114.9
2016,%,Endenergieproduktivität,Niedersachsen,code03,120.1
2017,%,Endenergieproduktivität,Niedersachsen,code03,119.9
2018,%,Endenergieproduktivität,Niedersachsen,code03,122.3
2019,%,Endenergieproduktivität,Niedersachsen,code03,111.4
2008,%,Endenergieproduktivität,Nordrhein-Westfalen,code05,100.0
2009,%,Endenergieproduktivität,Nordrhein-Westfalen,code05,106.8
2010,%,Endenergieproduktivität,Nordrhein-Westfalen,code05,102.1
2011,%,Endenergieproduktivität,Nordrhein-Westfalen,code05,111.6
2012,%,Endenergieproduktivität,Nordrhein-Westfalen,code05,112.4
2013,%,Endenergieproduktivität,Nordrhein-Westfalen,code05,111.9
2014,%,Endenergieproduktivität,Nordrhein-Westfalen,code05,117.2
2015,%,Endenergieproduktivität,Nordrhein-Westfalen,code05,118.9
2016,%,Endenergieproduktivität,Nordrhein-Westfalen,code05,110.8
2017,%,Endenergieproduktivität,Nordrhein-Westfalen,code05,121.2
2018,%,Endenergieproduktivität,Nordrhein-Westfalen,code05,107.7
2019,%,Endenergieproduktivität,Nordrhein-Westfalen,code05,0.0
2008,%,Endenergieproduktivität,Rheinland-Pfalz,code07,100.0
2009,%,Endenergieproduktivität,Rheinland-Pfalz,code07,99.4
2010,%,Endenergieproduktivität,Rheinland-Pfalz,code07,100.0
2011,%,Endenergieproduktivität,Rheinland-Pfalz,code07,110.2
2012,%,Endenergieproduktivität,Rheinland-Pfalz,code07,112.8
2013,%,Endenergieproduktivität,Rheinland-Pfalz,code07,109.3
2014,%,Endenergieproduktivität,Rheinland-Pfalz,code07,114.5
2015,%,Endenergieproduktivität,Rheinland-Pfalz,code07,115.4
2016,%,Endenergieproduktivität,Rheinland-Pfalz,code07,114.1
2017,%,Endenergieproduktivität,Rheinland-Pfalz,code07,115.5
2018,%,Endenergieproduktivität,Rheinland-Pfalz,code07,113.1
2019,%,Endenergieproduktivität,Rheinland-Pfalz,code07,101.6
2008,%,Endenergieproduktivität,Sachsen,code14,100.0
2009,%,Endenergieproduktivität,Sachsen,code14,97.3
2010,%,Endenergieproduktivität,Sachsen,code14,94.8
2011,%,Endenergieproduktivität,Sachsen,code14,105.3
2012,%,Endenergieproduktivität,Sachsen,code14,101.0
2013,%,Endenergieproduktivität,Sachsen,code14,99.1
2014,%,Endenergieproduktivität,Sachsen,code14,107.8
2015,%,Endenergieproduktivität,Sachsen,code14,108.0
2016,%,Endenergieproduktivität,Sachsen,code14,106.5
2017,%,Endenergieproduktivität,Sachsen,code14,108.9
2018,%,Endenergieproduktivität,Sachsen,code14,115.5
2019,%,Endenergieproduktivität,Sachsen,code14,0.0
2008,%,Endenergieproduktivität,Sachsen-Anhalt,code15,100.0
2009,%,Endenergieproduktivität,Sachsen-Anhalt,code15,95.9
2010,%,Endenergieproduktivität,Sachsen-Anhalt,code15,92.2
2011,%,Endenergieproduktivität,Sachsen-Anhalt,code15,95.7
2012,%,Endenergieproduktivität,Sachsen-Anhalt,code15,94.7
2013,%,Endenergieproduktivität,Sachsen-Anhalt,code15,94.4
2014,%,Endenergieproduktivität,Sachsen-Anhalt,code15,99.4
2015,%,Endenergieproduktivität,Sachsen-Anhalt,code15,100.0
2016,%,Endenergieproduktivität,Sachsen-Anhalt,code15,98.6
2017,%,Endenergieproduktivität,Sachsen-Anhalt,code15,102.6
2018,%,Endenergieproduktivität,Sachsen-Anhalt,code15,104.2
2019,%,Endenergieproduktivität,Sachsen-Anhalt,code15,106.4
2008,%,Endenergieproduktivität,Schleswig-Holstein,code01,100.0
2009,%,Endenergieproduktivität,Schleswig-Holstein,code01,99.6
2010,%,Endenergieproduktivität,Schleswig-Holstein,code01,95.5
2011,%,Endenergieproduktivität,Schleswig-Holstein,code01,103.0
2012,%,Endenergieproduktivität,Schleswig-Holstein,code01,104.7
2013,%,Endenergieproduktivität,Schleswig-Holstein,code01,100.9
2014,%,Endenergieproduktivität,Schleswig-Holstein,code01,109.0
2015,%,Endenergieproduktivität,Schleswig-Holstein,code01,108.4
2016,%,Endenergieproduktivität,Schleswig-Holstein,code01,110.1
2017,%,Endenergieproduktivität,Schleswig-Holstein,code01,111.3
2018,%,Endenergieproduktivität,Schleswig-Holstein,code01,115.4
2019,%,Endenergieproduktivität,Schleswig-Holstein,code01,110.4
2008,%,Endenergieproduktivität,Thüringen,code16,100.0
2009,%,Endenergieproduktivität,Thüringen,code16,100.4
2010,%,Endenergieproduktivität,Thüringen,code16,98.9
2011,%,Endenergieproduktivität,Thüringen,code16,109.8
2012,%,Endenergieproduktivität,Thüringen,code16,108.2
2013,%,Endenergieproduktivität,Thüringen,code16,107.0
2014,%,Endenergieproduktivität,Thüringen,code16,117.5
2015,%,Endenergieproduktivität,Thüringen,code16,116.3
2016,%,Endenergieproduktivität,Thüringen,code16,114.3
2017,%,Endenergieproduktivität,Thüringen,code16,116.9
2018,%,Endenergieproduktivität,Thüringen,code16,120.1
2008,Total,Primärenergieverbrauch,,,100.0
2009,Total,Primärenergieverbrauch,,,94.1
2010,Total,Primärenergieverbrauch,,,98.9
2011,Total,Primärenergieverbrauch,,,94.6
2012,Total,Primärenergieverbrauch,,,93.5
2013,Total,Primärenergieverbrauch,,,96.1
2014,Total,Primärenergieverbrauch,,,91.7
2015,Total,Primärenergieverbrauch,,,92.2
2016,Total,Primärenergieverbrauch,,,93.8
2017,Total,Primärenergieverbrauch,,,94.0
2018,Total,Primärenergieverbrauch,,,91.3
2019,Total,Primärenergieverbrauch,,,89.0
2020,Total,Primärenergieverbrauch,,,82.7
2021,Total,Primärenergieverbrauch,,,84.8
2008,Total,Primärenergieverbrauch,Baden-Württemberg,code08,100.0
2009,Total,Primärenergieverbrauch,Baden-Württemberg,code08,95.1
2010,Total,Primärenergieverbrauch,Baden-Württemberg,code08,95.2
2011,Total,Primärenergieverbrauch,Baden-Württemberg,code08,88.3
2012,Total,Primärenergieverbrauch,Baden-Württemberg,code08,85.7
2013,Total,Primärenergieverbrauch,Baden-Württemberg,code08,88.9
2014,Total,Primärenergieverbrauch,Baden-Württemberg,code08,85.4
2015,Total,Primärenergieverbrauch,Baden-Württemberg,code08,87.2
2016,Total,Primärenergieverbrauch,Baden-Württemberg,code08,89.3
2017,Total,Primärenergieverbrauch,Baden-Württemberg,code08,92.3
2018,Total,Primärenergieverbrauch,Baden-Württemberg,code08,90.9
2019,Total,Primärenergieverbrauch,Baden-Württemberg,code08,98.1
2008,Total,Primärenergieverbrauch,Bayern,code09,100.0
2009,Total,Primärenergieverbrauch,Bayern,code09,98.3
2010,Total,Primärenergieverbrauch,Bayern,code09,102.0
2011,Total,Primärenergieverbrauch,Bayern,code09,99.9
2012,Total,Primärenergieverbrauch,Bayern,code09,97.6
2013,Total,Primärenergieverbrauch,Bayern,code09,98.2
2014,Total,Primärenergieverbrauch,Bayern,code09,94.7
2015,Total,Primärenergieverbrauch,Bayern,code09,94.8
2016,Total,Primärenergieverbrauch,Bayern,code09,95.0
2017,Total,Primärenergieverbrauch,Bayern,code09,97.1
2018,Total,Primärenergieverbrauch,Bayern,code09,88.0
2008,Total,Primärenergieverbrauch,Berlin,code11,100.0
2009,Total,Primärenergieverbrauch,Berlin,code11,98.7
2010,Total,Primärenergieverbrauch,Berlin,code11,107.7
2011,Total,Primärenergieverbrauch,Berlin,code11,96.2
2012,Total,Primärenergieverbrauch,Berlin,code11,97.4
2013,Total,Primärenergieverbrauch,Berlin,code11,100.9
2014,Total,Primärenergieverbrauch,Berlin,code11,94.4
2015,Total,Primärenergieverbrauch,Berlin,code11,91.9
2016,Total,Primärenergieverbrauch,Berlin,code11,94.5
2017,Total,Primärenergieverbrauch,Berlin,code11,95.2
2018,Total,Primärenergieverbrauch,Berlin,code11,86.1
2008,Total,Primärenergieverbrauch,Brandenburg,code12,100.0
2009,Total,Primärenergieverbrauch,Brandenburg,code12,96.3
2010,Total,Primärenergieverbrauch,Brandenburg,code12,101.4
2011,Total,Primärenergieverbrauch,Brandenburg,code12,104.9
2012,Total,Primärenergieverbrauch,Brandenburg,code12,104.2
2013,Total,Primärenergieverbrauch,Brandenburg,code12,102.7
2014,Total,Primärenergieverbrauch,Brandenburg,code12,101.5
2015,Total,Primärenergieverbrauch,Brandenburg,code12,102.2
2016,Total,Primärenergieverbrauch,Brandenburg,code12,102.8
2017,Total,Primärenergieverbrauch,Brandenburg,code12,108.6
2018,Total,Primärenergieverbrauch,Brandenburg,code12,106.6
2008,Total,Primärenergieverbrauch,Bremen,code04,100.0
2009,Total,Primärenergieverbrauch,Bremen,code04,96.2
2010,Total,Primärenergieverbrauch,Bremen,code04,105.8
2011,Total,Primärenergieverbrauch,Bremen,code04,100.2
2012,Total,Primärenergieverbrauch,Bremen,code04,100.1
2013,Total,Primärenergieverbrauch,Bremen,code04,99.2
2014,Total,Primärenergieverbrauch,Bremen,code04,101.2
2015,Total,Primärenergieverbrauch,Bremen,code04,99.7
2016,Total,Primärenergieverbrauch,Bremen,code04,100.2
2017,Total,Primärenergieverbrauch,Bremen,code04,105.9
2018,Total,Primärenergieverbrauch,Bremen,code04,90.9
2019,Total,Primärenergieverbrauch,Bremen,code04,90.1
2008,Total,Primärenergieverbrauch,Hamburg,code02,100.0
2009,Total,Primärenergieverbrauch,Hamburg,code02,98.7
2010,Total,Primärenergieverbrauch,Hamburg,code02,106.2
2011,Total,Primärenergieverbrauch,Hamburg,code02,99.5
2012,Total,Primärenergieverbrauch,Hamburg,code02,100.0
2013,Total,Primärenergieverbrauch,Hamburg,code02,99.2
2014,Total,Primärenergieverbrauch,Hamburg,code02,99.9
